frame,parameter,value
107,$4000_duty,0
107,$4000_const,1
107,$4000_vol,15
107,$4001_sweep,0
107,$4002_period,849
107,$400B_length,1
107,$4004_duty,0
107,$4004_const,1
107,$4004_vol,15
107,$4005_sweep,0
107,$4006_period,423
108,$4004_duty,0
108,$4004_const,1
108,$4004_vol,14
108,$4000_duty,0
108,$4000_const,1
108,$4000_vol,14
109,$4004_duty,0
109,$4004_const,1
109,$4004_vol,13
109,$4000_duty,0
109,$4000_const,1
109,$4000_vol,13
109,$4000_duty,0
109,$4000_const,0
109,$4000_vol,0
109,$4001_sweep,0
109,$4002_period,1
109,$400B_length,0
109,$4004_duty,0
109,$4004_const,0
109,$4004_vol,0
109,$4005_sweep,0
109,$4006_period,1
110,$4004_duty,0
110,$4004_const,1
110,$4004_vol,14
110,$4000_duty,0
110,$4000_const,1
110,$4000_vol,14
111,$4004_duty,0
111,$4004_const,1
111,$4004_vol,13
111,$4000_duty,0
111,$4000_const,1
111,$4000_vol,13
111,$4000_duty,0
111,$4000_const,1
111,$4000_vol,15
111,$4001_sweep,0
111,$4002_period,755
111,$400B_length,1
111,$4004_duty,0
111,$4004_const,1
111,$4004_vol,15
111,$4005_sweep,0
111,$4006_period,379
112,$4004_duty,0
112,$4004_const,1
112,$4004_vol,14
112,$4000_duty,0
112,$4000_const,1
112,$4000_vol,14
113,$4004_duty,0
113,$4004_const,1
113,$4004_vol,13
113,$4000_duty,0
113,$4000_const,1
113,$4000_vol,13
113,$4000_duty,0
113,$4000_const,0
113,$4000_vol,0
113,$4001_sweep,0
113,$4002_period,1
113,$400B_length,0
113,$4004_duty,0
113,$4004_const,0
113,$4004_vol,0
113,$4005_sweep,0
113,$4006_period,1
114,$4004_duty,0
114,$4004_const,1
114,$4004_vol,14
114,$4000_duty,0
114,$4000_const,1
114,$4000_vol,14
115,$4004_duty,0
115,$4004_const,1
115,$4004_vol,13
115,$4000_duty,0
115,$4000_const,1
115,$4000_vol,13
115,$4000_duty,0
115,$4000_const,1
115,$4000_vol,15
115,$4001_sweep,0
115,$4002_period,673
115,$400B_length,1
115,$4004_duty,0
115,$4004_const,1
115,$4004_vol,15
115,$4005_sweep,0
115,$4006_period,337
