frame,parameter,value
0,$400C_const,1
0,$400C_vol,0
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,5
1,$400C_const,1
1,$400C_vol,0
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,5
2,$400C_const,1
2,$400C_vol,0
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,5
3,$400C_const,1
3,$400C_vol,0
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,5
4,$400C_const,1
4,$400C_vol,0
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,5
5,$400E_period,0
5,$400E_mode,0
5,$400C_const,1
5,$400C_vol,11
5,$4005_sweep,8
5,$4006_period,641
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,5
5,$4001_sweep,8
5,$4002_period,1017
5,$400B_length,9
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,5
7,$400C_const,1
7,$400C_vol,8
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,5
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,5
8,$400C_const,1
8,$400C_vol,4
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,5
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,5
9,$400C_const,1
9,$400C_vol,0
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,5
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,5
10,$400C_const,1
10,$400C_vol,0
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,5
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,5
11,$400C_const,1
11,$400C_vol,0
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,5
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,5
12,$400C_const,1
12,$400C_vol,0
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,5
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,5
14,$400C_const,1
14,$400C_vol,0
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,5
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,5
15,$400C_const,1
15,$400C_vol,0
15,$4004_duty,0
15,$4004_const,1
15,$4004_vol,5
15,$4000_duty,1
15,$4000_const,1
15,$4000_vol,5
16,$400C_const,1
16,$400C_vol,0
16,$4004_duty,0
16,$4004_const,1
16,$4004_vol,5
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,5
17,$400C_const,1
17,$400C_vol,0
17,$4004_duty,0
17,$4004_const,1
17,$4004_vol,5
17,$4000_duty,1
17,$4000_const,1
17,$4000_vol,5
18,$400C_const,1
18,$400C_vol,0
18,$4004_duty,0
18,$4004_const,1
18,$4004_vol,5
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,5
19,$400E_period,13
19,$400E_mode,0
19,$400C_const,1
19,$400C_vol,11
19,$400A_period,959
19,$400B_length,9
19,$4008_linear,127
19,$4004_duty,0
19,$4004_const,1
19,$4004_vol,5
19,$4000_duty,1
19,$4000_const,1
19,$4000_vol,5
20,$400C_const,1
20,$400C_vol,0
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,5
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,5
22,$400C_const,1
22,$400C_vol,0
22,$4004_duty,0
22,$4004_const,1
22,$4004_vol,5
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,5
23,$400C_const,1
23,$400C_vol,0
23,$4004_duty,0
23,$4004_const,1
23,$4004_vol,5
23,$4000_duty,1
23,$4000_const,1
23,$4000_vol,5
24,$400C_const,1
24,$400C_vol,0
24,$4004_duty,0
24,$4004_const,1
24,$4004_vol,5
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,5
25,$400C_const,1
