frame,parameter,value
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,10
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,10
0,$4011_dac,0
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,10
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,10
1,$4011_dac,0
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,9
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,9
2,$4011_dac,0
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,9
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,9
3,$4011_dac,0
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,8
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,8
4,$4011_dac,0
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,8
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,8
5,$4011_dac,0
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,7
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,7
6,$4011_dac,0
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,7
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,7
7,$4011_dac,0
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,6
8,$4002_period,507
8,$400B_length,8
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,10
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,6
8,$4006_period,425
8,$4004_duty,2
8,$4004_const,0
8,$4004_vol,5
8,$4011_dac,0
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,10
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,10
9,$4011_dac,0
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,10
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,10
10,$4011_dac,0
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,9
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,9
11,$4011_dac,0
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,9
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,9
12,$4011_dac,0
13,$4000_duty,1
13,$4000_const,1
13,$4000_vol,8
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,8
13,$4011_dac,0
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,8
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,8
14,$4011_dac,0
15,$4000_duty,1
15,$4000_const,1
15,$4000_vol,7
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,7
15,$4011_dac,0
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,7
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,7
16,$4011_dac,0
17,$4000_duty,1
17,$4000_const,1
17,$4000_vol,6
17,$4004_duty,2
17,$4004_const,1
17,$4004_vol,6
17,$4011_dac,0
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,6
18,$4002_period,1017
18,$400B_length,9
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,10
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,6
18,$4008_linear,56
18,$400A_period,855
18,$400B_length,9
18,$4011_dac,0
19,$4000_duty,1
19,$4000_const,1
19,$4000_vol,10
19,$4004_duty,2
19,$4004_const,1
19,$4004_vol,5
19,$4011_dac,0
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,10
20,$4004_duty,2
20,$4004_const,1
20,$4004_vol,5
20,$4011_dac,0
21,$4000_duty,1
21,$4000_const,1
21,$4000_vol,9
21,$4004_duty,2
21,$4004_const,1
21,$4004_vol,5
21,$4011_dac,0
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,9
22,$4004_duty,2
22,$4004_const,1
22,$4004_vol,5
22,$4011_dac,0
23,$4000_duty,1
23,$4000_const,1
23,$4000_vol,8
23,$4004_duty,2
23,$4004_const,1
23,$4004_vol,4
23,$4011_dac,0
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,8
24,$4004_duty,2
24,$4004_const,1
24,$4004_vol,4
24,$4011_dac,0
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,7
25,$4004_duty,2
25,$4004_const,1
25,$4004_vol,4
25,$4011_dac,0
26,$4000_duty,1
26,$4000_const,1
26,$4000_vol,7
26,$4004_duty,2
26,$4004_const,1
26,$4004_vol,4
26,$4011_dac,0
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,6
27,$4002_period,855
27,$400B_length,9
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,10
27,$4004_duty,2
27,$4004_const,1
27,$4004_vol,3
27,$4011_dac,0
28,$4000_duty,1
28,$4000_const,1
28,$4000_vol,10
28,$4004_duty,2
28,$4004_const,1
28,$4004_vol,3
28,$4011_dac,0
29,$4000_duty,1
29,$4000_const,1
29,$4000_vol,10
29,$4004_duty,2
29,$4004_const,1
29,$4004_vol,3
29,$4011_dac,0
30,$4000_duty,1
30,$4000_const,1
30,$4000_vol,9
30,$4004_duty,2
30,$4004_const,1
30,$4004_vol,3
30,$4011_dac,0
31,$4000_duty,1
31,$4000_const,1
31,$4000_vol,9
31,$4004_duty,2
31,$4004_const,1
31,$4004_vol,2
31,$4011_dac,0
32,$4000_duty,1
32,$4000_const,1
32,$4000_vol,8
32,$4004_duty,2
32,$4004_const,1
32,$4004_vol,2
32,$4011_dac,0
33,$4000_duty,1
33,$4000_const,1
33,$4000_vol,8
33,$4004_duty,2
33,$4004_const,1
33,$4004_vol,2
33,$4011_dac,0
34,$4000_duty,1
34,$4000_const,1
34,$4000_vol,7
34,$4004_duty,2
34,$4004_const,1
34,$4004_vol,2
34,$4011_dac,0
35,$4000_duty,1
35,$4000_const,1
35,$4000_vol,7
35,$4004_duty,2
35,$4004_const,1
35,$4004_vol,2
35,$4011_dac,0
36,$4000_duty,1
36,$4000_const,1
36,$4000_vol,6
36,$4002_period,1017
36,$400B_length,9
36,$4000_duty,1
36,$4000_const,1
36,$4000_vol,10
36,$4004_duty,2
36,$4004_const,1
36,$4004_vol,2
36,$4011_dac,0
37,$4000_duty,1
37,$4000_const,1
37,$4000_vol,10
37,$4004_duty,2
37,$4004_const,1
37,$4004_vol,1
37,$4011_dac,0
38,$4000_duty,1
38,$4000_const,1
38,$4000_vol,10
38,$4004_duty,2
38,$4004_const,1
38,$4004_vol,1
38,$4011_dac,0
39,$4000_duty,1
39,$4000_const,1
39,$4000_vol,9
39,$4004_duty,2
39,$4004_const,1
39,$4004_vol,1
39,$4011_dac,0
40,$4000_duty,1
40,$4000_const,1
40,$4000_vol,9
40,$4004_duty,2
40,$4004_const,1
40,$4004_vol,1
40,$4011_dac,0
41,$4000_duty,1
41,$4000_const,1
41,$4000_vol,8
41,$4004_duty,2
41,$4004_const,1
41,$4004_vol,0
41,$4011_dac,0
42,$4000_duty,1
42,$4000_const,1
42,$4000_vol,8
42,$4004_duty,2
42,$4004_const,1
42,$4004_vol,0
42,$4011_dac,0
43,$4000_duty,1
43,$4000_const,1
43,$4000_vol,7
43,$4011_dac,0
44,$4000_duty,1
44,$4000_const,1
44,$4000_vol,7
44,$4011_dac,0
45,$4000_duty,1
45,$4000_const,1
45,$4000_vol,6
45,$4011_dac,0
46,$4000_duty,1
46,$4000_const,1
46,$4000_vol,6
46,$4002_period,477
46,$400B_length,8
46,$4000_duty,1
46,$4000_const,1
46,$4000_vol,10
46,$4006_period,379
46,$4004_duty,2
46,$4004_const,0
46,$4004_vol,5
46,$4008_linear,56
46,$400A_period,477
46,$400B_length,8
46,$4011_dac,0
47,$4000_duty,1
47,$4000_const,1
47,$4000_vol,10
47,$4004_duty,2
47,$4004_const,1
47,$4004_vol,10
47,$4011_dac,0
48,$4000_duty,1
48,$4000_const,1
48,$4000_vol,10
48,$4004_duty,2
48,$4004_const,1
48,$4004_vol,10
48,$4011_dac,0
49,$4000_duty,1
49,$4000_const,1
49,$4000_vol,9
49,$4004_duty,2
49,$4004_const,1
49,$4004_vol,9
49,$4011_dac,0
50,$4000_duty,1
50,$4000_const,1
50,$4000_vol,9
50,$4004_duty,2
50,$4004_const,1
50,$4004_vol,9
50,$4011_dac,0
51,$4000_duty,1
51,$4000_const,1
51,$4000_vol,8
51,$4004_duty,2
51,$4004_const,1
51,$4004_vol,8
51,$4011_dac,0
52,$4000_duty,1
52,$4000_const,1
52,$4000_vol,8
52,$4004_duty,2
52,$4004_const,1
52,$4004_vol,8
52,$4011_dac,0
53,$4000_duty,1
53,$4000_const,1
53,$4000_vol,7
53,$4004_duty,2
53,$4004_const,1
53,$4004_vol,7
53,$4011_dac,0
54,$4000_duty,1
54,$4000_const,1
54,$4000_vol,7
54,$4004_duty,2
54,$4004_const,1
54,$4004_vol,7
54,$4011_dac,0
55,$4000_duty,1
55,$4000_const,1
55,$4000_vol,6
55,$4002_period,477
55,$400B_length,8
55,$4000_duty,1
55,$4000_const,1
55,$4000_vol,10
55,$4004_duty,2
55,$4004_const,1
55,$4004_vol,6
55,$4006_period,379
55,$4004_duty,2
55,$4004_const,0
55,$4004_vol,5
55,$4011_dac,0
56,$4000_duty,1
56,$4000_const,1
56,$4000_vol,10
56,$4004_duty,2
56,$4004_const,1
56,$4004_vol,10
56,$4011_dac,0
57,$4000_duty,1
57,$4000_const,1
57,$4000_vol,10
57,$4004_duty,2
57,$4004_const,1
57,$4004_vol,10
57,$4011_dac,0
58,$4000_duty,1
58,$4000_const,1
58,$4000_vol,9
58,$4004_duty,2
58,$4004_const,1
58,$4004_vol,9
58,$4011_dac,0
59,$4000_duty,1
59,$4000_const,1
59,$4000_vol,9
59,$4004_duty,2
59,$4004_const,1
59,$4004_vol,9
59,$4011_dac,0
60,$4000_duty,1
60,$4000_const,1
60,$4000_vol,8
60,$4004_duty,2
60,$4004_const,1
60,$4004_vol,8
60,$4011_dac,0
61,$4000_duty,1
61,$4000_const,1
61,$4000_vol,8
61,$4004_duty,2
61,$4004_const,1
61,$4004_vol,8
61,$4011_dac,0
62,$4000_duty,1
62,$4000_const,1
62,$4000_vol,7
62,$4004_duty,2
62,$4004_const,1
62,$4004_vol,7
62,$4011_dac,0
63,$4000_duty,1
63,$4000_const,1
63,$4000_vol,7
63,$4004_duty,2
63,$4004_const,1
63,$4004_vol,7
63,$4011_dac,0
64,$4000_duty,1
64,$4000_const,1
64,$4000_vol,6
64,$4002_period,477
64,$400B_length,8
64,$4000_duty,1
64,$4000_const,1
64,$4000_vol,10
64,$4004_duty,2
64,$4004_const,1
64,$4004_vol,6
64,$4006_period,379
64,$4004_duty,2
64,$4004_const,0
64,$4004_vol,5
64,$4011_dac,0
65,$4000_duty,1
65,$4000_const,1
65,$4000_vol,10
65,$4004_duty,2
65,$4004_const,1
65,$4004_vol,10
65,$4011_dac,0
66,$4000_duty,1
66,$4000_const,1
66,$4000_vol,10
66,$4004_duty,2
66,$4004_const,1
66,$4004_vol,10
66,$4011_dac,0
67,$4000_duty,1
67,$4000_const,1
67,$4000_vol,9
67,$4004_duty,2
67,$4004_const,1
67,$4004_vol,9
67,$4011_dac,0
68,$4000_duty,1
68,$4000_const,1
68,$4000_vol,9
68,$4004_duty,2
68,$4004_const,1
68,$4004_vol,9
68,$4011_dac,0
69,$4000_duty,1
69,$4000_const,1
69,$4000_vol,8
69,$4004_duty,2
69,$4004_const,1
69,$4004_vol,8
69,$4011_dac,0
70,$4000_duty,1
70,$4000_const,1
70,$4000_vol,8
70,$4004_duty,2
70,$4004_const,1
70,$4004_vol,8
