frame,parameter,value
1,$4002_period,141
1,$400B_length,8
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,0
1,$4006_period,3419
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,0
1,$400A_period,2713
1,$400B_length,13
1,$4008_linear,0
1,$400E_period,7
1,$400E_mode,0
1,$400C_const,1
1,$400C_vol,0
2,$4002_period,3419
2,$400B_length,14
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,0
2,$4010_rate,48
2,$4006_period,2713
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,0
2,$400A_period,141
2,$400B_length,8
2,$4008_linear,0
2,$400E_period,0
2,$400E_mode,0
2,$400C_const,1
2,$400C_vol,0
3,$4002_period,2713
3,$400B_length,13
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,0
3,$4010_rate,48
3,$4006_period,141
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,0
3,$400A_period,3419
3,$400B_length,14
3,$4008_linear,0
3,$400E_period,4
3,$400E_mode,0
3,$400C_const,1
3,$400C_vol,0
4,$4002_period,141
4,$400B_length,8
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,0
4,$4006_period,3419
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,0
4,$400A_period,2713
4,$400B_length,13
4,$4008_linear,0
4,$400E_period,7
4,$400E_mode,0
4,$400C_const,1
4,$400C_vol,0
6,$4002_period,2713
6,$400B_length,13
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,0
6,$4010_rate,48
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,0
6,$400A_period,3419
6,$400B_length,14
6,$4008_linear,0
6,$400E_period,4
6,$400E_mode,0
6,$400C_const,1
6,$400C_vol,0
7,$4002_period,159
7,$400B_length,8
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,0
7,$4006_period,3419
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,0
7,$400A_period,2713
7,$400B_length,13
7,$4008_linear,0
7,$400E_period,5
7,$400E_mode,0
7,$400C_const,1
7,$400C_vol,0
8,$4002_period,3419
8,$400B_length,14
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,0
8,$4010_rate,48
8,$4006_period,2713
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,0
8,$400A_period,159
8,$400B_length,8
8,$4008_linear,0
8,$400E_period,0
8,$400E_mode,0
8,$400C_const,1
8,$400C_vol,0
10,$4002_period,141
10,$400B_length,8
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,0
10,$4006_period,3419
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,0
10,$400A_period,2713
10,$400B_length,13
10,$4008_linear,0
10,$400E_period,7
10,$400E_mode,0
10,$400C_const,1
10,$400C_vol,0
11,$4002_period,3419
11,$400B_length,14
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,0
11,$4010_rate,48
11,$4006_period,2713
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,0
11,$400A_period,141
11,$400B_length,8
11,$4008_linear,0
11,$400E_period,0
11,$400E_mode,0
11,$400C_const,1
11,$400C_vol,0
13,$4002_period,141
13,$400B_length,8
13,$4000_duty,0
13,$4000_const,1
13,$4000_vol,0
13,$4006_period,3419
13,$4004_duty,0
13,$4004_const,1
13,$4004_vol,0
13,$400A_period,2713
13,$400B_length,13
13,$4008_linear,0
13,$400E_period,7
13,$400E_mode,0
13,$400C_const,1
13,$400C_vol,0
14,$4002_period,3419
14,$400B_length,14
14,$4000_duty,0
14,$4000_const,1
14,$4000_vol,0
14,$4010_rate,48
14,$4006_period,2713
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,0
14,$400A_period,141
14,$400B_length,8
14,$4008_linear,0
14,$400E_period,0
14,$400E_mode,0
14,$400C_const,1
14,$400C_vol,0
15,$4002_period,2713
15,$400B_length,13
15,$4000_duty,0
15,$4000_const,1
15,$4000_vol,0
15,$4010_rate,48
15,$4006_period,141
15,$4004_duty,0
15,$4004_const,1
15,$4004_vol,0
15,$400A_period,3419
15,$400B_length,14
15,$4008_linear,0
15,$400E_period,4
15,$400E_mode,0
15,$400C_const,1
15,$400C_vol,0
16,$4002_period,141
16,$400B_length,8
16,$4000_duty,0
16,$4000_const,1
16,$4000_vol,0
16,$4006_period,3419
16,$4004_duty,0
16,$4004_const,1
16,$4004_vol,0
16,$400A_period,2713
16,$400B_length,13
16,$4008_linear,0
16,$400E_period,7
16,$400E_mode,0
16,$400C_const,1
16,$400C_vol,0
17,$4002_period,3419
17,$400B_length,14
17,$4000_duty,0
17,$4000_const,1
17,$4000_vol,0
17,$4010_rate,48
17,$4006_period,2713
17,$4004_duty,0
17,$4004_const,1
17,$4004_vol,0
17,$400A_period,141
17,$400B_length,8
17,$4008_linear,0
17,$400E_period,0
17,$400E_mode,0
17,$400C_const,1
17,$400C_vol,0
18,$4002_period,2713
18,$400B_length,13
18,$4000_duty,0
18,$4000_const,1
18,$4000_vol,0
18,$4010_rate,48
18,$4006_period,169
18,$4004_duty,0
18,$4004_const,1
18,$4004_vol,0
18,$400A_period,3419
18,$400B_length,14
18,$4008_linear,0
18,$400E_period,4
18,$400E_mode,0
18,$400C_const,1
18,$400C_vol,0
19,$4002_period,2713
19,$400B_length,13
19,$4000_duty,0
19,$4000_const,1
19,$4000_vol,0
19,$4010_rate,48
19,$4006_period,169
19,$4004_duty,0
19,$4004_const,1
19,$4004_vol,0
19,$400A_period,3419
19,$400B_length,14
19,$4008_linear,0
19,$400E_period,4
19,$400E_mode,0
19,$400C_const,1
19,$400C_vol,0
20,$4002_period,169
20,$400B_length,8
20,$4000_duty,0
20,$4000_const,1
20,$4000_vol,0
20,$4006_period,3419
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,0
20,$400A_period,2713
20,$400B_length,13
20,$4008_linear,0
20,$400E_period,4
20,$400E_mode,0
20,$400C_const,1
20,$400C_vol,0
21,$4002_period,3419
21,$400B_length,14
21,$4000_duty,0
21,$4000_const,1
21,$4000_vol,0
21,$4010_rate,48
21,$4006_period,2713
21,$4004_duty,0
21,$4004_const,1
21,$4004_vol,0
21,$400A_period,169
21,$400B_length,8
21,$4008_linear,0
21,$400E_period,0
21,$400E_mode,0
21,$400C_const,1
21,$400C_vol,0
23,$4002_period,141
23,$400B_length,8
23,$4000_duty,0
23,$4000_const,1
23,$4000_vol,0
23,$4006_period,3419
23,$4004_duty,0
23,$4004_const,1
23,$4004_vol,0
23,$400A_period,2713
23,$400B_length,13
23,$4008_linear,0
23,$400E_period,7
23,$400E_mode,0
23,$400C_const,1
23,$400C_vol,0
24,$4002_period,3419
24,$400B_length,14
24,$4000_duty,0
24,$4000_const,1
24,$4000_vol,0
24,$4010_rate,48
24,$4006_period,2713
24,$4004_duty,0
24,$4004_const,1
24,$4004_vol,0
24,$400A_period,141
24,$400B_length,8
24,$4008_linear,0
24,$400E_period,0
24,$400E_mode,0
24,$400C_const,1
24,$400C_vol,0
25,$4002_period,2713
25,$400B_length,13
25,$4000_duty,0
25,$4000_const,1
25,$4000_vol,0
25,$4010_rate,48
25,$4006_period,141
25,$4004_duty,0
25,$4004_const,1
25,$4004_vol,0
25,$400A_period,3419
25,$400B_length,14
25,$4008_linear,0
25,$400E_period,4
25,$400E_mode,0
25,$400C_const,1
25,$400C_vol,0
26,$4002_period,141
26,$400B_length,8
26,$4000_duty,0
26,$4000_const,1
26,$4000_vol,0
26,$4006_period,3419
26,$4004_duty,0
26,$4004_const,1
26,$4004_vol,0
26,$400A_period,2713
26,$400B_length,13
26,$4008_linear,0
26,$400E_period,7
26,$400E_mode,0
26,$400C_const,1
26,$400C_vol,0
27,$4002_period,3419
27,$400B_length,14
27,$4000_duty,0
27,$4000_const,1
27,$4000_vol,0
27,$4010_rate,48
27,$4006_period,2713
27,$4004_duty,0
27,$4004_const,1
27,$4004_vol,0
27,$400A_period,141
27,$400B_length,8
27,$4008_linear,0
27,$400E_period,0
27,$400E_mode,0
27,$400C_const,1
27,$400C_vol,0
28,$4002_period,2713
28,$400B_length,13
28,$4000_duty,0
28,$4000_const,1
28,$4000_vol,0
28,$4010_rate,48
28,$4006_period,169
28,$4004_duty,0
28,$4004_const,1
28,$4004_vol,0
28,$400A_period,3419
28,$400B_length,14
28,$4008_linear,0
