frame,parameter,value
243,$4000_duty,1
243,$4000_const,0
243,$4000_vol,0
243,$4004_duty,1
243,$4004_const,0
243,$4004_vol,0
243,$4008_linear,63
243,$400A_period,677
243,$400B_length,9
243,$400C_const,0
243,$400C_vol,2
243,$400E_period,0
243,$400E_mode,0
244,$4000_duty,1
244,$4000_const,0
244,$4000_vol,0
244,$4004_duty,1
244,$4004_const,0
244,$4004_vol,0
244,$4008_linear,63
244,$400C_const,0
244,$400C_vol,2
245,$4000_duty,1
245,$4000_const,0
245,$4000_vol,0
245,$4004_duty,1
245,$4004_const,0
245,$4004_vol,0
245,$4008_linear,63
245,$400C_const,0
245,$400C_vol,2
246,$4000_duty,1
246,$4000_const,0
246,$4000_vol,0
246,$4004_duty,1
246,$4004_const,0
246,$4004_vol,0
246,$4008_linear,63
246,$400C_const,0
246,$400C_vol,2
247,$4000_duty,1
247,$4000_const,0
247,$4000_vol,0
247,$4004_duty,1
247,$4004_const,0
247,$4004_vol,0
247,$4008_linear,63
247,$400C_const,0
247,$400C_vol,2
248,$4000_duty,1
248,$4000_const,0
248,$4000_vol,0
248,$4004_duty,1
248,$4004_const,0
248,$4004_vol,0
248,$4008_linear,0
248,$400C_const,0
248,$400C_vol,2
249,$4000_duty,1
249,$4000_const,0
249,$4000_vol,0
249,$4004_duty,1
249,$4004_const,0
249,$4004_vol,0
249,$4008_linear,0
249,$400C_const,0
249,$400C_vol,2
250,$4000_duty,1
250,$4000_const,0
250,$4000_vol,0
250,$4004_duty,1
250,$4004_const,0
250,$4004_vol,0
250,$4008_linear,0
250,$400C_const,0
250,$400C_vol,2
251,$4000_duty,1
251,$4000_const,0
251,$4000_vol,0
251,$4004_duty,1
251,$4004_const,0
251,$4004_vol,0
251,$4008_linear,0
251,$400C_const,0
251,$400C_vol,2
252,$4000_duty,1
252,$4000_const,0
252,$4000_vol,0
252,$4004_duty,1
252,$4004_const,0
252,$4004_vol,0
252,$4008_linear,0
252,$400C_const,0
252,$400C_vol,2
253,$4000_duty,1
253,$4000_const,0
253,$4000_vol,0
253,$4004_duty,1
253,$4004_const,0
253,$4004_vol,0
253,$4008_linear,0
253,$400C_const,0
253,$400C_vol,2
254,$4000_duty,1
254,$4000_const,0
254,$4000_vol,0
254,$4004_duty,1
254,$4004_const,0
254,$4004_vol,0
254,$4008_linear,0
254,$400C_const,0
254,$400C_vol,2
255,$4000_duty,1
255,$4000_const,0
255,$4000_vol,0
255,$4004_duty,1
255,$4004_const,0
255,$4004_vol,0
255,$4008_linear,63
255,$400A_period,677
255,$400B_length,9
255,$400C_const,0
255,$400C_vol,2
256,$4000_duty,1
256,$4000_const,0
256,$4000_vol,0
256,$4004_duty,1
256,$4004_const,0
256,$4004_vol,0
256,$4008_linear,63
256,$400C_const,0
256,$400C_vol,2
257,$4000_duty,1
257,$4000_const,0
257,$4000_vol,0
257,$4004_duty,1
257,$4004_const,0
257,$4004_vol,0
257,$4008_linear,63
257,$400C_const,0
257,$400C_vol,2
