frame,parameter,value
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,6
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,6
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,3
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,1
0,$4008_linear,85
0,$400C_const,1
0,$400C_vol,0
0,$400C_const,1
0,$400C_vol,0
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,6
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,5
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,1
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,1
1,$4008_linear,85
1,$400C_const,1
1,$400C_vol,0
1,$400C_const,1
1,$400C_vol,0
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,5
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,5
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,1
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,14
2,$4008_linear,85
2,$400C_const,1
2,$400C_vol,0
2,$400C_const,1
2,$400C_vol,0
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,5
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,4
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,14
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,14
3,$4008_linear,85
3,$400C_const,1
3,$400C_vol,0
3,$400C_const,1
3,$400C_vol,0
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,4
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,14
4,$4001_sweep,0
4,$4002_period,27
4,$400B_length,8
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,14
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,14
4,$4005_sweep,0
4,$4006_period,17
4,$4008_linear,85
4,$400C_const,1
4,$400C_vol,0
4,$400C_const,1
4,$400C_vol,0
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,14
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,14
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,14
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,14
5,$4008_linear,85
5,$400C_const,1
5,$400C_vol,0
5,$400C_const,1
5,$400C_vol,0
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,14
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,13
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,14
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,13
6,$4008_linear,85
6,$400C_const,1
6,$400C_vol,0
6,$400C_const,1
6,$400C_vol,0
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,13
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,13
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,13
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,13
7,$4008_linear,85
7,$400C_const,1
7,$400C_vol,0
7,$400C_const,1
7,$400C_vol,0
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,13
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,12
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,13
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,12
8,$4008_linear,85
8,$400C_const,1
8,$400C_vol,0
8,$400C_const,1
8,$400C_vol,0
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,12
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,12
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,12
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,12
9,$4008_linear,85
9,$400C_const,1
9,$400C_vol,0
9,$400C_const,1
9,$400C_vol,0
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,12
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,11
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,12
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,11
10,$4008_linear,85
10,$400C_const,1
10,$400C_vol,0
10,$400C_const,1
10,$400C_vol,0
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,11
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,11
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,11
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,11
11,$4008_linear,85
11,$400C_const,1
11,$400C_vol,0
11,$400C_const,1
11,$400C_vol,0
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,11
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,10
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,11
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,10
12,$4008_linear,85
12,$400C_const,1
12,$400C_vol,0
12,$400C_const,1
12,$400C_vol,0
13,$4000_duty,1
13,$4000_const,1
13,$4000_vol,10
13,$4000_duty,1
13,$4000_const,1
13,$4000_vol,10
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,10
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,10
13,$4008_linear,85
13,$400C_const,1
13,$400C_vol,0
13,$400C_const,1
13,$400C_vol,0
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,10
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,9
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,10
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,9
14,$4008_linear,85
14,$400C_const,1
14,$400C_vol,0
14,$400C_const,1
14,$400C_vol,0
15,$4000_duty,1
15,$4000_const,1
15,$4000_vol,9
15,$4000_duty,1
15,$4000_const,1
15,$4000_vol,9
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,9
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,9
15,$4008_linear,85
15,$400C_const,1
15,$400C_vol,0
15,$400C_const,1
15,$400C_vol,0
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,9
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,8
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,9
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,8
16,$4008_linear,85
16,$400C_const,1
16,$400C_vol,0
16,$400C_const,1
16,$400C_vol,0
17,$4000_duty,1
17,$4000_const,1
17,$4000_vol,8
17,$4000_duty,1
17,$4000_const,1
17,$4000_vol,8
17,$4004_duty,2
17,$4004_const,1
17,$4004_vol,8
17,$4004_duty,2
17,$4004_const,1
17,$4004_vol,8
17,$4008_linear,85
17,$400C_const,1
17,$400C_vol,0
17,$400C_const,1
17,$400C_vol,0
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,8
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,7
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,8
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,7
18,$4008_linear,85
18,$400C_const,1
18,$400C_vol,0
18,$400C_const,1
18,$400C_vol,0
19,$4000_duty,1
19,$4000_const,1
19,$4000_vol,7
19,$4000_duty,1
19,$4000_const,1
19,$4000_vol,7
19,$4004_duty,2
19,$4004_const,1
19,$4004_vol,7
19,$4004_duty,2
19,$4004_const,1
19,$4004_vol,7
19,$4008_linear,85
19,$400C_const,1
19,$400C_vol,0
19,$400C_const,1
19,$400C_vol,0
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,7
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,7
20,$4004_duty,2
20,$4004_const,1
20,$4004_vol,7
20,$4004_duty,2
20,$4004_const,1
20,$4004_vol,7
20,$4008_linear,85
20,$400C_const,1
20,$400C_vol,0
20,$400C_const,1
20,$400C_vol,0
21,$4000_duty,1
21,$4000_const,1
21,$4000_vol,7
21,$4000_duty,1
21,$4000_const,1
21,$4000_vol,7
21,$4004_duty,2
21,$4004_const,1
21,$4004_vol,7
21,$4004_duty,2
21,$4004_const,1
21,$4004_vol,7
21,$4008_linear,85
21,$400C_const,1
21,$400C_vol,0
21,$400C_const,1
21,$400C_vol,0
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,7
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,6
22,$4004_duty,2
22,$4004_const,1
22,$4004_vol,7
22,$4004_duty,2
22,$4004_const,1
22,$4004_vol,6
22,$4008_linear,85
22,$400C_const,1
22,$400C_vol,0
22,$400C_const,1
22,$400C_vol,0
23,$4000_duty,1
23,$4000_const,1
23,$4000_vol,6
23,$4000_duty,1
23,$4000_const,1
23,$4000_vol,6
23,$4004_duty,2
23,$4004_const,1
23,$4004_vol,6
23,$4004_duty,2
23,$4004_const,1
23,$4004_vol,6
23,$4008_linear,85
23,$400C_const,1
23,$400C_vol,0
23,$400C_const,1
23,$400C_vol,0
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,6
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,5
24,$4004_duty,2
24,$4004_const,1
24,$4004_vol,6
24,$4004_duty,2
24,$4004_const,1
24,$4004_vol,5
24,$4008_linear,85
24,$400C_const,1
24,$400C_vol,0
24,$400C_const,1
24,$400C_vol,0
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,5
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,5
25,$4004_duty,2
25,$4004_const,1
25,$4004_vol,5
25,$4004_duty,2
25,$4004_const,1
25,$4004_vol,5
25,$4008_linear,85
25,$400C_const,1
25,$400C_vol,0
25,$400C_const,1
25,$400C_vol,0
26,$4000_duty,1
26,$4000_const,1
26,$4000_vol,5
26,$4000_duty,1
26,$4000_const,1
26,$4000_vol,4
26,$4004_duty,2
26,$4004_const,1
26,$4004_vol,5
26,$4004_duty,2
26,$4004_const,1
26,$4004_vol,4
26,$4008_linear,85
26,$400C_const,1
26,$400C_vol,0
26,$400C_const,1
26,$400C_vol,0
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,4
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,4
27,$4004_duty,2
27,$4004_const,1
27,$4004_vol,4
27,$4004_duty,2
27,$4004_const,1
27,$4004_vol,4
27,$4008_linear,85
27,$400C_const,1
27,$400C_vol,0
27,$400C_const,1
27,$400C_vol,0
28,$4000_duty,1
28,$4000_const,1
28,$4000_vol,4
28,$4000_duty,1
28,$4000_const,1
28,$4000_vol,3
28,$4004_duty,2
28,$4004_const,1
28,$4004_vol,4
28,$4004_duty,2
28,$4004_const,1
28,$4004_vol,3
28,$4008_linear,85
28,$400C_const,1
28,$400C_vol,0
28,$400C_const,1
28,$400C_vol,0
29,$4000_duty,1
29,$4000_const,1
29,$4000_vol,3
29,$4000_duty,1
29,$4000_const,1
29,$4000_vol,3
29,$4004_duty,2
29,$4004_const,1
29,$4004_vol,3
29,$4004_duty,2
29,$4004_const,1
29,$4004_vol,3
29,$4008_linear,85
29,$400C_const,1
29,$400C_vol,0
29,$400C_const,1
29,$400C_vol,0
30,$4000_duty,1
30,$4000_const,1
30,$4000_vol,3
30,$4000_duty,1
30,$4000_const,1
30,$4000_vol,2
30,$4004_duty,2
30,$4004_const,1
30,$4004_vol,3
30,$4004_duty,2
30,$4004_const,1
30,$4004_vol,2
30,$4008_linear,85
30,$400C_const,1
30,$400C_vol,0
30,$400C_const,1
30,$400C_vol,0
31,$4000_duty,1
31,$4000_const,1
31,$4000_vol,2
31,$4000_duty,1
31,$4000_const,1
31,$4000_vol,2
31,$4004_duty,2
31,$4004_const,1
31,$4004_vol,2
31,$4004_duty,2
31,$4004_const,1
