frame,parameter,value
0,$4008_linear,127
0,$4004_duty,1
0,$4004_const,1
0,$4004_vol,13
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,0
1,$4008_linear,127
1,$4004_duty,1
1,$4004_const,1
1,$4004_vol,13
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,0
2,$4008_linear,127
2,$4004_duty,1
2,$4004_const,1
2,$4004_vol,13
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,0
3,$4008_linear,127
3,$4004_duty,1
3,$4004_const,1
3,$4004_vol,13
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,0
4,$4008_linear,127
4,$4004_duty,1
4,$4004_const,1
4,$4004_vol,13
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,0
5,$4008_linear,127
5,$4004_duty,1
5,$4004_const,1
5,$4004_vol,13
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,0
6,$4008_linear,127
6,$4004_duty,1
6,$4004_const,1
6,$4004_vol,13
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,0
7,$4008_linear,127
7,$4004_duty,1
7,$4004_const,1
7,$4004_vol,13
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,0
8,$4008_linear,127
8,$4004_duty,1
8,$4004_const,1
8,$4004_vol,13
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,0
9,$4008_linear,127
9,$4004_duty,1
9,$4004_const,1
9,$4004_vol,13
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,0
10,$4008_linear,127
10,$4004_duty,1
10,$4004_const,1
10,$4004_vol,13
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,0
11,$4008_linear,127
11,$4004_duty,1
11,$4004_const,1
11,$4004_vol,13
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,0
12,$4008_linear,127
12,$4004_duty,1
12,$4004_const,1
12,$4004_vol,13
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,0
13,$4008_linear,127
13,$4004_duty,1
13,$4004_const,1
13,$4004_vol,13
13,$4000_duty,1
