frame,parameter,value
0,$4011_dac,0
0,$4008_linear,1
0,$400A_period,453
0,$400B_length,8
0,$400C_const,1
0,$400C_vol,4
0,$400E_period,5
0,$400E_mode,0
1,$4011_dac,0
1,$400C_const,1
1,$400C_vol,0
2,$4011_dac,0
3,$4011_dac,0
4,$4011_dac,0
5,$4011_dac,0
5,$4008_linear,0
6,$4011_dac,0
7,$4011_dac,0
8,$4011_dac,0
9,$4011_dac,0
10,$4011_dac,0
11,$4011_dac,0
12,$4011_dac,0
13,$4011_dac,0
13,$4004_duty,1
13,$4004_const,1
13,$4004_vol,10
13,$4006_period,359
13,$4005_sweep,127
13,$4008_linear,1
13,$400A_period,905
13,$400B_length,9
13,$400C_const,1
13,$400C_vol,9
13,$400E_period,7
13,$400E_mode,0
13,$4004_duty,1
13,$4004_const,1
13,$4004_vol,10
13,$4005_sweep,127
14,$4011_dac,0
14,$400C_const,1
14,$400C_vol,7
15,$4011_dac,0
15,$400C_const,1
15,$400C_vol,5
15,$4004_duty,1
15,$4004_const,1
15,$4004_vol,9
15,$4005_sweep,127
16,$4011_dac,0
16,$400C_const,1
16,$400C_vol,3
17,$4011_dac,0
17,$400C_const,1
17,$400C_vol,0
18,$4011_dac,0
18,$4004_duty,1
18,$4004_const,1
18,$4004_vol,7
18,$4005_sweep,127
18,$4008_linear,0
19,$4011_dac,0
20,$4011_dac,0
21,$4011_dac,0
22,$4011_dac,0
23,$4011_dac,0
24,$4011_dac,0
25,$4011_dac,0
26,$4011_dac,0
26,$4004_duty,1
26,$4004_const,1
26,$4004_vol,10
26,$4006_period,453
26,$4005_sweep,127
26,$4008_linear,1
26,$400A_period,453
26,$400B_length,8
26,$400C_const,1
26,$400C_vol,4
26,$400E_period,5
26,$400E_mode,0
26,$4004_duty,1
26,$4004_const,1
26,$4004_vol,10
26,$4005_sweep,127
27,$4011_dac,0
27,$400C_const,1
27,$400C_vol,0
28,$4011_dac,0
28,$4004_duty,1
28,$4004_const,1
28,$4004_vol,9
28,$4005_sweep,127
29,$4011_dac,0
30,$4011_dac,0
31,$4011_dac,0
31,$4004_duty,1
31,$4004_const,1
31,$4004_vol,7
31,$4005_sweep,127
31,$4008_linear,0
32,$4011_dac,0
33,$4011_dac,0
34,$4011_dac,0
35,$4011_dac,0
36,$4011_dac,0
37,$4011_dac,0
38,$4011_dac,0
39,$4011_dac,0
39,$4000_duty,2
39,$4000_const,1
39,$4000_vol,2
39,$4002_period,605
39,$400B_length,9
39,$4001_sweep,127
39,$4008_linear,1
39,$400A_period,719
39,$400B_length,9
39,$400C_const,1
39,$400C_vol,4
39,$400E_period,5
39,$400E_mode,0
39,$4000_duty,2
39,$4000_const,1
39,$4000_vol,2
39,$4001_sweep,127
40,$4011_dac,0
40,$400C_const,1
40,$400C_vol,0
41,$4011_dac,0
42,$4011_dac,0
42,$4000_duty,2
42,$4000_const,1
42,$4000_vol,4
42,$4001_sweep,127
43,$4011_dac,0
44,$4011_dac,0
44,$4008_linear,0
45,$4011_dac,0
46,$4011_dac,0
46,$4000_duty,2
46,$4000_const,1
46,$4000_vol,5
46,$4001_sweep,127
47,$4011_dac,0
48,$4011_dac,0
49,$4011_dac,0
50,$4011_dac,0
51,$4011_dac,0
52,$4011_dac,0
52,$4008_linear,1
52,$400A_period,453
52,$400B_length,8
52,$400C_const,1
52,$400C_vol,4
52,$400E_period,5
52,$400E_mode,0
53,$4011_dac,0
53,$4000_duty,3
53,$4000_const,1
53,$4000_vol,5
53,$4001_sweep,191
53,$4002_period,1711
53,$400B_length,11
53,$400C_const,1
53,$400C_vol,0
54,$4011_dac,0
54,$4000_duty,3
54,$4000_const,1
54,$4000_vol,7
55,$4011_dac,0
55,$4000_duty,2
55,$4000_const,1
55,$4000_vol,0
56,$4011_dac,0
56,$4000_duty,3
56,$4000_const,1
56,$4000_vol,7
57,$4011_dac,0
57,$4000_duty,2
57,$4000_const,1
57,$4000_vol,0
57,$4008_linear,0
58,$4011_dac,0
58,$4000_duty,3
58,$4000_const,1
58,$4000_vol,9
59,$4011_dac,0
59,$4000_duty,2
59,$4000_const,1
59,$4000_vol,0
60,$4011_dac,0
60,$4000_duty,3
60,$4000_const,1
60,$4000_vol,9
61,$4011_dac,0
61,$4000_duty,2
61,$4000_const,1
61,$4000_vol,0
62,$4011_dac,0
62,$4000_duty,3
62,$4000_const,1
62,$4000_vol,9
63,$4011_dac,0
63,$4000_duty,2
63,$4000_const,1
63,$4000_vol,0
64,$4011_dac,0
64,$4000_duty,3
64,$4000_const,1
64,$4000_vol,9
64,$4008_linear,1
64,$400A_period,905
64,$400B_length,9
64,$400C_const,1
64,$400C_vol,9
64,$400E_period,7
64,$400E_mode,0
65,$4011_dac,0
65,$4000_duty,2
65,$4000_const,1
65,$4000_vol,0
65,$400C_const,1
65,$400C_vol,7
66,$4011_dac,0
66,$4000_duty,3
66,$4000_const,1
66,$4000_vol,11
66,$400C_const,1
66,$400C_vol,5
67,$4011_dac,0
67,$4000_duty,2
67,$4000_const,1
67,$4000_vol,0
67,$400C_const,1
67,$400C_vol,3
68,$4011_dac,0
68,$4000_duty,3
68,$4000_const,1
68,$4000_vol,11
68,$400C_const,1
68,$400C_vol,0
69,$4011_dac,0
69,$4000_duty,2
69,$4000_const,1
69,$4000_vol,0
69,$4008_linear,0
70,$4011_dac,0
70,$4000_duty,3
70,$4000_const,1
70,$4000_vol,11
71,$4011_dac,0
71,$4000_duty,2
71,$4000_const,1
71,$4000_vol,0
72,$4011_dac,0
72,$4000_duty,3
72,$4000_const,1
72,$4000_vol,11
73,$4011_dac,0
73,$4000_duty,2
73,$4000_const,1
73,$4000_vol,0
74,$4011_dac,0
74,$4000_duty,3
74,$4000_const,1
74,$4000_vol,13
75,$4011_dac,0
75,$4000_duty,2
75,$4000_const,1
75,$4000_vol,0
76,$4011_dac,0
76,$4000_duty,3
76,$4000_const,1
76,$4000_vol,13
77,$4011_dac,0
77,$4000_duty,2
77,$4000_const,1
77,$4000_vol,0
77,$4008_linear,1
77,$400A_period,453
77,$400B_length,8
77,$400C_const,1
77,$400C_vol,4
77,$400E_period,5
77,$400E_mode,0
78,$4011_dac,0
78,$4000_duty,3
78,$4000_const,1
78,$4000_vol,13
78,$400C_const,1
78,$400C_vol,0
79,$4011_dac,0
79,$4000_duty,2
79,$4000_const,1
79,$4000_vol,0
80,$4011_dac,0
80,$4000_duty,3
80,$4000_const,1
80,$4000_vol,13
81,$4011_dac,0
81,$4000_duty,2
81,$4000_const,1
81,$4000_vol,0
82,$4011_dac,0
82,$4000_duty,3
82,$4000_const,1
82,$4000_vol,15
82,$4008_linear,0
83,$4011_dac,0
83,$4000_duty,2
83,$4000_const,1
83,$4000_vol,0
84,$4011_dac,0
84,$4000_duty,3
84,$4000_const,1
84,$4000_vol,15
85,$4011_dac,0
85,$4000_duty,2
85,$4000_const,1
85,$4000_vol,0
86,$4011_dac,0
86,$4000_duty,3
86,$4000_const,1
86,$4000_vol,15
87,$4011_dac,0
87,$4000_duty,2
87,$4000_const,1
87,$4000_vol,0
88,$4011_dac,0
88,$4000_duty,3
88,$4000_const,1
88,$4000_vol,15
89,$4011_dac,0
89,$4000_duty,2
89,$4000_const,1
89,$4000_vol,0
90,$4011_dac,0
90,$4000_duty,3
90,$4000_const,1
90,$4000_vol,15
90,$4008_linear,1
90,$400A_period,719
90,$400B_length,9
90,$400C_const,1
90,$400C_vol,4
90,$400E_period,5
90,$400E_mode,0
91,$4011_dac,0
91,$4000_duty,2
91,$4000_const,1
91,$4000_vol,0
91,$400C_const,1
91,$400C_vol,0
92,$4011_dac,0
92,$4000_duty,3
92,$4000_const,1
92,$4000_vol,15
93,$4011_dac,0
93,$4000_duty,2
93,$4000_const,1
93,$4000_vol,0
94,$4011_dac,0
94,$4000_duty,3
94,$4000_const,1
94,$4000_vol,15
95,$4011_dac,0
95,$4000_duty,2
95,$4000_const,1
95,$4000_vol,0
95,$4008_linear,0
96,$4011_dac,0
96,$4000_duty,3
96,$4000_const,1
96,$4000_vol,15
97,$4011_dac,0
97,$4000_duty,2
97,$4000_const,1
97,$4000_vol,0
98,$4011_dac,0
98,$4000_duty,3
98,$4000_const,1
98,$4000_vol,15
99,$4011_dac,0
99,$4000_duty,2
99,$4000_const,1
99,$4000_vol,0
100,$4011_dac,0
100,$4000_duty,3
100,$4000_const,1
100,$4000_vol,15
101,$4011_dac,0
101,$4000_duty,2
101,$4000_const,1
101,$4000_vol,0
