frame,parameter,value
241,$4000_duty,1
241,$4000_const,1
241,$4000_vol,15
241,$4001_sweep,8
241,$4002_period,71
241,$400B_length,24
241,$4004_duty,1
241,$4004_const,1
241,$4004_vol,15
241,$4005_sweep,8
241,$4006_period,77
241,$400C_const,1
241,$400C_vol,5
241,$400E_period,1
241,$400E_mode,0
242,$4000_duty,3
242,$4000_const,1
242,$4000_vol,15
242,$4001_sweep,8
242,$4004_duty,3
242,$4004_const,1
242,$4004_vol,15
242,$4005_sweep,8
242,$400C_const,1
242,$400C_vol,5
242,$400E_period,2
242,$400E_mode,0
243,$4000_duty,3
243,$4000_const,1
243,$4000_vol,0
243,$4001_sweep,8
243,$4004_duty,3
243,$4004_const,1
243,$4004_vol,0
243,$4005_sweep,8
243,$400C_const,1
243,$400C_vol,0
243,$400E_period,2
243,$400E_mode,0
244,$4000_duty,3
244,$4000_const,1
244,$4000_vol,0
244,$4001_sweep,8
244,$4004_duty,3
244,$4004_const,1
244,$4004_vol,0
244,$4005_sweep,8
244,$400C_const,1
244,$400C_vol,0
245,$4000_duty,3
245,$4000_const,1
245,$4000_vol,0
245,$4001_sweep,8
245,$4004_duty,3
245,$4004_const,1
245,$4004_vol,0
245,$4005_sweep,8
245,$400C_const,1
245,$400C_vol,0
246,$4000_duty,3
246,$4000_const,1
246,$4000_vol,0
246,$4001_sweep,8
246,$4004_duty,3
246,$4004_const,1
246,$4004_vol,0
246,$4005_sweep,8
246,$400C_const,1
246,$400C_vol,0
247,$4000_duty,3
247,$4000_const,1
247,$4000_vol,15
247,$4001_sweep,8
247,$4004_duty,3
247,$4004_const,1
247,$4004_vol,15
247,$4005_sweep,8
247,$400C_const,1
247,$400C_vol,15
247,$400E_period,2
247,$400E_mode,0
248,$4000_duty,3
248,$4000_const,1
248,$4000_vol,15
248,$4001_sweep,8
248,$4004_duty,3
248,$4004_const,1
248,$4004_vol,15
248,$4005_sweep,8
248,$400C_const,1
248,$400C_vol,14
249,$4000_duty,3
249,$4000_const,1
249,$4000_vol,15
249,$4001_sweep,8
249,$4004_duty,3
249,$4004_const,1
249,$4004_vol,15
249,$4005_sweep,8
249,$400C_const,1
249,$400C_vol,13
250,$4000_duty,3
250,$4000_const,1
250,$4000_vol,14
250,$4001_sweep,8
250,$4004_duty,3
250,$4004_const,1
250,$4004_vol,14
250,$4005_sweep,8
250,$400C_const,1
250,$400C_vol,12
251,$4000_duty,3
251,$4000_const,1
251,$4000_vol,14
251,$4001_sweep,8
251,$4004_duty,3
251,$4004_const,1
251,$4004_vol,14
251,$4005_sweep,8
251,$400C_const,1
251,$400C_vol,11
252,$4000_duty,3
252,$4000_const,1
252,$4000_vol,14
252,$4001_sweep,8
252,$4004_duty,3
252,$4004_const,1
252,$4004_vol,14
252,$4005_sweep,8
252,$400C_const,1
252,$400C_vol,10
253,$4000_duty,3
253,$4000_const,1
253,$4000_vol,13
253,$4001_sweep,8
253,$4004_duty,3
253,$4004_const,1
253,$4004_vol,13
253,$4005_sweep,8
253,$400C_const,1
253,$400C_vol,9
254,$4000_duty,3
254,$4000_const,1
254,$4000_vol,13
254,$4001_sweep,8
254,$4004_duty,3
254,$4004_const,1
254,$4004_vol,13
254,$4005_sweep,8
254,$400C_const,1
254,$400C_vol,8
255,$4000_duty,3
255,$4000_const,1
255,$4000_vol,10
255,$4001_sweep,8
255,$4004_duty,3
255,$4004_const,1
255,$4004_vol,10
255,$4005_sweep,8
255,$400C_const,1
255,$400C_vol,10
255,$400E_period,2
255,$400E_mode,0
256,$4000_duty,3
256,$4000_const,1
256,$4000_vol,10
256,$4001_sweep,8
256,$4004_duty,3
256,$4004_const,1
256,$4004_vol,10
256,$4005_sweep,8
256,$400C_const,1
256,$400C_vol,9
257,$4000_duty,3
257,$4000_const,1
257,$4000_vol,10
257,$4001_sweep,8
257,$4004_duty,3
257,$4004_const,1
257,$4004_vol,10
257,$4005_sweep,8
257,$400C_const,1
257,$400C_vol,8
258,$4000_duty,3
258,$4000_const,1
258,$4000_vol,9
258,$4001_sweep,8
258,$4004_duty,3
258,$4004_const,1
258,$4004_vol,9
258,$4005_sweep,8
258,$400C_const,1
258,$400C_vol,7
259,$4000_duty,3
259,$4000_const,1
259,$4000_vol,9
259,$4001_sweep,8
259,$4004_duty,3
259,$4004_const,1
259,$4004_vol,9
259,$4005_sweep,8
259,$400C_const,1
259,$400C_vol,6
260,$4000_duty,3
260,$4000_const,1
260,$4000_vol,9
260,$4001_sweep,8
260,$4004_duty,3
260,$4004_const,1
260,$4004_vol,9
260,$4005_sweep,8
260,$400C_const,1
260,$400C_vol,5
261,$4000_duty,3
261,$4000_const,1
261,$4000_vol,8
261,$4001_sweep,8
261,$4004_duty,3
261,$4004_const,1
261,$4004_vol,8
261,$4005_sweep,8
261,$400C_const,1
261,$400C_vol,4
262,$4000_duty,3
262,$4000_const,1
262,$4000_vol,8
262,$4001_sweep,8
262,$4004_duty,3
262,$4004_const,1
262,$4004_vol,8
262,$4005_sweep,8
262,$400C_const,1
262,$400C_vol,3
263,$4000_duty,3
263,$4000_const,1
263,$4000_vol,5
263,$4001_sweep,8
263,$4004_duty,3
263,$4004_const,1
263,$4004_vol,5
263,$4005_sweep,8
263,$400C_const,1
263,$400C_vol,5
263,$400E_period,2
263,$400E_mode,0
264,$4000_duty,3
264,$4000_const,1
264,$4000_vol,5
264,$4001_sweep,8
264,$4004_duty,3
264,$4004_const,1
264,$4004_vol,5
264,$4005_sweep,8
264,$400C_const,1
264,$400C_vol,4
265,$4000_duty,3
265,$4000_const,1
265,$4000_vol,5
265,$4001_sweep,8
265,$4004_duty,3
265,$4004_const,1
265,$4004_vol,5
265,$4005_sweep,8
265,$400C_const,1
265,$400C_vol,3
266,$4000_duty,3
266,$4000_const,1
266,$4000_vol,4
266,$4001_sweep,8
266,$4004_duty,3
266,$4004_const,1
266,$4004_vol,4
266,$4005_sweep,8
266,$400C_const,1
266,$400C_vol,2
267,$4000_duty,3
267,$4000_const,1
267,$4000_vol,4
267,$4001_sweep,8
267,$4004_duty,3
267,$4004_const,1
267,$4004_vol,4
267,$4005_sweep,8
267,$400C_const,1
267,$400C_vol,1
268,$4000_duty,3
268,$4000_const,1
268,$4000_vol,4
268,$4001_sweep,8
268,$4004_duty,3
268,$4004_const,1
268,$4004_vol,4
268,$4005_sweep,8
268,$400C_const,1
268,$400C_vol,0
269,$4000_duty,3
269,$4000_const,1
269,$4000_vol,3
269,$4001_sweep,8
269,$4004_duty,3
269,$4004_const,1
269,$4004_vol,3
269,$4005_sweep,8
269,$400C_const,1
269,$400C_vol,0
270,$4000_duty,3
270,$4000_const,1
270,$4000_vol,3
270,$4001_sweep,8
270,$4004_duty,3
270,$4004_const,1
270,$4004_vol,3
270,$4005_sweep,8
270,$400C_const,1
270,$400C_vol,0
271,$4000_duty,3
271,$4000_const,1
271,$4000_vol,2
271,$4001_sweep,8
271,$4004_duty,3
271,$4004_const,1
271,$4004_vol,2
271,$4005_sweep,8
271,$400C_const,1
271,$400C_vol,2
271,$400E_period,2
271,$400E_mode,0
272,$4000_duty,3
272,$4000_const,1
272,$4000_vol,2
272,$4001_sweep,8
272,$4004_duty,3
272,$4004_const,1
272,$4004_vol,2
272,$4005_sweep,8
272,$400C_const,1
272,$400C_vol,1
273,$4000_duty,3
273,$4000_const,1
273,$4000_vol,2
273,$4001_sweep,8
273,$4004_duty,3
273,$4004_const,1
273,$4004_vol,2
273,$4005_sweep,8
273,$400C_const,1
273,$400C_vol,0
274,$4000_duty,3
274,$4000_const,1
274,$4000_vol,1
274,$4001_sweep,8
274,$4004_duty,3
274,$4004_const,1
274,$4004_vol,1
274,$4005_sweep,8
274,$400C_const,1
274,$400C_vol,0
275,$4004_duty,0
275,$4004_const,1
275,$4004_vol,0
275,$4005_sweep,4
275,$4000_duty,0
275,$4000_const,1
275,$4000_vol,0
275,$4001_sweep,4
357,$400C_const,1
357,$400C_vol,0
357,$4000_duty,2
357,$4000_const,1
357,$4000_vol,4
357,$4001_sweep,8
357,$4004_duty,2
357,$4004_const,1
357,$4004_vol,0
357,$4005_sweep,8
357,$4008_linear,9
357,$400A_period,863
357,$400B_length,25
358,$4000_duty,2
358,$4000_const,1
358,$4000_vol,7
358,$4001_sweep,8
358,$4004_duty,2
358,$4004_const,1
358,$4004_vol,0
358,$4005_sweep,8
358,$4008_linear,12
358,$400A_period,859
358,$400B_length,25
359,$4000_duty,2
359,$4000_const,1
359,$4000_vol,9
359,$4001_sweep,8
359,$4004_duty,2
359,$4004_const,1
359,$4004_vol,0
359,$4005_sweep,8
359,$4008_linear,14
359,$400A_period,857
359,$400B_length,25
360,$4000_duty,2
360,$4000_const,1
360,$4000_vol,10
360,$4001_sweep,8
360,$4004_duty,2
360,$4004_const,1
360,$4004_vol,0
360,$4005_sweep,8
360,$4008_linear,15
360,$400A_period,857
360,$400B_length,25
361,$4000_duty,2
361,$4000_const,1
361,$4000_vol,10
361,$4001_sweep,8
361,$4004_duty,2
361,$4004_const,1
361,$4004_vol,0
361,$4005_sweep,8
361,$4008_linear,15
362,$4000_duty,2
362,$4000_const,1
362,$4000_vol,10
362,$4001_sweep,8
362,$4004_duty,2
362,$4004_const,1
362,$4004_vol,0
362,$4005_sweep,8
362,$4008_linear,15
363,$4000_duty,2
363,$4000_const,1
363,$4000_vol,9
363,$4001_sweep,8
363,$4004_duty,2
363,$4004_const,1
363,$4004_vol,2
363,$4005_sweep,8
363,$4008_linear,14
364,$4000_duty,2
364,$4000_const,1
364,$4000_vol,9
364,$4001_sweep,8
364,$4004_duty,2
364,$4004_const,1
364,$4004_vol,4
364,$4005_sweep,8
364,$4008_linear,14
365,$4000_duty,2
365,$4000_const,1
365,$4000_vol,8
365,$4001_sweep,8
365,$4004_duty,2
365,$4004_const,1
365,$4004_vol,5
365,$4005_sweep,8
365,$4008_linear,13
366,$4000_duty,2
366,$4000_const,1
366,$4000_vol,8
366,$4001_sweep,8
366,$4004_duty,2
366,$4004_const,1
366,$4004_vol,5
366,$4005_sweep,8
366,$4008_linear,13
367,$4000_duty,2
367,$4000_const,1
367,$4000_vol,9
367,$4001_sweep,8
367,$4004_duty,2
367,$4004_const,1
367,$4004_vol,5
367,$4005_sweep,8
367,$4008_linear,14
368,$4000_duty,2
368,$4000_const,1
368,$4000_vol,9
368,$4001_sweep,8
368,$4004_duty,2
368,$4004_const,1
368,$4004_vol,4
368,$4005_sweep,8
368,$4008_linear,14
369,$4000_duty,2
369,$4000_const,1
369,$4000_vol,8
369,$4001_sweep,8
369,$4004_duty,2
369,$4004_const,1
369,$4004_vol,4
369,$4005_sweep,8
369,$4008_linear,13
370,$4000_duty,2
370,$4000_const,1
370,$4000_vol,8
370,$4001_sweep,8
370,$4004_duty,2
370,$4004_const,1
370,$4004_vol,3
370,$4005_sweep,8
370,$4008_linear,13
371,$4000_duty,2
371,$4000_const,1
371,$4000_vol,9
371,$4001_sweep,8
371,$4004_duty,2
371,$4004_const,1
371,$4004_vol,3
371,$4005_sweep,8
371,$4008_linear,14
371,$400A_period,859
371,$400B_length,25
372,$4000_duty,2
372,$4000_const,1
372,$4000_vol,9
372,$4001_sweep,8
372,$4004_duty,2
372,$4004_const,1
372,$4004_vol,4
372,$4005_sweep,8
372,$4008_linear,14
372,$400A_period,861
372,$400B_length,25
373,$4000_duty,2
373,$4000_const,1
373,$4000_vol,8
373,$4001_sweep,8
373,$4004_duty,2
373,$4004_const,1
373,$4004_vol,4
373,$4005_sweep,8
373,$4008_linear,13
373,$400A_period,859
373,$400B_length,25
374,$4000_duty,2
374,$4000_const,1
374,$4000_vol,8
374,$4001_sweep,8
374,$4004_duty,2
374,$4004_const,1
374,$4004_vol,3
374,$4005_sweep,8
374,$4008_linear,13
374,$400A_period,857
374,$400B_length,25
375,$4000_duty,2
375,$4000_const,1
375,$4000_vol,8
375,$4001_sweep,8
375,$4004_duty,2
375,$4004_const,1
375,$4004_vol,3
375,$4005_sweep,8
375,$4008_linear,13
375,$400A_period,855
375,$400B_length,25
376,$4000_duty,2
376,$4000_const,1
376,$4000_vol,7
376,$4001_sweep,8
376,$4004_duty,2
376,$4004_const,1
376,$4004_vol,4
376,$4005_sweep,8
376,$4008_linear,12
376,$400A_period,853
376,$400B_length,25
377,$4000_duty,2
377,$4000_const,1
377,$4000_vol,7
377,$4001_sweep,8
377,$4004_duty,2
377,$4004_const,1
377,$4004_vol,4
377,$4005_sweep,8
377,$4008_linear,12
377,$400A_period,855
377,$400B_length,25
378,$4000_duty,2
378,$4000_const,1
378,$4000_vol,7
378,$4001_sweep,8
378,$4004_duty,2
378,$4004_const,1
378,$4004_vol,3
378,$4005_sweep,8
378,$4008_linear,12
378,$400A_period,857
378,$400B_length,25
379,$4000_duty,2
379,$4000_const,1
379,$4000_vol,8
379,$4001_sweep,8
379,$4004_duty,2
379,$4004_const,1
379,$4004_vol,3
379,$4005_sweep,8
379,$4008_linear,13
