frame,parameter,value
177,$4000_duty,0
177,$4000_const,0
177,$4000_vol,0
177,$4004_duty,0
177,$4004_const,0
177,$4004_vol,0
177,$4008_linear,127
178,$4000_duty,1
178,$4000_const,1
178,$4000_vol,0
178,$4002_period,255
178,$400B_length,8
178,$4001_sweep,0
178,$4004_duty,1
178,$4004_const,1
178,$4004_vol,0
178,$4006_period,1
178,$4005_sweep,0
178,$4008_linear,15
178,$400A_period,1
178,$400B_length,8
178,$4000_duty,1
178,$4000_const,1
178,$4000_vol,3
178,$4004_duty,1
178,$4004_const,1
178,$4004_vol,3
178,$4008_linear,0
179,$4000_duty,1
179,$4000_const,1
179,$4000_vol,6
179,$4004_duty,1
179,$4004_const,1
179,$4004_vol,6
180,$4000_duty,1
180,$4000_const,1
180,$4000_vol,6
180,$4004_duty,1
180,$4004_const,1
180,$4004_vol,6
181,$4000_duty,1
181,$4000_const,1
181,$4000_vol,6
181,$4004_duty,1
181,$4004_const,1
181,$4004_vol,6
182,$4000_duty,1
182,$4000_const,1
182,$4000_vol,6
182,$4004_duty,1
182,$4004_const,1
182,$4004_vol,6
183,$4000_duty,1
183,$4000_const,1
183,$4000_vol,6
183,$4004_duty,1
183,$4004_const,1
183,$4004_vol,6
184,$4000_duty,1
184,$4000_const,1
184,$4000_vol,6
184,$4004_duty,1
184,$4004_const,1
184,$4004_vol,6
185,$4000_duty,1
185,$4000_const,1
185,$4000_vol,0
185,$4002_period,269
185,$400B_length,8
185,$4001_sweep,0
185,$4000_duty,1
185,$4000_const,1
185,$4000_vol,6
185,$4004_duty,1
185,$4004_const,1
185,$4004_vol,6
186,$4000_duty,1
186,$4000_const,1
186,$4000_vol,6
186,$4004_duty,1
186,$4004_const,1
186,$4004_vol,6
187,$4000_duty,1
187,$4000_const,1
187,$4000_vol,6
187,$4004_duty,1
187,$4004_const,1
187,$4004_vol,6
188,$4000_duty,1
188,$4000_const,1
188,$4000_vol,6
188,$4004_duty,1
188,$4004_const,1
188,$4004_vol,6
189,$4000_duty,1
189,$4000_const,1
189,$4000_vol,6
189,$4004_duty,1
189,$4004_const,1
189,$4004_vol,6
190,$4000_duty,1
190,$4000_const,1
190,$4000_vol,6
190,$4004_duty,1
190,$4004_const,1
190,$4004_vol,6
191,$4000_duty,1
191,$4000_const,1
191,$4000_vol,6
191,$4004_duty,1
191,$4004_const,1
191,$4004_vol,6
192,$4000_duty,1
192,$4000_const,1
192,$4000_vol,0
192,$4002_period,285
192,$400B_length,8
192,$4001_sweep,0
192,$4000_duty,1
192,$4000_const,1
192,$4000_vol,6
192,$4004_duty,1
192,$4004_const,1
192,$4004_vol,6
193,$4000_duty,1
193,$4000_const,1
193,$4000_vol,6
193,$4004_duty,1
193,$4004_const,1
193,$4004_vol,6
194,$4000_duty,1
194,$4000_const,1
194,$4000_vol,6
194,$4004_duty,1
194,$4004_const,1
194,$4004_vol,6
195,$4000_duty,1
195,$4000_const,1
195,$4000_vol,6
195,$4004_duty,1
195,$4004_const,1
195,$4004_vol,6
196,$4000_duty,1
196,$4000_const,1
196,$4000_vol,6
196,$4004_duty,1
196,$4004_const,1
196,$4004_vol,6
