frame,parameter,value
238,$4000_duty,0
238,$4000_const,1
238,$4000_vol,0
238,$4004_duty,0
238,$4004_const,1
238,$4004_vol,0
238,$400C_const,1
238,$400C_vol,0
238,$4001_sweep,127
238,$4005_sweep,127
240,$4000_duty,0
240,$4000_const,1
240,$4000_vol,0
240,$4004_duty,0
240,$4004_const,1
240,$4004_vol,0
240,$400C_const,1
240,$400C_vol,0
240,$4001_sweep,127
240,$4005_sweep,127
242,$4000_duty,0
242,$4000_const,1
242,$4000_vol,0
242,$4004_duty,0
242,$4004_const,1
242,$4004_vol,0
242,$400C_const,1
242,$400C_vol,0
242,$4001_sweep,127
242,$4005_sweep,127
300,$4000_duty,0
300,$4000_const,1
300,$4000_vol,0
300,$4004_duty,0
300,$4004_const,1
300,$4004_vol,0
300,$400C_const,1
300,$400C_vol,0
300,$4001_sweep,127
300,$4005_sweep,127
301,$4001_sweep,127
301,$4000_duty,2
301,$4000_const,1
301,$4000_vol,8
301,$4002_period,1
301,$400B_length,8
306,$4001_sweep,127
306,$4000_duty,2
306,$4000_const,1
306,$4000_vol,8
311,$4001_sweep,127
311,$4000_duty,2
311,$4000_const,1
311,$4000_vol,8
316,$4001_sweep,127
316,$4000_duty,2
316,$4000_const,1
316,$4000_vol,8
321,$4001_sweep,127
321,$4000_duty,2
321,$4000_const,1
321,$4000_vol,8
326,$4001_sweep,127
326,$4000_duty,2
326,$4000_const,1
326,$4000_vol,8
331,$4001_sweep,127
331,$4000_duty,2
331,$4000_const,1
331,$4000_vol,3
336,$4001_sweep,127
336,$4000_duty,2
336,$4000_const,1
336,$4000_vol,3
341,$4001_sweep,127
341,$4000_duty,2
341,$4000_const,1
341,$4000_vol,3
346,$4001_sweep,127
346,$4000_duty,2
346,$4000_const,1
346,$4000_vol,2
351,$4001_sweep,127
351,$4000_duty,2
351,$4000_const,1
351,$4000_vol,2
356,$4001_sweep,127
356,$4000_duty,2
356,$4000_const,1
356,$4000_vol,2
361,$4001_sweep,127
361,$4000_duty,2
361,$4000_const,1
361,$4000_vol,1
366,$4001_sweep,127
366,$4000_duty,2
366,$4000_const,1
366,$4000_vol,1
371,$4001_sweep,127
371,$4000_duty,2
371,$4000_const,1
371,$4000_vol,1
376,$4001_sweep,127
376,$4000_duty,2
376,$4000_const,1
376,$4000_vol,1
381,$4001_sweep,127
381,$4000_duty,2
381,$4000_const,1
381,$4000_vol,1
386,$4001_sweep,127
386,$4000_duty,2
386,$4000_const,1
386,$4000_vol,1
391,$4000_duty,0
391,$4000_const,1
391,$4000_vol,0
391,$4001_sweep,127
433,$4000_duty,0
433,$4000_const,1
433,$4000_vol,0
433,$4004_duty,0
433,$4004_const,1
433,$4004_vol,0
433,$400C_const,1
433,$400C_vol,0
433,$4001_sweep,127
433,$4005_sweep,127
434,$4000_duty,0
434,$4000_const,1
434,$4000_vol,0
434,$4004_duty,0
434,$4004_const,1
434,$4004_vol,0
434,$400C_const,1
434,$400C_vol,0
434,$4001_sweep,127
434,$4005_sweep,127
