frame,parameter,value
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,8
0,$4004_duty,1
0,$4004_const,1
0,$4004_vol,6
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,8
1,$4004_duty,1
1,$4004_const,1
1,$4004_vol,6
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,8
2,$4004_duty,1
2,$4004_const,1
2,$4004_vol,5
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,8
3,$4004_duty,1
3,$4004_const,1
3,$4004_vol,5
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,8
4,$4004_duty,1
4,$4004_const,1
4,$4004_vol,5
5,$4004_duty,1
5,$4004_const,1
5,$4004_vol,5
5,$400A_period,1
5,$400B_length,0
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,8
6,$4004_duty,1
6,$4004_const,1
6,$4004_vol,5
6,$4008_linear,95
6,$400A_period,509
6,$400B_length,8
6,$400C_const,1
6,$400C_vol,15
6,$400E_period,3
6,$400E_mode,0
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,8
7,$4004_duty,1
7,$4004_const,1
7,$4004_vol,5
7,$4008_linear,95
7,$400A_period,515
7,$400B_length,9
7,$400C_const,1
7,$400C_vol,10
7,$400E_period,3
7,$400E_mode,0
7,$400C_const,1
7,$400C_vol,10
7,$400E_period,3
7,$400E_mode,0
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,8
8,$4004_duty,1
8,$4004_const,1
8,$4004_vol,5
8,$4008_linear,95
8,$400C_const,1
8,$400C_vol,10
8,$400E_period,3
8,$400E_mode,0
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,8
9,$4004_duty,1
9,$4004_const,1
9,$4004_vol,5
9,$4008_linear,95
9,$400A_period,509
9,$400B_length,8
9,$400C_const,1
9,$400C_vol,5
9,$400E_period,3
9,$400E_mode,0
9,$400C_const,1
9,$400C_vol,5
9,$400E_period,3
9,$400E_mode,0
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,8
10,$4004_duty,1
10,$4004_const,1
10,$4004_vol,5
10,$4008_linear,95
10,$400C_const,1
10,$400C_vol,5
10,$400E_period,3
10,$400E_mode,0
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,8
11,$4004_duty,1
11,$4004_const,1
11,$4004_vol,5
11,$4008_linear,95
11,$400C_const,1
11,$400C_vol,15
11,$400E_period,3
11,$400E_mode,0
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,7
12,$4004_duty,1
12,$4004_const,1
12,$4004_vol,5
12,$4008_linear,95
12,$400C_const,1
12,$400C_vol,15
12,$400E_period,3
12,$400E_mode,0
13,$4000_duty,1
13,$4000_const,1
13,$4000_vol,7
13,$4004_duty,1
13,$4004_const,1
13,$4004_vol,5
13,$4008_linear,95
13,$400C_const,1
13,$400C_vol,10
13,$400E_period,3
13,$400E_mode,0
13,$400C_const,1
13,$400C_vol,10
13,$400E_period,3
13,$400E_mode,0
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,7
14,$4004_duty,1
14,$4004_const,1
14,$4004_vol,5
14,$4008_linear,95
14,$400C_const,1
14,$400C_vol,10
14,$400E_period,3
14,$400E_mode,0
15,$4000_duty,1
15,$4000_const,1
15,$4000_vol,7
15,$4004_duty,1
15,$4004_const,1
15,$4004_vol,4
15,$4008_linear,95
15,$400A_period,515
15,$400B_length,9
15,$400C_const,1
15,$400C_vol,5
15,$400E_period,3
15,$400E_mode,0
15,$400C_const,1
15,$400C_vol,5
15,$400E_period,3
15,$400E_mode,0
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,7
16,$4004_duty,1
16,$4004_const,1
16,$4004_vol,4
16,$4008_linear,95
17,$4000_duty,1
17,$4000_const,1
17,$4000_vol,7
17,$4004_duty,1
17,$4004_const,1
17,$4004_vol,4
17,$4008_linear,95
17,$400A_period,509
17,$400B_length,8
17,$400C_const,1
17,$400C_vol,15
17,$400E_period,3
17,$400E_mode,0
17,$400C_const,1
17,$400C_vol,15
17,$400E_period,3
17,$400E_mode,0
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,7
18,$4004_duty,1
18,$4004_const,1
18,$4004_vol,4
18,$4008_linear,95
18,$400C_const,1
18,$400C_vol,10
18,$400E_period,3
18,$400E_mode,0
19,$4000_duty,1
19,$4000_const,1
19,$4000_vol,7
19,$4004_duty,1
19,$4004_const,1
19,$4004_vol,4
19,$4008_linear,95
19,$400C_const,1
19,$400C_vol,10
19,$400E_period,3
19,$400E_mode,0
19,$400C_const,1
19,$400C_vol,10
19,$400E_period,3
19,$400E_mode,0
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,7
20,$4004_duty,1
20,$4004_const,1
20,$4004_vol,4
20,$4008_linear,95
20,$400C_const,1
20,$400C_vol,5
20,$400E_period,3
20,$400E_mode,0
21,$4000_duty,1
21,$4000_const,1
21,$4000_vol,7
21,$4008_linear,95
21,$400C_const,1
21,$400C_vol,5
21,$400E_period,3
21,$400E_mode,0
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,7
22,$4004_duty,1
22,$4004_const,1
22,$4004_vol,4
22,$4008_linear,95
23,$4000_duty,1
23,$4000_const,1
23,$4000_vol,7
23,$4004_duty,1
23,$4004_const,1
23,$4004_vol,4
23,$4008_linear,95
23,$400A_period,515
23,$400B_length,9
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,7
24,$4004_duty,1
24,$4004_const,1
24,$4004_vol,4
24,$4008_linear,95
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,6
25,$4004_duty,1
25,$4004_const,1
25,$4004_vol,4
25,$4008_linear,95
25,$400A_period,509
25,$400B_length,8
26,$4000_duty,1
26,$4000_const,1
26,$4000_vol,6
26,$4004_duty,1
26,$4004_const,1
26,$4004_vol,4
26,$4008_linear,95
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,6
27,$4004_duty,1
27,$4004_const,1
27,$4004_vol,4
27,$4008_linear,95
28,$4000_duty,1
28,$4000_const,1
28,$4000_vol,6
28,$4004_duty,1
28,$4004_const,1
28,$4004_vol,3
28,$4008_linear,95
29,$4000_duty,1
29,$4000_const,1
29,$4000_vol,6
29,$4004_duty,1
29,$4004_const,1
29,$4004_vol,3
29,$4008_linear,95
30,$4000_duty,1
30,$4000_const,1
30,$4000_vol,6
30,$4004_duty,1
30,$4004_const,1
30,$4004_vol,3
30,$4008_linear,95
31,$4000_duty,1
31,$4000_const,1
31,$4000_vol,6
31,$4004_duty,1
31,$4004_const,1
31,$4004_vol,3
31,$4008_linear,95
31,$400A_period,515
31,$400B_length,9
32,$4000_duty,1
32,$4000_const,1
32,$4000_vol,6
32,$4004_duty,1
32,$4004_const,1
32,$4004_vol,3
32,$4008_linear,95
33,$4000_duty,1
33,$4000_const,1
33,$4000_vol,6
33,$4004_duty,1
33,$4004_const,1
33,$4004_vol,3
33,$4008_linear,95
33,$400A_period,509
33,$400B_length,8
34,$4000_duty,1
34,$4000_const,1
34,$4000_vol,6
34,$4004_duty,1
34,$4004_const,1
34,$4004_vol,3
34,$4008_linear,95
35,$4000_duty,1
35,$4000_const,1
35,$4000_vol,6
35,$4004_duty,1
35,$4004_const,1
35,$4004_vol,3
35,$4008_linear,95
36,$4000_duty,1
36,$4000_const,1
36,$4000_vol,6
36,$4004_duty,1
36,$4004_const,1
36,$4004_vol,3
36,$4008_linear,95
37,$4000_duty,1
37,$4000_const,1
37,$4000_vol,6
37,$4004_duty,1
37,$4004_const,1
37,$4004_vol,3
37,$400A_period,1
37,$400B_length,0
38,$4000_duty,1
38,$4000_const,1
38,$4000_vol,5
38,$4004_duty,1
38,$4004_const,1
38,$4004_vol,3
39,$4000_duty,1
39,$4000_const,1
39,$4000_vol,5
39,$4004_duty,1
39,$4004_const,1
39,$4004_vol,3
40,$4000_duty,1
40,$4000_const,1
40,$4000_vol,5
40,$4004_duty,1
40,$4004_const,1
40,$4004_vol,3
41,$4000_duty,1
41,$4000_const,1
41,$4000_vol,5
41,$4004_duty,1
41,$4004_const,1
41,$4004_vol,2
42,$4000_duty,1
42,$4000_const,1
42,$4000_vol,5
42,$4004_duty,1
42,$4004_const,1
42,$4004_vol,2
43,$4000_duty,1
43,$4000_const,1
43,$4000_vol,5
43,$4004_duty,1
43,$4004_const,1
43,$4004_vol,2
44,$4000_duty,1
44,$4000_const,1
44,$4000_vol,5
44,$4004_duty,1
44,$4004_const,1
44,$4004_vol,2
45,$4000_duty,1
45,$4000_const,1
45,$4000_vol,5
45,$4004_duty,1
45,$4004_const,1
45,$4004_vol,2
46,$4000_duty,1
46,$4000_const,1
46,$4000_vol,5
46,$4004_duty,1
46,$4004_const,1
46,$4004_vol,2
47,$4000_duty,1
47,$4000_const,1
47,$4000_vol,5
47,$4004_duty,1
47,$4004_const,1
47,$4004_vol,2
48,$4000_duty,1
48,$4000_const,1
48,$4000_vol,5
48,$4004_duty,1
48,$4004_const,1
48,$4004_vol,2
49,$4000_duty,1
49,$4000_const,1
49,$4000_vol,5
49,$4004_duty,1
49,$4004_const,1
49,$4004_vol,2
50,$4000_duty,1
50,$4000_const,1
50,$4000_vol,5
50,$4004_duty,1
50,$4004_const,1
50,$4004_vol,2
51,$4000_duty,1
51,$4000_const,1
51,$4000_vol,4
51,$4004_duty,1
51,$4004_const,1
51,$4004_vol,2
52,$4000_duty,1
52,$4000_const,1
52,$4000_vol,4
52,$4004_duty,1
52,$4004_const,1
52,$4004_vol,2
53,$4000_duty,1
53,$4000_const,1
53,$4000_vol,4
53,$4004_duty,1
53,$4004_const,1
53,$4004_vol,2
54,$4000_duty,1
54,$4000_const,1
54,$4000_vol,4
54,$4004_duty,1
54,$4004_const,1
54,$4004_vol,1
55,$4000_duty,1
55,$4000_const,1
55,$4000_vol,4
55,$4004_duty,1
55,$4004_const,1
55,$4004_vol,1
56,$4000_duty,1
56,$4000_const,1
56,$4000_vol,4
56,$4004_duty,1
56,$4004_const,1
56,$4004_vol,1
57,$4000_duty,1
57,$4000_const,1
57,$4000_vol,4
57,$4004_duty,1
57,$4004_const,1
57,$4004_vol,1
58,$4000_duty,1
58,$4000_const,1
58,$4000_vol,4
58,$4004_duty,1
58,$4004_const,1
58,$4004_vol,1
59,$4000_duty,1
59,$4000_const,1
59,$4000_vol,4
59,$4004_duty,1
59,$4004_const,1
59,$4004_vol,1
60,$4000_duty,1
60,$4000_const,1
60,$4000_vol,4
60,$4004_duty,1
60,$4004_const,1
60,$4004_vol,1
61,$4000_duty,1
61,$4000_const,1
61,$4000_vol,4
61,$4004_duty,1
61,$4004_const,1
61,$4004_vol,1
62,$4000_duty,1
62,$4000_const,1
62,$4000_vol,4
62,$4004_duty,1
62,$4004_const,1
62,$4004_vol,1
63,$4000_duty,1
63,$4000_const,1
63,$4000_vol,4
63,$4004_duty,1
63,$4004_const,1
63,$4004_vol,1
64,$4000_duty,1
64,$4000_const,1
64,$4000_vol,3
64,$4004_duty,1
64,$4004_const,1
64,$4004_vol,1
65,$4000_duty,1
65,$4000_const,1
65,$4000_vol,3
65,$4004_duty,1
65,$4004_const,1
65,$4004_vol,1
66,$4000_duty,1
66,$4000_const,1
66,$4000_vol,3
66,$4004_duty,1
66,$4004_const,1
66,$4004_vol,1
67,$4000_duty,1
67,$4000_const,1
67,$4000_vol,3
67,$4004_duty,1
67,$4004_const,1
67,$4004_vol,0
68,$4000_duty,1
68,$4000_const,1
68,$4000_vol,3
68,$4004_duty,1
68,$4004_const,1
