frame,parameter,value
5,$400A_period,571
5,$400B_length,25
5,$4008_linear,32
5,$400E_period,2
5,$400E_mode,0
5,$400C_const,1
5,$400C_vol,15
6,$4002_period,1
6,$400B_length,0
7,$400C_const,1
7,$400C_vol,0
13,$4002_period,3417
13,$400B_length,30
13,$400A_period,605
13,$400B_length,25
13,$4008_linear,32
20,$400A_period,643
20,$400B_length,25
20,$4008_linear,32
21,$4002_period,1
21,$400B_length,0
28,$4002_period,1709
28,$400B_length,27
28,$400A_period,721
28,$400B_length,25
28,$4008_linear,32
28,$400E_period,2
28,$400E_mode,0
28,$400C_const,1
28,$400C_vol,15
30,$400C_const,1
30,$400C_vol,0
35,$400A_period,1141
35,$400B_length,26
35,$4008_linear,32
43,$400A_period,961
43,$400B_length,25
43,$4008_linear,32
43,$400E_period,2
43,$400E_mode,0
43,$400C_const,1
43,$400C_vol,15
45,$400C_const,1
45,$400C_vol,0
46,$4002_period,1
46,$400B_length,0
50,$400A_period,855
50,$400B_length,25
50,$4008_linear,32
50,$400E_period,2
50,$400E_mode,0
50,$400C_const,1
50,$400C_vol,15
52,$400C_const,1
52,$400C_vol,0
58,$4002_period,3417
58,$400B_length,30
58,$400A_period,855
58,$400B_length,25
58,$4008_linear,32
58,$400E_period,2
58,$400E_mode,0
58,$400C_const,1
58,$400C_vol,15
60,$400C_const,1
60,$400C_vol,0
65,$4002_period,3417
65,$400B_length,30
65,$400A_period,1141
65,$400B_length,26
65,$4008_linear,32
72,$4002_period,1
72,$400B_length,0
73,$400A_period,855
73,$400B_length,25
73,$4008_linear,32
80,$4002_period,1709
80,$400B_length,27
80,$400A_period,721
80,$400B_length,25
80,$4008_linear,32
80,$400E_period,2
80,$400E_mode,0
80,$400C_const,1
80,$400C_vol,15
82,$400C_const,1
82,$400C_vol,0
87,$4002_period,1
87,$400B_length,0
88,$400A_period,643
88,$400B_length,25
88,$4008_linear,32
95,$4002_period,3417
95,$400B_length,30
95,$400A_period,855
95,$400B_length,25
95,$4008_linear,32
102,$4002_period,1
102,$400B_length,0
103,$4002_period,3417
103,$400B_length,30
103,$400A_period,721
103,$400B_length,25
103,$4008_linear,32
103,$400E_period,2
103,$400E_mode,0
103,$400C_const,1
103,$400C_vol,15
105,$400C_const,1
105,$400C_vol,0
110,$400A_period,643
110,$400B_length,25
110,$4008_linear,32
111,$4002_period,1
111,$400B_length,0
118,$4002_period,3417
118,$400B_length,30
118,$400A_period,605
118,$400B_length,25
118,$4008_linear,32
118,$400E_period,2
118,$400E_mode,0
118,$400C_const,1
118,$400C_vol,15
120,$400C_const,1
120,$400C_vol,0
125,$400A_period,571
125,$400B_length,25
125,$4008_linear,32
126,$4002_period,1
126,$400B_length,0
133,$4002_period,3417
133,$400B_length,30
133,$400A_period,605
133,$400B_length,25
133,$4008_linear,32
133,$400E_period,2
133,$400E_mode,0
133,$400C_const,1
133,$400C_vol,15
135,$400C_const,1
135,$400C_vol,0
140,$400A_period,643
140,$400B_length,25
140,$4008_linear,32
141,$4002_period,1
141,$400B_length,0
148,$4002_period,1709
148,$400B_length,27
148,$400A_period,721
148,$400B_length,25
148,$4008_linear,32
148,$400E_period,2
148,$400E_mode,0
148,$400C_const,1
148,$400C_vol,15
150,$400C_const,1
150,$400C_vol,0
155,$400A_period,1141
155,$400B_length,26
155,$4008_linear,32
163,$400A_period,961
163,$400B_length,25
163,$4008_linear,32
163,$400E_period,2
163,$400E_mode,0
163,$400C_const,1
163,$400C_vol,15
165,$400C_const,1
165,$400C_vol,0
166,$4002_period,1
166,$400B_length,0
170,$400A_period,855
170,$400B_length,25
170,$4008_linear,32
170,$400E_period,2
170,$400E_mode,0
170,$400C_const,1
170,$400C_vol,15
172,$400C_const,1
172,$400C_vol,0
178,$4002_period,3041
178,$400B_length,29
178,$400E_period,2
178,$400E_mode,0
178,$400C_const,1
178,$400C_vol,15
180,$400C_const,1
180,$400C_vol,0
181,$4008_linear,0
185,$4002_period,3041
185,$400B_length,29
185,$400A_period,1017
185,$400B_length,25
185,$4008_linear,32
193,$400A_period,761
193,$400B_length,25
193,$4008_linear,32
195,$4002_period,1
195,$400B_length,0
200,$4002_period,1521
200,$400B_length,26
200,$400A_period,643
200,$400B_length,25
200,$4008_linear,32
200,$400E_period,2
200,$400E_mode,0
200,$400C_const,1
200,$400C_vol,15
202,$400C_const,1
202,$400C_vol,0
208,$400A_period,571
208,$400B_length,25
208,$4008_linear,32
210,$4002_period,1
210,$400B_length,0
215,$4002_period,3041
215,$400B_length,29
215,$400A_period,761
215,$400B_length,25
215,$4008_linear,32
223,$4002_period,3041
223,$400B_length,29
223,$400A_period,643
223,$400B_length,25
223,$4008_linear,32
223,$400E_period,2
223,$400E_mode,0
223,$400C_const,1
223,$400C_vol,15
225,$400C_const,1
225,$400C_vol,0
230,$400A_period,571
230,$400B_length,25
230,$4008_linear,32
233,$4002_period,1
233,$400B_length,0
238,$4002_period,3041
238,$400B_length,29
238,$400A_period,541
238,$400B_length,25
238,$4008_linear,32
245,$400A_period,509
245,$400B_length,24
245,$4008_linear,32
245,$400E_period,2
245,$400E_mode,0
245,$400C_const,1
245,$400C_vol,15
247,$400C_const,1
247,$400C_vol,0
248,$4002_period,1
248,$400B_length,0
253,$4002_period,3041
253,$400B_length,29
253,$400A_period,541
253,$400B_length,25
253,$4008_linear,32
260,$400A_period,571
260,$400B_length,25
260,$4008_linear,32
263,$4002_period,1
263,$400B_length,0
268,$4002_period,1521
268,$400B_length,26
268,$400A_period,643
268,$400B_length,25
268,$4008_linear,32
268,$400E_period,2
268,$400E_mode,0
268,$400C_const,1
268,$400C_vol,15
270,$400C_const,1
270,$400C_vol,0
275,$400A_period,1017
275,$400B_length,25
275,$4008_linear,32
283,$4002_period,1441
283,$400B_length,26
283,$400A_period,855
283,$400B_length,25
283,$4008_linear,32
283,$400E_period,2
283,$400E_mode,0
283,$400C_const,1
283,$400C_vol,15
285,$400C_const,1
285,$400C_vol,0
290,$400A_period,761
290,$400B_length,25
290,$4008_linear,32
290,$400E_period,2
290,$400E_mode,0
290,$400C_const,1
290,$400C_vol,15
292,$400C_const,1
292,$400C_vol,0
298,$4002_period,1709
298,$400B_length,27
298,$400A_period,855
298,$400B_length,25
298,$4008_linear,32
298,$400E_period,2
298,$400E_mode,0
298,$400C_const,1
298,$400C_vol,15
300,$400C_const,1
300,$400C_vol,0
305,$4002_period,3417
305,$400B_length,30
305,$400A_period,1141
305,$400B_length,26
305,$4008_linear,32
313,$400A_period,855
313,$400B_length,25
313,$4008_linear,32
315,$4002_period,1
315,$400B_length,0
320,$4002_period,1709
320,$400B_length,27
320,$400A_period,721
320,$400B_length,25
320,$4008_linear,32
320,$400E_period,2
320,$400E_mode,0
320,$400C_const,1
320,$400C_vol,15
322,$400C_const,1
322,$400C_vol,0
328,$400A_period,643
328,$400B_length,25
328,$4008_linear,32
330,$4002_period,1
330,$400B_length,0
335,$4002_period,3417
335,$400B_length,30
335,$400A_period,855
335,$400B_length,25
335,$4008_linear,32
343,$4002_period,3417
343,$400B_length,30
343,$400A_period,721
343,$400B_length,25
343,$4008_linear,32
343,$400E_period,2
343,$400E_mode,0
343,$400C_const,1
343,$400C_vol,15
345,$400C_const,1
345,$400C_vol,0
350,$400A_period,643
350,$400B_length,25
350,$4008_linear,32
353,$4002_period,1
353,$400B_length,0
358,$4002_period,3417
358,$400B_length,30
358,$400A_period,605
358,$400B_length,25
358,$4008_linear,32
358,$400E_period,2
358,$400E_mode,0
358,$400C_const,1
358,$400C_vol,15
360,$400C_const,1
360,$400C_vol,0
365,$400A_period,571
365,$400B_length,25
365,$4008_linear,32
368,$4002_period,1
368,$400B_length,0
373,$4002_period,3417
373,$400B_length,30
373,$400A_period,605
373,$400B_length,25
373,$4008_linear,32
373,$400E_period,2
373,$400E_mode,0
373,$400C_const,1
373,$400C_vol,15
375,$400C_const,1
375,$400C_vol,0
380,$400A_period,643
380,$400B_length,25
380,$4008_linear,32
383,$4002_period,1
383,$400B_length,0
388,$4002_period,1709
388,$400B_length,27
388,$400A_period,721
388,$400B_length,25
388,$4008_linear,32
388,$400E_period,2
388,$400E_mode,0
388,$400C_const,1
388,$400C_vol,15
390,$400C_const,1
390,$400C_vol,0
395,$400A_period,1141
395,$400B_length,26
395,$4008_linear,32
403,$400A_period,961
403,$400B_length,25
403,$4008_linear,32
403,$400E_period,2
403,$400E_mode,0
403,$400C_const,1
403,$400C_vol,15
405,$400C_const,1
405,$400C_vol,0
406,$4002_period,1
406,$400B_length,0
410,$400A_period,855
410,$400B_length,25
410,$4008_linear,32
410,$400E_period,2
410,$400E_mode,0
410,$400C_const,1
410,$400C_vol,15
412,$400C_const,1
412,$400C_vol,0
418,$4002_period,1709
418,$400B_length,27
418,$400A_period,855
418,$400B_length,25
418,$4008_linear,32
418,$400E_period,2
418,$400E_mode,0
418,$400C_const,1
418,$400C_vol,15
420,$4006_period,1709
421,$400C_const,1
421,$400C_vol,0
425,$4002_period,1709
425,$400B_length,27
425,$400A_period,1141
425,$400B_length,26
425,$4008_linear,32
428,$4006_period,1709
433,$400A_period,855
433,$400B_length,25
433,$4008_linear,32
434,$4002_period,1
434,$400B_length,0
436,$4006_period,1
440,$4002_period,855
440,$400B_length,25
440,$400A_period,721
440,$400B_length,25
440,$4008_linear,32
440,$400E_period,2
440,$400E_mode,0
440,$400C_const,1
440,$400C_vol,15
442,$400C_const,1
442,$400C_vol,0
443,$4006_period,855
448,$400A_period,643
448,$400B_length,25
448,$4008_linear,32
449,$4002_period,1
449,$400B_length,0
451,$4006_period,1
455,$4002_period,1709
455,$400B_length,27
455,$400A_period,855
455,$400B_length,25
455,$4008_linear,32
458,$4006_period,1709
463,$4002_period,1709
463,$400B_length,27
463,$400A_period,721
463,$400B_length,25
463,$4008_linear,32
463,$400E_period,2
463,$400E_mode,0
463,$400C_const,1
463,$400C_vol,15
465,$4006_period,1709
466,$400C_const,1
466,$400C_vol,0
470,$400A_period,643
470,$400B_length,25
470,$4008_linear,32
472,$4002_period,1
