frame,parameter,value
120,$400A_period,1
120,$400B_length,0
120,$4008_linear,8
120,$4006_period,1
120,$4004_duty,3
120,$4004_const,1
120,$4004_vol,8
120,$4002_period,1
120,$400B_length,0
120,$4000_duty,3
120,$4000_const,1
120,$4000_vol,8
121,$4008_linear,8
121,$4004_duty,3
121,$4004_const,1
121,$4004_vol,8
121,$4000_duty,3
121,$4000_const,1
121,$4000_vol,8
122,$4008_linear,8
122,$4004_duty,3
122,$4004_const,1
122,$4004_vol,8
122,$4000_duty,3
122,$4000_const,1
122,$4000_vol,8
123,$4008_linear,8
123,$4004_duty,3
123,$4004_const,1
123,$4004_vol,8
123,$4000_duty,3
123,$4000_const,1
123,$4000_vol,8
124,$4008_linear,8
124,$4004_duty,3
124,$4004_const,1
124,$4004_vol,8
124,$4000_duty,3
124,$4000_const,1
124,$4000_vol,8
125,$4008_linear,8
125,$4004_duty,3
125,$4004_const,1
125,$4004_vol,8
125,$4000_duty,3
125,$4000_const,1
125,$4000_vol,8
126,$4008_linear,8
126,$4004_duty,3
126,$4004_const,1
126,$4004_vol,8
126,$4000_duty,3
126,$4000_const,1
126,$4000_vol,8
127,$4008_linear,8
127,$4004_duty,3
127,$4004_const,1
127,$4004_vol,8
127,$4000_duty,3
127,$4000_const,1
127,$4000_vol,8
128,$4008_linear,8
128,$4004_duty,3
128,$4004_const,1
128,$4004_vol,8
128,$4000_duty,3
128,$4000_const,1
128,$4000_vol,8
129,$4008_linear,8
129,$4004_duty,3
129,$4004_const,1
129,$4004_vol,8
129,$4000_duty,3
129,$4000_const,1
129,$4000_vol,8
130,$4008_linear,8
130,$4004_duty,3
130,$4004_const,1
130,$4004_vol,8
130,$4000_duty,3
130,$4000_const,1
130,$4000_vol,8
131,$4008_linear,8
131,$4004_duty,3
131,$4004_const,1
131,$4004_vol,8
131,$4000_duty,3
131,$4000_const,1
131,$4000_vol,8
132,$4008_linear,8
132,$4004_duty,3
132,$4004_const,1
132,$4004_vol,8
132,$4000_duty,3
132,$4000_const,1
132,$4000_vol,8
133,$4008_linear,8
133,$4004_duty,3
133,$4004_const,1
133,$4004_vol,8
133,$4000_duty,3
133,$4000_const,1
133,$4000_vol,8
134,$4008_linear,8
134,$4004_duty,3
134,$4004_const,1
134,$4004_vol,8
134,$4000_duty,3
134,$4000_const,1
134,$4000_vol,8
135,$4008_linear,8
135,$4004_duty,3
135,$4004_const,1
135,$4004_vol,8
135,$4000_duty,3
135,$4000_const,1
135,$4000_vol,8
136,$4008_linear,8
136,$4004_duty,3
136,$4004_const,1
136,$4004_vol,8
136,$4000_duty,3
136,$4000_const,1
136,$4000_vol,8
137,$4008_linear,8
137,$4004_duty,3
137,$4004_const,1
137,$4004_vol,8
137,$4000_duty,3
137,$4000_const,1
137,$4000_vol,8
138,$4008_linear,8
138,$4004_duty,3
138,$4004_const,1
138,$4004_vol,8
138,$4000_duty,3
138,$4000_const,1
138,$4000_vol,8
139,$4008_linear,8
139,$4004_duty,3
139,$4004_const,1
139,$4004_vol,8
139,$4000_duty,3
139,$4000_const,1
139,$4000_vol,8
140,$4008_linear,8
140,$4004_duty,3
140,$4004_const,1
140,$4004_vol,8
140,$4000_duty,3
140,$4000_const,1
140,$4000_vol,8
141,$4008_linear,8
141,$4004_duty,3
141,$4004_const,1
141,$4004_vol,8
141,$4000_duty,3
141,$4000_const,1
141,$4000_vol,8
142,$4008_linear,8
142,$4004_duty,3
142,$4004_const,1
142,$4004_vol,8
142,$4000_duty,3
142,$4000_const,1
142,$4000_vol,8
143,$4008_linear,8
143,$4004_duty,3
143,$4004_const,1
143,$4004_vol,8
143,$4000_duty,3
143,$4000_const,1
143,$4000_vol,8
144,$4008_linear,8
144,$4004_duty,3
144,$4004_const,1
144,$4004_vol,8
144,$4000_duty,3
144,$4000_const,1
144,$4000_vol,8
145,$4008_linear,8
145,$4004_duty,3
145,$4004_const,1
145,$4004_vol,8
145,$4000_duty,3
145,$4000_const,1
145,$4000_vol,8
146,$4008_linear,8
146,$4004_duty,3
146,$4004_const,1
146,$4004_vol,8
146,$4000_duty,3
146,$4000_const,1
146,$4000_vol,8
147,$4008_linear,8
147,$4004_duty,3
147,$4004_const,1
147,$4004_vol,8
147,$4000_duty,3
147,$4000_const,1
147,$4000_vol,8
148,$4008_linear,8
148,$4004_duty,3
148,$4004_const,1
148,$4004_vol,8
148,$4000_duty,3
148,$4000_const,1
148,$4000_vol,8
149,$4008_linear,8
149,$4004_duty,3
149,$4004_const,1
149,$4004_vol,8
149,$4000_duty,3
149,$4000_const,1
149,$4000_vol,8
150,$4008_linear,8
150,$4004_duty,3
150,$4004_const,1
150,$4004_vol,8
150,$4000_duty,3
150,$4000_const,1
150,$4000_vol,8
151,$4008_linear,8
151,$4004_duty,3
151,$4004_const,1
151,$4004_vol,8
151,$4000_duty,3
151,$4000_const,1
151,$4000_vol,8
152,$4008_linear,8
152,$4004_duty,3
152,$4004_const,1
152,$4004_vol,8
152,$4000_duty,3
152,$4000_const,1
152,$4000_vol,8
153,$4008_linear,8
153,$4004_duty,3
153,$4004_const,1
153,$4004_vol,8
153,$4000_duty,3
153,$4000_const,1
153,$4000_vol,8
154,$4008_linear,8
154,$4004_duty,3
154,$4004_const,1
154,$4004_vol,8
154,$4000_duty,3
154,$4000_const,1
154,$4000_vol,8
155,$4008_linear,8
155,$4004_duty,3
155,$4004_const,1
155,$4004_vol,8
155,$4000_duty,3
155,$4000_const,1
155,$4000_vol,8
156,$4008_linear,8
156,$4004_duty,3
156,$4004_const,1
156,$4004_vol,8
156,$4000_duty,3
156,$4000_const,1
156,$4000_vol,8
157,$4008_linear,8
157,$4004_duty,3
157,$4004_const,1
157,$4004_vol,8
157,$4000_duty,3
157,$4000_const,1
157,$4000_vol,8
158,$4008_linear,8
158,$4004_duty,3
158,$4004_const,1
158,$4004_vol,8
158,$4000_duty,3
158,$4000_const,1
158,$4000_vol,8
159,$4008_linear,8
159,$4004_duty,3
159,$4004_const,1
159,$4004_vol,8
159,$4000_duty,3
159,$4000_const,1
159,$4000_vol,8
160,$4008_linear,8
160,$4004_duty,3
160,$4004_const,1
160,$4004_vol,8
160,$4000_duty,3
160,$4000_const,1
160,$4000_vol,8
161,$4008_linear,8
161,$4004_duty,3
161,$4004_const,1
161,$4004_vol,8
161,$4000_duty,3
161,$4000_const,1
161,$4000_vol,8
162,$4008_linear,8
162,$4004_duty,3
162,$4004_const,1
162,$4004_vol,8
162,$4000_duty,3
162,$4000_const,1
162,$4000_vol,8
163,$4008_linear,8
163,$4004_duty,3
163,$4004_const,1
163,$4004_vol,8
163,$4000_duty,3
163,$4000_const,1
163,$4000_vol,8
164,$4008_linear,8
164,$4004_duty,3
164,$4004_const,1
164,$4004_vol,8
164,$4000_duty,3
164,$4000_const,1
164,$4000_vol,8
165,$4008_linear,8
165,$4004_duty,3
165,$4004_const,1
165,$4004_vol,8
165,$4000_duty,3
165,$4000_const,1
165,$4000_vol,8
166,$4008_linear,8
166,$4004_duty,3
166,$4004_const,1
166,$4004_vol,8
166,$4000_duty,3
166,$4000_const,1
166,$4000_vol,8
167,$4008_linear,8
167,$4004_duty,3
167,$4004_const,1
167,$4004_vol,8
167,$4000_duty,3
167,$4000_const,1
167,$4000_vol,8
168,$4008_linear,8
168,$4004_duty,3
168,$4004_const,1
168,$4004_vol,8
168,$4000_duty,3
168,$4000_const,1
168,$4000_vol,8
169,$4008_linear,8
169,$4004_duty,3
169,$4004_const,1
169,$4004_vol,8
169,$4000_duty,3
169,$4000_const,1
169,$4000_vol,8
170,$4008_linear,8
170,$4004_duty,3
170,$4004_const,1
170,$4004_vol,8
170,$4000_duty,3
170,$4000_const,1
170,$4000_vol,8
171,$4008_linear,8
171,$4004_duty,3
171,$4004_const,1
171,$4004_vol,8
171,$4000_duty,3
171,$4000_const,1
171,$4000_vol,8
172,$4008_linear,8
172,$4004_duty,3
172,$4004_const,1
172,$4004_vol,8
172,$4000_duty,3
172,$4000_const,1
172,$4000_vol,8
173,$4008_linear,8
173,$4004_duty,3
173,$4004_const,1
173,$4004_vol,8
173,$4000_duty,3
173,$4000_const,1
173,$4000_vol,8
174,$4008_linear,8
174,$4004_duty,3
174,$4004_const,1
174,$4004_vol,8
174,$4000_duty,3
174,$4000_const,1
174,$4000_vol,8
175,$4008_linear,8
175,$4004_duty,3
175,$4004_const,1
175,$4004_vol,8
175,$4000_duty,3
175,$4000_const,1
175,$4000_vol,8
176,$4008_linear,8
176,$4004_duty,3
176,$4004_const,1
176,$4004_vol,8
176,$4000_duty,3
176,$4000_const,1
176,$4000_vol,8
177,$4008_linear,8
177,$4004_duty,3
177,$4004_const,1
177,$4004_vol,8
177,$4000_duty,3
177,$4000_const,1
177,$4000_vol,8
178,$4008_linear,8
178,$4004_duty,3
178,$4004_const,1
178,$4004_vol,8
