frame,parameter,value
325,$4002_period,513
325,$400B_length,1
325,$4000_duty,0
325,$4000_const,1
325,$4000_vol,15
325,$4006_period,1025
325,$4004_duty,0
325,$4004_const,1
325,$4004_vol,15
325,$4008_linear,127
325,$400A_period,339
325,$400B_length,16
325,$400E_period,9
325,$400E_mode,0
325,$400C_const,1
325,$400C_vol,15
326,$4002_period,343
326,$400B_length,16
326,$4006_period,55
326,$4008_linear,0
326,$400A_period,107
326,$400B_length,0
327,$400E_period,15
327,$400E_mode,0
328,$4002_period,781
328,$400B_length,1
328,$4006_period,851
328,$4008_linear,127
328,$400A_period,321
328,$400B_length,16
328,$400E_period,9
328,$400E_mode,0
329,$4002_period,295
329,$400B_length,16
329,$4006_period,507
329,$4008_linear,0
329,$400A_period,101
329,$400B_length,0
330,$400E_period,15
330,$400E_mode,0
331,$4002_period,767
331,$400B_length,1
331,$4006_period,833
331,$4008_linear,127
331,$400A_period,303
331,$400B_length,16
331,$400E_period,9
331,$400E_mode,0
332,$4002_period,251
332,$400B_length,16
332,$4006_period,449
332,$4008_linear,0
332,$400A_period,95
332,$400B_length,0
333,$400E_period,15
333,$400E_mode,0
334,$4002_period,753
334,$400B_length,1
334,$4006_period,815
334,$4008_linear,127
334,$400A_period,285
334,$400B_length,16
334,$400E_period,9
334,$400E_mode,0
335,$4002_period,207
335,$400B_length,16
335,$4006_period,395
335,$4008_linear,0
335,$400A_period,89
335,$400B_length,0
336,$400E_period,15
336,$400E_mode,0
337,$4002_period,739
337,$400B_length,1
337,$4006_period,797
337,$4008_linear,127
337,$400A_period,269
337,$400B_length,16
337,$400E_period,9
337,$400E_mode,0
338,$4002_period,167
338,$400B_length,16
338,$4006_period,343
338,$4008_linear,0
338,$400A_period,85
338,$400B_length,0
339,$400E_period,15
339,$400E_mode,0
340,$4002_period,725
340,$400B_length,1
340,$4006_period,781
340,$4008_linear,127
340,$400A_period,285
340,$400B_length,16
340,$400E_period,7
340,$400E_mode,0
341,$4002_period,207
341,$400B_length,16
341,$4006_period,395
341,$4008_linear,0
341,$400A_period,89
341,$400B_length,0
342,$400E_period,13
342,$400E_mode,0
343,$4002_period,739
343,$400B_length,1
343,$4006_period,797
343,$4008_linear,127
343,$400A_period,269
343,$400B_length,16
343,$400E_period,7
343,$400E_mode,0
344,$4002_period,167
344,$400B_length,16
344,$4006_period,343
344,$4008_linear,0
344,$400A_period,85
344,$400B_length,0
345,$400E_period,13
345,$400E_mode,0
346,$4002_period,725
346,$400B_length,1
346,$4006_period,781
346,$4008_linear,127
346,$400A_period,255
346,$400B_length,16
346,$400E_period,7
346,$400E_mode,0
347,$4002_period,129
347,$400B_length,16
347,$4006_period,295
347,$4008_linear,0
347,$400A_period,81
347,$400B_length,0
348,$400E_period,13
348,$400E_mode,0
349,$4002_period,713
349,$400B_length,1
349,$4006_period,767
349,$4008_linear,127
349,$400A_period,241
349,$400B_length,16
349,$400E_period,7
349,$400E_mode,0
350,$4002_period,93
350,$400B_length,16
350,$4006_period,251
350,$4008_linear,0
350,$400A_period,75
350,$400B_length,0
351,$400E_period,13
351,$400E_mode,0
352,$4002_period,703
352,$400B_length,1
352,$4006_period,753
352,$4008_linear,127
352,$400A_period,227
352,$400B_length,16
352,$400E_period,7
352,$400E_mode,0
353,$4002_period,59
353,$400B_length,16
353,$4006_period,207
353,$4008_linear,0
353,$400A_period,71
353,$400B_length,0
354,$400E_period,13
354,$400E_mode,0
355,$4002_period,691
355,$400B_length,1
355,$4006_period,739
355,$4008_linear,127
355,$400A_period,255
355,$400B_length,16
355,$400E_period,6
355,$400E_mode,0
356,$4002_period,167
356,$400B_length,16
356,$4006_period,343
356,$4008_linear,0
356,$400A_period,81
356,$400B_length,0
357,$400E_period,12
357,$400E_mode,0
358,$4002_period,725
358,$400B_length,1
358,$4006_period,781
358,$4008_linear,127
358,$400A_period,241
358,$400B_length,16
358,$400E_period,6
358,$400E_mode,0
359,$4002_period,129
359,$400B_length,16
359,$4006_period,295
359,$4008_linear,0
359,$400A_period,75
359,$400B_length,0
360,$400E_period,12
360,$400E_mode,0
361,$4002_period,713
361,$400B_length,1
361,$4006_period,767
361,$4008_linear,127
361,$400A_period,227
361,$400B_length,16
361,$400E_period,6
361,$400E_mode,0
362,$4002_period,93
362,$400B_length,16
362,$4006_period,251
362,$4008_linear,0
362,$400A_period,71
362,$400B_length,0
363,$400E_period,12
363,$400E_mode,0
364,$4002_period,703
364,$400B_length,1
364,$4006_period,753
364,$4008_linear,127
364,$400A_period,213
364,$400B_length,16
364,$400E_period,6
364,$400E_mode,0
365,$4002_period,59
365,$400B_length,16
365,$4006_period,207
365,$4008_linear,0
365,$400A_period,67
365,$400B_length,0
366,$400E_period,12
366,$400E_mode,0
367,$4002_period,691
367,$400B_length,1
367,$4006_period,739
367,$4008_linear,127
367,$400A_period,201
367,$400B_length,16
367,$400E_period,6
367,$400E_mode,0
368,$4002_period,27
368,$400B_length,16
368,$4006_period,167
368,$4008_linear,0
368,$400A_period,63
368,$400B_length,0
369,$400E_period,12
369,$400E_mode,0
370,$4002_period,681
370,$400B_length,1
370,$4006_period,725
370,$4008_linear,127
370,$400A_period,241
370,$400B_length,16
370,$400E_period,5
370,$400E_mode,0
371,$4002_period,93
371,$400B_length,16
371,$4006_period,251
371,$4008_linear,0
371,$400A_period,75
371,$400B_length,0
372,$400E_period,11
372,$400E_mode,0
373,$4002_period,703
373,$400B_length,1
373,$4006_period,753
373,$4008_linear,127
373,$400A_period,227
373,$400B_length,16
373,$400E_period,5
373,$400E_mode,0
374,$4002_period,59
374,$400B_length,16
374,$4006_period,207
374,$4008_linear,0
374,$400A_period,71
374,$400B_length,0
375,$400E_period,11
375,$400E_mode,0
376,$4002_period,691
376,$400B_length,1
376,$4006_period,739
376,$4008_linear,127
376,$400A_period,213
376,$400B_length,16
376,$400E_period,5
376,$400E_mode,0
377,$4002_period,27
377,$400B_length,16
377,$4006_period,167
377,$4008_linear,0
377,$400A_period,67
377,$400B_length,0
378,$400E_period,11
378,$400E_mode,0
379,$4002_period,169
379,$400B_length,0
379,$4006_period,725
379,$4008_linear,127
379,$400A_period,201
379,$400B_length,16
379,$400E_period,5
379,$400E_mode,0
380,$4002_period,509
380,$400B_length,16
380,$4006_period,129
380,$4008_linear,0
380,$400A_period,63
380,$400B_length,0
381,$400E_period,11
381,$400E_mode,0
382,$4002_period,161
382,$400B_length,0
382,$4006_period,713
382,$4008_linear,127
382,$400A_period,191
382,$400B_length,16
382,$400E_period,5
382,$400E_mode,0
383,$4002_period,481
383,$400B_length,16
383,$4006_period,93
383,$4008_linear,0
383,$400A_period,61
383,$400B_length,0
384,$400E_period,11
384,$400E_mode,0
385,$4002_period,663
385,$400B_length,1
385,$4006_period,703
385,$4008_linear,127
385,$400A_period,213
385,$400B_length,16
385,$400E_period,4
385,$400E_mode,0
386,$4002_period,27
386,$400B_length,16
386,$4006_period,167
386,$4008_linear,0
386,$400A_period,67
386,$400B_length,0
387,$400E_period,10
387,$400E_mode,0
388,$4002_period,169
388,$400B_length,0
388,$4006_period,725
388,$4008_linear,127
388,$400A_period,201
388,$400B_length,16
388,$400E_period,4
388,$400E_mode,0
389,$4002_period,509
389,$400B_length,16
389,$4006_period,129
389,$4008_linear,0
389,$400A_period,63
389,$400B_length,0
390,$400E_period,10
390,$400E_mode,0
391,$4002_period,161
391,$400B_length,0
391,$4006_period,713
391,$4008_linear,127
391,$400A_period,191
391,$400B_length,16
391,$400E_period,4
391,$400E_mode,0
392,$4002_period,481
392,$400B_length,16
392,$4006_period,93
392,$4008_linear,0
392,$400A_period,61
392,$400B_length,0
393,$400E_period,10
393,$400E_mode,0
394,$4002_period,151
394,$400B_length,0
394,$4006_period,703
394,$4008_linear,127
394,$400A_period,179
394,$400B_length,16
394,$400E_period,4
