frame,parameter,value
137,$400C_const,0
137,$400C_vol,2
137,$400E_period,0
137,$400E_mode,0
137,$4008_linear,111
137,$400A_period,1
137,$400B_length,0
137,$4004_duty,2
137,$4004_const,0
137,$4004_vol,10
137,$4005_sweep,8
137,$4006_period,2565
137,$4000_duty,2
137,$4000_const,0
137,$4000_vol,10
137,$4001_sweep,8
137,$4002_period,855
137,$400B_length,193
142,$400C_const,0
142,$400C_vol,2
142,$400E_period,0
142,$400E_mode,0
147,$400C_const,0
147,$400C_vol,2
147,$400E_period,0
147,$400E_mode,0
153,$400C_const,0
153,$400C_vol,2
153,$400E_period,0
153,$400E_mode,0
153,$4004_duty,2
153,$4004_const,0
153,$4004_vol,10
153,$4005_sweep,8
153,$4006_period,2565
153,$4000_duty,2
153,$4000_const,0
153,$4000_vol,10
153,$4001_sweep,8
153,$4002_period,763
153,$400B_length,193
161,$400C_const,0
161,$400C_vol,2
161,$400E_period,0
161,$400E_mode,0
165,$400C_const,0
165,$400C_vol,2
165,$400E_period,0
165,$400E_mode,0
169,$400C_const,0
169,$400C_vol,2
169,$400E_period,0
169,$400E_mode,0
169,$4008_linear,111
169,$400A_period,427
169,$400B_length,192
169,$4004_duty,2
169,$4004_const,0
169,$4004_vol,10
169,$4005_sweep,8
169,$4006_period,1711
169,$4000_duty,2
169,$4000_const,0
169,$4000_vol,10
169,$4001_sweep,8
169,$4002_period,641
169,$400B_length,193
177,$400C_const,0
177,$400C_vol,2
177,$400E_period,0
177,$400E_mode,0
181,$400C_const,0
181,$400C_vol,2
181,$400E_period,0
181,$400E_mode,0
185,$400C_const,0
185,$400C_vol,2
185,$400E_period,0
185,$400E_mode,0
185,$4004_duty,2
185,$4004_const,0
185,$4004_vol,10
185,$4005_sweep,8
185,$4006_period,1711
185,$4000_duty,2
185,$4000_const,0
185,$4000_vol,10
185,$4001_sweep,8
185,$4002_period,763
185,$400B_length,193
189,$400C_const,0
189,$400C_vol,2
189,$400E_period,0
189,$400E_mode,0
197,$400C_const,0
197,$400C_vol,2
197,$400E_period,0
197,$400E_mode,0
201,$400C_const,0
201,$400C_vol,2
201,$400E_period,0
201,$400E_mode,0
201,$4008_linear,111
201,$400A_period,381
201,$400B_length,192
201,$4004_duty,2
201,$4004_const,0
201,$4004_vol,10
201,$4005_sweep,8
201,$4006_period,1917
201,$4000_duty,2
201,$4000_const,0
201,$4000_vol,10
201,$4001_sweep,8
201,$4002_period,641
201,$400B_length,193
206,$400C_const,0
206,$400C_vol,2
206,$400E_period,0
206,$400E_mode,0
211,$400C_const,0
211,$400C_vol,2
211,$400E_period,0
211,$400E_mode,0
217,$400C_const,0
217,$400C_vol,2
217,$400E_period,0
217,$400E_mode,0
217,$4004_duty,2
217,$4004_const,0
217,$4004_vol,10
217,$4005_sweep,8
217,$4006_period,2285
217,$4000_duty,2
217,$4000_const,0
217,$4000_vol,10
217,$4001_sweep,8
217,$4002_period,763
217,$400B_length,193
222,$400C_const,0
222,$400C_vol,2
222,$400E_period,0
222,$400E_mode,0
225,$4000_duty,2
225,$4000_const,0
225,$4000_vol,10
225,$4001_sweep,8
225,$4002_period,641
225,$400B_length,193
227,$400C_const,0
227,$400C_vol,2
227,$400E_period,0
227,$400E_mode,0
233,$400C_const,0
233,$400C_vol,2
233,$400E_period,0
233,$400E_mode,0
233,$4004_duty,2
233,$4004_const,0
233,$4004_vol,10
233,$4005_sweep,8
233,$4006_period,2565
238,$400C_const,0
238,$400C_vol,2
238,$400E_period,0
238,$400E_mode,0
243,$400C_const,0
243,$400C_vol,2
243,$400E_period,0
243,$400E_mode,0
249,$400C_const,0
249,$400C_vol,2
