frame,parameter,value
0,$400C_const,1
0,$400C_vol,0
0,$4008_linear,13
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,13
0,$4001_sweep,132
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,12
1,$400C_const,1
1,$400C_vol,0
1,$4008_linear,13
1,$4004_duty,1
1,$4004_const,1
1,$4004_vol,13
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,10
2,$400C_const,1
2,$400C_vol,0
2,$4008_linear,13
2,$4004_duty,1
2,$4004_const,1
2,$4004_vol,13
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,9
3,$400C_const,1
3,$400C_vol,0
3,$4008_linear,12
3,$4004_duty,1
3,$4004_const,1
3,$4004_vol,12
3,$4000_duty,0
3,$4000_const,0
3,$4000_vol,0
3,$4001_sweep,127
3,$4002_period,283
3,$400B_length,0
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,13
4,$400C_const,1
4,$400C_vol,0
4,$4008_linear,11
4,$4004_duty,1
4,$4004_const,1
4,$4004_vol,11
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,13
5,$400C_const,1
5,$400C_vol,0
5,$4008_linear,10
5,$4004_duty,1
5,$4004_const,1
5,$4004_vol,10
5,$4001_sweep,132
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,12
6,$400C_const,1
6,$400C_vol,0
6,$4008_linear,8
6,$4004_duty,1
6,$4004_const,1
6,$4004_vol,8
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,10
7,$400C_const,1
7,$400C_vol,0
7,$4008_linear,7
7,$4004_duty,1
7,$4004_const,1
7,$4004_vol,7
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,9
8,$400C_const,0
8,$400C_vol,0
8,$400E_period,10
8,$400E_mode,0
8,$400C_const,1
8,$400C_vol,11
8,$4008_linear,6
8,$4004_duty,1
8,$4004_const,1
8,$4004_vol,6
8,$4000_duty,0
8,$4000_const,0
8,$4000_vol,0
8,$4001_sweep,127
8,$4002_period,357
8,$400B_length,0
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,13
9,$400C_const,1
9,$400C_vol,10
9,$4008_linear,5
9,$4004_duty,1
9,$4004_const,1
9,$4004_vol,5
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,13
10,$400C_const,1
10,$400C_vol,9
10,$4008_linear,3
10,$4004_duty,1
10,$4004_const,1
10,$4004_vol,3
10,$4001_sweep,132
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,12
11,$400C_const,1
11,$400C_vol,8
11,$4008_linear,2
11,$4004_duty,1
11,$4004_const,1
11,$4004_vol,2
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,10
12,$400C_const,1
12,$400C_vol,8
12,$4008_linear,1
12,$4004_duty,1
12,$4004_const,1
12,$4004_vol,1
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,9
13,$400C_const,1
13,$400C_vol,7
13,$4008_linear,0
13,$4004_duty,1
13,$4004_const,1
13,$4004_vol,0
13,$4000_duty,0
13,$4000_const,0
13,$4000_vol,0
13,$4001_sweep,127
13,$4002_period,337
13,$400B_length,0
13,$4000_duty,0
13,$4000_const,1
13,$4000_vol,13
14,$400C_const,1
14,$400C_vol,6
14,$4008_linear,0
14,$4004_duty,1
14,$4004_const,1
14,$4004_vol,0
14,$4000_duty,0
14,$4000_const,1
14,$4000_vol,13
15,$400C_const,1
15,$400C_vol,5
15,$4008_linear,0
15,$4004_duty,1
15,$4004_const,1
15,$4004_vol,0
15,$4001_sweep,132
15,$4000_duty,0
15,$4000_const,1
15,$4000_vol,12
16,$400C_const,1
16,$400C_vol,5
16,$4008_linear,0
