frame,parameter,value
0,$400C_const,1
0,$400C_vol,2
0,$400E_period,10
0,$400E_mode,0
0,$4008_linear,0
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,0
0,$4005_sweep,0
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,0
0,$4001_sweep,0
1,$400E_period,12
1,$400E_mode,0
1,$4008_linear,0
1,$400A_period,513
1,$400B_length,9
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,2
1,$4005_sweep,136
1,$4006_period,513
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,2
1,$4001_sweep,8
1,$4002_period,513
1,$400B_length,9
3,$400C_const,1
3,$400C_vol,0
3,$400E_period,0
3,$400E_mode,0
4,$400A_period,505
4,$400B_length,8
4,$4006_period,505
4,$4002_period,505
4,$400B_length,8
5,$400C_const,1
5,$400C_vol,2
5,$400E_period,10
5,$400E_mode,0
5,$4008_linear,0
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,0
5,$4005_sweep,0
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,0
5,$4001_sweep,0
6,$400E_period,12
6,$400E_mode,0
6,$4008_linear,0
6,$400A_period,575
6,$400B_length,9
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,2
6,$4005_sweep,136
6,$4006_period,513
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,2
6,$4001_sweep,8
6,$4002_period,513
6,$400B_length,9
8,$400C_const,1
8,$400C_vol,0
8,$400E_period,0
8,$400E_mode,0
9,$400A_period,505
9,$400B_length,8
9,$4006_period,505
9,$4002_period,505
9,$400B_length,8
10,$400C_const,1
10,$400C_vol,2
10,$400E_period,10
10,$400E_mode,0
10,$4008_linear,0
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,0
10,$4005_sweep,0
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,0
10,$4001_sweep,0
11,$400E_period,12
11,$400E_mode,0
11,$4008_linear,0
11,$400A_period,575
11,$400B_length,9
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,2
11,$4005_sweep,136
11,$4006_period,513
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,2
11,$4001_sweep,8
11,$4002_period,513
11,$400B_length,9
13,$400C_const,1
13,$400C_vol,0
13,$400E_period,0
13,$400E_mode,0
14,$400A_period,505
14,$400B_length,8
14,$4006_period,505
14,$4002_period,505
14,$400B_length,8
15,$400C_const,1
15,$400C_vol,2
15,$400E_period,10
15,$400E_mode,0
15,$4008_linear,0
15,$4004_duty,0
15,$4004_const,1
15,$4004_vol,0
15,$4005_sweep,0
15,$4000_duty,0
15,$4000_const,1
15,$4000_vol,0
15,$4001_sweep,0
16,$400C_const,1
16,$400C_vol,2
16,$400E_period,12
16,$400E_mode,0
16,$4008_linear,0
16,$400A_period,575
16,$400B_length,9
16,$4004_duty,0
16,$4004_const,1
16,$4004_vol,2
16,$4005_sweep,136
16,$4006_period,513
16,$4000_duty,0
16,$4000_const,1
16,$4000_vol,2
16,$4001_sweep,8
16,$4002_period,513
16,$400B_length,9
18,$400C_const,1
18,$400C_vol,0
18,$400E_period,0
18,$400E_mode,0
19,$400A_period,505
19,$400B_length,8
19,$4006_period,505
19,$4002_period,505
19,$400B_length,8
20,$400C_const,1
20,$400C_vol,2
20,$400E_period,10
20,$400E_mode,0
20,$4008_linear,0
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,0
20,$4005_sweep,0
20,$4000_duty,0
20,$4000_const,1
20,$4000_vol,0
20,$4001_sweep,0
21,$400E_period,12
21,$400E_mode,0
21,$4008_linear,0
21,$400A_period,575
21,$400B_length,9
21,$4004_duty,0
21,$4004_const,1
21,$4004_vol,2
21,$4005_sweep,136
21,$4006_period,513
