frame,parameter,value
193,$4000_duty,0
193,$4000_const,1
193,$4000_vol,0
193,$4001_sweep,127
193,$4004_duty,0
193,$4004_const,1
193,$4004_vol,0
193,$4005_sweep,127
193,$4008_linear,0
193,$400A_period,3585
193,$400B_length,255
193,$4004_duty,0
193,$4004_const,1
193,$4004_vol,0
193,$4005_sweep,127
194,$4000_duty,0
194,$4000_const,1
194,$4000_vol,6
194,$4002_period,513
194,$400B_length,9
194,$4004_duty,0
194,$4004_const,1
194,$4004_vol,5
194,$4006_period,1025
194,$4008_linear,15
194,$400A_period,1025
194,$400B_length,10
194,$4011_dac,47
194,$4010_rate,15
194,$4012_addr,232
194,$4013_len,5
196,$4000_duty,3
196,$4000_const,1
196,$4000_vol,5
197,$4000_duty,3
197,$4000_const,1
197,$4000_vol,4
197,$4004_duty,0
197,$4004_const,1
197,$4004_vol,5
197,$4006_period,847
199,$4000_duty,3
199,$4000_const,1
199,$4000_vol,3
200,$4000_duty,0
200,$4000_const,1
200,$4000_vol,6
200,$4002_period,163
200,$400B_length,8
200,$4004_duty,0
200,$4004_const,1
200,$4004_vol,5
200,$4006_period,1191
202,$4000_duty,3
202,$4000_const,1
202,$4000_vol,5
203,$4000_duty,3
203,$4000_const,1
203,$4000_vol,4
203,$4004_duty,0
203,$4004_const,1
203,$4004_vol,5
203,$4006_period,335
205,$4000_duty,3
205,$4000_const,1
205,$4000_vol,3
206,$4000_duty,0
206,$4000_const,1
206,$4000_vol,6
206,$4002_period,449
206,$400B_length,8
206,$4004_duty,0
206,$4004_const,1
206,$4004_vol,5
206,$4006_period,1477
208,$4000_duty,3
208,$4000_const,1
208,$4000_vol,5
209,$4000_duty,3
209,$4000_const,1
209,$4000_vol,4
209,$4004_duty,0
209,$4004_const,1
209,$4004_vol,5
209,$4006_period,335
211,$4000_duty,3
211,$4000_const,1
211,$4000_vol,3
212,$4000_duty,0
212,$4000_const,1
212,$4000_vol,6
212,$4002_period,847
212,$400B_length,9
212,$4004_duty,0
212,$4004_const,1
212,$4004_vol,5
212,$4006_period,1363
214,$4000_duty,3
214,$4000_const,1
214,$4000_vol,5
215,$4000_duty,3
215,$4000_const,1
215,$4000_vol,4
215,$4004_duty,0
215,$4004_const,1
215,$4004_vol,5
215,$4006_period,847
217,$4000_duty,3
217,$4000_const,1
217,$4000_vol,3
218,$4000_duty,0
218,$4000_const,1
218,$4000_vol,6
218,$4002_period,163
218,$400B_length,8
218,$4004_duty,0
218,$4004_const,1
218,$4004_vol,5
218,$4006_period,1191
218,$4011_dac,117
218,$4010_rate,15
218,$4012_addr,234
218,$4013_len,37
220,$4000_duty,3
220,$4000_const,1
220,$4000_vol,5
221,$4000_duty,3
221,$4000_const,1
221,$4000_vol,4
221,$4004_duty,0
221,$4004_const,1
221,$4004_vol,5
221,$4006_period,335
223,$4000_duty,3
223,$4000_const,1
223,$4000_vol,3
224,$4000_duty,0
224,$4000_const,1
224,$4000_vol,6
224,$4002_period,449
224,$400B_length,8
224,$4004_duty,0
224,$4004_const,1
224,$4004_vol,5
224,$4006_period,1477
226,$4000_duty,3
226,$4000_const,1
226,$4000_vol,5
227,$4000_duty,3
227,$4000_const,1
227,$4000_vol,4
227,$4004_duty,0
227,$4004_const,1
227,$4004_vol,5
227,$4006_period,335
229,$4000_duty,3
229,$4000_const,1
229,$4000_vol,3
230,$4000_duty,0
230,$4000_const,1
230,$4000_vol,6
230,$4002_period,889
230,$400B_length,9
230,$4004_duty,0
230,$4004_const,1
230,$4004_vol,5
230,$4006_period,1405
230,$4011_dac,47
230,$4010_rate,15
230,$4012_addr,232
230,$4013_len,5
232,$4000_duty,3
232,$4000_const,1
232,$4000_vol,5
233,$4000_duty,3
233,$4000_const,1
233,$4000_vol,4
233,$4004_duty,0
233,$4004_const,1
233,$4004_vol,5
233,$4006_period,847
235,$4000_duty,3
235,$4000_const,1
235,$4000_vol,3
236,$4000_duty,0
236,$4000_const,1
236,$4000_vol,6
236,$4002_period,163
236,$400B_length,8
236,$4004_duty,0
236,$4004_const,1
236,$4004_vol,5
236,$4006_period,1191
238,$4000_duty,3
238,$4000_const,1
238,$4000_vol,5
239,$4000_duty,3
239,$4000_const,1
239,$4000_vol,4
239,$4004_duty,0
239,$4004_const,1
239,$4004_vol,5
239,$4006_period,335
241,$4000_duty,3
241,$4000_const,1
241,$4000_vol,3
242,$4000_duty,0
242,$4000_const,1
242,$4000_vol,6
242,$4002_period,449
242,$400B_length,8
242,$4004_duty,0
242,$4004_const,1
242,$4004_vol,5
242,$4006_period,1477
242,$4008_linear,15
242,$400A_period,1359
242,$400B_length,10
242,$4011_dac,47
242,$4010_rate,15
242,$4012_addr,232
242,$4013_len,5
244,$4000_duty,3
244,$4000_const,1
244,$4000_vol,5
245,$4000_duty,3
245,$4000_const,1
245,$4000_vol,4
245,$4004_duty,0
245,$4004_const,1
245,$4004_vol,5
245,$4006_period,335
247,$4000_duty,3
247,$4000_const,1
247,$4000_vol,3
248,$4000_duty,0
248,$4000_const,1
248,$4000_vol,6
248,$4002_period,911
248,$400B_length,9
248,$4004_duty,0
248,$4004_const,1
248,$4004_vol,5
248,$4006_period,1427
250,$4000_duty,3
250,$4000_const,1
250,$4000_vol,5
251,$4000_duty,3
251,$4000_const,1
251,$4000_vol,4
251,$4004_duty,0
251,$4004_const,1
251,$4004_vol,5
251,$4006_period,847
253,$4000_duty,3
253,$4000_const,1
253,$4000_vol,3
254,$4000_duty,0
254,$4000_const,1
254,$4000_vol,6
254,$4002_period,163
254,$400B_length,8
254,$4004_duty,0
254,$4004_const,1
254,$4004_vol,5
254,$4006_period,1191
255,$4002_period,1021
255,$400B_length,9
256,$4000_duty,3
256,$4000_const,1
256,$4000_vol,5
256,$4002_period,1
256,$400B_length,8
257,$4000_duty,3
257,$4000_const,1
257,$4000_vol,4
257,$4004_duty,0
257,$4004_const,1
257,$4004_vol,5
257,$4006_period,335
259,$4000_duty,3
259,$4000_const,1
259,$4000_vol,3
260,$4000_duty,0
260,$4000_const,1
260,$4000_vol,6
260,$4002_period,505
260,$400B_length,8
260,$4004_duty,0
260,$4004_const,1
260,$4004_vol,5
260,$4006_period,1533
262,$4000_duty,3
262,$4000_const,1
262,$4000_vol,5
263,$4000_duty,3
263,$4000_const,1
263,$4000_vol,4
263,$4004_duty,0
263,$4004_const,1
263,$4004_vol,5
263,$4006_period,335
265,$4000_duty,3
265,$4000_const,1
265,$4000_vol,3
266,$4000_duty,0
266,$4000_const,1
266,$4000_vol,6
266,$4002_period,961
266,$400B_length,9
266,$4004_duty,0
266,$4004_const,1
266,$4004_vol,5
266,$4006_period,1477
266,$4011_dac,117
266,$4010_rate,15
266,$4012_addr,234
266,$4013_len,37
268,$4000_duty,3
268,$4000_const,1
268,$4000_vol,5
269,$4000_duty,3
269,$4000_const,1
269,$4000_vol,4
269,$4004_duty,0
269,$4004_const,1
269,$4004_vol,5
269,$4006_period,847
271,$4000_duty,3
271,$4000_const,1
271,$4000_vol,3
272,$4000_duty,0
272,$4000_const,1
272,$4000_vol,6
272,$4002_period,675
272,$400B_length,9
272,$4004_duty,0
272,$4004_const,1
272,$4004_vol,5
272,$4006_period,1191
274,$4000_duty,3
274,$4000_const,1
274,$4000_vol,5
275,$4000_duty,3
275,$4000_const,1
275,$4000_vol,4
275,$4004_duty,0
275,$4004_const,1
275,$4004_vol,5
275,$4006_period,847
277,$4000_duty,3
277,$4000_const,1
277,$4000_vol,3
278,$4000_duty,0
278,$4000_const,1
278,$4000_vol,6
278,$4002_period,55
278,$400B_length,8
278,$4004_duty,0
278,$4004_const,1
278,$4004_vol,5
278,$4006_period,1083
279,$4002_period,1021
279,$400B_length,9
280,$4000_duty,3
280,$4000_const,1
280,$4000_vol,5
280,$4002_period,1
280,$400B_length,8
281,$4000_duty,3
281,$4000_const,1
281,$4000_vol,4
281,$4004_duty,0
281,$4004_const,1
281,$4004_vol,5
281,$4006_period,335
283,$4000_duty,3
283,$4000_const,1
283,$4000_vol,3
284,$4000_duty,0
284,$4000_const,1
284,$4000_vol,6
284,$4002_period,1017
284,$400B_length,9
284,$4004_duty,0
284,$4004_const,1
284,$4004_vol,5
284,$4006_period,1533
286,$4000_duty,3
286,$4000_const,1
286,$4000_vol,5
287,$4000_duty,3
287,$4000_const,1
287,$4000_vol,4
287,$4004_duty,0
287,$4004_const,1
287,$4004_vol,5
287,$4006_period,847
289,$4000_duty,3
289,$4000_const,1
289,$4000_vol,3
290,$4000_duty,0
290,$4000_const,1
290,$4000_vol,6
290,$4002_period,567
290,$400B_length,9
290,$4004_duty,0
290,$4004_const,1
290,$4004_vol,5
290,$4006_period,1083
290,$4008_linear,15
290,$400A_period,1359
290,$400B_length,10
290,$4011_dac,47
290,$4010_rate,15
290,$4012_addr,232
290,$4013_len,5
292,$4000_duty,3
292,$4000_const,1
292,$4000_vol,5
293,$4000_duty,3
293,$4000_const,1
293,$4000_vol,4
293,$4004_duty,0
293,$4004_const,1
293,$4004_vol,5
293,$4006_period,847
295,$4000_duty,3
295,$4000_const,1
295,$4000_vol,3
296,$4000_duty,0
296,$4000_const,1
296,$4000_vol,6
296,$4002_period,163
296,$400B_length,8
