frame,parameter,value
193,$4000_duty,0
193,$4000_const,1
193,$4000_vol,0
193,$4004_duty,0
193,$4004_const,1
193,$4004_vol,0
193,$400C_const,1
193,$400C_vol,0
193,$4008_linear,0
193,$400A_period,3585
193,$400B_length,255
193,$4000_duty,0
193,$4000_const,1
193,$4000_vol,0
193,$4001_sweep,127
193,$4004_duty,0
193,$4004_const,1
193,$4004_vol,0
193,$4005_sweep,127
193,$4008_linear,0
193,$400A_period,1
193,$400B_length,0
193,$400C_const,1
193,$400C_vol,0
194,$4000_duty,0
194,$4000_const,1
194,$4000_vol,8
194,$4002_period,2561
194,$400B_length,13
194,$4004_duty,3
194,$4004_const,1
194,$4004_vol,8
194,$4006_period,1025
194,$4008_linear,91
194,$400A_period,1025
194,$400B_length,10
194,$4013_len,4
194,$4012_addr,254
194,$4011_dac,0
194,$4010_rate,8
194,$4000_duty,0
194,$4000_const,1
194,$4000_vol,0
194,$4001_sweep,127
195,$4004_duty,2
195,$4004_const,1
195,$4004_vol,7
195,$4001_sweep,154
195,$4000_duty,0
195,$4000_const,1
195,$4000_vol,4
195,$4002_period,3
195,$400B_length,8
196,$4004_duty,2
196,$4004_const,1
196,$4004_vol,6
197,$4004_duty,2
197,$4004_const,1
197,$4004_vol,5
198,$4004_duty,2
198,$4004_const,1
198,$4004_vol,5
198,$4000_duty,0
198,$4000_const,1
198,$4000_vol,4
198,$4002_period,145
198,$400B_length,8
199,$4004_duty,2
199,$4004_const,1
199,$4004_vol,5
200,$4004_duty,2
200,$4004_const,1
200,$4004_vol,5
201,$4004_duty,2
201,$4004_const,1
201,$4004_vol,5
201,$4000_duty,0
201,$4000_const,1
201,$4000_vol,4
201,$4002_period,145
201,$400B_length,8
202,$4004_duty,2
202,$4004_const,1
202,$4004_vol,5
203,$4004_duty,3
203,$4004_const,1
203,$4004_vol,5
203,$400C_const,1
203,$400C_vol,0
204,$4004_duty,3
204,$4004_const,1
204,$4004_vol,5
204,$4000_duty,0
204,$4000_const,1
204,$4000_vol,4
204,$4002_period,145
204,$400B_length,8
204,$400C_const,1
204,$400C_vol,10
204,$400E_period,2
204,$400E_mode,0
205,$4004_duty,3
205,$4004_const,1
205,$4004_vol,5
205,$400C_const,1
205,$400C_vol,10
205,$400E_period,1
205,$400E_mode,0
206,$4004_duty,3
206,$4004_const,1
206,$4004_vol,5
206,$400C_const,1
206,$400C_vol,7
206,$400E_period,1
206,$400E_mode,0
207,$4004_duty,3
207,$4004_const,1
207,$4004_vol,5
207,$4000_duty,0
207,$4000_const,1
207,$4000_vol,4
207,$4002_period,145
207,$400B_length,8
207,$400C_const,1
207,$400C_vol,6
207,$400E_period,1
207,$400E_mode,0
208,$4004_duty,3
208,$4004_const,1
208,$4004_vol,5
208,$400C_const,1
208,$400C_vol,6
208,$400E_period,1
208,$400E_mode,0
209,$4004_duty,3
209,$4004_const,1
209,$4004_vol,5
209,$400C_const,1
209,$400C_vol,5
209,$400E_period,0
209,$400E_mode,0
210,$4004_duty,3
210,$4004_const,1
210,$4004_vol,5
210,$4000_duty,0
210,$4000_const,1
210,$4000_vol,4
210,$4002_period,145
210,$400B_length,8
210,$400C_const,1
210,$400C_vol,5
210,$400E_period,1
210,$400E_mode,0
211,$4004_duty,3
211,$4004_const,1
211,$4004_vol,5
211,$400C_const,1
211,$400C_vol,5
211,$400E_period,0
211,$400E_mode,0
212,$4004_duty,3
212,$4004_const,1
212,$4004_vol,5
212,$400C_const,1
212,$400C_vol,5
212,$400E_period,1
212,$400E_mode,0
212,$4013_len,4
212,$4012_addr,248
212,$4011_dac,0
212,$4010_rate,15
213,$4004_duty,3
213,$4004_const,1
213,$4004_vol,5
213,$4000_duty,0
213,$4000_const,1
213,$4000_vol,4
213,$4002_period,145
213,$400B_length,8
213,$400C_const,1
213,$400C_vol,5
213,$400E_period,0
213,$400E_mode,0
214,$4004_duty,3
214,$4004_const,1
214,$4004_vol,5
214,$400C_const,1
214,$400C_vol,4
214,$400E_period,1
214,$400E_mode,0
215,$4004_duty,3
215,$4004_const,1
215,$4004_vol,5
215,$400C_const,1
215,$400C_vol,3
215,$400E_period,0
215,$400E_mode,0
216,$4004_duty,3
216,$4004_const,1
216,$4004_vol,4
216,$4001_sweep,149
216,$4000_duty,0
216,$4000_const,1
216,$4000_vol,4
216,$4002_period,145
216,$400B_length,8
216,$400C_const,1
216,$400C_vol,2
216,$400E_period,0
216,$400E_mode,0
217,$4004_duty,3
217,$4004_const,1
217,$4004_vol,4
217,$400C_const,1
217,$400C_vol,2
217,$400E_period,0
217,$400E_mode,0
218,$4004_duty,3
218,$4004_const,1
218,$4004_vol,4
218,$400C_const,1
218,$400C_vol,1
218,$400E_period,0
218,$400E_mode,0
219,$4004_duty,3
219,$4004_const,1
219,$4004_vol,4
220,$4004_duty,3
220,$4004_const,1
220,$4004_vol,4
221,$4004_duty,3
221,$4004_const,1
221,$4004_vol,4
221,$4013_len,4
221,$4012_addr,248
221,$4011_dac,0
221,$4010_rate,15
222,$4004_duty,3
222,$4004_const,1
222,$4004_vol,4
222,$4000_duty,0
222,$4000_const,1
222,$4000_vol,2
222,$4002_period,145
222,$400B_length,8
223,$4004_duty,3
223,$4004_const,1
223,$4004_vol,4
224,$4004_duty,3
224,$4004_const,1
224,$4004_vol,4
224,$400C_const,1
224,$400C_vol,0
225,$4004_duty,3
225,$4004_const,1
225,$4004_vol,4
226,$4004_duty,3
226,$4004_const,1
226,$4004_vol,4
227,$4004_duty,3
227,$4004_const,1
227,$4004_vol,4
228,$4004_duty,3
228,$4004_const,1
228,$4004_vol,4
228,$4000_duty,0
228,$4000_const,1
228,$4000_vol,6
228,$4002_period,145
228,$400B_length,8
229,$4004_duty,3
229,$4004_const,1
229,$4004_vol,4
230,$4004_duty,3
230,$4004_const,1
230,$4004_vol,3
230,$4008_linear,91
230,$400A_period,1281
230,$400B_length,10
230,$4013_len,4
230,$4012_addr,254
230,$4011_dac,0
230,$4010_rate,8
231,$4004_duty,3
231,$4004_const,1
231,$4004_vol,3
232,$4004_duty,3
232,$4004_const,1
232,$4004_vol,3
233,$4004_duty,3
233,$4004_const,1
233,$4004_vol,3
234,$4004_duty,3
234,$4004_const,1
234,$4004_vol,3
234,$4000_duty,0
234,$4000_const,1
234,$4000_vol,4
234,$4002_period,145
234,$400B_length,8
235,$4004_duty,3
235,$4004_const,1
235,$4004_vol,3
236,$4004_duty,3
236,$4004_const,1
236,$4004_vol,3
237,$4004_duty,3
237,$4004_const,1
237,$4004_vol,3
238,$4004_duty,3
238,$4004_const,1
238,$4004_vol,3
239,$4004_duty,3
239,$4004_const,1
239,$4004_vol,3
239,$400C_const,1
239,$400C_vol,0
240,$4004_duty,3
240,$4004_const,1
240,$4004_vol,3
240,$4000_duty,0
240,$4000_const,1
240,$4000_vol,9
240,$4002_period,145
240,$400B_length,8
240,$400C_const,1
240,$400C_vol,10
240,$400E_period,2
240,$400E_mode,0
241,$4004_duty,3
241,$4004_const,1
241,$4004_vol,3
241,$400C_const,1
241,$400C_vol,10
241,$400E_period,1
241,$400E_mode,0
242,$4004_duty,3
242,$4004_const,1
242,$4004_vol,3
242,$400C_const,1
242,$400C_vol,7
242,$400E_period,1
242,$400E_mode,0
243,$4004_duty,3
243,$4004_const,1
243,$4004_vol,3
243,$400C_const,1
243,$400C_vol,6
243,$400E_period,1
243,$400E_mode,0
244,$4004_duty,3
244,$4004_const,1
244,$4004_vol,2
244,$400C_const,1
244,$400C_vol,6
244,$400E_period,1
244,$400E_mode,0
245,$4004_duty,3
245,$4004_const,1
245,$4004_vol,2
245,$400C_const,1
245,$400C_vol,5
245,$400E_period,0
245,$400E_mode,0
246,$4004_duty,3
246,$4004_const,1
246,$4004_vol,2
246,$4000_duty,0
246,$4000_const,1
246,$4000_vol,6
246,$4002_period,145
246,$400B_length,8
246,$400C_const,1
246,$400C_vol,5
246,$400E_period,1
246,$400E_mode,0
247,$4004_duty,3
247,$4004_const,1
247,$4004_vol,2
247,$400C_const,1
247,$400C_vol,5
247,$400E_period,0
247,$400E_mode,0
248,$4004_duty,3
248,$4004_const,1
248,$4004_vol,2
248,$400C_const,1
248,$400C_vol,5
248,$400E_period,1
248,$400E_mode,0
248,$4013_len,4
248,$4012_addr,248
248,$4011_dac,0
248,$4010_rate,15
249,$4004_duty,3
249,$4004_const,1
249,$4004_vol,2
249,$400C_const,1
249,$400C_vol,5
249,$400E_period,0
249,$400E_mode,0
250,$4004_duty,3
250,$4004_const,1
250,$4004_vol,2
250,$400C_const,1
250,$400C_vol,4
250,$400E_period,1
250,$400E_mode,0
251,$4004_duty,3
251,$4004_const,1
251,$4004_vol,2
251,$400C_const,1
251,$400C_vol,3
251,$400E_period,0
251,$400E_mode,0
252,$4004_duty,3
252,$4004_const,1
252,$4004_vol,2
252,$4000_duty,0
252,$4000_const,1
252,$4000_vol,11
252,$4002_period,145
252,$400B_length,8
252,$400C_const,1
252,$400C_vol,2
252,$400E_period,0
252,$400E_mode,0
253,$4004_duty,3
253,$4004_const,1
253,$4004_vol,2
253,$400C_const,1
253,$400C_vol,2
253,$400E_period,0
253,$400E_mode,0
254,$4004_duty,3
254,$4004_const,1
