frame,parameter,value
123,$4000_duty,2
123,$4000_const,0
123,$4000_vol,1
123,$4001_sweep,127
123,$4002_period,855
123,$400B_length,65
123,$4004_duty,2
123,$4004_const,0
123,$4004_vol,2
123,$4005_sweep,127
123,$4006_period,1711
131,$4000_duty,2
131,$4000_const,0
131,$4000_vol,1
131,$4001_sweep,127
131,$4002_period,427
131,$400B_length,64
139,$4000_duty,2
139,$4000_const,0
139,$4000_vol,1
139,$4001_sweep,127
139,$4002_period,571
139,$400B_length,65
147,$4000_duty,2
147,$4000_const,0
147,$4000_vol,1
147,$4001_sweep,127
147,$4002_period,679
147,$400B_length,65
147,$4004_duty,2
147,$4004_const,0
147,$4004_vol,2
147,$4005_sweep,127
147,$4006_period,1143
155,$4000_duty,2
155,$4000_const,0
155,$4000_vol,1
155,$4001_sweep,127
155,$4002_period,427
155,$400B_length,64
155,$4004_duty,2
155,$4004_const,0
155,$4004_vol,2
155,$4005_sweep,127
155,$4006_period,1711
162,$4000_duty,2
162,$4000_const,0
162,$4000_vol,1
162,$4001_sweep,127
162,$4002_period,571
162,$400B_length,65
169,$4000_duty,2
169,$4000_const,0
169,$4000_vol,1
169,$4001_sweep,127
169,$4002_period,679
169,$400B_length,65
169,$4004_duty,2
169,$4004_const,0
169,$4004_vol,2
169,$4005_sweep,127
169,$4006_period,1143
187,$4000_duty,2
187,$4000_const,0
187,$4000_vol,1
187,$4001_sweep,127
187,$4002_period,807
187,$400B_length,65
187,$4004_duty,2
187,$4004_const,0
187,$4004_vol,2
187,$4005_sweep,127
187,$4006_period,1615
195,$4000_duty,2
195,$4000_const,0
195,$4000_vol,1
195,$4001_sweep,127
195,$4002_period,403
195,$400B_length,64
203,$4000_duty,2
203,$4000_const,0
203,$4000_vol,1
203,$4001_sweep,127
203,$4002_period,539
203,$400B_length,65
211,$4000_duty,2
211,$4000_const,0
211,$4000_vol,1
211,$4001_sweep,127
211,$4002_period,641
211,$400B_length,65
211,$4004_duty,2
211,$4004_const,0
211,$4004_vol,2
211,$4005_sweep,127
211,$4006_period,1079
219,$4000_duty,2
219,$4000_const,0
219,$4000_vol,1
219,$4001_sweep,127
219,$4002_period,403
219,$400B_length,64
219,$4004_duty,2
219,$4004_const,0
219,$4004_vol,2
219,$4005_sweep,127
219,$4006_period,1615
226,$4000_duty,2
226,$4000_const,0
226,$4000_vol,1
226,$4001_sweep,127
226,$4002_period,539
226,$400B_length,65
233,$4000_duty,2
233,$4000_const,0
233,$4000_vol,1
233,$4001_sweep,127
233,$4002_period,641
233,$400B_length,65
233,$4004_duty,2
233,$4004_const,0
233,$4004_vol,2
233,$4005_sweep,127
233,$4006_period,1079
251,$4000_duty,2
251,$4000_const,0
251,$4000_vol,1
251,$4001_sweep,127
251,$4002_period,855
251,$400B_length,65
251,$4004_duty,2
251,$4004_const,0
251,$4004_vol,2
251,$4005_sweep,127
251,$4006_period,1711
259,$4000_duty,2
259,$4000_const,0
259,$4000_vol,1
259,$4001_sweep,127
259,$4002_period,427
259,$400B_length,64
267,$4000_duty,2
267,$4000_const,0
267,$4000_vol,1
267,$4001_sweep,127
267,$4002_period,571
267,$400B_length,65
275,$4000_duty,2
275,$4000_const,0
275,$4000_vol,1
275,$4001_sweep,127
275,$4002_period,679
275,$400B_length,65
275,$4004_duty,2
275,$4004_const,0
275,$4004_vol,2
275,$4005_sweep,127
275,$4006_period,1143
283,$4000_duty,2
283,$4000_const,0
283,$4000_vol,1
283,$4001_sweep,127
283,$4002_period,427
283,$400B_length,64
283,$4004_duty,2
283,$4004_const,0
283,$4004_vol,2
283,$4005_sweep,127
283,$4006_period,1711
290,$4000_duty,2
290,$4000_const,0
290,$4000_vol,1
290,$4001_sweep,127
290,$4002_period,571
290,$400B_length,65
297,$4000_duty,2
297,$4000_const,0
297,$4000_vol,1
297,$4001_sweep,127
297,$4002_period,679
297,$400B_length,65
297,$4004_duty,2
297,$4004_const,0
297,$4004_vol,2
297,$4005_sweep,127
297,$4006_period,1143
315,$4000_duty,2
315,$4000_const,0
315,$4000_vol,1
315,$4001_sweep,127
315,$4002_period,719
315,$400B_length,65
315,$4004_duty,2
315,$4004_const,0
315,$4004_vol,2
315,$4005_sweep,127
315,$4006_period,1143
320,$4000_duty,2
320,$4000_const,0
320,$4000_vol,1
320,$4001_sweep,127
320,$4002_period,679
320,$400B_length,65
325,$4000_duty,2
325,$4000_const,0
325,$4000_vol,1
325,$4001_sweep,127
325,$4002_period,641
325,$400B_length,65
330,$4000_duty,2
330,$4000_const,0
330,$4000_vol,1
330,$4001_sweep,127
330,$4002_period,641
330,$400B_length,65
330,$4004_duty,2
330,$4004_const,0
330,$4004_vol,2
330,$4005_sweep,127
330,$4006_period,1017
335,$4000_duty,2
335,$4000_const,0
335,$4000_vol,1
335,$4001_sweep,127
335,$4002_period,605
335,$400B_length,65
340,$4000_duty,2
340,$4000_const,0
340,$4000_vol,1
340,$4001_sweep,127
340,$4002_period,571
340,$400B_length,65
345,$4000_duty,2
345,$4000_const,0
345,$4000_vol,1
345,$4001_sweep,127
345,$4002_period,571
345,$400B_length,65
345,$4004_duty,2
345,$4004_const,0
345,$4004_vol,2
345,$4005_sweep,127
345,$4006_period,907
350,$4000_duty,2
350,$4000_const,0
350,$4000_vol,1
350,$4001_sweep,127
350,$4002_period,539
350,$400B_length,65
355,$4000_duty,2
355,$4000_const,0
355,$4000_vol,1
355,$4001_sweep,127
355,$4002_period,509
355,$400B_length,64
360,$4000_duty,2
360,$4000_const,0
360,$4000_vol,1
360,$4001_sweep,127
360,$4002_period,427
360,$400B_length,64
360,$4004_duty,2
360,$4004_const,0
360,$4004_vol,2
360,$4005_sweep,127
360,$4006_period,855
374,$4000_duty,2
374,$4000_const,1
374,$4000_vol,15
374,$4001_sweep,127
374,$4002_period,509
374,$400B_length,40
374,$4004_duty,2
374,$4004_const,1
374,$4004_vol,12
374,$4005_sweep,127
374,$4006_period,855
375,$4000_duty,2
375,$4000_const,1
375,$4000_vol,15
375,$4001_sweep,127
375,$4002_period,571
375,$400B_length,41
375,$4004_duty,2
375,$4004_const,1
375,$4004_vol,12
375,$4005_sweep,127
375,$4006_period,679
376,$4000_duty,2
376,$4000_const,1
376,$4000_vol,15
376,$4001_sweep,127
376,$4002_period,679
376,$400B_length,41
376,$4004_duty,2
376,$4004_const,1
376,$4004_vol,12
376,$4005_sweep,127
376,$4006_period,571
377,$4000_duty,2
377,$4000_const,1
377,$4000_vol,15
377,$4001_sweep,127
377,$4002_period,807
377,$400B_length,41
377,$4004_duty,2
377,$4004_const,1
377,$4004_vol,12
377,$4005_sweep,127
377,$4006_period,481
378,$4000_duty,2
378,$4000_const,1
378,$4000_vol,15
