frame,parameter,value
203,$4000_duty,0
203,$4000_const,1
203,$4000_vol,0
203,$4001_sweep,48
203,$4004_duty,0
203,$4004_const,1
203,$4004_vol,0
203,$4005_sweep,48
203,$4008_linear,0
204,$4000_duty,2
204,$4000_const,1
204,$4000_vol,5
204,$4002_period,513
204,$400B_length,9
204,$4004_duty,3
204,$4004_const,1
204,$4004_vol,4
204,$4006_period,1025
204,$400C_const,1
204,$400C_vol,0
204,$4008_linear,27
204,$400A_period,1025
204,$400B_length,10
204,$400C_const,1
204,$400C_vol,0
204,$400C_const,1
204,$400C_vol,8
204,$400E_period,3
204,$400E_mode,0
205,$4000_duty,2
205,$4000_const,1
205,$4000_vol,4
205,$4004_duty,3
205,$4004_const,1
205,$4004_vol,3
205,$400C_const,1
205,$400C_vol,3
205,$400E_period,1
205,$400E_mode,0
206,$4000_duty,2
206,$4000_const,1
206,$4000_vol,3
206,$4004_duty,3
206,$4004_const,1
206,$4004_vol,2
206,$400C_const,1
206,$400C_vol,1
206,$400E_period,1
206,$400E_mode,0
207,$400C_const,1
207,$400C_vol,0
212,$4000_duty,2
212,$4000_const,1
212,$4000_vol,2
213,$4000_duty,2
213,$4000_const,1
213,$4000_vol,1
213,$4004_duty,3
213,$4004_const,1
213,$4004_vol,1
214,$4000_duty,2
214,$4000_const,1
214,$4000_vol,0
214,$4004_duty,3
214,$4004_const,1
214,$4004_vol,0
216,$4000_duty,2
216,$4000_const,1
216,$4000_vol,5
216,$4004_duty,3
216,$4004_const,1
216,$4004_vol,4
216,$400C_const,1
216,$400C_vol,0
216,$4008_linear,27
216,$400A_period,1525
216,$400B_length,10
216,$400C_const,1
216,$400C_vol,0
216,$400C_const,1
216,$400C_vol,8
216,$400E_period,3
216,$400E_mode,0
217,$4000_duty,2
217,$4000_const,1
217,$4000_vol,4
217,$4004_duty,3
217,$4004_const,1
217,$4004_vol,3
217,$400C_const,1
217,$400C_vol,3
217,$400E_period,1
217,$400E_mode,0
218,$4000_duty,2
218,$4000_const,1
218,$4000_vol,3
218,$4004_duty,3
218,$4004_const,1
218,$4004_vol,2
218,$400C_const,1
218,$400C_vol,1
218,$400E_period,1
218,$400E_mode,0
219,$400C_const,1
219,$400C_vol,0
224,$4000_duty,2
224,$4000_const,1
224,$4000_vol,2
225,$4000_duty,2
225,$4000_const,1
225,$4000_vol,1
225,$4004_duty,3
225,$4004_const,1
225,$4004_vol,1
226,$4000_duty,2
226,$4000_const,1
226,$4000_vol,0
226,$4004_duty,3
226,$4004_const,1
226,$4004_vol,0
228,$4000_duty,2
228,$4000_const,1
228,$4000_vol,5
228,$4004_duty,3
228,$4004_const,1
228,$4004_vol,4
228,$400C_const,1
228,$400C_vol,0
228,$4008_linear,27
228,$400A_period,1439
228,$400B_length,10
228,$400C_const,1
228,$400C_vol,0
228,$400C_const,1
228,$400C_vol,8
228,$400E_period,3
228,$400E_mode,0
229,$4000_duty,2
229,$4000_const,1
229,$4000_vol,4
229,$4004_duty,3
229,$4004_const,1
229,$4004_vol,3
229,$400C_const,1
229,$400C_vol,3
229,$400E_period,1
229,$400E_mode,0
230,$4000_duty,2
230,$4000_const,1
230,$4000_vol,3
230,$4004_duty,3
230,$4004_const,1
230,$4004_vol,2
230,$400C_const,1
230,$400C_vol,1
230,$400E_period,1
230,$400E_mode,0
231,$400C_const,1
231,$400C_vol,0
236,$4000_duty,2
236,$4000_const,1
236,$4000_vol,2
237,$4000_duty,2
237,$4000_const,1
237,$4000_vol,1
237,$4004_duty,3
237,$4004_const,1
237,$4004_vol,1
238,$4000_duty,2
238,$4000_const,1
238,$4000_vol,0
238,$4004_duty,3
238,$4004_const,1
238,$4004_vol,0
240,$4000_duty,2
240,$4000_const,1
240,$4000_vol,5
240,$4004_duty,3
240,$4004_const,1
240,$4004_vol,4
240,$400C_const,1
240,$400C_vol,0
240,$4008_linear,27
240,$400A_period,1143
240,$400B_length,10
240,$400C_const,1
240,$400C_vol,0
240,$400C_const,1
240,$400C_vol,8
240,$400E_period,3
240,$400E_mode,0
241,$4000_duty,2
241,$4000_const,1
241,$4000_vol,4
241,$4004_duty,3
241,$4004_const,1
241,$4004_vol,3
241,$400C_const,1
241,$400C_vol,3
241,$400E_period,1
241,$400E_mode,0
242,$4000_duty,2
242,$4000_const,1
242,$4000_vol,3
242,$4004_duty,3
242,$4004_const,1
242,$4004_vol,2
242,$400C_const,1
242,$400C_vol,1
242,$400E_period,1
242,$400E_mode,0
243,$400C_const,1
243,$400C_vol,0
248,$4000_duty,2
248,$4000_const,1
248,$4000_vol,2
249,$4000_duty,2
249,$4000_const,1
249,$4000_vol,1
249,$4004_duty,3
249,$4004_const,1
249,$4004_vol,1
250,$4000_duty,2
250,$4000_const,1
250,$4000_vol,0
250,$4004_duty,3
250,$4004_const,1
250,$4004_vol,0
252,$4000_duty,2
252,$4000_const,1
252,$4000_vol,5
252,$4004_duty,3
252,$4004_const,1
252,$4004_vol,4
252,$400C_const,1
252,$400C_vol,0
252,$4008_linear,27
252,$400A_period,1209
252,$400B_length,10
252,$400C_const,1
252,$400C_vol,0
252,$400C_const,1
252,$400C_vol,8
252,$400E_period,3
252,$400E_mode,0
253,$4000_duty,2
253,$4000_const,1
253,$4000_vol,4
253,$4004_duty,3
253,$4004_const,1
253,$4004_vol,3
253,$400C_const,1
253,$400C_vol,3
253,$400E_period,1
253,$400E_mode,0
254,$4000_duty,2
254,$4000_const,1
254,$4000_vol,3
254,$4004_duty,3
254,$4004_const,1
254,$4004_vol,2
254,$400C_const,1
254,$400C_vol,1
254,$400E_period,1
254,$400E_mode,0
255,$400C_const,1
255,$400C_vol,0
258,$400C_const,1
258,$400C_vol,0
258,$4008_linear,48
258,$400C_const,1
258,$400C_vol,0
258,$400C_const,1
258,$400C_vol,8
258,$400E_period,3
258,$400E_mode,0
259,$400C_const,1
259,$400C_vol,3
259,$400E_period,1
259,$400E_mode,0
260,$4000_duty,2
260,$4000_const,1
260,$4000_vol,2
260,$400C_const,1
260,$400C_vol,1
260,$400E_period,1
260,$400E_mode,0
261,$4000_duty,2
261,$4000_const,1
261,$4000_vol,1
261,$4004_duty,3
261,$4004_const,1
261,$4004_vol,1
261,$400C_const,1
261,$400C_vol,0
262,$4000_duty,2
262,$4000_const,1
262,$4000_vol,0
262,$4004_duty,3
262,$4004_const,1
262,$4004_vol,0
264,$4000_duty,2
264,$4000_const,1
264,$4000_vol,5
264,$4004_duty,3
264,$4004_const,1
264,$4004_vol,4
264,$400C_const,1
264,$400C_vol,0
264,$4008_linear,27
264,$400A_period,1143
264,$400B_length,10
264,$400C_const,1
264,$400C_vol,0
264,$400C_const,1
264,$400C_vol,8
264,$400E_period,3
264,$400E_mode,0
265,$4000_duty,2
265,$4000_const,1
265,$4000_vol,4
265,$4004_duty,3
265,$4004_const,1
265,$4004_vol,3
265,$400C_const,1
265,$400C_vol,3
265,$400E_period,1
265,$400E_mode,0
266,$4000_duty,2
266,$4000_const,1
266,$4000_vol,3
266,$4004_duty,3
266,$4004_const,1
266,$4004_vol,2
266,$400C_const,1
266,$400C_vol,1
266,$400E_period,1
266,$400E_mode,0
267,$400C_const,1
267,$400C_vol,0
270,$400C_const,1
270,$400C_vol,0
270,$4008_linear,48
270,$400C_const,1
270,$400C_vol,0
270,$400C_const,1
270,$400C_vol,8
270,$400E_period,3
270,$400E_mode,0
271,$400C_const,1
271,$400C_vol,3
271,$400E_period,1
271,$400E_mode,0
272,$4000_duty,2
272,$4000_const,1
272,$4000_vol,2
272,$400C_const,1
272,$400C_vol,1
272,$400E_period,1
272,$400E_mode,0
273,$4000_duty,2
273,$4000_const,1
273,$4000_vol,1
273,$4004_duty,3
273,$4004_const,1
273,$4004_vol,1
273,$400C_const,1
273,$400C_vol,0
274,$4000_duty,2
274,$4000_const,1
274,$4000_vol,0
274,$4004_duty,3
274,$4004_const,1
274,$4004_vol,0
276,$4000_duty,2
276,$4000_const,1
276,$4000_vol,5
276,$4004_duty,3
276,$4004_const,1
276,$4004_vol,4
276,$400C_const,1
276,$400C_vol,0
276,$4008_linear,27
276,$400A_period,1209
276,$400B_length,10
276,$400C_const,1
276,$400C_vol,0
276,$400C_const,1
276,$400C_vol,6
276,$400E_period,6
276,$400E_mode,0
277,$4000_duty,2
277,$4000_const,1
277,$4000_vol,4
277,$4004_duty,3
277,$4004_const,1
277,$4004_vol,3
278,$4000_duty,2
278,$4000_const,1
278,$4000_vol,3
278,$4004_duty,3
278,$4004_const,1
278,$4004_vol,2
279,$400C_const,1
279,$400C_vol,2
279,$400E_period,6
279,$400E_mode,0
282,$400C_const,1
282,$400C_vol,1
282,$400E_period,1
282,$400E_mode,0
284,$4000_duty,2
284,$4000_const,1
284,$4000_vol,2
285,$4000_duty,2
285,$4000_const,1
285,$4000_vol,1
285,$4004_duty,3
285,$4004_const,1
285,$4004_vol,1
285,$400C_const,1
285,$400C_vol,0
286,$4000_duty,2
286,$4000_const,1
286,$4000_vol,0
286,$4004_duty,3
286,$4004_const,1
286,$4004_vol,0
288,$4000_duty,2
288,$4000_const,1
288,$4000_vol,5
288,$4004_duty,3
288,$4004_const,1
288,$4004_vol,4
288,$400C_const,1
288,$400C_vol,0
288,$4008_linear,27
288,$400A_period,1281
288,$400B_length,10
288,$400C_const,1
288,$400C_vol,0
288,$400C_const,1
288,$400C_vol,6
288,$400E_period,6
288,$400E_mode,0
289,$4000_duty,2
289,$4000_const,1
289,$4000_vol,4
289,$4004_duty,3
289,$4004_const,1
289,$4004_vol,3
290,$4000_duty,2
290,$4000_const,1
290,$4000_vol,3
290,$4004_duty,3
290,$4004_const,1
290,$4004_vol,2
291,$400C_const,1
291,$400C_vol,2
291,$400E_period,6
291,$400E_mode,0
294,$400C_const,1
294,$400C_vol,1
294,$400E_period,1
294,$400E_mode,0
296,$4000_duty,2
296,$4000_const,1
296,$4000_vol,2
297,$4000_duty,2
297,$4000_const,1
297,$4000_vol,1
297,$4004_duty,3
297,$4004_const,1
297,$4004_vol,1
297,$400C_const,1
297,$400C_vol,0
298,$4000_duty,2
298,$4000_const,1
298,$4000_vol,0
298,$4004_duty,3
298,$4004_const,1
298,$4004_vol,0
300,$4000_duty,2
300,$4000_const,1
300,$4000_vol,5
300,$4002_period,93
300,$400B_length,8
300,$4004_duty,2
300,$4004_const,1
300,$4004_vol,4
300,$4006_period,699
300,$400C_const,1
300,$400C_vol,0
300,$4008_linear,27
300,$400A_period,1209
300,$400B_length,10
300,$400C_const,1
300,$400C_vol,0
300,$400C_const,1
300,$400C_vol,8
300,$400E_period,3
300,$400E_mode,0
301,$4000_duty,2
301,$4000_const,1
301,$4000_vol,4
301,$4004_duty,2
301,$4004_const,1
301,$4004_vol,3
301,$400C_const,1
301,$400C_vol,3
301,$400E_period,1
301,$400E_mode,0
302,$4000_duty,2
302,$4000_const,1
302,$4000_vol,3
302,$4004_duty,2
302,$4004_const,1
302,$4004_vol,2
302,$400C_const,1
302,$400C_vol,1
302,$400E_period,1
302,$400E_mode,0
303,$400C_const,1
303,$400C_vol,0
312,$400C_const,1
312,$400C_vol,0
312,$4008_linear,27
312,$400A_period,631
312,$400B_length,9
312,$400C_const,1
312,$400C_vol,0
312,$400C_const,1
312,$400C_vol,8
312,$400E_period,3
312,$400E_mode,0
313,$400C_const,1
313,$400C_vol,3
313,$400E_period,1
313,$400E_mode,0
314,$400C_const,1
314,$400C_vol,1
314,$400E_period,1
314,$400E_mode,0
315,$400C_const,1
315,$400C_vol,0
324,$400C_const,1
324,$400C_vol,0
324,$4008_linear,27
324,$400A_period,961
324,$400B_length,9
324,$400C_const,1
324,$400C_vol,0
324,$400C_const,1
324,$400C_vol,6
324,$400E_period,6
324,$400E_mode,0
327,$400C_const,1
327,$400C_vol,2
327,$400E_period,6
327,$400E_mode,0
330,$400C_const,1
330,$400C_vol,1
330,$400E_period,1
330,$400E_mode,0
332,$4000_duty,2
332,$4000_const,1
332,$4000_vol,2
332,$4004_duty,2
332,$4004_const,1
332,$4004_vol,1
333,$4000_duty,2
333,$4000_const,1
333,$4000_vol,1
333,$4004_duty,2
333,$4004_const,1
333,$4004_vol,0
333,$400C_const,1
333,$400C_vol,0
334,$4000_duty,2
334,$4000_const,1
334,$4000_vol,0
336,$4000_duty,2
336,$4000_const,1
336,$4000_vol,5
336,$4004_duty,2
336,$4004_const,1
336,$4004_vol,4
336,$400C_const,1
336,$400C_vol,0
336,$4008_linear,27
336,$400A_period,807
336,$400B_length,9
336,$400C_const,1
336,$400C_vol,0
336,$400C_const,1
336,$400C_vol,8
336,$400E_period,3
336,$400E_mode,0
337,$4000_duty,2
337,$4000_const,1
337,$4000_vol,4
337,$4004_duty,2
337,$4004_const,1
337,$4004_vol,3
337,$400C_const,1
337,$400C_vol,3
337,$400E_period,1
337,$400E_mode,0
338,$4000_duty,2
338,$4000_const,1
338,$4000_vol,3
338,$4004_duty,2
338,$4004_const,1
338,$4004_vol,2
338,$400C_const,1
338,$400C_vol,1
338,$400E_period,1
338,$400E_mode,0
339,$400C_const,1
339,$400C_vol,0
348,$400C_const,1
348,$400C_vol,0
348,$4008_linear,27
348,$400A_period,763
348,$400B_length,9
348,$400C_const,1
348,$400C_vol,0
348,$400C_const,1
348,$400C_vol,8
348,$400E_period,3
348,$400E_mode,0
349,$400C_const,1
349,$400C_vol,3
349,$400E_period,1
349,$400E_mode,0
350,$400C_const,1
350,$400C_vol,1
350,$400E_period,1
350,$400E_mode,0
351,$400C_const,1
351,$400C_vol,0
360,$400C_const,1
360,$400C_vol,0
360,$4008_linear,27
360,$400A_period,59
360,$400B_length,8
360,$400C_const,1
360,$400C_vol,0
360,$400C_const,1
360,$400C_vol,8
360,$400E_period,3
360,$400E_mode,0
361,$400C_const,1
361,$400C_vol,3
361,$400E_period,1
361,$400E_mode,0
362,$400C_const,1
362,$400C_vol,1
362,$400E_period,1
362,$400E_mode,0
363,$400C_const,1
363,$400C_vol,0
368,$4000_duty,2
368,$4000_const,1
368,$4000_vol,2
368,$4004_duty,2
368,$4004_const,1
368,$4004_vol,1
369,$4000_duty,2
369,$4000_const,1
369,$4000_vol,1
369,$4004_duty,2
369,$4004_const,1
369,$4004_vol,0
370,$4000_duty,2
370,$4000_const,1
370,$4000_vol,0
372,$4000_duty,2
372,$4000_const,1
372,$4000_vol,5
372,$4002_period,993
372,$400B_length,9
372,$4004_duty,2
372,$4004_const,1
372,$4004_vol,4
372,$400C_const,1
372,$400C_vol,0
372,$4008_linear,27
372,$400A_period,481
372,$400B_length,8
372,$400C_const,1
372,$400C_vol,0
372,$400C_const,1
372,$400C_vol,6
372,$400E_period,6
372,$400E_mode,0
373,$4000_duty,2
373,$4000_const,1
373,$4000_vol,4
373,$4004_duty,2
373,$4004_const,1
373,$4004_vol,3
374,$4000_duty,2
374,$4000_const,1
374,$4000_vol,3
374,$4004_duty,2
374,$4004_const,1
374,$4004_vol,2
375,$400C_const,1
375,$400C_vol,2
375,$400E_period,6
375,$400E_mode,0
378,$400C_const,1
378,$400C_vol,1
378,$400E_period,1
378,$400E_mode,0
381,$400C_const,1
381,$400C_vol,0
384,$400C_const,1
384,$400C_vol,0
384,$4008_linear,27
384,$400A_period,403
384,$400B_length,8
384,$400C_const,1
384,$400C_vol,0
384,$400C_const,1
384,$400C_vol,8
384,$400E_period,3
384,$400E_mode,0
385,$400C_const,1
385,$400C_vol,3
385,$400E_period,1
385,$400E_mode,0
386,$400C_const,1
386,$400C_vol,1
386,$400E_period,1
386,$400E_mode,0
387,$400C_const,1
387,$400C_vol,0
396,$400C_const,1
396,$400C_vol,0
396,$4008_linear,27
396,$400A_period,1405
396,$400B_length,10
396,$400C_const,1
396,$400C_vol,0
396,$400C_const,1
396,$400C_vol,8
396,$400E_period,3
396,$400E_mode,0
397,$400C_const,1
397,$400C_vol,3
397,$400E_period,1
397,$400E_mode,0
398,$400C_const,1
398,$400C_vol,1
398,$400E_period,1
398,$400E_mode,0
399,$400C_const,1
399,$400C_vol,0
408,$400C_const,1
408,$400C_vol,0
408,$4008_linear,27
408,$400A_period,631
408,$400B_length,9
408,$400C_const,1
408,$400C_vol,0
408,$400C_const,1
408,$400C_vol,8
408,$400E_period,3
408,$400E_mode,0
409,$400C_const,1
409,$400C_vol,3
409,$400E_period,1
409,$400E_mode,0
410,$400C_const,1
410,$400C_vol,1
410,$400E_period,1
410,$400E_mode,0
411,$400C_const,1
411,$400C_vol,0
412,$400C_const,1
412,$400C_vol,0
412,$4008_linear,27
412,$400A_period,961
412,$400B_length,9
412,$400C_const,1
412,$400C_vol,0
412,$400C_const,1
412,$400C_vol,8
412,$400E_period,3
412,$400E_mode,0
413,$400C_const,1
413,$400C_vol,3
413,$400E_period,1
413,$400E_mode,0
414,$400C_const,1
414,$400C_vol,1
414,$400E_period,1
414,$400E_mode,0
415,$400C_const,1
415,$400C_vol,0
416,$4000_duty,2
416,$4000_const,1
416,$4000_vol,2
416,$4004_duty,2
416,$4004_const,1
416,$4004_vol,1
416,$400C_const,1
416,$400C_vol,0
416,$4008_linear,27
416,$400A_period,961
416,$400B_length,9
416,$400C_const,1
416,$400C_vol,0
416,$400C_const,1
416,$400C_vol,8
416,$400E_period,3
416,$400E_mode,0
417,$4000_duty,2
417,$4000_const,1
417,$4000_vol,1
417,$4004_duty,2
417,$4004_const,1
417,$4004_vol,0
417,$400C_const,1
417,$400C_vol,3
417,$400E_period,1
417,$400E_mode,0
418,$4000_duty,2
418,$4000_const,1
418,$4000_vol,0
418,$400C_const,1
418,$400C_vol,1
418,$400E_period,1
418,$400E_mode,0
419,$400C_const,1
419,$400C_vol,0
420,$4000_duty,0
420,$4000_const,1
420,$4000_vol,0
420,$4004_duty,0
420,$4004_const,1
420,$4004_vol,0
420,$400C_const,1
420,$400C_vol,0
420,$4008_linear,27
420,$400A_period,961
420,$400B_length,9
420,$400C_const,1
420,$400C_vol,0
420,$400C_const,1
420,$400C_vol,6
420,$400E_period,6
420,$400E_mode,0
423,$400C_const,1
423,$400C_vol,2
423,$400E_period,6
423,$400E_mode,0
426,$400C_const,1
426,$400C_vol,1
426,$400E_period,1
426,$400E_mode,0
429,$400C_const,1
429,$400C_vol,0
432,$400C_const,1
432,$400C_vol,0
432,$4008_linear,27
432,$400A_period,807
432,$400B_length,9
432,$400C_const,1
432,$400C_vol,0
432,$400C_const,1
432,$400C_vol,8
432,$400E_period,3
432,$400E_mode,0
433,$400C_const,1
433,$400C_vol,3
433,$400E_period,1
433,$400E_mode,0
434,$400C_const,1
434,$400C_vol,1
434,$400E_period,1
434,$400E_mode,0
435,$400C_const,1
435,$400C_vol,0
444,$400C_const,1
444,$400C_vol,0
444,$4008_linear,27
444,$400A_period,763
444,$400B_length,9
444,$400C_const,1
444,$400C_vol,0
444,$400C_const,1
444,$400C_vol,8
444,$400E_period,3
444,$400E_mode,0
445,$400C_const,1
445,$400C_vol,3
445,$400E_period,1
445,$400E_mode,0
446,$400C_const,1
446,$400C_vol,1
446,$400E_period,1
446,$400E_mode,0
447,$400C_const,1
447,$400C_vol,0
456,$4000_duty,2
456,$4000_const,1
456,$4000_vol,5
456,$4004_duty,2
456,$4004_const,1
456,$4004_vol,4
456,$400C_const,1
456,$400C_vol,0
456,$4008_linear,27
456,$400A_period,59
456,$400B_length,8
456,$400C_const,1
456,$400C_vol,0
456,$400C_const,1
456,$400C_vol,8
456,$400E_period,3
456,$400E_mode,0
457,$4000_duty,2
457,$4000_const,1
457,$4000_vol,4
457,$4004_duty,2
457,$4004_const,1
457,$4004_vol,3
457,$400C_const,1
457,$400C_vol,3
457,$400E_period,1
457,$400E_mode,0
458,$4000_duty,2
458,$4000_const,1
458,$4000_vol,3
458,$4004_duty,2
458,$4004_const,1
458,$4004_vol,2
458,$400C_const,1
458,$400C_vol,1
458,$400E_period,1
458,$400E_mode,0
459,$400C_const,1
459,$400C_vol,0
460,$400C_const,1
460,$400C_vol,0
460,$4008_linear,27
460,$400A_period,481
460,$400B_length,8
460,$400C_const,1
460,$400C_vol,0
460,$400C_const,1
460,$400C_vol,8
460,$400E_period,3
460,$400E_mode,0
461,$400C_const,1
461,$400C_vol,3
461,$400E_period,1
461,$400E_mode,0
462,$400C_const,1
462,$400C_vol,1
462,$400E_period,1
462,$400E_mode,0
463,$400C_const,1
463,$400C_vol,0
464,$4000_duty,2
464,$4000_const,1
464,$4000_vol,2
464,$4004_duty,2
464,$4004_const,1
464,$4004_vol,1
464,$400C_const,1
464,$400C_vol,0
464,$4008_linear,27
464,$400A_period,481
464,$400B_length,8
464,$400C_const,1
464,$400C_vol,0
464,$400C_const,1
464,$400C_vol,8
464,$400E_period,3
464,$400E_mode,0
465,$4000_duty,2
465,$4000_const,1
465,$4000_vol,1
465,$4004_duty,2
465,$4004_const,1
465,$4004_vol,0
465,$400C_const,1
465,$400C_vol,3
465,$400E_period,1
465,$400E_mode,0
466,$4000_duty,2
466,$4000_const,1
466,$4000_vol,0
466,$400C_const,1
466,$400C_vol,1
466,$400E_period,1
466,$400E_mode,0
467,$400C_const,1
467,$400C_vol,0
