frame,parameter,value
529,$4000_duty,2
529,$4000_const,1
529,$4000_vol,0
529,$4004_duty,2
529,$4004_const,1
529,$4004_vol,0
530,$4000_duty,2
530,$4000_const,1
530,$4000_vol,0
530,$4002_period,381
530,$400B_length,8
530,$4001_sweep,0
530,$4004_duty,2
530,$4004_const,1
530,$4004_vol,0
530,$4006_period,483
530,$4005_sweep,0
530,$4008_linear,48
530,$400A_period,3437
530,$400B_length,14
530,$4000_duty,2
530,$4000_const,1
530,$4000_vol,5
530,$4004_duty,2
530,$4004_const,1
530,$4004_vol,5
530,$4008_linear,127
531,$4000_duty,2
531,$4000_const,1
531,$4000_vol,5
531,$4004_duty,2
531,$4004_const,1
531,$4004_vol,5
532,$4000_duty,2
532,$4000_const,1
532,$4000_vol,5
532,$4004_duty,2
532,$4004_const,1
532,$4004_vol,5
533,$4000_duty,2
533,$4000_const,1
533,$4000_vol,5
533,$4004_duty,2
533,$4004_const,1
533,$4004_vol,5
534,$4000_duty,2
534,$4000_const,1
534,$4000_vol,5
534,$4004_duty,2
534,$4004_const,1
534,$4004_vol,5
535,$4000_duty,2
535,$4000_const,1
535,$4000_vol,5
535,$4004_duty,2
535,$4004_const,1
535,$4004_vol,5
536,$4000_duty,2
536,$4000_const,1
536,$4000_vol,4
536,$4004_duty,2
536,$4004_const,1
536,$4004_vol,4
537,$4000_duty,2
537,$4000_const,1
537,$4000_vol,4
537,$4004_duty,2
537,$4004_const,1
537,$4004_vol,4
538,$4000_duty,2
538,$4000_const,1
538,$4000_vol,0
538,$4002_period,359
538,$400B_length,8
538,$4001_sweep,0
538,$4004_duty,2
538,$4004_const,1
538,$4004_vol,0
538,$4006_period,457
538,$4005_sweep,0
538,$4000_duty,2
538,$4000_const,1
538,$4000_vol,5
538,$4004_duty,2
538,$4004_const,1
538,$4004_vol,5
539,$4000_duty,2
539,$4000_const,1
539,$4000_vol,5
539,$4004_duty,2
539,$4004_const,1
539,$4004_vol,5
540,$4000_duty,2
540,$4000_const,1
540,$4000_vol,5
540,$4004_duty,2
540,$4004_const,1
540,$4004_vol,5
541,$4000_duty,2
541,$4000_const,1
541,$4000_vol,5
541,$4004_duty,2
541,$4004_const,1
541,$4004_vol,5
542,$4000_duty,2
542,$4000_const,1
542,$4000_vol,5
542,$4004_duty,2
542,$4004_const,1
542,$4004_vol,5
543,$4000_duty,2
543,$4000_const,1
543,$4000_vol,5
543,$4004_duty,2
543,$4004_const,1
543,$4004_vol,5
543,$4008_linear,0
544,$4000_duty,2
544,$4000_const,1
544,$4000_vol,4
544,$4004_duty,2
544,$4004_const,1
544,$4004_vol,4
545,$4000_duty,2
545,$4000_const,1
545,$4000_vol,4
545,$4004_duty,2
545,$4004_const,1
545,$4004_vol,4
546,$4000_duty,2
546,$4000_const,1
546,$4000_vol,0
546,$4002_period,339
546,$400B_length,8
546,$4001_sweep,0
546,$4004_duty,2
546,$4004_const,1
546,$4004_vol,0
546,$4006_period,431
546,$4005_sweep,0
546,$4008_linear,48
546,$400A_period,859
546,$400B_length,9
546,$400C_const,0
546,$400C_vol,0
546,$400E_period,1
546,$400E_mode,0
546,$4000_duty,2
546,$4000_const,1
546,$4000_vol,5
546,$4004_duty,2
546,$4004_const,1
546,$4004_vol,5
546,$4008_linear,127
547,$4000_duty,2
547,$4000_const,1
547,$4000_vol,5
547,$4004_duty,2
547,$4004_const,1
547,$4004_vol,5
548,$4000_duty,2
548,$4000_const,1
548,$4000_vol,5
548,$4004_duty,2
548,$4004_const,1
548,$4004_vol,5
550,$4000_duty,2
550,$4000_const,1
550,$4000_vol,5
550,$4004_duty,2
550,$4004_const,1
550,$4004_vol,5
551,$4000_duty,2
551,$4000_const,1
551,$4000_vol,5
551,$4004_duty,2
551,$4004_const,1
551,$4004_vol,5
552,$4000_duty,2
552,$4000_const,1
552,$4000_vol,5
552,$4004_duty,2
552,$4004_const,1
552,$4004_vol,5
553,$4000_duty,2
553,$4000_const,1
553,$4000_vol,4
553,$4004_duty,2
553,$4004_const,1
