frame,parameter,value
0,$4000_duty,1
0,$4000_const,1
0,$4000_vol,0
0,$4001_sweep,8
0,$4004_duty,1
0,$4004_const,1
0,$4004_vol,1
0,$4005_sweep,8
0,$4008_linear,0
0,$400A_period,423
0,$400B_length,24
0,$400C_const,1
0,$400C_vol,0
0,$400E_period,5
0,$400E_mode,0
1,$4000_duty,1
1,$4000_const,1
1,$4000_vol,0
1,$4001_sweep,8
1,$4004_duty,1
1,$4004_const,1
1,$4004_vol,10
1,$4005_sweep,8
1,$4008_linear,0
1,$400A_period,421
1,$400B_length,24
1,$400C_const,1
1,$400C_vol,0
1,$400E_period,5
1,$400E_mode,0
2,$4000_duty,1
2,$4000_const,1
2,$4000_vol,0
2,$4001_sweep,8
2,$4004_duty,1
2,$4004_const,1
2,$4004_vol,11
2,$4005_sweep,8
2,$4008_linear,0
2,$400A_period,423
2,$400B_length,24
2,$400C_const,1
2,$400C_vol,0
2,$400E_period,5
2,$400E_mode,0
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,0
3,$4001_sweep,8
3,$4004_duty,1
3,$4004_const,1
3,$4004_vol,8
3,$4005_sweep,8
3,$4008_linear,0
3,$400A_period,427
3,$400B_length,24
3,$400C_const,1
3,$400C_vol,0
3,$400E_period,5
3,$400E_mode,0
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,0
4,$4001_sweep,8
4,$4004_duty,1
4,$4004_const,1
4,$4004_vol,6
4,$4005_sweep,8
4,$4008_linear,0
4,$400A_period,429
4,$400B_length,24
4,$400C_const,1
4,$400C_vol,0
4,$400E_period,5
4,$400E_mode,0
5,$4000_duty,1
5,$4000_const,1
5,$4000_vol,0
5,$4001_sweep,8
5,$4004_duty,1
5,$4004_const,1
5,$4004_vol,4
5,$4005_sweep,8
5,$4008_linear,0
5,$400A_period,431
5,$400B_length,24
5,$400C_const,1
5,$400C_vol,0
5,$400E_period,5
5,$400E_mode,0
6,$4000_duty,1
6,$4000_const,1
6,$4000_vol,0
6,$4001_sweep,8
6,$4004_duty,1
6,$4004_const,1
6,$4004_vol,1
6,$4005_sweep,8
6,$4008_linear,0
6,$400A_period,429
6,$400B_length,24
6,$400C_const,1
6,$400C_vol,0
6,$400E_period,5
6,$400E_mode,0
7,$4000_duty,1
7,$4000_const,1
7,$4000_vol,0
7,$4001_sweep,8
7,$4004_duty,1
7,$4004_const,1
7,$4004_vol,10
7,$4005_sweep,8
7,$4008_linear,0
7,$400A_period,427
7,$400B_length,24
7,$400C_const,1
7,$400C_vol,0
7,$400E_period,5
7,$400E_mode,0
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,0
8,$4001_sweep,8
8,$4004_duty,1
8,$4004_const,1
8,$4004_vol,11
8,$4005_sweep,8
8,$4008_linear,0
8,$400A_period,423
8,$400B_length,24
8,$400C_const,1
8,$400C_vol,0
8,$400E_period,5
8,$400E_mode,0
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,0
9,$4001_sweep,8
9,$4004_duty,1
9,$4004_const,1
9,$4004_vol,8
9,$4005_sweep,8
9,$4008_linear,0
9,$400A_period,421
9,$400B_length,24
9,$400C_const,1
9,$400C_vol,0
9,$400E_period,5
9,$400E_mode,0
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,0
10,$4001_sweep,8
10,$4004_duty,1
10,$4004_const,1
10,$4004_vol,6
10,$4005_sweep,8
10,$4008_linear,0
10,$400A_period,423
10,$400B_length,24
10,$400C_const,1
10,$400C_vol,0
10,$400E_period,5
10,$400E_mode,0
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,0
11,$4001_sweep,8
11,$4004_duty,1
11,$4004_const,1
11,$4004_vol,4
11,$4005_sweep,8
11,$4008_linear,0
11,$400A_period,427
11,$400B_length,24
11,$400C_const,1
11,$400C_vol,0
11,$400E_period,5
11,$400E_mode,0
12,$4000_duty,1
12,$4000_const,1
12,$4000_vol,0
12,$4001_sweep,8
12,$4004_duty,1
12,$4004_const,1
12,$4004_vol,1
12,$4005_sweep,8
12,$4008_linear,0
12,$400A_period,429
12,$400B_length,24
12,$400C_const,1
12,$400C_vol,0
12,$400E_period,5
12,$400E_mode,0
13,$4000_duty,1
13,$4000_const,1
13,$4000_vol,0
13,$4001_sweep,8
13,$4004_duty,1
13,$4004_const,1
13,$4004_vol,10
13,$4005_sweep,8
13,$4008_linear,0
13,$400A_period,431
13,$400B_length,24
13,$400C_const,1
13,$400C_vol,0
13,$400E_period,5
13,$400E_mode,0
14,$4000_duty,1
14,$4000_const,1
14,$4000_vol,0
14,$4001_sweep,8
14,$4004_duty,1
14,$4004_const,1
14,$4004_vol,11
14,$4005_sweep,8
14,$4008_linear,0
14,$400A_period,429
14,$400B_length,24
14,$400C_const,1
14,$400C_vol,0
14,$400E_period,5
14,$400E_mode,0
15,$4000_duty,1
15,$4000_const,1
15,$4000_vol,0
15,$4001_sweep,8
15,$4004_duty,1
15,$4004_const,1
15,$4004_vol,8
15,$4005_sweep,8
15,$4008_linear,0
15,$400A_period,427
15,$400B_length,24
15,$400C_const,1
15,$400C_vol,0
15,$400E_period,5
15,$400E_mode,0
16,$4000_duty,1
16,$4000_const,1
16,$4000_vol,0
16,$4001_sweep,8
16,$4004_duty,1
16,$4004_const,1
16,$4004_vol,6
16,$4005_sweep,8
16,$4008_linear,0
16,$400A_period,423
16,$400B_length,24
16,$400C_const,1
16,$400C_vol,0
16,$400E_period,5
16,$400E_mode,0
17,$4000_duty,1
17,$4000_const,1
17,$4000_vol,0
17,$4001_sweep,8
17,$4004_duty,1
17,$4004_const,1
17,$4004_vol,4
17,$4005_sweep,8
17,$4008_linear,0
17,$400A_period,421
17,$400B_length,24
17,$400C_const,1
17,$400C_vol,0
17,$400E_period,5
17,$400E_mode,0
18,$4000_duty,1
18,$4000_const,1
18,$4000_vol,0
18,$4001_sweep,8
18,$4004_duty,1
18,$4004_const,1
18,$4004_vol,1
18,$4005_sweep,8
18,$4008_linear,0
18,$400A_period,423
18,$400B_length,24
18,$400C_const,1
18,$400C_vol,0
18,$400E_period,5
18,$400E_mode,0
19,$4000_duty,1
19,$4000_const,1
19,$4000_vol,0
19,$4001_sweep,8
19,$4004_duty,1
19,$4004_const,1
19,$4004_vol,10
19,$4005_sweep,8
19,$4008_linear,0
19,$400A_period,427
19,$400B_length,24
19,$400C_const,1
19,$400C_vol,0
19,$400E_period,5
19,$400E_mode,0
20,$4000_duty,1
20,$4000_const,1
20,$4000_vol,0
20,$4001_sweep,8
20,$4004_duty,1
20,$4004_const,1
20,$4004_vol,11
20,$4005_sweep,8
20,$4008_linear,0
20,$400A_period,429
20,$400B_length,24
20,$400C_const,1
20,$400C_vol,0
20,$400E_period,5
20,$400E_mode,0
21,$4000_duty,1
21,$4000_const,1
21,$4000_vol,0
21,$4001_sweep,8
21,$4004_duty,1
21,$4004_const,1
21,$4004_vol,8
21,$4005_sweep,8
21,$4008_linear,0
21,$400A_period,431
21,$400B_length,24
21,$400C_const,1
21,$400C_vol,0
21,$400E_period,5
21,$400E_mode,0
22,$4000_duty,1
22,$4000_const,1
22,$4000_vol,0
22,$4001_sweep,8
22,$4004_duty,1
22,$4004_const,1
22,$4004_vol,6
22,$4005_sweep,8
22,$4008_linear,0
22,$400A_period,429
22,$400B_length,24
22,$400C_const,1
22,$400C_vol,0
22,$400E_period,5
22,$400E_mode,0
23,$4000_duty,1
23,$4000_const,1
23,$4000_vol,0
23,$4001_sweep,8
23,$4004_duty,1
23,$4004_const,1
23,$4004_vol,4
23,$4005_sweep,8
23,$4008_linear,0
23,$400A_period,427
23,$400B_length,24
23,$400C_const,1
23,$400C_vol,0
23,$400E_period,5
23,$400E_mode,0
24,$4000_duty,1
24,$4000_const,1
24,$4000_vol,0
24,$4001_sweep,8
24,$4004_duty,1
24,$4004_const,1
24,$4004_vol,1
24,$4005_sweep,8
24,$4008_linear,0
24,$400A_period,423
24,$400B_length,24
24,$400C_const,1
24,$400C_vol,0
24,$400E_period,5
24,$400E_mode,0
25,$4000_duty,1
25,$4000_const,1
25,$4000_vol,0
25,$4001_sweep,8
25,$4004_duty,1
25,$4004_const,1
25,$4004_vol,10
25,$4005_sweep,8
25,$4008_linear,0
25,$400A_period,421
25,$400B_length,24
25,$400C_const,1
25,$400C_vol,0
25,$400E_period,5
25,$400E_mode,0
26,$4000_duty,1
26,$4000_const,1
26,$4000_vol,0
26,$4001_sweep,8
26,$4004_duty,1
26,$4004_const,1
26,$4004_vol,11
26,$4005_sweep,8
26,$4008_linear,0
26,$400A_period,423
26,$400B_length,24
26,$400C_const,1
26,$400C_vol,0
26,$400E_period,5
26,$400E_mode,0
27,$4000_duty,1
27,$4000_const,1
27,$4000_vol,0
27,$4001_sweep,8
27,$4004_duty,1
27,$4004_const,1
27,$4004_vol,8
27,$4005_sweep,8
27,$4008_linear,0
27,$400A_period,427
27,$400B_length,24
27,$400C_const,1
27,$400C_vol,0
27,$400E_period,5
27,$400E_mode,0
28,$4000_duty,1
28,$4000_const,1
28,$4000_vol,0
28,$4001_sweep,8
28,$4004_duty,1
28,$4004_const,1
28,$4004_vol,6
28,$4005_sweep,8
28,$4008_linear,0
28,$400A_period,429
28,$400B_length,24
28,$400C_const,1
28,$400C_vol,0
28,$400E_period,5
28,$400E_mode,0
29,$4000_duty,1
29,$4000_const,1
29,$4000_vol,0
29,$4001_sweep,8
29,$4004_duty,1
29,$4004_const,1
29,$4004_vol,4
29,$4005_sweep,8
29,$4008_linear,0
29,$400A_period,431
29,$400B_length,24
29,$400C_const,1
29,$400C_vol,0
29,$400E_period,5
29,$400E_mode,0
30,$4000_duty,1
30,$4000_const,1
30,$4000_vol,0
30,$4001_sweep,8
30,$4004_duty,1
30,$4004_const,1
30,$4004_vol,1
30,$4005_sweep,8
30,$4008_linear,0
30,$400A_period,429
30,$400B_length,24
30,$400C_const,1
30,$400C_vol,0
30,$400E_period,5
30,$400E_mode,0
31,$4000_duty,1
31,$4000_const,1
31,$4000_vol,5
31,$4001_sweep,8
31,$4004_duty,1
31,$4004_const,1
31,$4004_vol,10
31,$4005_sweep,8
31,$4006_period,1017
31,$4008_linear,14
31,$400A_period,339
31,$400B_length,24
31,$400C_const,1
31,$400C_vol,8
31,$400E_period,5
31,$400E_mode,0
32,$4000_duty,1
32,$4000_const,1
32,$4000_vol,10
32,$4001_sweep,8
32,$4004_duty,1
32,$4004_const,1
32,$4004_vol,11
32,$4005_sweep,8
32,$4008_linear,14
32,$400A_period,335
32,$400B_length,24
32,$400C_const,1
32,$400C_vol,6
32,$400E_period,5
32,$400E_mode,0
33,$4000_duty,1
33,$4000_const,1
33,$4000_vol,10
33,$4001_sweep,8
33,$4004_duty,1
33,$4004_const,1
33,$4004_vol,8
33,$4005_sweep,8
33,$4008_linear,14
33,$400A_period,333
33,$400B_length,24
33,$400C_const,1
33,$400C_vol,6
33,$400E_period,5
33,$400E_mode,0
34,$4000_duty,1
34,$4000_const,1
34,$4000_vol,8
34,$4001_sweep,8
34,$4004_duty,1
34,$4004_const,1
34,$4004_vol,6
34,$4005_sweep,8
34,$4008_linear,14
34,$400A_period,335
34,$400B_length,24
34,$400C_const,1
34,$400C_vol,4
34,$400E_period,5
34,$400E_mode,0
35,$4000_duty,1
35,$4000_const,1
35,$4000_vol,7
35,$4001_sweep,8
35,$4004_duty,1
35,$4004_const,1
35,$4004_vol,4
35,$4005_sweep,8
35,$4008_linear,14
35,$400A_period,339
35,$400B_length,24
35,$400C_const,1
35,$400C_vol,2
