frame,parameter,value
0,$4008_linear,0
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,0
1,$4005_sweep,0
1,$400C_const,1
1,$400C_vol,0
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,0
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,0
2,$4008_linear,0
320,$4008_linear,0
322,$4000_duty,2
322,$4000_const,1
322,$4000_vol,5
322,$4002_period,167
322,$400B_length,48
322,$4004_duty,2
322,$4004_const,1
322,$4004_vol,14
322,$4006_period,267
322,$4008_linear,1
322,$400A_period,335
322,$400B_length,48
323,$4000_duty,2
323,$4000_const,1
323,$4000_vol,10
324,$4000_duty,2
324,$4000_const,1
324,$4000_vol,14
325,$4000_duty,2
325,$4000_const,1
325,$4000_vol,10
326,$4000_duty,2
326,$4000_const,1
326,$4000_vol,6
326,$4004_duty,2
326,$4004_const,1
326,$4004_vol,13
327,$4000_duty,2
327,$4000_const,1
327,$4000_vol,2
328,$4000_duty,2
328,$4000_const,1
328,$4000_vol,5
328,$4002_period,189
328,$400B_length,48
328,$4004_duty,2
328,$4004_const,1
328,$4004_vol,14
328,$4006_period,317
330,$4000_duty,2
330,$4000_const,1
330,$4000_vol,10
331,$4000_duty,2
331,$4000_const,1
331,$4000_vol,14
332,$4000_duty,2
332,$4000_const,1
332,$4000_vol,10
333,$4000_duty,2
333,$4000_const,1
333,$4000_vol,6
333,$4004_duty,2
333,$4004_const,1
333,$4004_vol,13
334,$4000_duty,2
334,$4000_const,1
334,$4000_vol,2
335,$4000_duty,2
335,$4000_const,1
335,$4000_vol,5
335,$4002_period,223
335,$400B_length,48
335,$4004_duty,2
335,$4004_const,1
335,$4004_vol,14
335,$4006_period,377
336,$4000_duty,2
336,$4000_const,1
336,$4000_vol,10
338,$4000_duty,2
338,$4000_const,1
338,$4000_vol,14
339,$4000_duty,2
339,$4000_const,1
339,$4000_vol,10
340,$4000_duty,2
340,$4000_const,1
340,$4000_vol,6
340,$4004_duty,2
340,$4004_const,1
340,$4004_vol,13
341,$4000_duty,2
341,$4000_const,1
341,$4000_vol,2
342,$4000_duty,2
342,$4000_const,1
342,$4000_vol,5
342,$4002_period,267
342,$400B_length,48
342,$4004_duty,2
342,$4004_const,1
342,$4004_vol,14
342,$4006_period,447
343,$4000_duty,2
343,$4000_const,1
343,$4000_vol,10
344,$4000_duty,2
344,$4000_const,1
344,$4000_vol,14
346,$4000_duty,2
346,$4000_const,1
346,$4000_vol,10
346,$4008_linear,0
347,$4000_duty,2
347,$4000_const,1
347,$4000_vol,6
347,$4004_duty,2
347,$4004_const,1
347,$4004_vol,13
348,$4000_duty,2
348,$4000_const,1
348,$4000_vol,2
349,$4000_duty,2
349,$4000_const,1
349,$4000_vol,5
349,$4002_period,317
349,$400B_length,48
349,$4004_duty,2
349,$4004_const,1
349,$4004_vol,14
349,$4006_period,533
349,$4008_linear,1
349,$400A_period,671
349,$400B_length,49
350,$4000_duty,2
350,$4000_const,1
350,$4000_vol,10
351,$4000_duty,2
351,$4000_const,1
