frame,parameter,value
0,$4000_duty,3
0,$4000_const,1
0,$4000_vol,9
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,6
0,$4008_linear,127
0,$400C_const,1
0,$400C_vol,0
0,$400E_period,14
0,$400E_mode,0
1,$4000_duty,3
1,$4000_const,1
1,$4000_vol,9
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,6
1,$4008_linear,127
1,$400C_const,1
1,$400C_vol,0
1,$400E_period,14
1,$400E_mode,0
2,$4000_duty,3
2,$4000_const,1
2,$4000_vol,9
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,6
2,$4008_linear,127
2,$400C_const,1
2,$400C_vol,0
2,$400E_period,14
2,$400E_mode,0
3,$4000_duty,3
3,$4000_const,1
3,$4000_vol,9
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,6
3,$4008_linear,127
3,$400C_const,1
3,$400C_vol,0
3,$400E_period,14
3,$400E_mode,0
4,$4000_duty,3
4,$4000_const,1
4,$4000_vol,9
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,6
4,$4008_linear,127
4,$400C_const,1
4,$400C_vol,0
4,$400E_period,14
4,$400E_mode,0
5,$4000_duty,3
5,$4000_const,1
5,$4000_vol,9
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,6
5,$4008_linear,0
5,$400C_const,1
5,$400C_vol,0
5,$400E_period,14
5,$400E_mode,0
6,$4000_duty,3
6,$4000_const,1
6,$4000_vol,9
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,6
7,$4000_duty,3
7,$4000_const,1
7,$4000_vol,8
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,5
8,$4000_duty,3
8,$4000_const,1
8,$4000_vol,14
8,$4002_period,481
8,$400B_length,8
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,11
8,$4006_period,761
8,$4008_linear,127
8,$400A_period,907
8,$400B_length,9
8,$400C_const,1
8,$400C_vol,0
8,$400E_period,14
8,$400E_mode,0
9,$4000_duty,3
9,$4000_const,1
9,$4000_vol,13
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,10
9,$4008_linear,127
10,$4000_duty,3
10,$4000_const,1
10,$4000_vol,12
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,9
10,$4008_linear,127
11,$4000_duty,3
11,$4000_const,1
11,$4000_vol,12
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,9
