frame,parameter,value
0,$4008_linear,15
0,$400C_const,1
0,$400C_vol,5
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,9
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,7
2,$400C_const,1
2,$400C_vol,4
4,$400C_const,1
4,$400C_vol,3
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,8
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,6
6,$400C_const,1
6,$400C_vol,2
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,7
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,5
8,$4008_linear,127
8,$400A_period,539
8,$400B_length,249
8,$400E_period,6
8,$400E_mode,0
8,$400C_const,1
8,$400C_vol,9
9,$4008_linear,127
9,$400A_period,809
9,$400B_length,249
9,$400C_const,1
9,$400C_vol,8
10,$4008_linear,127
10,$400A_period,721
10,$400B_length,249
10,$400C_const,1
10,$400C_vol,7
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,6
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,4
11,$400C_const,1
11,$400C_vol,6
12,$400C_const,1
12,$400C_vol,5
14,$4000_duty,0
14,$4000_const,1
14,$4000_vol,5
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,3
14,$4008_linear,15
14,$400C_const,1
14,$400C_vol,4
16,$400C_const,1
16,$400C_vol,3
17,$4000_duty,0
17,$4000_const,1
17,$4000_vol,4
17,$4004_duty,0
17,$4004_const,1
17,$4004_vol,2
17,$4008_linear,0
18,$400C_const,1
18,$400C_vol,2
20,$4000_duty,0
20,$4000_const,1
20,$4000_vol,3
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,1
20,$4008_linear,127
20,$400A_period,1439
20,$400B_length,250
20,$400E_period,2
20,$400E_mode,0
20,$400C_const,1
20,$400C_vol,9
21,$400C_const,1
21,$400C_vol,8
22,$400C_const,1
22,$400C_vol,7
23,$4000_duty,0
23,$4000_const,1
23,$4000_vol,2
23,$4004_duty,0
23,$4004_const,1
23,$4004_vol,0
23,$400C_const,1
23,$400C_vol,6
24,$4008_linear,15
24,$400C_const,1
24,$400C_vol,5
26,$4000_duty,0
26,$4000_const,1
26,$4000_vol,1
26,$4004_duty,0
26,$4004_const,1
26,$4004_vol,0
26,$400C_const,1
26,$400C_vol,4
28,$400C_const,1
28,$400C_vol,3
29,$4000_duty,0
29,$4000_const,1
29,$4000_vol,0
29,$4004_duty,0
29,$4004_const,1
29,$4004_vol,0
30,$400C_const,1
30,$400C_vol,2
32,$4001_sweep,0
32,$4000_duty,0
32,$4000_const,1
32,$4000_vol,11
32,$4002_period,481
32,$400B_length,248
32,$4005_sweep,0
32,$4004_duty,0
32,$4004_const,1
32,$4004_vol,9
32,$4006_period,571
32,$4008_linear,127
32,$400A_period,1439
32,$400B_length,250
32,$400E_period,2
32,$400E_mode,0
32,$400C_const,1
32,$400C_vol,9
33,$400C_const,1
33,$400C_vol,8
34,$400C_const,1
34,$400C_vol,7
35,$4000_duty,0
35,$4000_const,1
35,$4000_vol,10
35,$4004_duty,0
35,$4004_const,1
35,$4004_vol,8
35,$400C_const,1
35,$400C_vol,6
36,$4008_linear,15
36,$400C_const,1
36,$400C_vol,5
38,$4000_duty,0
38,$4000_const,1
38,$4000_vol,9
38,$4004_duty,0
38,$4004_const,1
38,$4004_vol,7
38,$400C_const,1
38,$400C_vol,4
40,$400C_const,1
40,$400C_vol,3
41,$4000_duty,0
41,$4000_const,1
41,$4000_vol,8
41,$4004_duty,0
41,$4004_const,1
41,$4004_vol,6
42,$400C_const,1
42,$400C_vol,2
44,$4001_sweep,0
44,$4000_duty,0
44,$4000_const,1
44,$4000_vol,11
44,$4002_period,481
44,$400B_length,248
44,$4005_sweep,0
44,$4004_duty,0
44,$4004_const,1
44,$4004_vol,9
44,$4006_period,571
44,$4008_linear,127
44,$400A_period,1439
44,$400B_length,250
44,$400E_period,2
44,$400E_mode,0
44,$400C_const,1
44,$400C_vol,9
45,$400C_const,1
45,$400C_vol,8
46,$400C_const,1
46,$400C_vol,7
47,$4000_duty,0
47,$4000_const,1
47,$4000_vol,10
47,$4004_duty,0
47,$4004_const,1
47,$4004_vol,8
47,$400C_const,1
47,$400C_vol,6
48,$4008_linear,15
48,$400C_const,1
48,$400C_vol,5
50,$4000_duty,0
