frame,parameter,value
2,$4004_duty,3
2,$4004_const,1
2,$4004_vol,1
5,$4004_duty,3
5,$4004_const,1
5,$4004_vol,0
6,$4008_linear,0
21,$4008_linear,1
21,$400A_period,509
21,$400B_length,0
21,$4004_duty,3
21,$4004_const,1
21,$4004_vol,1
21,$4006_period,513
22,$4004_duty,3
22,$4004_const,1
22,$4004_vol,3
23,$4004_duty,3
23,$4004_const,1
23,$4004_vol,5
32,$4004_duty,3
32,$4004_const,1
32,$4004_vol,4
34,$400A_period,605
34,$400B_length,1
35,$4004_duty,3
35,$4004_const,1
35,$4004_vol,3
38,$4004_duty,3
38,$4004_const,1
38,$4004_vol,2
41,$4004_duty,3
41,$4004_const,1
41,$4004_vol,1
44,$4004_duty,3
44,$4004_const,1
44,$4004_vol,0
45,$4008_linear,0
60,$4008_linear,1
60,$400A_period,509
60,$400B_length,0
60,$4004_duty,3
60,$4004_const,1
60,$4004_vol,1
60,$4006_period,513
61,$4004_duty,3
61,$4004_const,1
61,$4004_vol,3
62,$4004_duty,3
62,$4004_const,1
62,$4004_vol,5
71,$4004_duty,3
71,$4004_const,1
71,$4004_vol,4
73,$400A_period,807
73,$400B_length,1
74,$4004_duty,3
74,$4004_const,1
74,$4004_vol,3
77,$4004_duty,3
77,$4004_const,1
77,$4004_vol,2
80,$4004_duty,3
80,$4004_const,1
80,$4004_vol,1
83,$4004_duty,3
83,$4004_const,1
83,$4004_vol,0
84,$4008_linear,0
99,$4008_linear,1
99,$400A_period,509
99,$400B_length,0
99,$4004_duty,3
99,$4004_const,1
99,$4004_vol,1
99,$4006_period,513
100,$4004_duty,3
100,$4004_const,1
100,$4004_vol,3
101,$4004_duty,3
101,$4004_const,1
101,$4004_vol,5
110,$4004_duty,3
110,$4004_const,1
110,$4004_vol,4
112,$400A_period,605
112,$400B_length,1
113,$4004_duty,3
113,$4004_const,1
113,$4004_vol,3
116,$4004_duty,3
116,$4004_const,1
116,$4004_vol,2
119,$4004_duty,3
119,$4004_const,1
119,$4004_vol,1
122,$4004_duty,3
122,$4004_const,1
122,$4004_vol,0
123,$4008_linear,0
138,$4008_linear,1
138,$400A_period,509
138,$400B_length,0
138,$4004_duty,3
138,$4004_const,1
138,$4004_vol,1
138,$4006_period,513
139,$4004_duty,3
139,$4004_const,1
139,$4004_vol,3
140,$4004_duty,3
140,$4004_const,1
140,$4004_vol,5
149,$4004_duty,3
149,$4004_const,1
