frame,parameter,value
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,0
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,0
0,$4008_linear,48
0,$400C_const,1
0,$400C_vol,0
0,$400E_period,0
0,$400E_mode,0
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,0
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,0
1,$4008_linear,48
1,$400C_const,1
1,$400C_vol,0
1,$400E_period,0
1,$400E_mode,0
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,0
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,0
2,$4008_linear,48
2,$400C_const,1
2,$400C_vol,0
2,$400E_period,0
2,$400E_mode,0
4,$4000_duty,2
4,$4000_const,0
4,$4000_vol,0
4,$4001_sweep,0
4,$4002_period,509
4,$400B_length,0
4,$4000_duty,2
4,$4000_const,1
4,$4000_vol,14
4,$4004_duty,3
4,$4004_const,0
4,$4004_vol,0
4,$4005_sweep,0
4,$4006_period,855
4,$4004_duty,3
4,$4004_const,1
4,$4004_vol,13
4,$4008_linear,0
4,$400A_period,509
4,$400B_length,0
4,$4008_linear,48
4,$400E_period,1
4,$400E_mode,0
4,$400C_const,1
4,$400C_vol,0
4,$400E_period,1
4,$400E_mode,0
5,$4000_duty,2
5,$4000_const,1
5,$4000_vol,15
5,$4004_duty,3
5,$4004_const,1
5,$4004_vol,14
5,$4008_linear,48
5,$400C_const,1
5,$400C_vol,0
5,$400E_period,1
5,$400E_mode,0
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,14
6,$4004_duty,3
6,$4004_const,1
6,$4004_vol,13
6,$4008_linear,48
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,13
7,$4004_duty,3
7,$4004_const,1
7,$4004_vol,12
7,$4008_linear,48
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,12
8,$4004_duty,3
8,$4004_const,1
8,$4004_vol,11
8,$4008_linear,48
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,12
9,$4004_duty,3
9,$4004_const,1
9,$4004_vol,11
9,$4008_linear,48
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,12
10,$4004_duty,3
10,$4004_const,1
10,$4004_vol,11
10,$4008_linear,48
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,12
11,$4004_duty,3
11,$4004_const,1
11,$4004_vol,11
11,$4008_linear,48
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,12
12,$4004_duty,3
12,$4004_const,1
12,$4004_vol,11
12,$4008_linear,48
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,12
13,$4004_duty,3
13,$4004_const,1
13,$4004_vol,11
13,$4008_linear,48
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,12
14,$4004_duty,3
14,$4004_const,1
14,$4004_vol,11
14,$4008_linear,48
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,12
15,$4004_duty,3
15,$4004_const,1
15,$4004_vol,11
15,$4008_linear,48
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,12
16,$4004_duty,3
16,$4004_const,1
16,$4004_vol,11
16,$4008_linear,48
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,12
17,$4004_duty,3
17,$4004_const,1
17,$4004_vol,11
17,$4008_linear,48
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,12
18,$4004_duty,3
18,$4004_const,1
18,$4004_vol,11
18,$4008_linear,48
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,11
19,$4004_duty,3
19,$4004_const,1
19,$4004_vol,10
19,$4008_linear,48
20,$4002_period,453
20,$400B_length,0
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,14
20,$4006_period,673
20,$4004_duty,3
20,$4004_const,1
20,$4004_vol,13
20,$400A_period,337
20,$400B_length,0
20,$4008_linear,48
21,$4000_duty,2
21,$4000_const,1
21,$4000_vol,15
21,$4004_duty,3
21,$4004_const,1
21,$4004_vol,14
21,$4008_linear,48
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,14
22,$4004_duty,3
22,$4004_const,1
22,$4004_vol,13
22,$4008_linear,48
23,$4000_duty,2
23,$4000_const,1
23,$4000_vol,13
23,$4004_duty,3
23,$4004_const,1
23,$4004_vol,12
23,$4008_linear,48
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,12
24,$4004_duty,3
24,$4004_const,1
24,$4004_vol,11
24,$4008_linear,48
25,$4000_duty,2
25,$4000_const,1
25,$4000_vol,12
25,$4004_duty,3
25,$4004_const,1
