frame,parameter,value
542,$4000_duty,0
542,$4000_const,1
542,$4000_vol,0
542,$4004_duty,0
542,$4004_const,1
542,$4004_vol,0
542,$400C_const,1
542,$400C_vol,0
542,$4008_linear,0
542,$4013_len,0
542,$4011_dac,64
543,$4002_period,1
543,$400B_length,128
543,$4001_sweep,0
543,$4000_duty,2
543,$4000_const,1
543,$4000_vol,11
543,$4006_period,1
543,$4005_sweep,0
543,$4004_duty,2
543,$4004_const,1
543,$4004_vol,11
543,$4008_linear,8
543,$400A_period,1025
543,$400B_length,130
543,$4010_rate,15
543,$4011_dac,63
543,$4012_addr,234
543,$4013_len,2
544,$4001_sweep,0
544,$4000_duty,2
544,$4000_const,1
544,$4000_vol,6
544,$4005_sweep,0
544,$4004_duty,2
544,$4004_const,1
544,$4004_vol,6
545,$4001_sweep,0
545,$4000_duty,2
545,$4000_const,1
545,$4000_vol,5
545,$4005_sweep,0
545,$4004_duty,2
545,$4004_const,1
545,$4004_vol,5
546,$4001_sweep,0
546,$4000_duty,2
546,$4000_const,1
546,$4000_vol,5
546,$4005_sweep,0
546,$4004_duty,2
546,$4004_const,1
546,$4004_vol,5
547,$4001_sweep,0
547,$4000_duty,2
547,$4000_const,1
547,$4000_vol,5
547,$4005_sweep,0
547,$4004_duty,2
547,$4004_const,1
547,$4004_vol,5
548,$4001_sweep,0
548,$4000_duty,2
548,$4000_const,1
548,$4000_vol,5
548,$4005_sweep,0
548,$4004_duty,2
548,$4004_const,1
548,$4004_vol,5
549,$4001_sweep,0
549,$4000_duty,2
549,$4000_const,1
549,$4000_vol,4
549,$4005_sweep,0
549,$4004_duty,2
549,$4004_const,1
549,$4004_vol,4
550,$4001_sweep,0
550,$4000_duty,2
550,$4000_const,1
550,$4000_vol,3
550,$4005_sweep,0
550,$4004_duty,2
550,$4004_const,1
550,$4004_vol,3
551,$4001_sweep,0
551,$4000_duty,2
551,$4000_const,1
551,$4000_vol,3
551,$4005_sweep,0
551,$4004_duty,2
551,$4004_const,1
551,$4004_vol,3
552,$4001_sweep,0
552,$4000_duty,2
552,$4000_const,1
552,$4000_vol,2
552,$4005_sweep,0
552,$4004_duty,2
552,$4004_const,1
552,$4004_vol,2
553,$4001_sweep,0
553,$4000_duty,2
553,$4000_const,1
553,$4000_vol,5
553,$4005_sweep,0
553,$4004_duty,2
553,$4004_const,1
553,$4004_vol,5
554,$4001_sweep,0
554,$4000_duty,2
554,$4000_const,1
554,$4000_vol,3
554,$4005_sweep,0
554,$4004_duty,2
554,$4004_const,1
554,$4004_vol,3
555,$4001_sweep,0
555,$4000_duty,2
555,$4000_const,1
555,$4000_vol,2
555,$4005_sweep,0
555,$4004_duty,2
555,$4004_const,1
555,$4004_vol,2
556,$4001_sweep,0
556,$4000_duty,2
556,$4000_const,1
556,$4000_vol,2
556,$4005_sweep,0
556,$4004_duty,2
556,$4004_const,1
556,$4004_vol,2
557,$4001_sweep,0
557,$4000_duty,2
557,$4000_const,1
557,$4000_vol,2
557,$4005_sweep,0
557,$4004_duty,2
557,$4004_const,1
557,$4004_vol,2
558,$4001_sweep,0
558,$4000_duty,2
558,$4000_const,1
558,$4000_vol,2
558,$4005_sweep,0
558,$4004_duty,2
558,$4004_const,1
558,$4004_vol,2
559,$4002_period,1
559,$400B_length,128
559,$4001_sweep,0
559,$4000_duty,2
559,$4000_const,1
559,$4000_vol,11
559,$4005_sweep,0
559,$4004_duty,2
559,$4004_const,1
559,$4004_vol,2
559,$400C_const,1
559,$400C_vol,4
559,$400E_period,5
559,$400E_mode,0
560,$4001_sweep,0
560,$4000_duty,2
560,$4000_const,1
560,$4000_vol,6
560,$4005_sweep,0
560,$4004_duty,2
560,$4004_const,1
560,$4004_vol,2
560,$400C_const,1
560,$400C_vol,1
560,$400E_period,3
560,$400E_mode,0
561,$4001_sweep,0
561,$4000_duty,2
561,$4000_const,1
561,$4000_vol,5
561,$4005_sweep,0
561,$4004_duty,2
561,$4004_const,1
561,$4004_vol,2
561,$400C_const,1
561,$400C_vol,1
561,$400E_period,2
561,$400E_mode,0
562,$4001_sweep,0
562,$4000_duty,2
562,$4000_const,1
562,$4000_vol,5
562,$4005_sweep,0
562,$4004_duty,2
562,$4004_const,1
562,$4004_vol,2
562,$400C_const,1
562,$400C_vol,0
563,$4001_sweep,0
563,$4000_duty,2
563,$4000_const,1
563,$4000_vol,5
563,$4005_sweep,0
563,$4004_duty,2
563,$4004_const,1
563,$4004_vol,2
564,$4001_sweep,0
564,$4000_duty,2
564,$4000_const,1
564,$4000_vol,5
564,$4005_sweep,0
564,$4004_duty,2
564,$4004_const,1
564,$4004_vol,3
565,$4001_sweep,0
565,$4000_duty,2
565,$4000_const,1
565,$4000_vol,4
565,$4005_sweep,0
565,$4004_duty,2
565,$4004_const,1
565,$4004_vol,2
566,$4001_sweep,0
566,$4000_duty,2
566,$4000_const,1
566,$4000_vol,3
566,$4005_sweep,0
566,$4004_duty,2
566,$4004_const,1
566,$4004_vol,1
567,$4001_sweep,0
567,$4000_duty,2
567,$4000_const,1
567,$4000_vol,3
567,$4006_period,227
567,$4005_sweep,0
567,$4004_duty,2
567,$4004_const,1
567,$4004_vol,11
567,$4010_rate,15
567,$4011_dac,63
567,$4012_addr,235
567,$4013_len,20
567,$400C_const,1
567,$400C_vol,7
567,$400E_period,7
567,$400E_mode,0
568,$4001_sweep,0
568,$4000_duty,2
568,$4000_const,1
568,$4000_vol,2
568,$4005_sweep,0
568,$4004_duty,2
568,$4004_const,1
568,$4004_vol,6
568,$400C_const,1
568,$400C_vol,5
568,$400E_period,6
568,$400E_mode,0
569,$4001_sweep,0
569,$4000_duty,2
569,$4000_const,1
569,$4000_vol,5
569,$4005_sweep,0
569,$4004_duty,2
569,$4004_const,1
569,$4004_vol,5
569,$400C_const,1
569,$400C_vol,3
569,$400E_period,5
569,$400E_mode,0
570,$4001_sweep,0
570,$4000_duty,2
570,$4000_const,1
570,$4000_vol,3
570,$4005_sweep,0
570,$4004_duty,2
570,$4004_const,1
570,$4004_vol,5
570,$400C_const,1
570,$400C_vol,3
570,$400E_period,4
570,$400E_mode,0
571,$4001_sweep,0
571,$4000_duty,2
571,$4000_const,1
571,$4000_vol,2
571,$4005_sweep,0
571,$4004_duty,2
571,$4004_const,1
571,$4004_vol,5
571,$400C_const,1
571,$400C_vol,2
571,$400E_period,4
571,$400E_mode,0
572,$4001_sweep,0
572,$4000_duty,2
572,$4000_const,1
572,$4000_vol,2
572,$4005_sweep,0
572,$4004_duty,2
572,$4004_const,1
572,$4004_vol,5
573,$4001_sweep,0
573,$4000_duty,2
573,$4000_const,1
573,$4000_vol,2
573,$4005_sweep,0
573,$4004_duty,2
573,$4004_const,1
573,$4004_vol,4
574,$4001_sweep,0
574,$4000_duty,2
574,$4000_const,1
574,$4000_vol,2
574,$4005_sweep,0
574,$4004_duty,2
574,$4004_const,1
574,$4004_vol,3
574,$400C_const,1
574,$400C_vol,1
574,$400E_period,4
574,$400E_mode,0
575,$4001_sweep,0
575,$4000_duty,2
575,$4000_const,1
575,$4000_vol,2
575,$4005_sweep,0
575,$4004_duty,2
575,$4004_const,1
575,$4004_vol,3
576,$4001_sweep,0
576,$4000_duty,2
576,$4000_const,1
576,$4000_vol,2
576,$4005_sweep,0
576,$4004_duty,2
576,$4004_const,1
576,$4004_vol,2
577,$4001_sweep,0
577,$4000_duty,2
577,$4000_const,1
577,$4000_vol,2
577,$4005_sweep,0
577,$4004_duty,2
577,$4004_const,1
577,$4004_vol,5
577,$400C_const,1
577,$400C_vol,1
577,$400E_period,3
577,$400E_mode,0
578,$4001_sweep,0
578,$4000_duty,2
578,$4000_const,1
578,$4000_vol,2
578,$4005_sweep,0
578,$4004_duty,2
578,$4004_const,1
578,$4004_vol,3
579,$4001_sweep,0
579,$4000_duty,2
579,$4000_const,1
579,$4000_vol,2
579,$4005_sweep,0
579,$4004_duty,2
579,$4004_const,1
579,$4004_vol,2
580,$4001_sweep,0
580,$4000_duty,2
580,$4000_const,1
580,$4000_vol,3
580,$4005_sweep,0
580,$4004_duty,2
580,$4004_const,1
580,$4004_vol,2
580,$400C_const,1
580,$400C_vol,0
581,$4001_sweep,0
581,$4000_duty,2
581,$4000_const,1
581,$4000_vol,2
581,$4005_sweep,0
581,$4004_duty,2
581,$4004_const,1
581,$4004_vol,2
582,$4001_sweep,0
582,$4000_duty,2
582,$4000_const,1
582,$4000_vol,1
582,$4005_sweep,0
582,$4004_duty,2
582,$4004_const,1
582,$4004_vol,2
