frame,parameter,value
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,4
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,0
3,$4002_period,1209
3,$400B_length,2
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,1
5,$4002_period,907
5,$400B_length,1
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,2
7,$4008_linear,0
7,$400A_period,605
7,$400B_length,1
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,3
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,4
9,$4008_linear,1
9,$400A_period,453
9,$400B_length,0
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,5
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,4
16,$4000_duty,0
16,$4000_const,1
16,$4000_vol,1
16,$4002_period,1017
16,$400B_length,1
17,$4000_duty,0
17,$4000_const,1
17,$4000_vol,2
18,$4000_duty,0
18,$4000_const,1
18,$4000_vol,3
19,$4000_duty,0
19,$4000_const,1
19,$4000_vol,4
20,$400A_period,509
20,$400B_length,0
21,$4000_duty,0
21,$4000_const,1
21,$4000_vol,5
23,$4000_duty,0
23,$4000_const,1
23,$4000_vol,4
25,$4000_duty,0
25,$4000_const,1
25,$4000_vol,0
25,$4002_period,1813
25,$400B_length,3
27,$4000_duty,0
27,$4000_const,1
27,$4000_vol,1
27,$4002_period,907
27,$400B_length,1
28,$4000_duty,0
28,$4000_const,1
28,$4000_vol,2
29,$4008_linear,0
29,$400A_period,907
29,$400B_length,1
29,$4000_duty,0
29,$4000_const,1
29,$4000_vol,3
30,$4000_duty,0
30,$4000_const,1
30,$4000_vol,4
31,$4008_linear,1
31,$400A_period,453
31,$400B_length,0
32,$4000_duty,0
32,$4000_const,1
32,$4000_vol,5
34,$4000_duty,0
34,$4000_const,1
34,$4000_vol,4
36,$4000_duty,0
36,$4000_const,1
36,$4000_vol,5
38,$4000_duty,0
38,$4000_const,1
38,$4000_vol,4
40,$4000_duty,0
40,$4000_const,1
40,$4000_vol,5
42,$4000_duty,0
42,$4000_const,1
42,$4000_vol,4
44,$4000_duty,0
44,$4000_const,1
44,$4000_vol,5
46,$4000_duty,0
46,$4000_const,1
46,$4000_vol,4
50,$4000_duty,0
50,$4000_const,1
50,$4000_vol,1
50,$4002_period,907
50,$400B_length,1
51,$4000_duty,0
51,$4000_const,1
51,$4000_vol,2
52,$4000_duty,0
52,$4000_const,1
52,$4000_vol,3
53,$4000_duty,0
53,$4000_const,1
53,$4000_vol,4
54,$400A_period,453
54,$400B_length,0
