frame,parameter,value
0,$4000_duty,0
0,$4000_const,0
0,$4000_vol,0
0,$4004_duty,0
0,$4004_const,0
0,$4004_vol,0
0,$4000_duty,0
0,$4000_const,0
0,$4000_vol,0
0,$4004_duty,0
0,$4004_const,0
0,$4004_vol,0
1,$4000_duty,0
1,$4000_const,0
1,$4000_vol,0
1,$4004_duty,0
1,$4004_const,0
1,$4004_vol,0
2,$4000_duty,0
2,$4000_const,0
2,$4000_vol,0
2,$4004_duty,0
2,$4004_const,0
2,$4004_vol,0
3,$4000_duty,0
3,$4000_const,0
3,$4000_vol,0
3,$4004_duty,0
3,$4004_const,0
3,$4004_vol,0
4,$4000_duty,0
4,$4000_const,0
4,$4000_vol,0
4,$4004_duty,0
4,$4004_const,0
4,$4004_vol,0
5,$4000_duty,0
5,$4000_const,0
5,$4000_vol,0
5,$4004_duty,0
5,$4004_const,0
5,$4004_vol,0
6,$4000_duty,0
6,$4000_const,0
6,$4000_vol,0
6,$4004_duty,0
6,$4004_const,0
6,$4004_vol,0
7,$4000_duty,0
7,$4000_const,0
7,$4000_vol,0
7,$4004_duty,0
7,$4004_const,0
7,$4004_vol,0
8,$4000_duty,0
8,$4000_const,0
8,$4000_vol,0
8,$4004_duty,0
8,$4004_const,0
8,$4004_vol,0
9,$4000_duty,0
9,$4000_const,0
9,$4000_vol,0
9,$4004_duty,0
9,$4004_const,0
9,$4004_vol,0
10,$4000_duty,0
10,$4000_const,0
10,$4000_vol,0
10,$4004_duty,0
10,$4004_const,0
10,$4004_vol,0
11,$4000_duty,0
11,$4000_const,0
11,$4000_vol,0
11,$4004_duty,0
11,$4004_const,0
11,$4004_vol,0
12,$4000_duty,0
12,$4000_const,0
12,$4000_vol,0
12,$4004_duty,0
12,$4004_const,0
12,$4004_vol,0
13,$4000_duty,0
13,$4000_const,0
13,$4000_vol,0
13,$4004_duty,0
13,$4004_const,0
13,$4004_vol,0
14,$4000_duty,0
14,$4000_const,0
14,$4000_vol,0
14,$4004_duty,0
14,$4004_const,0
14,$4004_vol,0
15,$4000_duty,0
15,$4000_const,0
15,$4000_vol,0
15,$4004_duty,0
15,$4004_const,0
15,$4004_vol,0
16,$4000_duty,0
16,$4000_const,0
16,$4000_vol,0
16,$4004_duty,0
16,$4004_const,0
16,$4004_vol,0
17,$4000_duty,0
17,$4000_const,0
17,$4000_vol,0
17,$4004_duty,0
17,$4004_const,0
17,$4004_vol,0
18,$4000_duty,0
18,$4000_const,0
18,$4000_vol,0
18,$4004_duty,0
18,$4004_const,0
18,$4004_vol,0
19,$4000_duty,0
19,$4000_const,0
19,$4000_vol,0
19,$4004_duty,0
19,$4004_const,0
19,$4004_vol,0
20,$4000_duty,0
20,$4000_const,0
20,$4000_vol,0
20,$4004_duty,0
20,$4004_const,0
20,$4004_vol,0
21,$4000_duty,0
21,$4000_const,0
21,$4000_vol,0
21,$4004_duty,0
21,$4004_const,0
21,$4004_vol,0
22,$4000_duty,0
22,$4000_const,0
22,$4000_vol,0
22,$4004_duty,0
22,$4004_const,0
22,$4004_vol,0
23,$4000_duty,0
23,$4000_const,0
23,$4000_vol,0
23,$4004_duty,0
