frame,parameter,value
0,$4008_linear,2
2,$4008_linear,1
4,$4008_linear,0
12,$4002_period,537
12,$400B_length,1
18,$4008_linear,10
18,$4002_period,507
18,$400B_length,0
19,$4008_linear,8
20,$4008_linear,6
21,$4008_linear,4
22,$4008_linear,3
24,$4008_linear,2
26,$4008_linear,1
28,$4008_linear,0
36,$4002_period,537
36,$400B_length,1
42,$400C_const,1
42,$400C_vol,15
42,$400E_period,7
42,$400E_mode,0
42,$4008_linear,10
42,$4002_period,507
42,$400B_length,0
43,$400C_const,1
43,$400C_vol,7
43,$400E_period,7
43,$400E_mode,0
43,$4008_linear,8
44,$400C_const,1
44,$400C_vol,3
44,$400E_period,7
44,$400E_mode,0
44,$4008_linear,6
45,$400C_const,1
45,$400C_vol,1
45,$400E_period,7
45,$400E_mode,0
45,$4008_linear,4
46,$400C_const,1
46,$400C_vol,0
46,$4008_linear,3
48,$4008_linear,2
50,$4008_linear,1
52,$4008_linear,0
60,$4002_period,537
60,$400B_length,1
66,$4008_linear,10
66,$4004_duty,2
66,$4004_const,1
66,$4004_vol,10
66,$4006_period,719
66,$4002_period,507
66,$400B_length,0
67,$4008_linear,8
68,$4008_linear,6
68,$4004_duty,2
68,$4004_const,1
68,$4004_vol,9
69,$4008_linear,4
70,$4008_linear,3
70,$4004_duty,2
70,$4004_const,1
70,$4004_vol,8
72,$4008_linear,2
72,$4004_duty,2
72,$4004_const,1
72,$4004_vol,10
74,$4008_linear,1
74,$4004_duty,2
74,$4004_const,1
74,$4004_vol,9
76,$4008_linear,0
76,$4004_duty,2
76,$4004_const,1
76,$4004_vol,8
78,$4004_duty,2
78,$4004_const,1
78,$4004_vol,10
80,$4004_duty,2
80,$4004_const,1
80,$4004_vol,9
82,$4004_duty,2
82,$4004_const,1
82,$4004_vol,8
84,$4004_duty,2
84,$4004_const,1
84,$4004_vol,10
84,$4002_period,537
84,$400B_length,1
86,$4004_duty,2
86,$4004_const,1
86,$4004_vol,9
88,$4004_duty,2
88,$4004_const,1
88,$4004_vol,8
90,$400C_const,1
90,$400C_vol,15
90,$400E_period,7
90,$400E_mode,0
90,$4008_linear,10
90,$4004_duty,2
90,$4004_const,1
90,$4004_vol,10
90,$4002_period,507
90,$400B_length,0
91,$400C_const,1
91,$400C_vol,7
91,$400E_period,7
91,$400E_mode,0
91,$4008_linear,8
92,$400C_const,1
92,$400C_vol,3
92,$400E_period,7
92,$400E_mode,0
92,$4008_linear,6
92,$4004_duty,2
92,$4004_const,1
92,$4004_vol,9
93,$400C_const,1
93,$400C_vol,1
93,$400E_period,7
93,$400E_mode,0
93,$4008_linear,4
94,$400C_const,1
94,$400C_vol,0
94,$4008_linear,3
94,$4004_duty,2
94,$4004_const,1
94,$4004_vol,8
96,$4008_linear,2
96,$4004_duty,2
96,$4004_const,1
96,$4004_vol,10
98,$4008_linear,1
98,$4004_duty,2
98,$4004_const,1
98,$4004_vol,9
100,$4008_linear,0
100,$4004_duty,2
100,$4004_const,1
100,$4004_vol,8
102,$4004_duty,2
102,$4004_const,1
102,$4004_vol,10
104,$4004_duty,2
104,$4004_const,1
104,$4004_vol,9
106,$4004_duty,2
106,$4004_const,1
106,$4004_vol,8
108,$4004_duty,2
108,$4004_const,1
108,$4004_vol,10
108,$4002_period,537
108,$400B_length,1
110,$4004_duty,2
110,$4004_const,1
110,$4004_vol,9
112,$4004_duty,2
112,$4004_const,1
112,$4004_vol,8
114,$4008_linear,10
114,$4004_duty,2
114,$4004_const,1
114,$4004_vol,10
114,$4002_period,507
114,$400B_length,0
115,$4008_linear,8
116,$4008_linear,6
116,$4004_duty,2
116,$4004_const,1
116,$4004_vol,9
117,$4008_linear,4
118,$4008_linear,3
118,$4004_duty,2
118,$4004_const,1
118,$4004_vol,8
120,$4008_linear,2
120,$4004_duty,2
120,$4004_const,1
120,$4004_vol,10
122,$4008_linear,1
122,$4004_duty,2
122,$4004_const,1
122,$4004_vol,9
124,$4008_linear,0
124,$4004_duty,2
124,$4004_const,1
124,$4004_vol,8
126,$4004_duty,2
126,$4004_const,1
126,$4004_vol,10
128,$4004_duty,2
128,$4004_const,1
128,$4004_vol,9
130,$4004_duty,2
130,$4004_const,1
130,$4004_vol,8
132,$4004_duty,2
132,$4004_const,1
132,$4004_vol,10
132,$4002_period,537
132,$400B_length,1
134,$4004_duty,2
134,$4004_const,1
134,$4004_vol,9
136,$4004_duty,2
136,$4004_const,1
136,$4004_vol,8
138,$400C_const,1
138,$400C_vol,15
138,$400E_period,7
138,$400E_mode,0
138,$4008_linear,10
138,$4004_duty,2
