frame,parameter,value
379,$4000_duty,0
379,$4000_const,0
379,$4000_vol,0
379,$4004_duty,0
379,$4004_const,0
379,$4004_vol,0
379,$4008_linear,0
379,$400C_const,0
379,$400C_vol,0
379,$400E_period,0
379,$400E_mode,0
380,$4001_sweep,67
380,$4000_duty,1
380,$4000_const,1
380,$4000_vol,11
380,$4002_period,1357
380,$400B_length,154
380,$4005_sweep,67
380,$4004_duty,2
380,$4004_const,1
380,$4004_vol,11
380,$4006_period,2717
380,$4008_linear,31
380,$400A_period,1357
380,$400B_length,42
380,$400C_const,1
380,$400C_vol,10
380,$400E_period,13
380,$400E_mode,0
381,$4000_duty,1
381,$4000_const,1
381,$4000_vol,11
381,$4004_duty,2
381,$4004_const,1
381,$4004_vol,11
381,$4008_linear,31
381,$400C_const,1
381,$400C_vol,10
381,$400E_period,13
381,$400E_mode,0
383,$4000_duty,1
383,$4000_const,1
383,$4000_vol,11
383,$4004_duty,2
383,$4004_const,1
383,$4004_vol,11
383,$4008_linear,31
383,$400C_const,1
383,$400C_vol,10
383,$400E_period,13
383,$400E_mode,0
384,$4001_sweep,67
384,$4000_duty,1
384,$4000_const,1
384,$4000_vol,8
384,$4002_period,1357
384,$400B_length,154
385,$4000_duty,1
385,$4000_const,1
385,$4000_vol,8
385,$4004_duty,2
385,$4004_const,1
385,$4004_vol,11
385,$4008_linear,31
385,$400C_const,1
385,$400C_vol,10
385,$400E_period,13
385,$400E_mode,0
386,$4005_sweep,67
386,$4004_duty,2
386,$4004_const,1
386,$4004_vol,8
386,$4006_period,2717
387,$4000_duty,1
387,$4000_const,1
387,$4000_vol,8
387,$4004_duty,2
387,$4004_const,1
387,$4004_vol,8
387,$4008_linear,31
387,$400C_const,1
387,$400C_vol,10
387,$400E_period,13
387,$400E_mode,0
388,$4001_sweep,67
388,$4000_duty,1
388,$4000_const,1
388,$4000_vol,14
388,$4002_period,603
388,$400B_length,153
388,$4008_linear,31
388,$400A_period,677
388,$400B_length,41
388,$400C_const,1
388,$400C_vol,10
388,$400E_period,13
388,$400E_mode,0
389,$4000_duty,1
389,$4000_const,1
389,$4000_vol,14
389,$4004_duty,2
389,$4004_const,1
389,$4004_vol,8
389,$4008_linear,31
389,$400C_const,1
389,$400C_vol,10
389,$400E_period,13
389,$400E_mode,0
390,$4005_sweep,67
390,$4004_duty,2
390,$4004_const,1
390,$4004_vol,14
390,$4006_period,301
391,$4000_duty,1
391,$4000_const,1
391,$4000_vol,14
391,$4004_duty,2
391,$4004_const,1
391,$4004_vol,14
391,$4008_linear,31
391,$400C_const,1
391,$400C_vol,10
391,$400E_period,13
391,$400E_mode,0
392,$4001_sweep,67
392,$4000_duty,1
392,$4000_const,1
392,$4000_vol,8
392,$4002_period,603
392,$400B_length,153
393,$4000_duty,1
393,$4000_const,1
393,$4000_vol,8
393,$4004_duty,2
393,$4004_const,1
393,$4004_vol,14
393,$4008_linear,31
393,$400C_const,1
393,$400C_vol,10
393,$400E_period,13
393,$400E_mode,0
394,$4005_sweep,67
394,$4004_duty,2
394,$4004_const,1
394,$4004_vol,8
394,$4006_period,301
395,$4000_duty,1
395,$4000_const,1
395,$4000_vol,8
395,$4004_duty,2
395,$4004_const,1
395,$4004_vol,8
395,$4008_linear,31
395,$400C_const,1
395,$400C_vol,10
395,$400E_period,13
395,$400E_mode,0
396,$4001_sweep,67
396,$4000_duty,1
396,$4000_const,1
396,$4000_vol,14
396,$4002_period,569
396,$400B_length,153
396,$4008_linear,31
396,$400A_period,1
396,$400B_length,40
396,$400C_const,1
396,$400C_vol,10
396,$400E_period,0
396,$400E_mode,0
397,$4000_duty,1
397,$4000_const,1
397,$4000_vol,14
397,$4004_duty,2
397,$4004_const,1
397,$4004_vol,8
397,$4008_linear,31
397,$400C_const,1
397,$400C_vol,10
397,$400E_period,0
397,$400E_mode,0
398,$4005_sweep,67
398,$4004_duty,2
398,$4004_const,1
398,$4004_vol,14
398,$4006_period,285
399,$4000_duty,1
399,$4000_const,1
399,$4000_vol,14
399,$4004_duty,2
399,$4004_const,1
399,$4004_vol,14
399,$4008_linear,31
399,$400C_const,1
399,$400C_vol,10
399,$400E_period,0
399,$400E_mode,0
400,$4001_sweep,67
400,$4000_duty,1
400,$4000_const,1
400,$4000_vol,8
400,$4002_period,569
400,$400B_length,153
401,$4000_duty,1
401,$4000_const,1
401,$4000_vol,8
401,$4004_duty,2
401,$4004_const,1
401,$4004_vol,14
401,$4008_linear,31
401,$400C_const,1
401,$400C_vol,10
401,$400E_period,0
401,$400E_mode,0
402,$4005_sweep,67
402,$4004_duty,2
402,$4004_const,1
402,$4004_vol,8
402,$4006_period,285
403,$4000_duty,1
403,$4000_const,1
403,$4000_vol,8
403,$4004_duty,2
403,$4004_const,1
403,$4004_vol,8
403,$4008_linear,31
403,$400C_const,1
403,$400C_vol,10
403,$400E_period,0
403,$400E_mode,0
404,$4001_sweep,67
404,$4000_duty,1
404,$4000_const,1
404,$4000_vol,14
404,$4002_period,379
404,$400B_length,152
404,$4008_linear,31
404,$400A_period,677
404,$400B_length,41
404,$400C_const,1
404,$400C_vol,10
404,$400E_period,13
404,$400E_mode,0
405,$4000_duty,1
405,$4000_const,1
405,$4000_vol,14
405,$4004_duty,2
405,$4004_const,1
405,$4004_vol,8
405,$4008_linear,31
405,$400C_const,1
405,$400C_vol,10
405,$400E_period,13
405,$400E_mode,0
406,$4005_sweep,67
406,$4004_duty,2
406,$4004_const,1
406,$4004_vol,14
406,$4006_period,189
407,$4000_duty,1
407,$4000_const,1
407,$4000_vol,14
407,$4004_duty,2
407,$4004_const,1
407,$4004_vol,14
407,$4008_linear,31
407,$400C_const,1
407,$400C_vol,10
407,$400E_period,13
407,$400E_mode,0
408,$4001_sweep,67
408,$4000_duty,1
408,$4000_const,1
408,$4000_vol,8
408,$4002_period,379
408,$400B_length,152
409,$4000_duty,1
409,$4000_const,1
409,$4000_vol,8
409,$4004_duty,2
409,$4004_const,1
409,$4004_vol,14
409,$4008_linear,31
409,$400C_const,1
409,$400C_vol,10
409,$400E_period,13
409,$400E_mode,0
410,$4005_sweep,67
410,$4004_duty,2
410,$4004_const,1
410,$4004_vol,8
410,$4006_period,189
411,$4000_duty,1
411,$4000_const,1
411,$4000_vol,8
411,$4004_duty,2
411,$4004_const,1
411,$4004_vol,8
411,$4008_linear,31
411,$400C_const,1
411,$400C_vol,10
411,$400E_period,13
411,$400E_mode,0
412,$4001_sweep,67
412,$4000_duty,1
412,$4000_const,1
412,$4000_vol,11
412,$4002_period,1357
412,$400B_length,154
412,$400C_const,1
412,$400C_vol,10
412,$400E_period,8
412,$400E_mode,0
413,$4000_duty,1
413,$4000_const,1
413,$4000_vol,11
413,$4004_duty,2
413,$4004_const,1
413,$4004_vol,8
413,$4008_linear,31
413,$400C_const,1
413,$400C_vol,10
413,$400E_period,8
413,$400E_mode,0
414,$4005_sweep,67
414,$4004_duty,2
414,$4004_const,1
414,$4004_vol,11
414,$4006_period,2717
415,$4000_duty,1
415,$4000_const,1
415,$4000_vol,11
415,$4004_duty,2
415,$4004_const,1
415,$4004_vol,11
415,$4008_linear,31
415,$400C_const,1
415,$400C_vol,10
415,$400E_period,8
415,$400E_mode,0
416,$4001_sweep,67
416,$4000_duty,1
416,$4000_const,1
416,$4000_vol,8
416,$4002_period,1357
416,$400B_length,154
417,$4000_duty,1
417,$4000_const,1
417,$4000_vol,8
417,$4004_duty,2
417,$4004_const,1
417,$4004_vol,11
417,$4008_linear,31
417,$400C_const,1
417,$400C_vol,10
417,$400E_period,8
417,$400E_mode,0
418,$4005_sweep,67
418,$4004_duty,2
418,$4004_const,1
418,$4004_vol,8
418,$4006_period,2717
419,$4000_duty,1
419,$4000_const,1
419,$4000_vol,8
419,$4004_duty,2
419,$4004_const,1
419,$4004_vol,8
419,$4008_linear,31
419,$400C_const,1
419,$400C_vol,10
419,$400E_period,8
419,$400E_mode,0
420,$4001_sweep,67
420,$4000_duty,1
420,$4000_const,1
420,$4000_vol,14
420,$4002_period,339
420,$400B_length,152
420,$400C_const,1
420,$400C_vol,10
420,$400E_period,5
420,$400E_mode,0
421,$4000_duty,1
421,$4000_const,1
421,$4000_vol,14
421,$4004_duty,2
421,$4004_const,1
421,$4004_vol,8
421,$4008_linear,31
421,$400C_const,1
421,$400C_vol,10
421,$400E_period,5
421,$400E_mode,0
422,$4005_sweep,67
422,$4004_duty,2
422,$4004_const,1
422,$4004_vol,14
422,$4006_period,169
423,$4000_duty,1
423,$4000_const,1
423,$4000_vol,14
423,$4004_duty,2
423,$4004_const,1
423,$4004_vol,14
423,$4008_linear,31
423,$400C_const,1
423,$400C_vol,10
423,$400E_period,5
423,$400E_mode,0
424,$4001_sweep,67
424,$4000_duty,1
424,$4000_const,1
424,$4000_vol,8
424,$4002_period,339
424,$400B_length,152
425,$4000_duty,1
425,$4000_const,1
425,$4000_vol,8
425,$4004_duty,2
425,$4004_const,1
425,$4004_vol,14
425,$4008_linear,31
425,$400C_const,1
425,$400C_vol,10
425,$400E_period,5
425,$400E_mode,0
426,$4005_sweep,67
426,$4004_duty,2
426,$4004_const,1
426,$4004_vol,8
426,$4006_period,169
427,$4000_duty,1
427,$4000_const,1
427,$4000_vol,8
427,$4004_duty,2
427,$4004_const,1
427,$4004_vol,8
427,$4008_linear,31
427,$400C_const,1
427,$400C_vol,10
427,$400E_period,5
427,$400E_mode,0
428,$4001_sweep,67
428,$4000_duty,1
428,$4000_const,1
428,$4000_vol,11
428,$4002_period,1357
428,$400B_length,154
428,$400C_const,1
428,$400C_vol,10
428,$400E_period,3
428,$400E_mode,0
429,$4000_duty,1
429,$4000_const,1
429,$4000_vol,11
429,$4004_duty,2
429,$4004_const,1
429,$4004_vol,8
429,$4008_linear,31
429,$400C_const,1
429,$400C_vol,10
429,$400E_period,3
429,$400E_mode,0
430,$4005_sweep,67
430,$4004_duty,2
430,$4004_const,1
430,$4004_vol,11
430,$4006_period,2717
431,$4000_duty,1
431,$4000_const,1
431,$4000_vol,11
431,$4004_duty,2
431,$4004_const,1
431,$4004_vol,11
431,$4008_linear,31
431,$400C_const,1
431,$400C_vol,10
431,$400E_period,3
431,$400E_mode,0
432,$4001_sweep,67
432,$4000_duty,1
432,$4000_const,1
432,$4000_vol,8
432,$4002_period,1357
432,$400B_length,154
433,$4000_duty,1
433,$4000_const,1
433,$4000_vol,8
433,$4004_duty,2
433,$4004_const,1
433,$4004_vol,11
433,$4008_linear,31
433,$400C_const,1
433,$400C_vol,10
433,$400E_period,3
433,$400E_mode,0
434,$4005_sweep,67
434,$4004_duty,2
434,$4004_const,1
434,$4004_vol,8
434,$4006_period,2717
435,$4000_duty,1
435,$4000_const,1
435,$4000_vol,8
435,$4004_duty,2
435,$4004_const,1
435,$4004_vol,8
435,$4008_linear,31
435,$400C_const,1
435,$400C_vol,10
435,$400E_period,3
435,$400E_mode,0
436,$4001_sweep,67
436,$4000_duty,1
436,$4000_const,1
436,$4000_vol,14
436,$4002_period,453
436,$400B_length,152
436,$400C_const,1
436,$400C_vol,10
436,$400E_period,6
436,$400E_mode,0
437,$4000_duty,1
437,$4000_const,1
437,$4000_vol,14
437,$4004_duty,2
437,$4004_const,1
437,$4004_vol,8
437,$4008_linear,31
437,$400C_const,1
437,$400C_vol,10
437,$400E_period,6
437,$400E_mode,0
438,$4005_sweep,67
438,$4004_duty,2
438,$4004_const,1
438,$4004_vol,14
438,$4006_period,225
439,$4000_duty,1
439,$4000_const,1
439,$4000_vol,14
439,$4004_duty,2
439,$4004_const,1
439,$4004_vol,14
439,$4008_linear,31
439,$400C_const,1
439,$400C_vol,10
439,$400E_period,6
439,$400E_mode,0
440,$4001_sweep,67
440,$4000_duty,1
440,$4000_const,1
440,$4000_vol,8
440,$4002_period,453
440,$400B_length,152
441,$4000_duty,1
441,$4000_const,1
441,$4000_vol,8
441,$4004_duty,2
441,$4004_const,1
441,$4004_vol,14
441,$4008_linear,31
441,$400C_const,1
441,$400C_vol,10
441,$400E_period,6
