frame,parameter,value
257,$4000_duty,2
257,$4000_const,1
257,$4000_vol,8
257,$4002_period,449
257,$400B_length,8
258,$4000_duty,2
258,$4000_const,1
258,$4000_vol,7
259,$4000_duty,2
259,$4000_const,1
259,$4000_vol,6
260,$4000_duty,2
260,$4000_const,1
260,$4000_vol,5
261,$4000_duty,2
261,$4000_const,1
261,$4000_vol,4
262,$4000_duty,2
262,$4000_const,1
262,$4000_vol,3
263,$4000_duty,2
263,$4000_const,1
263,$4000_vol,2
264,$4000_duty,2
264,$4000_const,1
264,$4000_vol,1
265,$4000_duty,2
265,$4000_const,1
265,$4000_vol,0
517,$4000_duty,2
517,$4000_const,1
517,$4000_vol,0
517,$4002_period,1
517,$400B_length,160
517,$4004_duty,2
517,$4004_const,1
517,$4004_vol,0
517,$4006_period,1
517,$400A_period,1115
517,$400B_length,10
517,$4008_linear,14
524,$400A_period,1115
524,$400B_length,10
524,$4008_linear,14
531,$4008_linear,0
545,$4000_duty,2
545,$4000_const,1
545,$4000_vol,1
545,$4002_period,315
545,$400B_length,144
545,$4004_duty,2
545,$4004_const,1
545,$4004_vol,1
545,$4006_period,501
559,$4000_duty,2
559,$4000_const,1
559,$4000_vol,1
559,$4002_period,279
559,$400B_length,144
559,$4004_duty,2
559,$4004_const,1
559,$4004_vol,1
559,$4006_period,447
559,$400A_period,743
559,$400B_length,9
559,$4008_linear,28
573,$4000_duty,2
573,$4000_const,1
573,$4000_vol,1
573,$4002_period,251
573,$400B_length,240
573,$4004_duty,2
573,$4004_const,1
573,$4004_vol,1
573,$4006_period,419
573,$400A_period,627
573,$400B_length,9
573,$4008_linear,42
594,$4000_duty,2
594,$4000_const,1
594,$4000_vol,1
594,$4002_period,279
594,$400B_length,128
594,$4004_duty,2
594,$4004_const,1
594,$4004_vol,1
594,$4006_period,447
594,$400A_period,627
594,$400B_length,9
594,$4008_linear,28
