frame,parameter,value
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,2
0,$4010_rate,48
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,0
0,$400A_period,3419
0,$400B_length,14
0,$4008_linear,0
0,$400C_const,1
0,$400C_vol,2
2,$4002_period,141
2,$400B_length,8
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,2
2,$4010_rate,48
2,$4006_period,3419
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,0
2,$4008_linear,0
2,$400E_period,7
2,$400E_mode,0
2,$400C_const,1
2,$400C_vol,2
3,$4002_period,3419
3,$400B_length,14
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,2
3,$4010_rate,48
3,$4006_period,159
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,0
3,$400A_period,339
3,$400B_length,8
3,$4008_linear,0
3,$400E_period,6
3,$400E_mode,0
3,$400C_const,1
3,$400C_vol,2
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,2
4,$4010_rate,48
4,$4006_period,159
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,0
4,$400A_period,3419
4,$400B_length,14
4,$4008_linear,0
4,$400C_const,1
4,$400C_vol,2
6,$4002_period,3419
6,$400B_length,14
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,2
6,$4010_rate,48
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,0
6,$400A_period,141
6,$400B_length,8
6,$4008_linear,0
6,$400E_period,0
6,$400E_mode,0
6,$400C_const,1
6,$400C_vol,2
7,$4002_period,141
7,$400B_length,8
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,2
7,$4010_rate,48
7,$4006_period,3419
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,0
7,$4008_linear,0
7,$400E_period,7
7,$400E_mode,0
7,$400C_const,1
7,$400C_vol,2
8,$4002_period,159
8,$400B_length,8
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,2
8,$4010_rate,48
8,$4006_period,2417
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,0
8,$4008_linear,0
8,$400E_period,7
8,$400E_mode,0
8,$400C_const,1
8,$400C_vol,2
9,$4002_period,1437
9,$400B_length,10
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,2
9,$4010_rate,48
9,$4006_period,99
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,0
9,$400A_period,99
9,$400B_length,8
9,$4008_linear,0
9,$400C_const,1
9,$400C_vol,2
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,2
10,$4006_period,1437
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,0
10,$400A_period,2713
10,$400B_length,13
10,$4008_linear,0
10,$400C_const,1
10,$400C_vol,2
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,2
11,$4006_period,1437
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,0
11,$400A_period,2713
11,$400B_length,13
11,$4008_linear,0
11,$400C_const,1
11,$400C_vol,2
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,2
12,$4006_period,1437
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,0
12,$400A_period,2713
12,$400B_length,13
12,$4008_linear,0
12,$400C_const,1
12,$400C_vol,2
13,$4000_duty,0
13,$4000_const,1
13,$4000_vol,2
13,$4006_period,1437
13,$4004_duty,0
13,$4004_const,1
13,$4004_vol,0
13,$400A_period,2713
13,$400B_length,13
13,$4008_linear,0
13,$400C_const,1
13,$400C_vol,2
14,$4000_duty,0
14,$4000_const,1
14,$4000_vol,2
14,$4010_rate,48
14,$4006_period,3419
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,0
14,$4008_linear,0
14,$400C_const,1
14,$400C_vol,2
15,$4000_duty,0
15,$4000_const,1
15,$4000_vol,2
15,$4010_rate,48
15,$4006_period,2713
15,$4004_duty,0
15,$4004_const,1
15,$4004_vol,0
15,$400A_period,2017
15,$400B_length,11
15,$400A_period,2017
15,$400B_length,11
16,$4002_period,159
16,$400B_length,8
16,$4000_duty,0
16,$4000_const,1
16,$4000_vol,2
16,$4010_rate,48
16,$4004_duty,0
16,$4004_const,1
16,$4004_vol,0
16,$4008_linear,0
16,$400C_const,1
16,$400C_vol,2
17,$4002_period,2281
17,$400B_length,12
17,$4000_duty,0
17,$4000_const,1
17,$4000_vol,2
17,$4010_rate,48
17,$4006_period,159
17,$4004_duty,0
17,$4004_const,1
17,$4004_vol,0
17,$400A_period,159
17,$400B_length,8
17,$4008_linear,0
17,$400C_const,1
17,$400C_vol,2
