frame,parameter,value
544,$4001_sweep,0
544,$4002_period,381
544,$400B_length,248
544,$4000_duty,2
544,$4000_const,1
544,$4000_vol,10
544,$4005_sweep,0
544,$4006_period,571
544,$4004_duty,2
544,$4004_const,1
544,$4004_vol,10
544,$400A_period,857
544,$400B_length,249
544,$4008_linear,127
544,$400E_period,0
544,$400E_mode,0
544,$400C_const,1
544,$400C_vol,12
546,$4000_duty,2
546,$4000_const,1
546,$4000_vol,9
546,$4004_duty,2
546,$4004_const,1
546,$4004_vol,9
546,$400E_period,1
546,$400E_mode,0
546,$400C_const,1
546,$400C_vol,12
548,$400E_period,2
548,$400E_mode,0
548,$400C_const,1
548,$400C_vol,12
549,$4000_duty,2
549,$4000_const,1
549,$4000_vol,8
549,$4004_duty,2
549,$4004_const,1
549,$4004_vol,8
550,$400E_period,3
550,$400E_mode,0
550,$400C_const,1
550,$400C_vol,12
552,$4000_duty,2
552,$4000_const,1
552,$4000_vol,7
552,$4004_duty,2
552,$4004_const,1
552,$4004_vol,7
552,$400E_period,4
552,$400E_mode,0
552,$400C_const,1
552,$400C_vol,12
554,$400E_period,5
554,$400E_mode,0
554,$400C_const,1
554,$400C_vol,12
555,$4000_duty,2
555,$4000_const,1
555,$4000_vol,6
555,$4004_duty,2
555,$4004_const,1
555,$4004_vol,6
556,$400E_period,6
556,$400E_mode,0
556,$400C_const,1
556,$400C_vol,12
558,$4000_duty,2
558,$4000_const,1
558,$4000_vol,5
558,$4004_duty,2
558,$4004_const,1
558,$4004_vol,5
558,$400E_period,7
558,$400E_mode,0
558,$400C_const,1
558,$400C_vol,12
560,$400E_period,8
560,$400E_mode,0
560,$400C_const,1
560,$400C_vol,12
561,$4000_duty,2
561,$4000_const,1
561,$4000_vol,4
561,$4004_duty,2
561,$4004_const,1
561,$4004_vol,4
562,$4001_sweep,0
562,$4002_period,381
562,$400B_length,248
562,$4000_duty,2
562,$4000_const,1
562,$4000_vol,8
562,$4005_sweep,0
562,$4006_period,571
562,$4004_duty,2
562,$4004_const,1
562,$4004_vol,8
562,$4008_linear,0
562,$400E_period,9
562,$400E_mode,0
562,$400C_const,1
562,$400C_vol,12
564,$4000_duty,2
564,$4000_const,1
564,$4000_vol,7
564,$4004_duty,2
564,$4004_const,1
564,$4004_vol,7
564,$400E_period,10
564,$400E_mode,0
564,$400C_const,1
564,$400C_vol,12
566,$400E_period,11
566,$400E_mode,0
566,$400C_const,1
566,$400C_vol,12
567,$4000_duty,2
567,$4000_const,1
567,$4000_vol,6
567,$4004_duty,2
567,$4004_const,1
567,$4004_vol,6
568,$400E_period,12
568,$400E_mode,0
568,$400C_const,1
568,$400C_vol,12
570,$4000_duty,2
570,$4000_const,1
570,$4000_vol,5
570,$4004_duty,2
570,$4004_const,1
570,$4004_vol,5
570,$400E_period,13
570,$400E_mode,0
570,$400C_const,1
570,$400C_vol,12
572,$400E_period,14
572,$400E_mode,0
572,$400C_const,1
572,$400C_vol,12
573,$4000_duty,2
573,$4000_const,1
573,$4000_vol,4
573,$4004_duty,2
573,$4004_const,1
573,$4004_vol,4
574,$400E_period,15
574,$400E_mode,0
574,$400C_const,1
574,$400C_vol,12
576,$4000_duty,2
576,$4000_const,1
576,$4000_vol,3
576,$4004_duty,2
576,$4004_const,1
576,$4004_vol,3
579,$4000_duty,2
579,$4000_const,1
579,$4000_vol,2
579,$4004_duty,2
579,$4004_const,1
579,$4004_vol,2
579,$400C_const,1
579,$400C_vol,11
580,$4001_sweep,0
580,$4002_period,381
580,$400B_length,248
580,$4000_duty,2
580,$4000_const,1
580,$4000_vol,6
580,$4005_sweep,0
580,$4006_period,571
580,$4004_duty,2
580,$4004_const,1
580,$4004_vol,6
582,$4000_duty,2
582,$4000_const,1
582,$4000_vol,5
582,$4004_duty,2
582,$4004_const,1
582,$4004_vol,5
584,$400C_const,1
584,$400C_vol,10
585,$4000_duty,2
585,$4000_const,1
585,$4000_vol,4
585,$4004_duty,2
585,$4004_const,1
585,$4004_vol,4
588,$4000_duty,2
588,$4000_const,1
588,$4000_vol,3
588,$4004_duty,2
588,$4004_const,1
588,$4004_vol,3
589,$400C_const,1
589,$400C_vol,9
591,$4000_duty,2
591,$4000_const,1
591,$4000_vol,2
591,$4004_duty,2
591,$4004_const,1
591,$4004_vol,2
594,$4000_duty,2
594,$4000_const,1
594,$4000_vol,1
594,$4004_duty,2
594,$4004_const,1
594,$4004_vol,1
594,$400C_const,1
594,$400C_vol,8
597,$4000_duty,2
597,$4000_const,1
597,$4000_vol,0
597,$4004_duty,2
597,$4004_const,1
597,$4004_vol,0
598,$4001_sweep,0
598,$4002_period,381
598,$400B_length,248
598,$4000_duty,2
598,$4000_const,1
598,$4000_vol,4
598,$4005_sweep,0
598,$4006_period,571
598,$4004_duty,2
598,$4004_const,1
598,$4004_vol,4
599,$400C_const,1
599,$400C_vol,7
600,$4000_duty,2
600,$4000_const,1
600,$4000_vol,3
600,$4004_duty,2
600,$4004_const,1
600,$4004_vol,3
603,$4000_duty,2
603,$4000_const,1
603,$4000_vol,2
603,$4004_duty,2
603,$4004_const,1
603,$4004_vol,2
