frame,parameter,value
193,$4000_duty,0
193,$4000_const,0
193,$4000_vol,0
193,$4001_sweep,0
193,$4002_period,1
193,$400B_length,0
193,$4004_duty,0
193,$4004_const,0
193,$4004_vol,0
193,$4005_sweep,0
193,$4006_period,1
193,$4008_linear,0
193,$400A_period,1
193,$400B_length,0
193,$400C_const,0
193,$400C_vol,0
193,$400E_period,0
193,$400E_mode,0
193,$4010_rate,0
193,$4011_dac,0
193,$4012_addr,0
193,$4013_len,0
193,$400C_const,1
193,$400C_vol,0
193,$4008_linear,48
193,$400A_period,1
193,$400B_length,8
193,$4004_duty,0
193,$4004_const,1
193,$4004_vol,0
193,$4005_sweep,8
193,$4006_period,1
193,$4000_duty,0
193,$4000_const,1
193,$4000_vol,0
193,$4001_sweep,8
193,$4002_period,1
193,$400B_length,8
193,$4008_linear,0
193,$4012_addr,0
193,$4000_duty,0
193,$4000_const,1
193,$4000_vol,0
193,$4004_duty,0
193,$4004_const,1
193,$4004_vol,0
193,$4008_linear,48
193,$400C_const,1
193,$400C_vol,0
193,$400E_period,0
193,$400E_mode,0
325,$4000_duty,0
325,$4000_const,0
325,$4000_vol,0
325,$4001_sweep,0
325,$4002_period,1
325,$400B_length,0
325,$4004_duty,0
325,$4004_const,0
325,$4004_vol,0
325,$4005_sweep,0
325,$4006_period,1
325,$4008_linear,0
325,$400A_period,1
325,$400B_length,0
325,$400C_const,0
325,$400C_vol,0
325,$400E_period,0
325,$400E_mode,0
325,$4010_rate,0
325,$4011_dac,0
325,$4012_addr,0
325,$4013_len,0
325,$400C_const,1
325,$400C_vol,0
325,$4008_linear,48
325,$400A_period,1
325,$400B_length,8
325,$4004_duty,0
325,$4004_const,1
325,$4004_vol,0
325,$4005_sweep,8
325,$4006_period,1
325,$4000_duty,0
325,$4000_const,1
325,$4000_vol,0
325,$4001_sweep,8
325,$4002_period,1
325,$400B_length,8
325,$4008_linear,0
325,$4012_addr,0
325,$4000_duty,0
325,$4000_const,1
325,$4000_vol,0
325,$4004_duty,0
325,$4004_const,1
325,$4004_vol,0
325,$4008_linear,48
325,$400C_const,1
325,$400C_vol,0
325,$400E_period,0
325,$400E_mode,0
