frame,parameter,value
4,$4008_linear,127
4,$400A_period,285
4,$400B_length,0
4,$400C_const,1
4,$400C_vol,9
4,$400E_period,7
4,$400E_mode,0
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,4
5,$4008_linear,127
6,$4008_linear,127
6,$400C_const,1
6,$400C_vol,5
6,$400E_period,6
6,$400E_mode,0
7,$4008_linear,0
8,$4008_linear,0
8,$400C_const,1
8,$400C_vol,3
8,$400E_period,6
8,$400E_mode,0
9,$4008_linear,0
10,$4008_linear,0
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,3
11,$4005_sweep,8
11,$4006_period,429
11,$4008_linear,127
11,$400A_period,255
11,$400B_length,0
11,$400C_const,1
11,$400C_vol,9
11,$400E_period,7
11,$400E_mode,0
12,$4008_linear,127
13,$4000_duty,0
13,$4000_const,1
13,$4000_vol,3
13,$4004_duty,0
13,$4004_const,1
13,$4004_vol,3
13,$4005_sweep,8
13,$4006_period,383
13,$4008_linear,127
13,$400C_const,1
13,$400C_vol,5
13,$400E_period,6
13,$400E_mode,0
14,$4008_linear,127
15,$4004_duty,0
15,$4004_const,1
15,$4004_vol,5
15,$4008_linear,127
15,$400C_const,1
15,$400C_vol,3
15,$400E_period,6
15,$400E_mode,0
16,$4004_duty,0
16,$4004_const,1
16,$4004_vol,3
16,$4005_sweep,8
16,$4006_period,341
16,$4008_linear,127
17,$4008_linear,127
18,$4004_duty,0
18,$4004_const,1
18,$4004_vol,3
18,$4005_sweep,8
18,$4006_period,323
18,$4008_linear,0
18,$400C_const,1
18,$400C_vol,2
18,$400E_period,6
18,$400E_mode,0
19,$4008_linear,0
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,5
20,$4008_linear,0
20,$400C_const,1
20,$400C_vol,0
20,$400E_period,0
20,$400E_mode,0
21,$4004_duty,0
21,$4004_const,1
21,$4004_vol,3
21,$4005_sweep,8
21,$4006_period,287
21,$4008_linear,0
22,$4008_linear,0
23,$4004_duty,0
23,$4004_const,1
23,$4004_vol,3
23,$4005_sweep,8
23,$4006_period,257
23,$4008_linear,0
24,$4008_linear,127
24,$400A_period,855
24,$400B_length,1
25,$4000_duty,0
25,$4000_const,1
25,$4000_vol,2
25,$4004_duty,0
25,$4004_const,1
25,$4004_vol,5
25,$4008_linear,127
25,$400C_const,1
25,$400C_vol,9
25,$400E_period,7
25,$400E_mode,0
26,$4004_duty,0
26,$4004_const,1
26,$4004_vol,3
26,$4005_sweep,8
26,$4006_period,229
26,$4008_linear,127
27,$4008_linear,0
27,$400C_const,1
27,$400C_vol,5
27,$400E_period,6
27,$400E_mode,0
28,$4004_duty,0
28,$4004_const,1
28,$4004_vol,3
28,$4005_sweep,8
28,$4006_period,215
28,$4008_linear,0
29,$4008_linear,0
29,$400C_const,1
29,$400C_vol,3
29,$400E_period,6
29,$400E_mode,0
30,$4004_duty,0
30,$4004_const,1
30,$4004_vol,5
30,$4008_linear,0
31,$4000_duty,0
31,$4000_const,1
31,$4000_vol,7
31,$4001_sweep,8
31,$4002_period,427
31,$400B_length,0
31,$4004_duty,0
31,$4004_const,1
31,$4004_vol,0
31,$4006_period,3
31,$4008_linear,127
31,$400A_period,855
31,$400B_length,1
32,$4008_linear,127
32,$400C_const,0
32,$400C_vol,9
32,$400E_period,0
32,$400E_mode,0
33,$4008_linear,127
34,$4008_linear,127
34,$400C_const,1
34,$400C_vol,0
34,$400E_period,0
34,$400E_mode,0
35,$4000_duty,0
35,$4000_const,1
35,$4000_vol,6
35,$4008_linear,127
36,$4008_linear,127
37,$4008_linear,127
38,$4008_linear,127
39,$4000_duty,0
39,$4000_const,1
39,$4000_vol,5
39,$4008_linear,127
39,$400C_const,1
39,$400C_vol,0
39,$400E_period,1
39,$400E_mode,0
40,$4008_linear,127
41,$4004_duty,0
41,$4004_const,1
41,$4004_vol,2
41,$4005_sweep,8
41,$4006_period,429
41,$4008_linear,127
42,$4004_duty,0
42,$4004_const,1
42,$4004_vol,3
42,$4008_linear,127
43,$4004_duty,0
43,$4004_const,1
43,$4004_vol,4
43,$4008_linear,0
44,$4004_duty,0
44,$4004_const,1
44,$4004_vol,3
44,$4008_linear,0
45,$4000_duty,0
45,$4000_const,1
45,$4000_vol,4
45,$4008_linear,0
45,$400C_const,0
45,$400C_vol,9
45,$400E_period,0
45,$400E_mode,0
46,$4008_linear,0
47,$4008_linear,0
47,$400C_const,1
47,$400C_vol,0
47,$400E_period,0
47,$400E_mode,0
48,$4008_linear,0
49,$4008_linear,0
50,$4008_linear,0
51,$4000_duty,0
51,$4000_const,1
51,$4000_vol,7
51,$4001_sweep,8
51,$4002_period,571
51,$400B_length,1
51,$4008_linear,127
51,$400A_period,1017
51,$400B_length,1
52,$4008_linear,127
52,$400C_const,1
52,$400C_vol,9
52,$400E_period,7
52,$400E_mode,0
53,$4008_linear,127
54,$4008_linear,127
54,$400C_const,1
54,$400C_vol,5
54,$400E_period,6
54,$400E_mode,0
55,$4008_linear,127
56,$4008_linear,127
56,$400C_const,1
56,$400C_vol,3
56,$400E_period,6
56,$400E_mode,0
57,$4008_linear,127
