frame,parameter,value
272,$4004_duty,3
272,$4004_const,1
272,$4004_vol,0
272,$4005_sweep,0
272,$4006_period,1
272,$400C_const,0
272,$400C_vol,0
272,$400E_period,0
272,$400E_mode,0
272,$4008_linear,127
272,$400A_period,425
272,$400B_length,0
272,$4000_duty,2
272,$4000_const,1
272,$4000_vol,3
272,$4001_sweep,7
272,$4002_period,425
272,$400B_length,0
273,$4008_linear,127
273,$4000_duty,2
273,$4000_const,1
273,$4000_vol,2
274,$4008_linear,127
274,$4000_duty,2
274,$4000_const,1
274,$4000_vol,2
275,$4008_linear,127
275,$4000_duty,2
275,$4000_const,1
275,$4000_vol,2
276,$4008_linear,127
276,$4000_duty,2
276,$4000_const,1
276,$4000_vol,2
277,$4008_linear,127
277,$4000_duty,2
277,$4000_const,1
277,$4000_vol,2
278,$4008_linear,127
278,$4000_duty,2
278,$4000_const,1
278,$4000_vol,2
279,$4000_duty,2
279,$4000_const,1
279,$4000_vol,0
279,$4001_sweep,0
279,$4002_period,1
279,$400B_length,0
279,$4008_linear,0
279,$400A_period,1
279,$400B_length,0
281,$4008_linear,127
281,$400A_period,379
281,$400B_length,0
281,$4000_duty,2
281,$4000_const,1
281,$4000_vol,3
281,$4001_sweep,7
281,$4002_period,379
281,$400B_length,0
282,$4008_linear,127
282,$4000_duty,2
282,$4000_const,1
282,$4000_vol,3
283,$4008_linear,127
283,$4000_duty,2
283,$4000_const,1
283,$4000_vol,2
284,$4008_linear,127
284,$4000_duty,2
284,$4000_const,1
284,$4000_vol,2
286,$4008_linear,127
286,$4000_duty,2
286,$4000_const,1
286,$4000_vol,2
286,$4008_linear,127
286,$4000_duty,2
286,$4000_const,1
286,$4000_vol,2
287,$4008_linear,127
287,$4000_duty,2
287,$4000_const,1
287,$4000_vol,2
288,$4008_linear,127
288,$4000_duty,2
288,$4000_const,1
288,$4000_vol,2
289,$4000_duty,2
289,$4000_const,1
289,$4000_vol,0
289,$4001_sweep,0
289,$4002_period,1
289,$400B_length,0
289,$4008_linear,0
289,$400A_period,1
289,$400B_length,0
291,$4008_linear,127
291,$400A_period,359
291,$400B_length,0
291,$4000_duty,2
291,$4000_const,1
291,$4000_vol,3
291,$4001_sweep,7
291,$4002_period,359
291,$400B_length,0
292,$4008_linear,127
292,$4000_duty,2
292,$4000_const,1
292,$4000_vol,3
293,$4008_linear,127
293,$4000_duty,2
293,$4000_const,1
293,$4000_vol,2
294,$4008_linear,127
294,$4000_duty,2
294,$4000_const,1
294,$4000_vol,2
296,$4008_linear,127
296,$4000_duty,2
296,$4000_const,1
296,$4000_vol,2
296,$4008_linear,127
296,$4000_duty,2
296,$4000_const,1
296,$4000_vol,2
297,$4008_linear,127
297,$4000_duty,2
297,$4000_const,1
297,$4000_vol,2
298,$4008_linear,127
298,$4000_duty,2
298,$4000_const,1
298,$4000_vol,2
299,$4000_duty,2
299,$4000_const,1
299,$4000_vol,0
299,$4001_sweep,0
299,$4002_period,1
299,$400B_length,0
299,$4008_linear,0
299,$400A_period,1
299,$400B_length,0
301,$4008_linear,127
301,$400A_period,339
301,$400B_length,0
301,$4004_duty,3
301,$4004_const,1
301,$4004_vol,2
301,$4005_sweep,7
301,$4006_period,1709
301,$4000_duty,2
301,$4000_const,1
301,$4000_vol,3
301,$4001_sweep,7
301,$4002_period,339
301,$400B_length,0
302,$4008_linear,127
302,$4004_duty,3
302,$4004_const,1
302,$4004_vol,2
302,$4000_duty,2
302,$4000_const,1
302,$4000_vol,3
303,$4008_linear,127
303,$4004_duty,3
303,$4004_const,1
303,$4004_vol,6
303,$4000_duty,2
303,$4000_const,1
303,$4000_vol,2
304,$4008_linear,127
304,$4004_duty,3
304,$4004_const,1
304,$4004_vol,6
304,$4000_duty,2
304,$4000_const,1
304,$4000_vol,2
306,$4008_linear,127
306,$4004_duty,3
306,$4004_const,1
306,$4004_vol,6
306,$4000_duty,2
306,$4000_const,1
306,$4000_vol,2
306,$4008_linear,127
306,$4004_duty,3
306,$4004_const,1
306,$4004_vol,6
306,$4000_duty,2
306,$4000_const,1
306,$4000_vol,2
307,$4008_linear,127
307,$4004_duty,3
307,$4004_const,1
307,$4004_vol,6
307,$4000_duty,2
307,$4000_const,1
307,$4000_vol,2
308,$4008_linear,127
308,$4004_duty,3
308,$4004_const,1
308,$4004_vol,6
308,$4000_duty,2
308,$4000_const,1
308,$4000_vol,2
309,$4008_linear,127
309,$4004_duty,3
309,$4004_const,1
309,$4004_vol,6
309,$4000_duty,2
309,$4000_const,1
309,$4000_vol,2
310,$4008_linear,127
310,$4004_duty,3
310,$4004_const,1
310,$4004_vol,6
310,$4000_duty,2
310,$4000_const,1
310,$4000_vol,2
311,$4004_duty,3
311,$4004_const,1
311,$4004_vol,0
311,$4005_sweep,0
311,$4006_period,1
311,$4008_linear,127
311,$4000_duty,2
311,$4000_const,1
311,$4000_vol,2
312,$4008_linear,127
312,$4000_duty,2
312,$4000_const,1
312,$4000_vol,2
313,$4008_linear,127
313,$4000_duty,2
313,$4000_const,1
313,$4000_vol,2
314,$4008_linear,127
314,$4000_duty,2
314,$4000_const,1
314,$4000_vol,2
315,$4008_linear,127
315,$4000_duty,2
315,$4000_const,1
315,$4000_vol,2
316,$4008_linear,127
316,$4000_duty,2
316,$4000_const,1
316,$4000_vol,2
317,$4008_linear,127
317,$4000_duty,2
317,$4000_const,1
317,$4000_vol,2
318,$4008_linear,127
318,$4000_duty,2
318,$4000_const,1
318,$4000_vol,2
319,$4000_duty,2
319,$4000_const,1
319,$4000_vol,0
319,$4001_sweep,0
319,$4002_period,1
319,$400B_length,0
319,$4008_linear,0
319,$400A_period,1
319,$400B_length,0
321,$4008_linear,127
321,$400A_period,339
321,$400B_length,0
321,$4004_duty,3
321,$4004_const,1
321,$4004_vol,2
321,$4005_sweep,7
321,$4006_period,1141
321,$4000_duty,2
321,$4000_const,1
321,$4000_vol,3
321,$4001_sweep,7
321,$4002_period,339
321,$400B_length,0
322,$4008_linear,127
322,$4004_duty,3
322,$4004_const,1
322,$4004_vol,2
322,$4000_duty,2
322,$4000_const,1
322,$4000_vol,3
323,$4008_linear,127
323,$4004_duty,3
323,$4004_const,1
323,$4004_vol,6
323,$4000_duty,2
323,$4000_const,1
323,$4000_vol,2
324,$4008_linear,127
324,$4004_duty,3
324,$4004_const,1
324,$4004_vol,6
324,$4000_duty,2
324,$4000_const,1
324,$4000_vol,2
325,$4008_linear,127
325,$4004_duty,3
325,$4004_const,1
325,$4004_vol,6
325,$4000_duty,2
325,$4000_const,1
325,$4000_vol,2
326,$4008_linear,127
326,$4004_duty,3
326,$4004_const,1
326,$4004_vol,6
326,$4000_duty,2
326,$4000_const,1
326,$4000_vol,2
327,$4008_linear,127
327,$4004_duty,3
327,$4004_const,1
327,$4004_vol,6
327,$4000_duty,2
327,$4000_const,1
327,$4000_vol,2
328,$4008_linear,127
328,$4004_duty,3
328,$4004_const,1
328,$4004_vol,6
328,$4000_duty,2
328,$4000_const,1
328,$4000_vol,2
329,$4008_linear,127
329,$4004_duty,3
329,$4004_const,1
329,$4004_vol,6
329,$4000_duty,2
329,$4000_const,1
329,$4000_vol,2
330,$4008_linear,127
330,$4004_duty,3
330,$4004_const,1
330,$4004_vol,6
330,$4000_duty,2
330,$4000_const,1
330,$4000_vol,2
331,$4004_duty,3
331,$4004_const,1
331,$4004_vol,0
331,$4005_sweep,0
331,$4006_period,1
331,$4008_linear,127
331,$4000_duty,2
331,$4000_const,1
331,$4000_vol,2
332,$4008_linear,127
332,$4000_duty,2
332,$4000_const,1
332,$4000_vol,2
333,$4008_linear,127
333,$4000_duty,2
333,$4000_const,1
333,$4000_vol,2
334,$4008_linear,127
334,$4000_duty,2
334,$4000_const,1
334,$4000_vol,2
335,$4008_linear,127
335,$4000_duty,2
335,$4000_const,1
335,$4000_vol,2
336,$4008_linear,127
336,$4000_duty,2
336,$4000_const,1
336,$4000_vol,2
337,$4008_linear,127
337,$4000_duty,2
337,$4000_const,1
337,$4000_vol,2
338,$4008_linear,127
338,$4000_duty,2
338,$4000_const,1
338,$4000_vol,2
339,$4000_duty,2
339,$4000_const,1
339,$4000_vol,0
339,$4001_sweep,0
339,$4002_period,1
339,$400B_length,0
339,$4008_linear,0
339,$400A_period,1
339,$400B_length,0
341,$4008_linear,127
341,$400A_period,339
341,$400B_length,0
341,$4004_duty,3
341,$4004_const,1
341,$4004_vol,2
341,$4005_sweep,7
341,$4006_period,1709
341,$4000_duty,2
341,$4000_const,1
341,$4000_vol,3
341,$4001_sweep,7
341,$4002_period,339
341,$400B_length,0
342,$4008_linear,127
342,$4004_duty,3
342,$4004_const,1
342,$4004_vol,2
342,$4000_duty,2
342,$4000_const,1
342,$4000_vol,3
343,$4008_linear,127
343,$4004_duty,3
343,$4004_const,1
343,$4004_vol,6
343,$4000_duty,2
343,$4000_const,1
343,$4000_vol,2
344,$4008_linear,127
344,$4004_duty,3
344,$4004_const,1
344,$4004_vol,6
344,$4000_duty,2
344,$4000_const,1
344,$4000_vol,2
345,$4008_linear,127
345,$4004_duty,3
345,$4004_const,1
345,$4004_vol,6
345,$4000_duty,2
345,$4000_const,1
345,$4000_vol,2
346,$4008_linear,127
346,$4004_duty,3
346,$4004_const,1
346,$4004_vol,6
346,$4000_duty,2
346,$4000_const,1
346,$4000_vol,2
347,$4008_linear,127
347,$4004_duty,3
347,$4004_const,1
347,$4004_vol,6
347,$4000_duty,2
347,$4000_const,1
347,$4000_vol,2
348,$4008_linear,127
348,$4004_duty,3
348,$4004_const,1
348,$4004_vol,6
348,$4000_duty,2
348,$4000_const,1
348,$4000_vol,2
349,$4000_duty,2
349,$4000_const,1
349,$4000_vol,0
349,$4001_sweep,0
349,$4002_period,1
349,$400B_length,0
349,$4008_linear,0
349,$400A_period,1
349,$400B_length,0
349,$4004_duty,3
349,$4004_const,1
349,$4004_vol,6
350,$4004_duty,3
350,$4004_const,1
350,$4004_vol,6
351,$4004_duty,3
351,$4004_const,1
351,$4004_vol,0
351,$4005_sweep,0
351,$4006_period,1
351,$4008_linear,127
351,$400A_period,425
351,$400B_length,0
351,$4000_duty,2
351,$4000_const,1
351,$4000_vol,3
351,$4001_sweep,7
351,$4002_period,425
351,$400B_length,0
352,$4008_linear,127
352,$4000_duty,2
352,$4000_const,1
352,$4000_vol,3
353,$4008_linear,127
353,$4000_duty,2
353,$4000_const,1
353,$4000_vol,2
354,$4008_linear,127
354,$4000_duty,2
354,$4000_const,1
354,$4000_vol,2
355,$4008_linear,127
355,$4000_duty,2
355,$4000_const,1
355,$4000_vol,2
356,$4008_linear,127
356,$4000_duty,2
356,$4000_const,1
356,$4000_vol,2
357,$4008_linear,127
357,$4000_duty,2
357,$4000_const,1
357,$4000_vol,2
358,$4008_linear,127
358,$4000_duty,2
358,$4000_const,1
358,$4000_vol,2
359,$4000_duty,2
359,$4000_const,1
359,$4000_vol,0
359,$4001_sweep,0
359,$4002_period,1
359,$400B_length,0
359,$4008_linear,0
359,$400A_period,1
359,$400B_length,0
361,$4008_linear,127
361,$400A_period,339
361,$400B_length,0
361,$4004_duty,3
361,$4004_const,1
361,$4004_vol,2
361,$4005_sweep,7
361,$4006_period,1141
361,$4000_duty,2
361,$4000_const,1
361,$4000_vol,3
361,$4001_sweep,7
361,$4002_period,339
361,$400B_length,0
362,$4008_linear,127
362,$4004_duty,3
362,$4004_const,1
362,$4004_vol,2
362,$4000_duty,2
362,$4000_const,1
362,$4000_vol,3
363,$4008_linear,127
363,$4004_duty,3
