frame,parameter,value
416,$4001_sweep,0
416,$4005_sweep,0
416,$4008_linear,127
424,$4002_period,29
424,$400B_length,0
424,$4000_duty,1
424,$4000_const,1
424,$4000_vol,11
424,$4006_period,59
424,$4004_duty,2
424,$4004_const,1
424,$4004_vol,11
424,$400A_period,855
424,$400B_length,1
424,$400E_period,2
424,$400E_mode,0
424,$400C_const,1
424,$400C_vol,15
425,$4000_duty,1
425,$4000_const,1
425,$4000_vol,11
425,$4004_duty,2
425,$4004_const,1
425,$4004_vol,11
425,$400E_period,3
425,$400E_mode,0
425,$400C_const,1
425,$400C_vol,15
426,$4000_duty,1
426,$4000_const,1
426,$4000_vol,11
426,$4004_duty,2
426,$4004_const,1
426,$4004_vol,11
426,$400A_period,1077
426,$400B_length,2
426,$400E_period,4
426,$400E_mode,0
426,$400C_const,1
426,$400C_vol,15
427,$4000_duty,1
427,$4000_const,1
427,$4000_vol,11
427,$4004_duty,2
427,$4004_const,1
427,$4004_vol,11
427,$400E_period,5
427,$400E_mode,0
427,$400C_const,1
427,$400C_vol,15
428,$4000_duty,1
428,$4000_const,1
428,$4000_vol,11
428,$4004_duty,2
428,$4004_const,1
428,$4004_vol,11
428,$400A_period,1711
428,$400B_length,3
428,$400E_period,6
428,$400E_mode,0
428,$400C_const,1
428,$400C_vol,15
