frame,parameter,value
192,$4000_duty,1
192,$4000_const,1
192,$4000_vol,4
192,$4002_period,239
192,$400B_length,0
192,$4001_sweep,8
192,$4004_duty,1
192,$4004_const,1
192,$4004_vol,4
192,$4006_period,285
192,$4005_sweep,8
192,$4008_linear,1
192,$400A_period,403
192,$400B_length,0
193,$4000_duty,1
193,$4000_const,1
193,$4000_vol,4
193,$4002_period,239
193,$400B_length,0
193,$4001_sweep,8
193,$4004_duty,1
193,$4004_const,1
193,$4004_vol,4
193,$4006_period,285
193,$4005_sweep,8
193,$4008_linear,1
193,$400A_period,403
193,$400B_length,0
194,$4000_duty,1
194,$4000_const,1
194,$4000_vol,4
194,$4004_duty,1
194,$4004_const,1
194,$4004_vol,4
194,$4008_linear,1
195,$4000_duty,1
195,$4000_const,1
195,$4000_vol,2
195,$4004_duty,1
195,$4004_const,1
195,$4004_vol,2
195,$4008_linear,1
196,$4000_duty,1
196,$4000_const,1
196,$4000_vol,2
196,$4004_duty,1
196,$4004_const,1
196,$4004_vol,2
196,$4008_linear,1
197,$4000_duty,1
197,$4000_const,1
197,$4000_vol,2
197,$4004_duty,1
197,$4004_const,1
197,$4004_vol,2
197,$4008_linear,1
198,$4000_duty,1
198,$4000_const,1
198,$4000_vol,0
198,$4004_duty,1
198,$4004_const,1
198,$4004_vol,0
198,$4008_linear,1
199,$4000_duty,1
199,$4000_const,1
199,$4000_vol,0
199,$4004_duty,1
199,$4004_const,1
199,$4004_vol,0
199,$4008_linear,1
200,$4000_duty,1
200,$4000_const,1
200,$4000_vol,0
200,$4004_duty,1
200,$4004_const,1
200,$4004_vol,0
200,$4008_linear,1
201,$4000_duty,1
201,$4000_const,1
201,$4000_vol,0
201,$4004_duty,1
201,$4004_const,1
201,$4004_vol,0
201,$4008_linear,1
202,$4000_duty,1
202,$4000_const,1
202,$4000_vol,0
202,$4004_duty,1
202,$4004_const,1
202,$4004_vol,0
202,$4008_linear,1
203,$4000_duty,1
203,$4000_const,1
203,$4000_vol,0
203,$4004_duty,1
203,$4004_const,1
203,$4004_vol,0
203,$4008_linear,1
204,$4000_duty,1
204,$4000_const,1
204,$4000_vol,0
204,$4004_duty,1
204,$4004_const,1
204,$4004_vol,0
