frame,parameter,value
0,$4011_dac,0
1,$4011_dac,0
2,$4002_period,677
2,$400B_length,9
2,$4000_duty,1
2,$4000_const,0
2,$4000_vol,6
2,$4011_dac,0
3,$4011_dac,0
4,$4011_dac,0
5,$4011_dac,0
6,$4011_dac,0
7,$4011_dac,0
8,$4011_dac,0
9,$4011_dac,0
10,$4011_dac,0
11,$4011_dac,0
12,$4008_linear,0
12,$4011_dac,0
13,$4002_period,569
13,$400B_length,9
13,$4000_duty,1
13,$4000_const,0
13,$4000_vol,6
13,$4008_linear,40
13,$400A_period,1141
13,$400B_length,10
13,$4011_dac,0
14,$4011_dac,0
15,$4011_dac,0
16,$4011_dac,0
17,$4011_dac,0
18,$4011_dac,0
19,$4011_dac,0
20,$4011_dac,0
21,$4011_dac,0
22,$4011_dac,0
23,$4008_linear,0
23,$4011_dac,0
24,$4006_period,379
24,$4004_duty,2
24,$4004_const,0
24,$4004_vol,6
24,$4002_period,451
24,$400B_length,8
24,$4000_duty,1
24,$4000_const,0
24,$4000_vol,6
24,$4008_linear,40
24,$400A_period,569
24,$400B_length,9
24,$4011_dac,0
25,$4011_dac,0
26,$4011_dac,0
27,$4011_dac,0
28,$4011_dac,0
29,$4011_dac,0
30,$4011_dac,0
31,$4011_dac,0
32,$4011_dac,0
33,$4011_dac,0
34,$4008_linear,0
34,$4011_dac,0
35,$4008_linear,56
35,$400A_period,569
35,$400B_length,9
35,$4011_dac,0
36,$4011_dac,0
37,$4011_dac,0
38,$4011_dac,0
39,$4011_dac,0
40,$4011_dac,0
41,$4011_dac,0
42,$4011_dac,0
43,$4011_dac,0
44,$4011_dac,0
45,$4011_dac,0
46,$4006_period,379
46,$4004_duty,2
46,$4004_const,0
46,$4004_vol,6
46,$4002_period,451
46,$400B_length,8
46,$4000_duty,1
46,$4000_const,0
46,$4000_vol,6
46,$4011_dac,0
47,$4011_dac,0
48,$4011_dac,0
49,$4011_dac,0
50,$4011_dac,0
51,$4011_dac,0
52,$4011_dac,0
53,$4011_dac,0
54,$4011_dac,0
55,$4011_dac,0
56,$4008_linear,0
56,$4011_dac,0
57,$4008_linear,40
57,$400A_period,761
57,$400B_length,9
57,$4011_dac,0
58,$4011_dac,0
59,$4011_dac,0
60,$4011_dac,0
61,$4011_dac,0
62,$4011_dac,0
63,$4011_dac,0
64,$4011_dac,0
65,$4011_dac,0
66,$4011_dac,0
