frame,parameter,value
294,$4000_duty,0
294,$4000_const,0
294,$4000_vol,0
294,$4004_duty,0
294,$4004_const,0
294,$4004_vol,0
294,$4008_linear,0
294,$400C_const,0
294,$400C_vol,0
294,$400E_period,0
294,$400E_mode,0
295,$4000_duty,0
295,$4000_const,0
295,$4000_vol,0
295,$4004_duty,0
295,$4004_const,0
295,$4004_vol,0
295,$4008_linear,0
295,$400C_const,0
295,$400C_vol,0
295,$400E_period,0
295,$400E_mode,0
296,$4000_duty,0
296,$4000_const,1
296,$4000_vol,0
296,$4004_duty,0
296,$4004_const,1
296,$4004_vol,0
296,$4008_linear,16
296,$400C_const,1
296,$400C_vol,0
