frame,parameter,value
62,$4000_duty,0
62,$4000_const,1
62,$4000_vol,0
62,$4001_sweep,4
62,$4004_duty,0
62,$4004_const,1
62,$4004_vol,0
62,$4005_sweep,4
62,$4008_linear,0
62,$400C_const,1
62,$400C_vol,0
62,$4000_duty,0
62,$4000_const,1
62,$4000_vol,0
62,$4001_sweep,4
62,$4004_duty,0
62,$4004_const,1
62,$4004_vol,0
62,$4005_sweep,4
62,$4008_linear,0
62,$400C_const,1
62,$400C_vol,0
121,$400C_const,1
121,$400C_vol,0
121,$4000_duty,3
121,$4000_const,1
121,$4000_vol,11
121,$4001_sweep,8
121,$4002_period,381
121,$400B_length,24
121,$4004_duty,3
121,$4004_const,1
121,$4004_vol,0
121,$4005_sweep,8
121,$4006_period,1
122,$4000_duty,3
122,$4000_const,1
122,$4000_vol,12
122,$4001_sweep,8
122,$4004_duty,3
122,$4004_const,1
122,$4004_vol,0
122,$4005_sweep,8
123,$4000_duty,3
123,$4000_const,1
123,$4000_vol,14
123,$4001_sweep,8
123,$4004_duty,3
123,$4004_const,1
123,$4004_vol,0
123,$4005_sweep,8
124,$4000_duty,3
124,$4000_const,1
124,$4000_vol,15
124,$4001_sweep,8
124,$4004_duty,3
124,$4004_const,1
124,$4004_vol,0
124,$4005_sweep,8
125,$4000_duty,3
125,$4000_const,1
125,$4000_vol,12
125,$4001_sweep,8
125,$4004_duty,3
125,$4004_const,1
125,$4004_vol,0
125,$4005_sweep,8
126,$4000_duty,3
126,$4000_const,1
126,$4000_vol,11
126,$4001_sweep,8
126,$4004_duty,3
126,$4004_const,1
126,$4004_vol,0
126,$4005_sweep,8
127,$4000_duty,3
127,$4000_const,1
127,$4000_vol,10
127,$4001_sweep,8
127,$4004_duty,3
127,$4004_const,1
127,$4004_vol,0
127,$4005_sweep,8
128,$4000_duty,3
128,$4000_const,1
128,$4000_vol,8
128,$4001_sweep,8
128,$4004_duty,3
128,$4004_const,1
128,$4004_vol,0
128,$4005_sweep,8
129,$4000_duty,3
129,$4000_const,1
129,$4000_vol,11
129,$4001_sweep,8
129,$4004_duty,3
129,$4004_const,1
129,$4004_vol,0
129,$4005_sweep,8
130,$4000_duty,3
130,$4000_const,1
130,$4000_vol,12
130,$4001_sweep,8
130,$4004_duty,3
130,$4004_const,1
130,$4004_vol,0
