frame,parameter,value
126,$4001_sweep,8
126,$4005_sweep,8
126,$400C_const,1
126,$400C_vol,0
126,$4008_linear,0
126,$400A_period,855
126,$400B_length,9
126,$4004_duty,0
126,$4004_const,1
126,$4004_vol,0
126,$4005_sweep,8
126,$4011_dac,0
126,$4012_addr,0
126,$4013_len,8
126,$4000_duty,0
126,$4000_const,1
126,$4000_vol,0
126,$4001_sweep,8
126,$4001_sweep,8
126,$4002_period,3417
126,$400B_length,14
146,$400C_const,1
146,$400C_vol,0
146,$4005_sweep,8
146,$4006_period,539
146,$4004_duty,1
146,$4004_const,1
146,$4004_vol,8
146,$4001_sweep,8
146,$4002_period,1709
146,$400B_length,11
146,$4000_duty,1
146,$4000_const,1
146,$4000_vol,8
147,$4004_duty,1
147,$4004_const,1
147,$4004_vol,8
147,$4000_duty,1
147,$4000_const,1
147,$4000_vol,8
149,$4004_duty,1
149,$4004_const,1
149,$4004_vol,8
149,$4000_duty,1
149,$4000_const,1
149,$4000_vol,8
150,$4004_duty,1
150,$4004_const,1
150,$4004_vol,8
150,$4000_duty,1
150,$4000_const,1
150,$4000_vol,8
152,$4005_sweep,8
152,$4006_period,539
152,$4004_duty,1
152,$4004_const,1
152,$4004_vol,8
152,$4001_sweep,8
152,$4002_period,1709
152,$400B_length,11
152,$4000_duty,1
152,$4000_const,1
152,$4000_vol,8
154,$4004_duty,1
154,$4004_const,1
154,$4004_vol,8
154,$4000_duty,1
154,$4000_const,1
154,$4000_vol,8
155,$4004_duty,1
155,$4004_const,1
155,$4004_vol,8
155,$4000_duty,1
155,$4000_const,1
155,$4000_vol,8
157,$4004_duty,1
157,$4004_const,1
157,$4004_vol,8
157,$4000_duty,1
157,$4000_const,1
157,$4000_vol,8
158,$4005_sweep,8
158,$4006_period,539
158,$4004_duty,1
158,$4004_const,1
158,$4004_vol,8
158,$4001_sweep,8
158,$4002_period,1709
158,$400B_length,11
158,$4000_duty,1
158,$4000_const,1
158,$4000_vol,8
160,$4004_duty,1
160,$4004_const,1
160,$4004_vol,8
160,$4000_duty,1
160,$4000_const,1
160,$4000_vol,8
162,$4004_duty,1
162,$4004_const,1
162,$4004_vol,8
162,$4000_duty,1
162,$4000_const,1
162,$4000_vol,8
163,$4004_duty,1
163,$4004_const,1
163,$4004_vol,8
163,$4000_duty,1
163,$4000_const,1
163,$4000_vol,8
165,$400C_const,1
165,$400C_vol,0
165,$4005_sweep,8
165,$4006_period,605
165,$4004_duty,1
165,$4004_const,1
165,$4004_vol,8
165,$4001_sweep,8
165,$4002_period,1209
165,$400B_length,10
165,$4000_duty,0
165,$4000_const,1
165,$4000_vol,8
166,$4004_duty,1
166,$4004_const,1
166,$4004_vol,8
166,$4000_duty,0
166,$4000_const,1
166,$4000_vol,7
168,$4004_duty,1
168,$4004_const,1
168,$4004_vol,8
168,$4000_duty,0
168,$4000_const,1
168,$4000_vol,6
170,$4004_duty,1
170,$4004_const,1
170,$4004_vol,8
170,$4001_sweep,8
170,$4002_period,959
170,$400B_length,9
170,$4000_duty,0
170,$4000_const,1
170,$4000_vol,8
171,$4004_duty,1
171,$4004_const,1
171,$4004_vol,7
171,$4000_duty,0
171,$4000_const,1
171,$4000_vol,7
173,$4004_duty,1
173,$4004_const,1
173,$4004_vol,7
173,$4000_duty,0
173,$4000_const,1
173,$4000_vol,6
174,$4004_duty,1
174,$4004_const,1
174,$4004_vol,7
174,$4001_sweep,8
174,$4002_period,807
174,$400B_length,9
174,$4000_duty,0
174,$4000_const,1
174,$4000_vol,8
176,$4004_duty,1
176,$4004_const,1
176,$4004_vol,7
176,$4000_duty,0
176,$4000_const,1
176,$4000_vol,7
178,$4004_duty,1
178,$4004_const,1
178,$4004_vol,6
178,$4000_duty,0
178,$4000_const,1
178,$4000_vol,6
179,$4004_duty,1
179,$4004_const,1
179,$4004_vol,6
179,$4001_sweep,8
179,$4002_period,605
179,$400B_length,9
179,$4000_duty,0
179,$4000_const,1
179,$4000_vol,8
181,$4004_duty,1
181,$4004_const,1
181,$4004_vol,6
181,$4000_duty,0
181,$4000_const,1
181,$4000_vol,7
182,$4004_duty,1
182,$4004_const,1
182,$4004_vol,6
182,$4000_duty,0
182,$4000_const,1
182,$4000_vol,6
184,$400E_period,5
184,$400E_mode,0
184,$400C_const,1
184,$400C_vol,12
184,$400A_period,1437
184,$400B_length,10
184,$4008_linear,127
184,$4004_duty,1
184,$4004_const,1
184,$4004_vol,5
184,$4001_sweep,8
184,$4002_period,479
184,$400B_length,8
184,$4000_duty,0
184,$4000_const,1
184,$4000_vol,8
186,$400C_const,1
186,$400C_vol,9
186,$4004_duty,1
186,$4004_const,1
186,$4004_vol,5
186,$4000_duty,0
186,$4000_const,1
186,$4000_vol,7
187,$400C_const,1
187,$400C_vol,6
187,$4008_linear,0
187,$4004_duty,1
187,$4004_const,1
187,$4004_vol,5
187,$4000_duty,0
187,$4000_const,1
187,$4000_vol,6
189,$400E_period,5
189,$400E_mode,0
189,$400C_const,1
189,$400C_vol,12
