frame,parameter,value
0,$4000_duty,2
0,$4000_const,1
0,$4000_vol,11
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,4
1,$4000_duty,2
1,$4000_const,1
1,$4000_vol,9
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,4
2,$4000_duty,2
2,$4000_const,1
2,$4000_vol,7
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,4
3,$4000_duty,2
3,$4000_const,1
3,$4000_vol,7
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,4
4,$4000_duty,2
4,$4000_const,1
4,$4000_vol,7
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,4
5,$4000_duty,2
5,$4000_const,1
5,$4000_vol,7
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,4
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,7
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,4
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,7
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,4
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,7
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,4
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,7
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,4
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,7
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,4
11,$4001_sweep,0
11,$4002_period,359
11,$400B_length,184
11,$4008_linear,119
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,13
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,4
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,11
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,4
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,9
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,4
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,7
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,4
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,7
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,4
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,7
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,4
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,7
17,$4005_sweep,0
17,$4006_period,377
17,$4008_linear,119
17,$4004_duty,2
17,$4004_const,1
17,$4004_vol,10
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,7
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,8
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,7
19,$4004_duty,2
19,$4004_const,1
19,$4004_vol,6
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,7
20,$4004_duty,2
20,$4004_const,1
20,$4004_vol,4
21,$4000_duty,2
21,$4000_const,1
21,$4000_vol,7
21,$4004_duty,2
21,$4004_const,1
21,$4004_vol,4
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,7
22,$4004_duty,2
22,$4004_const,1
22,$4004_vol,4
23,$4001_sweep,0
23,$4002_period,321
23,$400B_length,184
23,$4008_linear,119
23,$4000_duty,2
23,$4000_const,1
23,$4000_vol,13
23,$4004_duty,2
23,$4004_const,1
23,$4004_vol,4
23,$400A_period,479
23,$400B_length,8
23,$4008_linear,23
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,11
24,$4004_duty,2
24,$4004_const,1
24,$4004_vol,4
25,$4000_duty,2
25,$4000_const,1
25,$4000_vol,9
25,$4004_duty,2
25,$4004_const,1
25,$4004_vol,4
26,$4000_duty,2
26,$4000_const,1
26,$4000_vol,7
26,$4004_duty,2
26,$4004_const,1
26,$4004_vol,4
27,$4000_duty,2
27,$4000_const,1
27,$4000_vol,7
27,$4004_duty,2
27,$4004_const,1
27,$4004_vol,4
28,$4000_duty,2
28,$4000_const,1
28,$4000_vol,7
28,$4004_duty,2
28,$4004_const,1
28,$4004_vol,4
29,$4000_duty,2
29,$4000_const,1
29,$4000_vol,7
29,$4005_sweep,0
29,$4006_period,355
29,$4008_linear,23
29,$4004_duty,2
29,$4004_const,1
29,$4004_vol,10
30,$4000_duty,2
30,$4000_const,1
30,$4000_vol,7
30,$4004_duty,2
30,$4004_const,1
30,$4004_vol,8
31,$4000_duty,2
31,$4000_const,1
31,$4000_vol,7
31,$4004_duty,2
31,$4004_const,1
31,$4004_vol,6
32,$4000_duty,2
32,$4000_const,1
32,$4000_vol,7
32,$4004_duty,2
32,$4004_const,1
32,$4004_vol,4
33,$4000_duty,2
33,$4000_const,1
33,$4000_vol,7
33,$4004_duty,2
33,$4004_const,1
33,$4004_vol,4
34,$4000_duty,2
34,$4000_const,1
34,$4000_vol,7
34,$4004_duty,2
34,$4004_const,1
34,$4004_vol,4
35,$4001_sweep,0
35,$4002_period,285
35,$400B_length,32
35,$4008_linear,23
35,$4000_duty,2
35,$4000_const,1
35,$4000_vol,13
35,$4004_duty,2
35,$4004_const,1
35,$4004_vol,4
35,$400A_period,539
35,$400B_length,9
35,$4008_linear,103
36,$4000_duty,2
36,$4000_const,1
36,$4000_vol,11
36,$4004_duty,2
36,$4004_const,1
36,$4004_vol,4
37,$4000_duty,2
37,$4000_const,1
37,$4000_vol,9
37,$4004_duty,2
37,$4004_const,1
37,$4004_vol,4
38,$4000_duty,2
38,$4000_const,1
38,$4000_vol,7
38,$4004_duty,2
38,$4004_const,1
38,$4004_vol,4
39,$4000_duty,2
39,$4000_const,1
39,$4000_vol,7
39,$4004_duty,2
39,$4004_const,1
39,$4004_vol,4
40,$4000_duty,2
40,$4000_const,1
40,$4000_vol,7
40,$4004_duty,2
40,$4004_const,1
40,$4004_vol,4
41,$4000_duty,2
41,$4000_const,1
41,$4000_vol,7
41,$4005_sweep,0
41,$4006_period,317
41,$4008_linear,103
41,$4004_duty,2
41,$4004_const,1
41,$4004_vol,10
42,$4000_duty,2
42,$4000_const,1
42,$4000_vol,7
42,$4004_duty,2
42,$4004_const,1
42,$4004_vol,8
43,$4000_duty,2
43,$4000_const,1
43,$4000_vol,7
43,$4004_duty,2
43,$4004_const,1
43,$4004_vol,6
44,$4000_duty,2
44,$4000_const,1
44,$4000_vol,7
44,$4004_duty,2
44,$4004_const,1
44,$4004_vol,4
45,$4000_duty,2
45,$4000_const,1
45,$4000_vol,7
45,$4004_duty,2
45,$4004_const,1
45,$4004_vol,4
46,$4000_duty,2
46,$4000_const,1
46,$4000_vol,7
46,$4004_duty,2
46,$4004_const,1
46,$4004_vol,4
47,$4000_duty,2
47,$4000_const,1
47,$4000_vol,7
47,$4004_duty,2
47,$4004_const,1
47,$4004_vol,4
47,$400C_const,0
47,$400C_vol,0
47,$400E_period,3
47,$400E_mode,0
48,$4000_duty,2
48,$4000_const,1
48,$4000_vol,7
48,$4004_duty,2
48,$4004_const,1
48,$4004_vol,4
49,$4000_duty,2
49,$4000_const,1
49,$4000_vol,7
49,$4004_duty,2
49,$4004_const,1
49,$4004_vol,4
50,$4000_duty,2
50,$4000_const,1
50,$4000_vol,7
50,$4004_duty,2
50,$4004_const,1
50,$4004_vol,4
51,$4000_duty,2
51,$4000_const,1
51,$4000_vol,7
51,$4004_duty,2
51,$4004_const,1
51,$4004_vol,4
52,$4000_duty,2
52,$4000_const,1
52,$4000_vol,7
52,$4004_duty,2
52,$4004_const,1
52,$4004_vol,4
53,$4000_duty,2
53,$4000_const,1
53,$4000_vol,7
53,$4005_sweep,0
53,$4006_period,281
53,$4008_linear,103
53,$4004_duty,2
53,$4004_const,1
53,$4004_vol,10
54,$4000_duty,2
54,$4000_const,1
54,$4000_vol,7
54,$4004_duty,2
54,$4004_const,1
54,$4004_vol,8
55,$4000_duty,2
55,$4000_const,1
55,$4000_vol,7
55,$4004_duty,2
55,$4004_const,1
55,$4004_vol,6
56,$4000_duty,2
56,$4000_const,1
56,$4000_vol,7
56,$4004_duty,2
56,$4004_const,1
56,$4004_vol,4
57,$4000_duty,2
57,$4000_const,1
57,$4000_vol,7
57,$4004_duty,2
57,$4004_const,1
57,$4004_vol,4
58,$4000_duty,2
58,$4000_const,1
58,$4000_vol,7
58,$4004_duty,2
58,$4004_const,1
58,$4004_vol,4
59,$4001_sweep,0
59,$4002_period,359
59,$400B_length,32
59,$4008_linear,103
59,$4000_duty,2
59,$4000_const,1
59,$4000_vol,13
59,$4004_duty,2
59,$4004_const,1
59,$4004_vol,4
59,$400C_const,0
59,$400C_vol,0
59,$400E_period,3
59,$400E_mode,0
60,$4000_duty,2
60,$4000_const,1
60,$4000_vol,11
60,$4004_duty,2
60,$4004_const,1
60,$4004_vol,4
61,$4000_duty,2
61,$4000_const,1
61,$4000_vol,9
61,$4004_duty,2
61,$4004_const,1
61,$4004_vol,4
62,$4000_duty,2
62,$4000_const,1
62,$4000_vol,7
62,$4004_duty,2
62,$4004_const,1
62,$4004_vol,4
63,$4000_duty,2
63,$4000_const,1
63,$4000_vol,7
63,$4004_duty,2
63,$4004_const,1
63,$4004_vol,4
64,$4000_duty,2
64,$4000_const,1
64,$4000_vol,7
64,$4004_duty,2
64,$4004_const,1
64,$4004_vol,4
65,$4000_duty,2
65,$4000_const,1
65,$4000_vol,7
65,$4004_duty,2
65,$4004_const,1
65,$4004_vol,4
66,$4000_duty,2
66,$4000_const,1
66,$4000_vol,7
66,$4004_duty,2
66,$4004_const,1
66,$4004_vol,4
67,$4000_duty,2
67,$4000_const,1
67,$4000_vol,7
67,$4004_duty,2
67,$4004_const,1
67,$4004_vol,4
68,$4000_duty,2
68,$4000_const,1
68,$4000_vol,7
68,$4004_duty,2
68,$4004_const,1
68,$4004_vol,4
69,$4000_duty,2
69,$4000_const,1
69,$4000_vol,7
69,$4004_duty,2
69,$4004_const,1
69,$4004_vol,4
70,$4000_duty,2
70,$4000_const,1
70,$4000_vol,7
70,$4004_duty,2
70,$4004_const,1
70,$4004_vol,4
71,$4000_duty,2
71,$4000_const,1
71,$4000_vol,7
71,$4004_duty,2
71,$4004_const,1
71,$4004_vol,4
71,$400A_period,539
71,$400B_length,9
71,$4008_linear,23
72,$4000_duty,2
72,$4000_const,1
72,$4000_vol,7
72,$4004_duty,2
72,$4004_const,1
72,$4004_vol,4
73,$4000_duty,2
73,$4000_const,1
73,$4000_vol,7
73,$4004_duty,2
73,$4004_const,1
73,$4004_vol,4
74,$4000_duty,2
74,$4000_const,1
74,$4000_vol,7
74,$4004_duty,2
74,$4004_const,1
74,$4004_vol,4
75,$4000_duty,2
75,$4000_const,1
75,$4000_vol,7
75,$4004_duty,2
75,$4004_const,1
75,$4004_vol,4
76,$4000_duty,2
76,$4000_const,1
76,$4000_vol,7
76,$4004_duty,2
76,$4004_const,1
76,$4004_vol,4
77,$4000_duty,2
77,$4000_const,1
77,$4000_vol,7
77,$4005_sweep,0
77,$4006_period,355
77,$4008_linear,23
77,$4004_duty,2
77,$4004_const,1
77,$4004_vol,10
78,$4000_duty,2
78,$4000_const,1
78,$4000_vol,7
78,$4004_duty,2
78,$4004_const,1
78,$4004_vol,8
79,$4000_duty,2
79,$4000_const,1
79,$4000_vol,7
79,$4004_duty,2
79,$4004_const,1
79,$4004_vol,6
80,$4000_duty,2
80,$4000_const,1
80,$4000_vol,7
80,$4004_duty,2
80,$4004_const,1
80,$4004_vol,4
81,$4000_duty,2
81,$4000_const,1
81,$4000_vol,7
81,$4004_duty,2
81,$4004_const,1
81,$4004_vol,4
82,$4000_duty,2
82,$4000_const,1
82,$4000_vol,7
82,$4004_duty,2
82,$4004_const,1
82,$4004_vol,4
83,$4001_sweep,0
83,$4002_period,321
83,$400B_length,32
83,$4008_linear,23
83,$4000_duty,2
83,$4000_const,1
83,$4000_vol,13
83,$4004_duty,2
83,$4004_const,1
83,$4004_vol,4
83,$400A_period,479
83,$400B_length,8
83,$4008_linear,103
84,$4000_duty,2
84,$4000_const,1
84,$4000_vol,11
84,$4004_duty,2
84,$4004_const,1
84,$4004_vol,4
85,$4000_duty,2
85,$4000_const,1
85,$4000_vol,9
85,$4004_duty,2
85,$4004_const,1
85,$4004_vol,4
86,$4000_duty,2
86,$4000_const,1
86,$4000_vol,7
86,$4004_duty,2
86,$4004_const,1
86,$4004_vol,4
87,$4000_duty,2
87,$4000_const,1
87,$4000_vol,7
87,$4004_duty,2
87,$4004_const,1
87,$4004_vol,4
88,$4000_duty,2
88,$4000_const,1
88,$4000_vol,7
88,$4004_duty,2
88,$4004_const,1
88,$4004_vol,4
89,$4000_duty,2
89,$4000_const,1
89,$4000_vol,7
89,$4004_duty,2
89,$4004_const,1
89,$4004_vol,4
90,$4000_duty,2
90,$4000_const,1
90,$4000_vol,7
90,$4004_duty,2
90,$4004_const,1
90,$4004_vol,4
91,$4000_duty,2
91,$4000_const,1
91,$4000_vol,7
91,$4004_duty,2
91,$4004_const,1
91,$4004_vol,4
92,$4000_duty,2
92,$4000_const,1
92,$4000_vol,7
92,$4004_duty,2
92,$4004_const,1
92,$4004_vol,4
93,$4000_duty,2
93,$4000_const,1
93,$4000_vol,7
93,$4004_duty,2
93,$4004_const,1
93,$4004_vol,4
94,$4000_duty,2
94,$4000_const,1
94,$4000_vol,7
94,$4004_duty,2
94,$4004_const,1
94,$4004_vol,4
95,$4000_duty,2
95,$4000_const,1
95,$4000_vol,7
95,$4004_duty,2
95,$4004_const,1
95,$4004_vol,4
95,$400C_const,0
95,$400C_vol,0
95,$400E_period,3
95,$400E_mode,0
96,$4000_duty,2
96,$4000_const,1
96,$4000_vol,7
96,$4004_duty,2
96,$4004_const,1
96,$4004_vol,4
97,$4000_duty,2
97,$4000_const,1
97,$4000_vol,7
97,$4004_duty,2
97,$4004_const,1
97,$4004_vol,4
98,$4000_duty,2
98,$4000_const,1
98,$4000_vol,7
98,$4004_duty,2
98,$4004_const,1
98,$4004_vol,4
99,$4000_duty,2
99,$4000_const,1
99,$4000_vol,7
99,$4004_duty,2
99,$4004_const,1
99,$4004_vol,4
100,$4000_duty,2
100,$4000_const,1
100,$4000_vol,7
100,$4004_duty,2
100,$4004_const,1
100,$4004_vol,4
