frame,parameter,value
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,0
4,$4002_period,2561
4,$400B_length,5
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,10
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,5
4,$400E_period,9
4,$400E_mode,0
4,$400C_const,1
4,$400C_vol,4
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,5
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,0
10,$4002_period,1503
10,$400B_length,2
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,10
10,$400E_period,3
10,$400E_mode,0
10,$400C_const,1
10,$400C_vol,4
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,5
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,4
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,0
16,$4002_period,3055
16,$400B_length,5
16,$4000_duty,0
16,$4000_const,1
16,$4000_vol,10
16,$400E_period,9
16,$400E_mode,0
16,$400C_const,1
16,$400C_vol,4
17,$4000_duty,0
17,$4000_const,1
17,$4000_vol,5
18,$4000_duty,0
18,$4000_const,1
18,$4000_vol,0
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,3
22,$4002_period,3039
22,$400B_length,5
22,$4000_duty,0
22,$4000_const,1
22,$4000_vol,10
22,$400E_period,9
22,$400E_mode,0
22,$400C_const,1
22,$400C_vol,4
23,$4000_duty,0
23,$4000_const,1
23,$4000_vol,5
24,$4000_duty,0
24,$4000_const,1
24,$4000_vol,0
25,$4004_duty,2
25,$4004_const,1
25,$4004_vol,2
28,$4002_period,1503
28,$400B_length,2
28,$4000_duty,0
28,$4000_const,1
28,$4000_vol,10
28,$400E_period,3
28,$400E_mode,0
28,$400C_const,1
28,$400C_vol,4
29,$4000_duty,0
29,$4000_const,1
29,$4000_vol,5
30,$4000_duty,0
30,$4000_const,1
30,$4000_vol,0
31,$4008_linear,0
32,$4004_duty,2
32,$4004_const,1
32,$4004_vol,1
32,$4008_linear,0
33,$4008_linear,0
34,$4002_period,1519
34,$400B_length,2
34,$4000_duty,0
34,$4000_const,1
34,$4000_vol,10
34,$4006_period,2049
34,$4004_duty,2
34,$4004_const,1
34,$4004_vol,11
34,$4008_linear,0
34,$400A_period,513
34,$400B_length,1
34,$4008_linear,1
34,$400E_period,15
34,$400E_mode,0
34,$400C_const,1
34,$400C_vol,4
35,$4000_duty,0
35,$4000_const,1
35,$4000_vol,5
36,$4000_duty,0
36,$4000_const,1
36,$4000_vol,0
39,$4004_duty,2
39,$4004_const,1
39,$4004_vol,10
40,$4002_period,2303
40,$400B_length,4
40,$4000_duty,0
40,$4000_const,1
40,$4000_vol,10
40,$400E_period,9
40,$400E_mode,0
40,$400C_const,1
40,$400C_vol,4
41,$4000_duty,0
41,$4000_const,1
41,$4000_vol,5
42,$4000_duty,0
42,$4000_const,1
42,$4000_vol,0
43,$4008_linear,0
44,$4008_linear,0
45,$4008_linear,0
46,$4002_period,1533
46,$400B_length,2
46,$4000_duty,0
46,$4000_const,1
46,$4000_vol,10
46,$4004_duty,2
46,$4004_const,1
46,$4004_vol,9
46,$4006_period,3069
46,$4004_duty,2
46,$4004_const,1
46,$4004_vol,11
46,$4008_linear,0
46,$400A_period,639
46,$400B_length,1
46,$4008_linear,1
46,$400E_period,15
46,$400E_mode,0
46,$400C_const,1
46,$400C_vol,4
47,$4000_duty,0
47,$4000_const,1
47,$4000_vol,5
48,$4000_duty,0
48,$4000_const,1
48,$4000_vol,0
52,$4002_period,2891
52,$400B_length,5
52,$4000_duty,0
52,$4000_const,1
52,$4000_vol,10
52,$400E_period,9
52,$400E_mode,0
52,$400C_const,1
52,$400C_vol,4
53,$4000_duty,0
53,$4000_const,1
53,$4000_vol,5
53,$4004_duty,2
53,$4004_const,1
53,$4004_vol,10
54,$4000_duty,0
54,$4000_const,1
54,$4000_vol,0
55,$4008_linear,0
56,$4008_linear,0
57,$4008_linear,0
58,$4002_period,1175
58,$400B_length,2
58,$4000_duty,0
58,$4000_const,1
58,$4000_vol,10
58,$4004_duty,0
58,$4004_const,1
58,$4004_vol,10
58,$4006_period,2711
58,$4004_duty,0
58,$4004_const,1
58,$4004_vol,11
58,$4008_linear,0
58,$400A_period,677
58,$400B_length,1
58,$4008_linear,1
58,$400C_const,0
58,$400C_vol,10
58,$400E_period,3
58,$400E_mode,0
58,$400C_const,1
58,$400C_vol,10
59,$4000_duty,0
59,$4000_const,1
59,$4000_vol,5
60,$4000_duty,0
60,$4000_const,1
60,$4000_vol,0
