frame,parameter,value
189,$4001_sweep,67
189,$4005_sweep,67
192,$4000_duty,2
192,$4000_const,1
192,$4000_vol,15
192,$4001_sweep,67
192,$4002_period,3049
192,$400B_length,157
192,$4004_duty,2
192,$4004_const,1
192,$4004_vol,7
192,$4005_sweep,67
192,$4006_period,379
192,$4008_linear,31
192,$400A_period,1
192,$400B_length,152
192,$400C_const,1
192,$400C_vol,5
192,$400E_period,11
192,$400E_mode,0
193,$4000_duty,2
193,$4000_const,1
193,$4000_vol,15
193,$4004_duty,2
193,$4004_const,1
193,$4004_vol,7
193,$4008_linear,31
194,$4008_linear,31
194,$400A_period,1523
194,$400B_length,154
195,$4000_duty,2
195,$4000_const,1
195,$4000_vol,15
195,$4004_duty,2
195,$4004_const,1
195,$4004_vol,7
195,$4008_linear,31
196,$4000_duty,2
196,$4000_const,1
196,$4000_vol,15
196,$4004_duty,2
196,$4004_const,1
196,$4004_vol,7
196,$4008_linear,31
198,$4000_duty,2
198,$4000_const,1
198,$4000_vol,15
198,$4004_duty,2
198,$4004_const,1
198,$4004_vol,7
198,$4008_linear,31
200,$4000_duty,2
200,$4000_const,1
200,$4000_vol,15
200,$4004_duty,2
200,$4004_const,1
200,$4004_vol,7
200,$4008_linear,31
201,$4000_duty,2
201,$4000_const,1
201,$4000_vol,15
201,$4004_duty,2
201,$4004_const,1
201,$4004_vol,7
201,$4008_linear,31
202,$4004_duty,2
202,$4004_const,1
202,$4004_vol,7
202,$4005_sweep,67
202,$4006_period,379
203,$4000_duty,2
203,$4000_const,1
203,$4000_vol,15
203,$4004_duty,2
203,$4004_const,1
203,$4004_vol,7
203,$4008_linear,31
205,$4000_duty,2
205,$4000_const,1
205,$4000_vol,15
205,$4004_duty,2
205,$4004_const,1
205,$4004_vol,7
205,$4008_linear,31
206,$400C_const,1
206,$400C_vol,5
206,$400E_period,0
206,$400E_mode,0
207,$4000_duty,2
207,$4000_const,1
207,$4000_vol,15
207,$4004_duty,2
207,$4004_const,1
207,$4004_vol,7
207,$4008_linear,31
208,$4000_duty,2
208,$4000_const,1
208,$4000_vol,15
208,$4004_duty,2
208,$4004_const,1
208,$4004_vol,7
208,$4008_linear,31
209,$4000_duty,2
209,$4000_const,1
209,$4000_vol,15
209,$4001_sweep,67
209,$4002_period,1
209,$400B_length,152
210,$4000_duty,2
210,$4000_const,1
210,$4000_vol,15
210,$4004_duty,2
210,$4004_const,1
210,$4004_vol,7
210,$4008_linear,31
211,$4000_duty,2
211,$4000_const,1
211,$4000_vol,15
211,$4001_sweep,67
211,$4002_period,3049
211,$400B_length,157
211,$4004_duty,2
211,$4004_const,1
211,$4004_vol,7
211,$4005_sweep,67
211,$4006_period,427
211,$4008_linear,31
211,$400A_period,1
211,$400B_length,152
211,$400C_const,1
211,$400C_vol,5
211,$400E_period,11
211,$400E_mode,0
212,$4000_duty,2
212,$4000_const,1
212,$4000_vol,15
212,$4004_duty,2
212,$4004_const,1
212,$4004_vol,7
212,$4008_linear,31
213,$4000_duty,2
213,$4000_const,1
213,$4000_vol,15
213,$4004_duty,2
213,$4004_const,1
213,$4004_vol,7
213,$4008_linear,31
214,$4008_linear,31
214,$400A_period,1523
214,$400B_length,154
215,$4000_duty,2
215,$4000_const,1
215,$4000_vol,14
215,$4004_duty,2
215,$4004_const,1
215,$4004_vol,7
215,$4008_linear,31
217,$4000_duty,2
217,$4000_const,1
217,$4000_vol,14
217,$4004_duty,2
217,$4004_const,1
217,$4004_vol,7
217,$4008_linear,31
219,$4000_duty,2
219,$4000_const,1
219,$4000_vol,14
219,$4004_duty,2
219,$4004_const,1
219,$4004_vol,7
219,$4008_linear,30
220,$4000_duty,2
220,$4000_const,1
220,$4000_vol,13
220,$4004_duty,2
220,$4004_const,1
220,$4004_vol,7
220,$4008_linear,30
221,$4004_duty,2
221,$4004_const,1
221,$4004_vol,7
221,$4005_sweep,67
221,$4006_period,319
222,$4000_duty,2
222,$4000_const,1
222,$4000_vol,13
222,$4004_duty,2
222,$4004_const,1
222,$4004_vol,7
222,$4008_linear,30
224,$4000_duty,2
224,$4000_const,1
224,$4000_vol,13
224,$4004_duty,2
224,$4004_const,1
224,$4004_vol,7
224,$4008_linear,29
225,$4000_duty,2
225,$4000_const,1
225,$4000_vol,12
225,$4004_duty,2
225,$4004_const,1
225,$4004_vol,7
225,$4008_linear,29
227,$4000_duty,2
227,$4000_const,1
227,$4000_vol,12
227,$4004_duty,2
227,$4004_const,1
227,$4004_vol,7
227,$4008_linear,29
228,$400C_const,1
228,$400C_vol,5
228,$400E_period,0
228,$400E_mode,0
229,$4000_duty,2
229,$4000_const,1
229,$4000_vol,12
229,$4002_period,3081
229,$400B_length,158
229,$4004_duty,2
229,$4004_const,1
229,$4004_vol,7
229,$4008_linear,28
230,$4000_duty,2
230,$4000_const,1
230,$4000_vol,11
230,$4004_duty,2
230,$4004_const,1
230,$4004_vol,7
230,$4008_linear,28
231,$4004_duty,2
231,$4004_const,1
231,$4004_vol,7
231,$4005_sweep,67
231,$4006_period,319
231,$400C_const,1
231,$400C_vol,5
231,$400E_period,11
231,$400E_mode,0
232,$4000_duty,2
232,$4000_const,1
232,$4000_vol,11
232,$4004_duty,2
232,$4004_const,1
232,$4004_vol,7
232,$4008_linear,28
232,$400A_period,1543
232,$400B_length,155
234,$4000_duty,2
234,$4000_const,1
234,$4000_vol,11
234,$4004_duty,2
234,$4004_const,1
234,$4004_vol,7
234,$4008_linear,27
235,$400C_const,1
235,$400C_vol,5
235,$400E_period,0
235,$400E_mode,0
236,$4000_duty,2
236,$4000_const,1
236,$4000_vol,10
236,$4004_duty,2
236,$4004_const,1
236,$4004_vol,7
236,$4008_linear,27
237,$4000_duty,2
237,$4000_const,1
237,$4000_vol,10
237,$4004_duty,2
237,$4004_const,1
237,$4004_vol,7
237,$4008_linear,27
239,$4000_duty,2
239,$4000_const,1
239,$4000_vol,10
239,$4004_duty,2
239,$4004_const,1
239,$4004_vol,7
239,$4008_linear,26
240,$4004_duty,2
240,$4004_const,1
240,$4004_vol,7
240,$4005_sweep,67
240,$4006_period,379
240,$400C_const,1
240,$400C_vol,5
240,$400E_period,11
240,$400E_mode,0
241,$4000_duty,2
241,$4000_const,1
241,$4000_vol,9
241,$4004_duty,2
241,$4004_const,1
241,$4004_vol,7
241,$4008_linear,26
242,$4000_duty,2
242,$4000_const,1
242,$4000_vol,9
242,$4004_duty,2
242,$4004_const,1
242,$4004_vol,7
242,$4008_linear,26
244,$4000_duty,2
244,$4000_const,1
244,$4000_vol,9
244,$4004_duty,2
244,$4004_const,1
244,$4004_vol,7
244,$4008_linear,25
245,$400C_const,1
245,$400C_vol,5
245,$400E_period,0
245,$400E_mode,0
246,$4000_duty,2
246,$4000_const,1
246,$4000_vol,8
246,$4004_duty,2
246,$4004_const,1
246,$4004_vol,7
246,$4008_linear,25
248,$4000_duty,2
248,$4000_const,1
248,$4000_vol,8
248,$4004_duty,2
248,$4004_const,1
248,$4004_vol,7
248,$4008_linear,25
249,$4000_duty,2
249,$4000_const,1
249,$4000_vol,8
249,$4004_duty,2
249,$4004_const,1
249,$4004_vol,7
249,$4008_linear,24
250,$4004_duty,2
250,$4004_const,1
250,$4004_vol,7
250,$4005_sweep,67
250,$4006_period,427
250,$400C_const,1
250,$400C_vol,5
250,$400E_period,11
250,$400E_mode,0
251,$4000_duty,2
251,$4000_const,1
251,$4000_vol,7
251,$4004_duty,2
251,$4004_const,1
251,$4004_vol,7
251,$4008_linear,24
251,$400E_period,11
251,$400E_mode,0
251,$400C_const,1
251,$400C_vol,5
253,$4000_duty,2
253,$4000_const,1
253,$4000_vol,7
253,$4004_duty,2
253,$4004_const,1
253,$4004_vol,7
253,$4008_linear,24
253,$400E_period,11
253,$400E_mode,0
253,$400C_const,1
253,$400C_vol,5
254,$4000_duty,2
254,$4000_const,1
254,$4000_vol,7
254,$4004_duty,2
254,$4004_const,1
254,$4004_vol,7
254,$4008_linear,23
254,$400E_period,11
254,$400E_mode,0
254,$400C_const,1
254,$400C_vol,5
256,$4000_duty,2
256,$4000_const,1
256,$4000_vol,6
256,$4004_duty,2
256,$4004_const,1
256,$4004_vol,7
256,$4008_linear,23
256,$400E_period,11
256,$400E_mode,0
256,$400C_const,1
256,$400C_vol,5
258,$4000_duty,2
258,$4000_const,1
258,$4000_vol,6
258,$4004_duty,2
258,$4004_const,1
258,$4004_vol,7
258,$4008_linear,23
258,$400E_period,11
258,$400E_mode,0
258,$400C_const,1
258,$400C_vol,5
259,$4000_duty,2
259,$4000_const,1
259,$4000_vol,6
259,$4004_duty,2
259,$4004_const,1
259,$4004_vol,7
259,$4008_linear,22
259,$400E_period,11
259,$400E_mode,0
259,$400C_const,1
259,$400C_vol,5
260,$4004_duty,2
260,$4004_const,1
260,$4004_vol,7
260,$4005_sweep,67
260,$4006_period,427
261,$4000_duty,2
261,$4000_const,1
261,$4000_vol,5
261,$4004_duty,2
261,$4004_const,1
261,$4004_vol,7
261,$4008_linear,22
261,$400E_period,11
261,$400E_mode,0
261,$400C_const,1
261,$400C_vol,4
263,$4000_duty,2
263,$4000_const,1
263,$4000_vol,5
263,$4004_duty,2
263,$4004_const,1
263,$4004_vol,7
263,$4008_linear,22
263,$400E_period,11
263,$400E_mode,0
263,$400C_const,1
263,$400C_vol,4
265,$4000_duty,2
265,$4000_const,1
265,$4000_vol,5
265,$4004_duty,2
265,$4004_const,1
265,$4004_vol,7
265,$4008_linear,21
265,$400E_period,11
265,$400E_mode,0
265,$400C_const,1
265,$400C_vol,4
266,$4000_duty,2
266,$4000_const,1
266,$4000_vol,4
266,$4004_duty,2
266,$4004_const,1
266,$4004_vol,7
266,$4008_linear,21
266,$400E_period,11
266,$400E_mode,0
266,$400C_const,1
266,$400C_vol,4
268,$4000_duty,2
