frame,parameter,value
249,$400C_const,0
249,$400C_vol,0
249,$400E_period,4
249,$400E_mode,0
249,$4004_duty,0
249,$4004_const,0
249,$4004_vol,5
249,$4005_sweep,0
249,$4006_period,679
249,$4000_duty,0
249,$4000_const,0
249,$4000_vol,5
249,$4001_sweep,0
249,$4002_period,571
249,$400B_length,1
273,$400C_const,0
273,$400C_vol,0
273,$400E_period,4
273,$400E_mode,0
273,$4004_duty,0
273,$4004_const,0
273,$4004_vol,5
273,$4005_sweep,0
273,$4006_period,679
273,$4000_duty,0
273,$4000_const,0
273,$4000_vol,5
273,$4001_sweep,0
273,$4002_period,571
273,$400B_length,1
277,$400C_const,0
277,$400C_vol,0
277,$400E_period,4
277,$400E_mode,0
281,$400C_const,0
281,$400C_vol,0
281,$400E_period,4
281,$400E_mode,0
281,$4004_duty,0
281,$4004_const,1
281,$4004_vol,10
281,$4005_sweep,0
281,$4006_period,679
281,$4000_duty,0
281,$4000_const,1
281,$4000_vol,10
281,$4001_sweep,0
281,$4002_period,571
281,$400B_length,1
293,$4004_duty,0
293,$4004_const,1
293,$4004_vol,4
293,$4005_sweep,0
293,$4006_period,679
293,$4000_duty,0
293,$4000_const,1
293,$4000_vol,4
293,$4001_sweep,0
293,$4002_period,571
293,$400B_length,1
297,$400C_const,0
297,$400C_vol,0
297,$400E_period,4
297,$400E_mode,0
297,$4004_duty,0
297,$4004_const,1
297,$4004_vol,10
297,$4005_sweep,0
297,$4006_period,763
297,$4000_duty,0
297,$4000_const,1
297,$4000_vol,10
297,$4001_sweep,0
297,$4002_period,641
297,$400B_length,1
309,$4004_duty,0
309,$4004_const,1
309,$4004_vol,4
309,$4005_sweep,0
309,$4006_period,763
309,$4000_duty,0
309,$4000_const,1
309,$4000_vol,4
309,$4001_sweep,0
309,$4002_period,641
309,$400B_length,1
313,$400C_const,0
313,$400C_vol,0
313,$400E_period,4
313,$400E_mode,0
313,$4004_duty,0
313,$4004_const,1
313,$4004_vol,10
313,$4005_sweep,0
313,$4006_period,763
313,$4000_duty,0
313,$4000_const,1
313,$4000_vol,10
313,$4001_sweep,0
313,$4002_period,641
313,$400B_length,1
325,$4004_duty,0
325,$4004_const,1
325,$4004_vol,4
325,$4005_sweep,0
325,$4006_period,763
325,$4000_duty,0
325,$4000_const,1
325,$4000_vol,4
325,$4001_sweep,0
325,$4002_period,641
325,$400B_length,1
329,$400C_const,0
329,$400C_vol,0
329,$400E_period,4
329,$400E_mode,0
329,$4004_duty,0
