frame,parameter,value
254,$400E_period,0
254,$400E_mode,0
254,$400C_const,0
254,$400C_vol,0
254,$400A_period,1
254,$400B_length,0
254,$4008_linear,0
254,$4006_period,1
254,$4005_sweep,0
254,$4004_duty,0
254,$4004_const,0
254,$4004_vol,0
254,$4002_period,1
254,$400B_length,0
254,$4001_sweep,0
254,$4000_duty,0
254,$4000_const,0
254,$4000_vol,0
387,$400C_const,1
387,$400C_vol,15
387,$400E_period,8
387,$400E_mode,0
389,$400C_const,1
389,$400C_vol,15
389,$400E_period,8
389,$400E_mode,0
391,$400C_const,1
391,$400C_vol,15
391,$400E_period,11
391,$400E_mode,0
393,$400C_const,1
393,$400C_vol,15
393,$400E_period,11
393,$400E_mode,0
395,$400C_const,1
395,$400C_vol,15
395,$400E_period,15
395,$400E_mode,0
397,$400C_const,1
397,$400C_vol,15
397,$400E_period,15
397,$400E_mode,0
399,$400C_const,1
399,$400C_vol,0
