frame,parameter,value
0,$4000_duty,3
0,$4000_const,1
0,$4000_vol,2
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,0
1,$4000_duty,3
1,$4000_const,1
1,$4000_vol,1
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,0
2,$4000_duty,3
2,$4000_const,1
2,$4000_vol,3
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,0
3,$4000_duty,3
3,$4000_const,1
3,$4000_vol,2
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,0
4,$4000_duty,3
4,$4000_const,1
4,$4000_vol,2
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,0
5,$4000_duty,3
5,$4000_const,1
5,$4000_vol,1
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,0
6,$4000_duty,3
6,$4000_const,1
6,$4000_vol,1
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,0
7,$4000_duty,3
7,$4000_const,1
7,$4000_vol,1
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,0
8,$4000_duty,3
8,$4000_const,1
8,$4000_vol,1
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,0
9,$4000_duty,3
9,$4000_const,1
9,$4000_vol,1
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,0
10,$4000_duty,3
10,$4000_const,1
10,$4000_vol,2
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,0
11,$4000_duty,3
11,$4000_const,1
11,$4000_vol,1
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,0
12,$4000_duty,3
12,$4000_const,1
12,$4000_vol,1
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,0
13,$4000_duty,3
13,$4000_const,1
13,$4000_vol,1
13,$4004_duty,0
13,$4004_const,1
13,$4004_vol,0
14,$4000_duty,3
14,$4000_const,1
14,$4000_vol,1
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,0
15,$4000_duty,3
15,$4000_const,1
15,$4000_vol,1
15,$4004_duty,0
15,$4004_const,1
15,$4004_vol,0
16,$4000_duty,3
16,$4000_const,1
16,$4000_vol,1
16,$4004_duty,0
16,$4004_const,1
16,$4004_vol,0
17,$4000_duty,3
17,$4000_const,1
17,$4000_vol,1
17,$4004_duty,0
17,$4004_const,1
17,$4004_vol,0
18,$4000_duty,3
18,$4000_const,1
18,$4000_vol,1
18,$4004_duty,0
18,$4004_const,1
18,$4004_vol,0
