frame,parameter,value
0,$4000_duty,0
0,$4000_const,0
0,$4000_vol,6
0,$4001_sweep,0
0,$4002_period,381
0,$400B_length,8
0,$4004_duty,0
0,$4004_const,0
0,$4004_vol,10
0,$4005_sweep,0
0,$4006_period,255
0,$4008_linear,70
0,$400C_const,0
0,$400C_vol,0
1,$4000_duty,0
1,$4000_const,0
1,$4000_vol,6
1,$4004_duty,0
1,$4004_const,0
1,$4004_vol,10
1,$4008_linear,70
1,$400C_const,0
1,$400C_vol,0
2,$4000_duty,0
2,$4000_const,0
2,$4000_vol,6
2,$4004_duty,0
2,$4004_const,0
2,$4004_vol,10
2,$4008_linear,70
2,$400C_const,0
2,$400C_vol,0
3,$4000_duty,0
3,$4000_const,0
3,$4000_vol,6
3,$4004_duty,0
3,$4004_const,0
3,$4004_vol,10
3,$4008_linear,70
3,$400C_const,0
3,$400C_vol,0
4,$4000_duty,0
4,$4000_const,0
4,$4000_vol,6
4,$4004_duty,0
4,$4004_const,0
4,$4004_vol,10
4,$4008_linear,70
4,$400C_const,0
4,$400C_vol,0
5,$4000_duty,0
5,$4000_const,0
5,$4000_vol,6
5,$4004_duty,0
5,$4004_const,0
5,$4004_vol,10
5,$4008_linear,70
5,$400C_const,0
5,$400C_vol,0
6,$4000_duty,0
6,$4000_const,0
6,$4000_vol,6
6,$4004_duty,0
6,$4004_const,0
6,$4004_vol,10
6,$4008_linear,70
6,$400C_const,0
6,$400C_vol,0
7,$4000_duty,0
7,$4000_const,0
7,$4000_vol,3
7,$4001_sweep,0
7,$4002_period,427
7,$400B_length,8
7,$4004_duty,0
7,$4004_const,0
7,$4004_vol,3
7,$4005_sweep,0
7,$4006_period,285
7,$4008_linear,70
7,$400A_period,855
7,$400B_length,9
7,$400C_const,0
7,$400C_vol,0
7,$400E_period,3
7,$400E_mode,0
8,$4000_duty,0
8,$4000_const,0
8,$4000_vol,3
8,$4004_duty,0
8,$4004_const,0
8,$4004_vol,3
8,$4008_linear,70
8,$400C_const,0
8,$400C_vol,0
9,$4000_duty,0
9,$4000_const,0
9,$4000_vol,3
9,$4004_duty,0
9,$4004_const,0
9,$4004_vol,3
9,$4008_linear,70
9,$400C_const,0
9,$400C_vol,0
10,$4000_duty,0
10,$4000_const,0
10,$4000_vol,3
10,$4004_duty,0
10,$4004_const,0
10,$4004_vol,3
10,$4008_linear,70
10,$400C_const,0
10,$400C_vol,0
11,$4000_duty,0
11,$4000_const,0
11,$4000_vol,3
11,$4004_duty,0
11,$4004_const,0
11,$4004_vol,3
11,$4008_linear,70
11,$400C_const,0
11,$400C_vol,0
12,$4000_duty,0
12,$4000_const,0
12,$4000_vol,3
12,$4004_duty,0
12,$4004_const,0
12,$4004_vol,3
12,$4008_linear,70
12,$400C_const,0
12,$400C_vol,0
13,$4000_duty,0
13,$4000_const,0
13,$4000_vol,3
13,$4004_duty,0
13,$4004_const,0
13,$4004_vol,3
13,$4008_linear,70
13,$400C_const,0
13,$400C_vol,0
14,$4000_duty,0
14,$4000_const,0
14,$4000_vol,3
14,$4004_duty,0
14,$4004_const,0
14,$4004_vol,3
14,$4008_linear,70
14,$400C_const,0
