frame,parameter,value
7,$400C_const,1
7,$400C_vol,2
7,$400E_period,5
7,$400E_mode,0
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,0
9,$4001_sweep,48
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,0
9,$4005_sweep,48
10,$4001_sweep,0
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,10
10,$4002_period,201
10,$400B_length,8
10,$4005_sweep,140
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,10
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,0
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,9
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,8
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,7
14,$4001_sweep,0
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,10
14,$4005_sweep,140
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,10
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,0
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,9
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,8
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,7
18,$4001_sweep,0
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,10
18,$4005_sweep,140
18,$4004_duty,0
18,$4004_const,1
18,$4004_vol,10
18,$4004_duty,0
18,$4004_const,1
18,$4004_vol,0
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,9
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,8
21,$4000_duty,2
21,$4000_const,1
21,$4000_vol,7
22,$4001_sweep,0
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,10
22,$4005_sweep,140
22,$4004_duty,0
22,$4004_const,1
22,$4004_vol,10
22,$4004_duty,0
22,$4004_const,1
22,$4004_vol,0
23,$4000_duty,2
23,$4000_const,1
23,$4000_vol,9
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,8
25,$4000_duty,2
25,$4000_const,1
25,$4000_vol,7
26,$4001_sweep,0
26,$4000_duty,2
26,$4000_const,1
26,$4000_vol,10
26,$4005_sweep,140
26,$4004_duty,0
26,$4004_const,1
26,$4004_vol,10
26,$4004_duty,0
26,$4004_const,1
26,$4004_vol,0
27,$4000_duty,2
27,$4000_const,1
27,$4000_vol,9
28,$4000_duty,2
28,$4000_const,1
28,$4000_vol,8
28,$400C_const,1
28,$400C_vol,1
28,$400E_period,5
28,$400E_mode,0
29,$4000_duty,2
29,$4000_const,1
29,$4000_vol,7
30,$4001_sweep,0
30,$4000_duty,2
30,$4000_const,1
30,$4000_vol,10
30,$4005_sweep,140
30,$4004_duty,0
30,$4004_const,1
30,$4004_vol,10
30,$4004_duty,0
30,$4004_const,1
30,$4004_vol,0
31,$4000_duty,2
31,$4000_const,1
31,$4000_vol,9
32,$4000_duty,2
32,$4000_const,1
32,$4000_vol,8
33,$4000_duty,2
33,$4000_const,1
33,$4000_vol,7
34,$4001_sweep,0
34,$4000_duty,2
34,$4000_const,1
34,$4000_vol,10
34,$4005_sweep,140
34,$4004_duty,0
34,$4004_const,1
34,$4004_vol,10
34,$4004_duty,0
34,$4004_const,1
34,$4004_vol,0
35,$4000_duty,2
35,$4000_const,1
35,$4000_vol,9
36,$4000_duty,2
36,$4000_const,1
36,$4000_vol,8
37,$4000_duty,2
37,$4000_const,1
37,$4000_vol,7
38,$4001_sweep,0
38,$4000_duty,2
38,$4000_const,1
38,$4000_vol,10
38,$4005_sweep,140
38,$4004_duty,0
38,$4004_const,1
38,$4004_vol,10
38,$4004_duty,0
38,$4004_const,1
38,$4004_vol,0
39,$4000_duty,2
39,$4000_const,1
39,$4000_vol,9
40,$4000_duty,2
40,$4000_const,1
40,$4000_vol,8
41,$4000_duty,2
41,$4000_const,1
41,$4000_vol,7
42,$4001_sweep,0
42,$4000_duty,2
42,$4000_const,1
42,$4000_vol,10
42,$4005_sweep,140
42,$4004_duty,0
42,$4004_const,1
42,$4004_vol,10
42,$4004_duty,0
42,$4004_const,1
42,$4004_vol,0
43,$4000_duty,2
43,$4000_const,1
43,$4000_vol,9
44,$4000_duty,2
44,$4000_const,1
44,$4000_vol,8
45,$4000_duty,2
45,$4000_const,1
45,$4000_vol,7
46,$4001_sweep,0
46,$4000_duty,2
46,$4000_const,1
46,$4000_vol,10
46,$4005_sweep,140
46,$4004_duty,0
46,$4004_const,1
46,$4004_vol,10
46,$4004_duty,0
46,$4004_const,1
46,$4004_vol,0
47,$4000_duty,2
47,$4000_const,1
47,$4000_vol,9
48,$4000_duty,2
48,$4000_const,1
48,$4000_vol,8
49,$4000_duty,2
49,$4000_const,1
49,$4000_vol,7
49,$400C_const,1
49,$400C_vol,1
49,$400E_period,5
49,$400E_mode,0
50,$4001_sweep,0
50,$4000_duty,2
50,$4000_const,1
50,$4000_vol,10
50,$4005_sweep,140
50,$4004_duty,0
50,$4004_const,1
50,$4004_vol,10
50,$4004_duty,0
50,$4004_const,1
50,$4004_vol,0
51,$4000_duty,2
51,$4000_const,1
51,$4000_vol,9
52,$4000_duty,2
52,$4000_const,1
52,$4000_vol,8
53,$4000_duty,2
53,$4000_const,1
53,$4000_vol,7
54,$4001_sweep,0
54,$4000_duty,2
54,$4000_const,1
54,$4000_vol,10
54,$4005_sweep,140
54,$4004_duty,0
54,$4004_const,1
54,$4004_vol,10
54,$4004_duty,0
54,$4004_const,1
54,$4004_vol,0
55,$4000_duty,2
55,$4000_const,1
55,$4000_vol,9
56,$4000_duty,2
56,$4000_const,1
56,$4000_vol,8
57,$4000_duty,2
57,$4000_const,1
57,$4000_vol,7
58,$4001_sweep,0
58,$4000_duty,2
58,$4000_const,1
58,$4000_vol,10
58,$4005_sweep,140
58,$4004_duty,0
58,$4004_const,1
58,$4004_vol,10
58,$4004_duty,0
58,$4004_const,1
58,$4004_vol,0
59,$4000_duty,2
59,$4000_const,1
59,$4000_vol,9
60,$4000_duty,2
60,$4000_const,1
60,$4000_vol,8
61,$4000_duty,2
61,$4000_const,1
61,$4000_vol,7
62,$4001_sweep,0
62,$4000_duty,2
62,$4000_const,1
62,$4000_vol,10
62,$4005_sweep,140
62,$4004_duty,0
62,$4004_const,1
62,$4004_vol,10
62,$4004_duty,0
62,$4004_const,1
62,$4004_vol,0
63,$4000_duty,2
