frame,parameter,value
0,$4011_dac,0
1,$4002_period,507
1,$400B_length,8
1,$4001_sweep,127
1,$4000_duty,0
1,$4000_const,0
1,$4000_vol,6
1,$4006_period,425
1,$4004_duty,2
1,$4004_const,0
1,$4004_vol,4
1,$4005_sweep,127
1,$4011_dac,0
2,$4011_dac,0
3,$4011_dac,0
4,$4011_dac,0
5,$4011_dac,0
6,$4011_dac,0
7,$4011_dac,0
8,$4011_dac,0
9,$4011_dac,0
10,$4002_period,507
10,$400B_length,8
10,$4001_sweep,127
10,$4000_duty,0
10,$4000_const,0
10,$4000_vol,6
10,$4006_period,425
10,$4004_duty,2
10,$4004_const,0
10,$4004_vol,7
10,$4005_sweep,127
10,$4011_dac,0
11,$4011_dac,0
12,$4011_dac,0
13,$4011_dac,0
14,$4011_dac,0
15,$4011_dac,0
16,$4011_dac,0
17,$4011_dac,0
18,$4011_dac,0
19,$4011_dac,0
20,$4002_period,1017
20,$400B_length,9
20,$4001_sweep,127
20,$4000_duty,0
20,$4000_const,0
20,$4000_vol,6
20,$4008_linear,56
20,$400A_period,855
20,$400B_length,9
20,$4011_dac,0
21,$4011_dac,0
22,$4011_dac,0
23,$4011_dac,0
24,$4011_dac,0
25,$4011_dac,0
26,$4011_dac,0
27,$4011_dac,0
28,$4011_dac,0
29,$4002_period,855
29,$400B_length,9
29,$4001_sweep,127
29,$4000_duty,0
29,$4000_const,0
29,$4000_vol,6
29,$4011_dac,0
30,$4011_dac,0
31,$4011_dac,0
32,$4011_dac,0
33,$4011_dac,0
34,$4011_dac,0
35,$4011_dac,0
36,$4011_dac,0
37,$4011_dac,0
38,$4002_period,1017
38,$400B_length,9
38,$4001_sweep,127
38,$4000_duty,0
38,$4000_const,0
38,$4000_vol,6
38,$4004_duty,0
38,$4004_const,1
38,$4004_vol,0
38,$4005_sweep,127
38,$4011_dac,0
39,$4011_dac,0
40,$4011_dac,0
41,$4011_dac,0
42,$4011_dac,0
43,$4011_dac,0
44,$4011_dac,0
45,$4011_dac,0
46,$4011_dac,0
47,$4011_dac,0
48,$4002_period,477
48,$400B_length,8
48,$4001_sweep,127
48,$4000_duty,0
48,$4000_const,0
48,$4000_vol,6
48,$4006_period,379
48,$4004_duty,2
48,$4004_const,0
48,$4004_vol,4
48,$4005_sweep,127
48,$4008_linear,56
48,$400A_period,477
48,$400B_length,8
48,$4011_dac,0
49,$4011_dac,0
50,$4011_dac,0
51,$4011_dac,0
52,$4011_dac,0
53,$4011_dac,0
54,$4011_dac,0
55,$4011_dac,0
56,$4011_dac,0
57,$4002_period,477
57,$400B_length,8
57,$4001_sweep,127
57,$4000_duty,0
57,$4000_const,0
57,$4000_vol,6
57,$4006_period,379
57,$4004_duty,2
57,$4004_const,0
57,$4004_vol,4
57,$4005_sweep,127
57,$4011_dac,0
58,$4011_dac,0
59,$4011_dac,0
60,$4011_dac,0
61,$4011_dac,0
62,$4011_dac,0
63,$4011_dac,0
