frame,parameter,value
511,$4002_period,303
511,$400B_length,0
511,$4000_duty,1
511,$4000_const,1
511,$4000_vol,1
511,$4004_duty,0
511,$4004_const,1
511,$4004_vol,0
511,$400A_period,763
511,$400B_length,1
511,$4008_linear,127
512,$4000_duty,1
512,$4000_const,1
512,$4000_vol,1
512,$4004_duty,0
512,$4004_const,1
512,$4004_vol,0
512,$4008_linear,127
513,$4000_duty,1
513,$4000_const,1
513,$4000_vol,2
513,$4004_duty,0
513,$4004_const,1
513,$4004_vol,0
513,$4008_linear,127
514,$4000_duty,1
514,$4000_const,1
514,$4000_vol,2
514,$4004_duty,0
514,$4004_const,1
514,$4004_vol,0
514,$4008_linear,127
515,$4000_duty,1
515,$4000_const,1
515,$4000_vol,3
515,$4004_duty,0
515,$4004_const,1
515,$4004_vol,0
515,$4008_linear,127
516,$4000_duty,1
516,$4000_const,1
516,$4000_vol,3
516,$4004_duty,0
516,$4004_const,1
516,$4004_vol,0
516,$4008_linear,127
517,$4000_duty,1
517,$4000_const,1
517,$4000_vol,4
517,$4004_duty,0
517,$4004_const,1
517,$4004_vol,0
517,$4008_linear,127
518,$4000_duty,1
518,$4000_const,1
518,$4000_vol,5
518,$4004_duty,0
518,$4004_const,1
518,$4004_vol,0
518,$4008_linear,127
519,$4000_duty,1
519,$4000_const,1
519,$4000_vol,6
519,$4004_duty,0
519,$4004_const,1
519,$4004_vol,0
519,$4008_linear,127
520,$4000_duty,1
520,$4000_const,1
520,$4000_vol,7
520,$4004_duty,0
520,$4004_const,1
520,$4004_vol,0
520,$4008_linear,127
521,$4000_duty,1
521,$4000_const,1
521,$4000_vol,8
521,$4004_duty,0
521,$4004_const,1
521,$4004_vol,0
521,$4008_linear,127
522,$4000_duty,1
522,$4000_const,1
522,$4000_vol,9
522,$4004_duty,0
522,$4004_const,1
522,$4004_vol,0
522,$4008_linear,127
523,$4000_duty,1
523,$4000_const,1
523,$4000_vol,8
523,$4004_duty,0
523,$4004_const,1
523,$4004_vol,0
523,$4008_linear,127
524,$4000_duty,1
524,$4000_const,1
524,$4000_vol,7
524,$4004_duty,0
524,$4004_const,1
524,$4004_vol,0
524,$4008_linear,127
525,$4000_duty,1
525,$4000_const,1
525,$4000_vol,7
525,$4004_duty,0
525,$4004_const,1
525,$4004_vol,0
525,$4008_linear,127
526,$4000_duty,1
526,$4000_const,1
526,$4000_vol,7
526,$4004_duty,0
526,$4004_const,1
526,$4004_vol,0
526,$4008_linear,127
527,$4000_duty,1
527,$4000_const,1
527,$4000_vol,7
527,$4004_duty,0
527,$4004_const,1
527,$4004_vol,0
527,$4008_linear,127
528,$4000_duty,1
528,$4000_const,1
528,$4000_vol,7
528,$4004_duty,0
528,$4004_const,1
528,$4004_vol,0
528,$4008_linear,127
529,$4000_duty,1
529,$4000_const,1
529,$4000_vol,7
529,$4004_duty,0
529,$4004_const,1
529,$4004_vol,0
529,$4008_linear,127
530,$4000_duty,1
530,$4000_const,1
530,$4000_vol,7
530,$4004_duty,0
530,$4004_const,1
530,$4004_vol,0
530,$4008_linear,127
531,$4000_duty,1
531,$4000_const,1
531,$4000_vol,7
531,$4004_duty,0
531,$4004_const,1
531,$4004_vol,0
531,$4008_linear,127
532,$4000_duty,1
532,$4000_const,1
532,$4000_vol,7
532,$4004_duty,0
532,$4004_const,1
532,$4004_vol,0
532,$4008_linear,127
533,$4000_duty,1
533,$4000_const,1
533,$4000_vol,7
533,$4004_duty,0
533,$4004_const,1
533,$4004_vol,0
533,$4008_linear,127
534,$4000_duty,1
534,$4000_const,1
534,$4000_vol,7
534,$4004_duty,0
534,$4004_const,1
534,$4004_vol,0
534,$4008_linear,127
535,$4000_duty,1
