frame,parameter,value
120,$4010_rate,13
120,$4011_dac,0
120,$4012_addr,221
120,$4013_len,32
156,$4010_rate,13
156,$4011_dac,0
156,$4012_addr,235
156,$4013_len,80
250,$4008_linear,0
250,$4000_duty,0
250,$4000_const,1
250,$4000_vol,0
250,$4004_duty,0
250,$4004_const,1
250,$4004_vol,0
250,$400C_const,1
250,$400C_vol,0
250,$4001_sweep,127
250,$4005_sweep,127
252,$4008_linear,0
252,$4000_duty,0
252,$4000_const,1
252,$4000_vol,0
252,$4004_duty,0
252,$4004_const,1
252,$4004_vol,0
252,$400C_const,1
252,$400C_vol,0
252,$4001_sweep,127
252,$4005_sweep,127
253,$4000_duty,0
253,$4000_const,1
253,$4000_vol,5
253,$4002_period,513
253,$400B_length,9
253,$4004_duty,2
253,$4004_const,1
253,$4004_vol,5
253,$4006_period,513
253,$4008_linear,34
253,$400A_period,1025
253,$400B_length,10
253,$400C_const,1
253,$400C_vol,12
253,$400E_period,14
253,$400E_mode,0
254,$4000_duty,1
254,$4000_const,1
254,$4000_vol,4
254,$4004_duty,1
254,$4004_const,1
254,$4004_vol,4
254,$400C_const,1
254,$400C_vol,7
254,$400E_period,6
254,$400E_mode,0
255,$4000_duty,1
255,$4000_const,1
255,$4000_vol,3
255,$4004_duty,1
255,$4004_const,1
255,$4004_vol,3
255,$400C_const,1
255,$400C_vol,3
255,$400E_period,4
255,$400E_mode,0
256,$4000_duty,1
256,$4000_const,1
256,$4000_vol,2
256,$400C_const,1
256,$400C_vol,4
256,$400E_period,3
256,$400E_mode,0
257,$400C_const,1
257,$400C_vol,2
257,$400E_period,4
257,$400E_mode,0
258,$400C_const,1
258,$400C_vol,1
258,$400E_period,3
258,$400E_mode,0
259,$400C_const,1
259,$400C_vol,1
259,$400E_period,2
259,$400E_mode,0
260,$4000_duty,0
260,$4000_const,1
260,$4000_vol,1
260,$4004_duty,2
260,$4004_const,1
260,$4004_vol,2
260,$400C_const,1
260,$400C_vol,1
260,$400E_period,2
260,$400E_mode,0
261,$4000_duty,0
261,$4000_const,1
261,$4000_vol,0
261,$4004_duty,0
261,$4004_const,1
261,$4004_vol,0
261,$400C_const,1
261,$400C_vol,0
269,$4000_duty,0
269,$4000_const,1
269,$4000_vol,5
269,$4004_duty,2
269,$4004_const,1
269,$4004_vol,5
269,$4008_linear,39
269,$400A_period,1143
269,$400B_length,10
269,$400C_const,1
269,$400C_vol,12
269,$400E_period,14
269,$400E_mode,0
270,$4000_duty,1
270,$4000_const,1
270,$4000_vol,4
270,$4004_duty,1
270,$4004_const,1
270,$4004_vol,4
270,$400C_const,1
270,$400C_vol,7
270,$400E_period,6
270,$400E_mode,0
271,$4000_duty,1
271,$4000_const,1
271,$4000_vol,3
271,$4004_duty,1
271,$4004_const,1
271,$4004_vol,3
271,$400C_const,1
271,$400C_vol,3
271,$400E_period,4
271,$400E_mode,0
272,$4000_duty,1
272,$4000_const,1
272,$4000_vol,2
272,$400C_const,1
272,$400C_vol,4
272,$400E_period,3
272,$400E_mode,0
273,$400C_const,1
273,$400C_vol,2
273,$400E_period,4
273,$400E_mode,0
274,$400C_const,1
274,$400C_vol,1
274,$400E_period,3
274,$400E_mode,0
275,$400C_const,1
275,$400C_vol,1
275,$400E_period,2
275,$400E_mode,0
276,$4000_duty,0
276,$4000_const,1
276,$4000_vol,1
276,$4004_duty,2
276,$4004_const,1
276,$4004_vol,2
276,$400C_const,1
276,$400C_vol,1
276,$400E_period,2
276,$400E_mode,0
277,$4000_duty,0
277,$4000_const,1
277,$4000_vol,1
277,$4002_period,1275
277,$400B_length,10
277,$4004_duty,2
277,$4004_const,1
277,$4004_vol,1
277,$4006_period,1083
277,$400C_const,1
277,$400C_vol,0
278,$4000_duty,1
278,$4000_const,1
278,$4000_vol,1
278,$4004_duty,1
278,$4004_const,1
278,$4004_vol,1
279,$4000_duty,1
279,$4000_const,1
279,$4000_vol,1
279,$4004_duty,1
279,$4004_const,1
279,$4004_vol,1
280,$4000_duty,1
280,$4000_const,1
280,$4000_vol,1
284,$4000_duty,0
284,$4000_const,1
284,$4000_vol,1
284,$4004_duty,2
284,$4004_const,1
284,$4004_vol,1
285,$4000_duty,0
285,$4000_const,1
285,$4000_vol,1
285,$4002_period,1013
285,$400B_length,9
285,$4004_duty,2
285,$4004_const,1
285,$4004_vol,1
285,$4006_period,631
285,$4010_rate,8
