frame,parameter,value
573,$400C_const,1
573,$400C_vol,15
573,$400E_period,14
573,$400E_mode,0
573,$400A_period,1
573,$400B_length,248
573,$4008_linear,127
573,$4005_sweep,8
573,$4006_period,1
573,$4004_duty,1
573,$4004_const,1
573,$4004_vol,5
573,$4001_sweep,8
573,$4002_period,2263
573,$400B_length,252
573,$4000_duty,2
573,$4000_const,1
573,$4000_vol,12
574,$400C_const,1
574,$400C_vol,12
574,$400E_period,15
574,$400E_mode,0
574,$4008_linear,127
574,$4004_duty,1
574,$4004_const,1
574,$4004_vol,6
574,$4000_duty,2
574,$4000_const,1
574,$4000_vol,8
575,$400C_const,1
575,$400C_vol,8
575,$400E_period,15
575,$400E_mode,0
575,$4008_linear,127
575,$4004_duty,1
575,$4004_const,1
575,$4004_vol,8
575,$4000_duty,2
575,$4000_const,1
575,$4000_vol,7
576,$400C_const,1
576,$400C_vol,0
576,$400E_period,15
576,$400E_mode,0
576,$4008_linear,127
576,$4004_duty,1
576,$4004_const,1
576,$4004_vol,8
576,$4000_duty,2
576,$4000_const,1
576,$4000_vol,7
577,$4008_linear,127
577,$4004_duty,1
577,$4004_const,1
577,$4004_vol,8
577,$4000_duty,2
577,$4000_const,1
577,$4000_vol,6
578,$4008_linear,127
578,$4004_duty,1
578,$4004_const,1
578,$4004_vol,8
578,$4000_duty,2
578,$4000_const,1
578,$4000_vol,6
579,$4008_linear,127
579,$4004_duty,1
579,$4004_const,1
579,$4004_vol,8
579,$4000_duty,2
579,$4000_const,1
579,$4000_vol,5
580,$4008_linear,127
580,$4004_duty,1
580,$4004_const,1
580,$4004_vol,8
580,$4000_duty,2
580,$4000_const,1
580,$4000_vol,4
581,$4008_linear,127
581,$4004_duty,1
581,$4004_const,1
581,$4004_vol,8
581,$4000_duty,2
581,$4000_const,1
581,$4000_vol,3
582,$4008_linear,127
582,$4004_duty,1
582,$4004_const,1
582,$4004_vol,8
582,$4000_duty,2
582,$4000_const,1
582,$4000_vol,2
583,$4008_linear,127
583,$4004_duty,1
583,$4004_const,1
583,$4004_vol,8
583,$4000_duty,2
583,$4000_const,1
583,$4000_vol,1
584,$4008_linear,127
584,$4004_duty,1
584,$4004_const,1
584,$4004_vol,8
584,$4000_duty,2
584,$4000_const,1
584,$4000_vol,1
585,$4008_linear,127
585,$4004_duty,1
585,$4004_const,1
585,$4004_vol,8
585,$4000_duty,2
585,$4000_const,1
585,$4000_vol,0
586,$4008_linear,127
586,$4004_duty,1
586,$4004_const,1
586,$4004_vol,8
586,$4000_duty,2
586,$4000_const,1
586,$4000_vol,0
587,$400C_const,1
587,$400C_vol,5
587,$400E_period,8
587,$400E_mode,0
587,$4008_linear,127
587,$4004_duty,1
587,$4004_const,1
587,$4004_vol,8
587,$4001_sweep,8
587,$4002_period,2263
587,$400B_length,252
587,$4000_duty,2
587,$4000_const,1
587,$4000_vol,12
588,$400C_const,1
588,$400C_vol,4
588,$400E_period,6
588,$400E_mode,0
588,$4008_linear,127
588,$4004_duty,1
588,$4004_const,1
588,$4004_vol,8
588,$4000_duty,2
588,$4000_const,1
588,$4000_vol,8
589,$400C_const,1
589,$400C_vol,0
589,$400E_period,6
589,$400E_mode,0
589,$4008_linear,127
589,$4004_duty,1
589,$4004_const,1
589,$4004_vol,8
589,$4000_duty,2
589,$4000_const,1
589,$4000_vol,7
590,$4008_linear,127
590,$4004_duty,1
590,$4004_const,1
590,$4004_vol,8
590,$4000_duty,2
590,$4000_const,1
590,$4000_vol,7
591,$4008_linear,127
591,$4004_duty,1
591,$4004_const,1
591,$4004_vol,8
591,$4000_duty,2
591,$4000_const,1
591,$4000_vol,7
592,$4008_linear,127
592,$4004_duty,1
592,$4004_const,1
592,$4004_vol,8
592,$4000_duty,2
592,$4000_const,1
592,$4000_vol,6
593,$4008_linear,127
593,$4004_duty,1
593,$4004_const,1
593,$4004_vol,8
593,$4000_duty,2
593,$4000_const,1
593,$4000_vol,5
594,$4008_linear,127
594,$4004_duty,1
594,$4004_const,1
594,$4004_vol,8
594,$4000_duty,2
594,$4000_const,1
594,$4000_vol,4
595,$4008_linear,127
595,$4004_duty,1
595,$4004_const,1
595,$4004_vol,8
595,$4000_duty,2
595,$4000_const,1
595,$4000_vol,3
596,$4008_linear,127
596,$4004_duty,1
596,$4004_const,1
596,$4004_vol,8
596,$4000_duty,2
596,$4000_const,1
596,$4000_vol,3
597,$4008_linear,127
597,$4004_duty,1
597,$4004_const,1
597,$4004_vol,8
597,$4000_duty,2
597,$4000_const,1
597,$4000_vol,2
598,$4008_linear,127
598,$4004_duty,1
598,$4004_const,1
598,$4004_vol,8
598,$4000_duty,2
598,$4000_const,1
598,$4000_vol,1
599,$4008_linear,127
599,$4004_duty,1
599,$4004_const,1
599,$4004_vol,8
599,$4000_duty,2
599,$4000_const,1
599,$4000_vol,0
