frame,parameter,value
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,4
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,4
1,$4004_duty,0
1,$4004_const,1
1,$4004_vol,4
1,$4000_duty,0
1,$4000_const,1
1,$4000_vol,4
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,4
2,$4000_duty,0
2,$4000_const,1
2,$4000_vol,0
2,$4008_linear,0
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,4
3,$4000_duty,0
3,$4000_const,1
3,$4000_vol,0
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,4
4,$4001_sweep,127
4,$4000_duty,0
4,$4000_const,1
4,$4000_vol,0
4,$400A_period,403
4,$400B_length,8
4,$4008_linear,1
4,$400C_const,1
4,$400C_vol,15
4,$400E_period,3
4,$400E_mode,0
4,$4012_addr,0
4,$4013_len,53
4,$4010_rate,15
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,4
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,0
6,$4004_duty,0
6,$4004_const,1
6,$4004_vol,4
6,$4000_duty,0
6,$4000_const,1
6,$4000_vol,0
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,4
7,$4000_duty,0
7,$4000_const,1
7,$4000_vol,0
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,4
8,$4000_duty,0
8,$4000_const,1
8,$4000_vol,0
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,4
9,$4000_duty,0
9,$4000_const,1
9,$4000_vol,0
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,4
10,$4000_duty,0
10,$4000_const,1
10,$4000_vol,0
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,4
11,$4000_duty,0
11,$4000_const,1
11,$4000_vol,0
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,4
12,$4000_duty,0
12,$4000_const,1
12,$4000_vol,0
13,$4004_duty,0
13,$4004_const,1
13,$4004_vol,4
13,$4000_duty,0
13,$4000_const,1
13,$4000_vol,0
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,4
14,$4000_duty,0
14,$4000_const,1
14,$4000_vol,0
15,$4004_duty,0
15,$4004_const,1
15,$4004_vol,4
15,$4000_duty,0
15,$4000_const,1
15,$4000_vol,0
16,$4004_duty,0
16,$4004_const,1
16,$4004_vol,4
16,$4002_period,539
16,$400B_length,9
16,$4001_sweep,127
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,9
17,$4004_duty,0
17,$4004_const,1
17,$4004_vol,4
17,$4000_duty,2
