frame,parameter,value
191,$4008_linear,0
191,$4000_duty,0
191,$4000_const,1
191,$4000_vol,0
191,$4004_duty,0
191,$4004_const,1
191,$4004_vol,0
191,$400C_const,1
191,$400C_vol,0
191,$4001_sweep,127
191,$4005_sweep,127
191,$4008_linear,0
191,$4000_duty,0
191,$4000_const,1
191,$4000_vol,0
191,$4004_duty,0
191,$4004_const,1
191,$4004_vol,0
191,$400C_const,1
191,$400C_vol,0
191,$4001_sweep,127
191,$4005_sweep,127
191,$4000_duty,0
191,$4000_const,1
191,$4000_vol,0
191,$4001_sweep,127
191,$4004_duty,0
191,$4004_const,1
191,$4004_vol,0
191,$4005_sweep,127
191,$4008_linear,0
191,$400C_const,1
191,$400C_vol,0
192,$4000_duty,0
192,$4000_const,1
192,$4000_vol,0
192,$4004_duty,0
192,$4004_const,1
192,$4004_vol,0
192,$4008_linear,0
192,$4010_rate,15
192,$4011_dac,0
192,$4012_addr,252
192,$4013_len,8
193,$400C_const,1
193,$400C_vol,0
193,$400C_const,1
193,$400C_vol,10
193,$400E_period,2
193,$400E_mode,0
194,$400C_const,1
194,$400C_vol,10
194,$400E_period,1
194,$400E_mode,0
195,$400C_const,1
195,$400C_vol,7
195,$400E_period,1
195,$400E_mode,0
196,$400C_const,1
196,$400C_vol,6
196,$400E_period,1
196,$400E_mode,0
197,$400C_const,1
197,$400C_vol,6
197,$400E_period,1
197,$400E_mode,0
198,$400C_const,1
198,$400C_vol,5
198,$400E_period,0
198,$400E_mode,0
199,$400C_const,1
199,$400C_vol,5
199,$400E_period,1
199,$400E_mode,0
200,$400C_const,1
200,$400C_vol,5
200,$400E_period,0
200,$400E_mode,0
201,$400C_const,1
201,$400C_vol,5
201,$400E_period,1
201,$400E_mode,0
202,$400C_const,1
202,$400C_vol,5
202,$400E_period,0
202,$400E_mode,0
203,$400C_const,1
203,$400C_vol,4
203,$400E_period,1
203,$400E_mode,0
204,$400C_const,1
204,$400C_vol,3
204,$400E_period,0
204,$400E_mode,0
205,$400C_const,1
205,$400C_vol,2
205,$400E_period,0
205,$400E_mode,0
206,$400C_const,1
206,$400C_vol,0
206,$400C_const,1
206,$400C_vol,14
206,$400E_period,14
206,$400E_mode,0
207,$400C_const,1
207,$400C_vol,7
207,$400E_period,6
207,$400E_mode,0
208,$400C_const,1
208,$400C_vol,3
208,$400E_period,4
208,$400E_mode,0
209,$400C_const,1
209,$400C_vol,4
209,$400E_period,3
209,$400E_mode,0
210,$400C_const,1
210,$400C_vol,2
210,$400E_period,4
210,$400E_mode,0
211,$400C_const,1
211,$400C_vol,1
211,$400E_period,3
211,$400E_mode,0
212,$400C_const,1
212,$400C_vol,1
212,$400E_period,2
212,$400E_mode,0
213,$400C_const,1
213,$400C_vol,1
213,$400E_period,2
213,$400E_mode,0
214,$400C_const,1
214,$400C_vol,1
214,$400E_period,0
214,$400E_mode,0
215,$400C_const,1
215,$400C_vol,1
215,$400E_period,0
215,$400E_mode,0
216,$400C_const,1
216,$400C_vol,1
216,$400E_period,0
216,$400E_mode,0
217,$400C_const,1
217,$400C_vol,0
220,$4010_rate,15
220,$4011_dac,0
220,$4012_addr,252
220,$4013_len,8
221,$400C_const,1
221,$400C_vol,0
221,$400C_const,1
221,$400C_vol,10
221,$400E_period,2
221,$400E_mode,0
222,$400C_const,1
222,$400C_vol,10
222,$400E_period,1
222,$400E_mode,0
223,$400C_const,1
223,$400C_vol,7
223,$400E_period,1
223,$400E_mode,0
224,$400C_const,1
224,$400C_vol,6
224,$400E_period,1
224,$400E_mode,0
225,$400C_const,1
225,$400C_vol,6
225,$400E_period,1
225,$400E_mode,0
226,$400C_const,1
226,$400C_vol,5
226,$400E_period,0
226,$400E_mode,0
227,$4010_rate,15
227,$4011_dac,0
227,$4012_addr,252
227,$4013_len,8
227,$400C_const,1
227,$400C_vol,5
227,$400E_period,1
227,$400E_mode,0
228,$400C_const,1
228,$400C_vol,5
228,$400E_period,0
228,$400E_mode,0
229,$400C_const,1
229,$400C_vol,5
229,$400E_period,1
229,$400E_mode,0
230,$400C_const,1
230,$400C_vol,5
230,$400E_period,0
230,$400E_mode,0
231,$400C_const,1
231,$400C_vol,4
231,$400E_period,1
231,$400E_mode,0
232,$400C_const,1
232,$400C_vol,3
232,$400E_period,0
232,$400E_mode,0
233,$400C_const,1
233,$400C_vol,2
233,$400E_period,0
233,$400E_mode,0
234,$400C_const,1
234,$400C_vol,0
234,$400C_const,1
234,$400C_vol,14
234,$400E_period,14
234,$400E_mode,0
235,$400C_const,1
235,$400C_vol,7
235,$400E_period,6
235,$400E_mode,0
236,$400C_const,1
236,$400C_vol,3
236,$400E_period,4
236,$400E_mode,0
237,$400C_const,1
237,$400C_vol,4
237,$400E_period,3
237,$400E_mode,0
238,$400C_const,1
238,$400C_vol,2
238,$400E_period,4
238,$400E_mode,0
239,$400C_const,1
239,$400C_vol,1
239,$400E_period,3
239,$400E_mode,0
240,$400C_const,1
240,$400C_vol,1
240,$400E_period,2
240,$400E_mode,0
241,$4010_rate,15
241,$4011_dac,0
241,$4012_addr,252
241,$4013_len,8
241,$400C_const,1
241,$400C_vol,1
241,$400E_period,2
241,$400E_mode,0
242,$400C_const,1
242,$400C_vol,1
242,$400E_period,0
242,$400E_mode,0
243,$400C_const,1
243,$400C_vol,1
243,$400E_period,0
243,$400E_mode,0
244,$400C_const,1
244,$400C_vol,1
244,$400E_period,0
244,$400E_mode,0
245,$400C_const,1
245,$400C_vol,0
248,$400C_const,1
248,$400C_vol,0
248,$400C_const,1
248,$400C_vol,10
248,$400E_period,2
248,$400E_mode,0
249,$400C_const,1
249,$400C_vol,10
249,$400E_period,1
249,$400E_mode,0
250,$400C_const,1
250,$400C_vol,7
250,$400E_period,1
250,$400E_mode,0
251,$400C_const,1
251,$400C_vol,6
251,$400E_period,1
251,$400E_mode,0
252,$400C_const,1
252,$400C_vol,6
252,$400E_period,1
252,$400E_mode,0
253,$400C_const,1
253,$400C_vol,5
253,$400E_period,0
253,$400E_mode,0
254,$400C_const,1
254,$400C_vol,5
254,$400E_period,1
254,$400E_mode,0
255,$4010_rate,15
255,$4011_dac,0
255,$4012_addr,252
255,$4013_len,8
255,$400C_const,1
255,$400C_vol,5
255,$400E_period,0
255,$400E_mode,0
256,$400C_const,1
256,$400C_vol,5
256,$400E_period,1
256,$400E_mode,0
257,$400C_const,1
257,$400C_vol,5
257,$400E_period,0
257,$400E_mode,0
258,$400C_const,1
258,$400C_vol,4
258,$400E_period,1
258,$400E_mode,0
259,$400C_const,1
259,$400C_vol,3
259,$400E_period,0
259,$400E_mode,0
260,$400C_const,1
260,$400C_vol,2
260,$400E_period,0
260,$400E_mode,0
261,$400C_const,1
261,$400C_vol,2
261,$400E_period,0
261,$400E_mode,0
262,$400C_const,1
262,$400C_vol,0
262,$400C_const,1
262,$400C_vol,14
262,$400E_period,14
262,$400E_mode,0
263,$400C_const,1
263,$400C_vol,7
263,$400E_period,6
263,$400E_mode,0
264,$400C_const,1
264,$400C_vol,3
264,$400E_period,4
264,$400E_mode,0
265,$400C_const,1
265,$400C_vol,4
265,$400E_period,3
265,$400E_mode,0
266,$400C_const,1
266,$400C_vol,2
266,$400E_period,4
266,$400E_mode,0
267,$400C_const,1
267,$400C_vol,1
267,$400E_period,3
267,$400E_mode,0
268,$400C_const,1
268,$400C_vol,1
268,$400E_period,2
268,$400E_mode,0
269,$4010_rate,15
269,$4011_dac,0
269,$4012_addr,252
269,$4013_len,8
269,$400C_const,1
269,$400C_vol,1
269,$400E_period,2
269,$400E_mode,0
270,$400C_const,1
270,$400C_vol,1
270,$400E_period,0
270,$400E_mode,0
271,$400C_const,1
271,$400C_vol,1
271,$400E_period,0
271,$400E_mode,0
272,$400C_const,1
272,$400C_vol,1
272,$400E_period,0
272,$400E_mode,0
273,$400C_const,1
273,$400C_vol,0
276,$4010_rate,15
276,$4011_dac,0
276,$4012_addr,252
276,$4013_len,8
277,$400C_const,1
277,$400C_vol,0
277,$400C_const,1
277,$400C_vol,10
277,$400E_period,2
277,$400E_mode,0
278,$400C_const,1
278,$400C_vol,10
278,$400E_period,1
278,$400E_mode,0
279,$400C_const,1
279,$400C_vol,7
279,$400E_period,1
279,$400E_mode,0
