frame,parameter,value
132,$4000_duty,1
132,$4000_const,1
132,$4000_vol,0
132,$4004_duty,1
132,$4004_const,1
132,$4004_vol,0
132,$4008_linear,127
132,$400A_period,857
132,$400B_length,249
132,$400E_period,2
132,$400E_mode,0
132,$400C_const,1
132,$400C_vol,5
133,$4008_linear,127
133,$400A_period,1079
133,$400B_length,250
133,$400C_const,1
133,$400C_vol,0
134,$4008_linear,127
134,$400A_period,679
134,$400B_length,249
139,$4008_linear,0
142,$4004_duty,1
142,$4004_const,1
142,$4004_vol,0
142,$4008_linear,127
142,$400A_period,679
142,$400B_length,249
142,$400E_period,2
142,$400E_mode,0
142,$400C_const,1
142,$400C_vol,5
143,$400C_const,1
143,$400C_vol,0
148,$4008_linear,0
152,$4001_sweep,0
152,$4000_duty,1
152,$4000_const,1
152,$4000_vol,7
152,$4002_period,1525
152,$400B_length,250
152,$4005_sweep,0
152,$4004_duty,1
152,$4004_const,1
152,$4004_vol,7
152,$4006_period,2035
152,$4008_linear,127
152,$400A_period,539
152,$400B_length,249
152,$400E_period,9
152,$400E_mode,0
152,$400C_const,1
152,$400C_vol,7
153,$4008_linear,127
153,$400A_period,679
153,$400B_length,249
154,$4008_linear,127
154,$400A_period,679
154,$400B_length,249
154,$400C_const,1
154,$400C_vol,6
155,$400C_const,1
155,$400C_vol,4
156,$400C_const,1
156,$400C_vol,3
158,$400C_const,1
158,$400C_vol,2
159,$4008_linear,0
161,$400C_const,1
161,$400C_vol,1
162,$4000_duty,1
162,$4000_const,1
162,$4000_vol,0
162,$4004_duty,1
162,$4004_const,1
162,$4004_vol,0
162,$4008_linear,127
162,$400A_period,679
162,$400B_length,249
162,$400E_period,2
162,$400E_mode,0
162,$400C_const,1
162,$400C_vol,5
163,$400C_const,1
163,$400C_vol,0
168,$4008_linear,0
172,$4001_sweep,0
172,$4000_duty,1
172,$4000_const,1
172,$4000_vol,7
172,$4002_period,1359
172,$400B_length,250
172,$4005_sweep,0
172,$4004_duty,1
172,$4004_const,1
172,$4004_vol,7
172,$4006_period,1813
172,$4008_linear,127
172,$400A_period,857
172,$400B_length,249
172,$400E_period,2
172,$400E_mode,0
172,$400C_const,1
172,$400C_vol,5
173,$4008_linear,127
173,$400A_period,1079
173,$400B_length,250
173,$400C_const,1
173,$400C_vol,0
174,$4008_linear,127
174,$400A_period,679
174,$400B_length,249
179,$4008_linear,0
182,$4008_linear,127
182,$400A_period,679
182,$400B_length,249
182,$400E_period,2
182,$400E_mode,0
182,$400C_const,1
182,$400C_vol,5
183,$400C_const,1
183,$400C_vol,0
188,$4008_linear,0
192,$4008_linear,127
192,$400A_period,539
192,$400B_length,249
192,$400E_period,9
192,$400E_mode,0
192,$400C_const,1
192,$400C_vol,7
193,$4008_linear,127
193,$400A_period,679
193,$400B_length,249
194,$4008_linear,127
194,$400A_period,679
194,$400B_length,249
194,$400C_const,1
194,$400C_vol,6
195,$400C_const,1
195,$400C_vol,4
196,$400C_const,1
196,$400C_vol,3
198,$400C_const,1
198,$400C_vol,2
199,$4008_linear,0
201,$400C_const,1
201,$400C_vol,1
202,$4008_linear,127
202,$400A_period,679
202,$400B_length,249
202,$400E_period,2
202,$400E_mode,0
202,$400C_const,1
202,$400C_vol,5
203,$400C_const,1
203,$400C_vol,0
208,$4008_linear,0
212,$4001_sweep,0
212,$4000_duty,1
212,$4000_const,1
212,$4000_vol,7
212,$4002_period,1525
212,$400B_length,250
212,$4005_sweep,0
212,$4004_duty,1
212,$4004_const,1
212,$4004_vol,7
212,$4006_period,2035
212,$4008_linear,127
212,$400A_period,857
212,$400B_length,249
212,$400E_period,2
212,$400E_mode,0
