frame,parameter,value
13,$4004_duty,3
13,$4004_const,0
13,$4004_vol,0
19,$400C_const,1
19,$400C_vol,11
19,$4004_duty,3
19,$4004_const,0
19,$4004_vol,7
19,$4006_period,1439
20,$400C_const,0
20,$400C_vol,0
24,$4004_duty,3
24,$4004_const,0
24,$4004_vol,0
33,$400C_const,1
33,$400C_vol,12
33,$400E_period,9
33,$400E_mode,0
33,$4004_duty,3
33,$4004_const,0
33,$4004_vol,7
33,$4006_period,1357
34,$400C_const,0
34,$400C_vol,0
38,$4004_duty,3
38,$4004_const,0
38,$4004_vol,0
45,$4001_sweep,199
47,$400C_const,1
47,$400C_vol,10
47,$400E_period,14
47,$400E_mode,0
47,$4004_duty,3
47,$4004_const,0
47,$4004_vol,8
47,$4006_period,1209
48,$400C_const,0
48,$400C_vol,0
50,$4004_duty,2
50,$4004_const,1
50,$4004_vol,15
50,$4006_period,169
56,$4004_duty,2
56,$4004_const,0
56,$4004_vol,2
61,$400C_const,1
61,$400C_vol,9
61,$4004_duty,3
61,$4004_const,0
61,$4004_vol,8
61,$4006_period,2419
62,$400C_const,0
62,$400C_vol,0
67,$4004_duty,3
67,$4004_const,0
67,$4004_vol,0
75,$4004_duty,3
75,$4004_const,0
75,$4004_vol,7
75,$4006_period,1209
79,$4004_duty,3
79,$4004_const,0
79,$4004_vol,0
89,$400C_const,1
89,$400C_vol,11
89,$400E_period,9
89,$400E_mode,0
89,$4004_duty,3
89,$4004_const,0
89,$4004_vol,7
89,$4006_period,1357
90,$400C_const,0
90,$400C_vol,0
94,$4004_duty,2
94,$4004_const,0
94,$4004_vol,15
94,$4006_period,127
103,$400C_const,1
103,$400C_vol,9
103,$400E_period,14
103,$400E_mode,0
103,$4004_duty,3
103,$4004_const,0
103,$4004_vol,8
103,$4006_period,1439
104,$400C_const,0
104,$400C_vol,0
110,$4004_duty,0
110,$4004_const,0
110,$4004_vol,7
110,$400C_const,1
110,$400C_vol,10
111,$400C_const,0
111,$400C_vol,0
112,$4004_duty,2
112,$4004_const,0
112,$4004_vol,15
112,$4006_period,127
130,$4006_period,127
131,$400C_const,1
131,$400C_vol,11
132,$400C_const,0
132,$400C_vol,0
141,$4001_sweep,135
145,$400C_const,1
145,$400C_vol,12
145,$400E_period,9
145,$400E_mode,0
146,$400C_const,0
146,$400C_vol,0
159,$400C_const,1
159,$400C_vol,10
159,$400E_period,14
159,$400E_mode,0
160,$400C_const,0
160,$400C_vol,0
173,$400C_const,1
173,$400C_vol,9
173,$4004_duty,3
173,$4004_const,0
173,$4004_vol,7
173,$4006_period,2419
174,$400C_const,0
174,$400C_vol,0
181,$4004_duty,3
181,$4004_const,0
181,$4004_vol,0
187,$4004_duty,3
187,$4004_const,0
187,$4004_vol,7
187,$4006_period,1209
190,$4004_duty,3
190,$4004_const,0
190,$4004_vol,0
201,$400C_const,1
201,$400C_vol,11
201,$400E_period,9
201,$400E_mode,0
201,$4004_duty,3
201,$4004_const,0
201,$4004_vol,7
201,$4006_period,1357
202,$400C_const,0
202,$400C_vol,0
207,$4004_duty,3
207,$4004_const,0
207,$4004_vol,0
215,$400C_const,1
215,$400C_vol,9
215,$400E_period,14
215,$400E_mode,0
216,$400C_const,0
216,$400C_vol,0
222,$400C_const,1
222,$400C_vol,10
222,$4004_duty,3
222,$4004_const,0
222,$4004_vol,8
222,$4006_period,1357
223,$400C_const,0
223,$400C_vol,0
237,$4004_duty,3
237,$4004_const,0
237,$4004_vol,0
243,$400C_const,1
243,$400C_vol,11
243,$4004_duty,3
243,$4004_const,0
243,$4004_vol,7
243,$4006_period,1439
244,$400C_const,0
244,$400C_vol,0
248,$4004_duty,3
248,$4004_const,0
248,$4004_vol,0
257,$400C_const,1
257,$400C_vol,12
257,$400E_period,9
257,$400E_mode,0
257,$4004_duty,3
257,$4004_const,0
257,$4004_vol,7
257,$4006_period,1357
258,$400C_const,0
258,$400C_vol,0
262,$4004_duty,3
262,$4004_const,0
262,$4004_vol,0
271,$400C_const,1
271,$400C_vol,10
271,$400E_period,14
271,$400E_mode,0
271,$4004_duty,3
271,$4004_const,0
271,$4004_vol,8
271,$4006_period,1209
272,$400C_const,0
272,$400C_vol,0
275,$4004_duty,3
275,$4004_const,0
275,$4004_vol,0
285,$400C_const,1
285,$400C_vol,9
285,$4004_duty,3
285,$4004_const,0
285,$4004_vol,8
285,$4006_period,2419
286,$400C_const,0
286,$400C_vol,0
291,$4004_duty,3
291,$4004_const,0
291,$4004_vol,0
299,$4004_duty,3
299,$4004_const,0
299,$4004_vol,7
299,$4006_period,1209
303,$4004_duty,3
303,$4004_const,0
303,$4004_vol,0
313,$400C_const,1
313,$400C_vol,11
313,$400E_period,9
313,$400E_mode,0
313,$4004_duty,3
313,$4004_const,0
313,$4004_vol,7
313,$4006_period,1357
314,$400C_const,0
314,$400C_vol,0
320,$4004_duty,3
320,$4004_const,0
320,$4004_vol,0
327,$4004_duty,3
327,$4004_const,0
327,$4004_vol,8
327,$4006_period,1439
334,$400C_const,1
334,$400C_vol,10
334,$400E_period,14
334,$400E_mode,0
334,$4004_duty,3
334,$4004_const,0
334,$4004_vol,7
334,$4006_period,1357
335,$400C_const,0
335,$400C_vol,0
339,$4004_duty,3
339,$4004_const,0
339,$4004_vol,0
348,$400C_const,1
348,$400C_vol,12
348,$400E_period,9
348,$400E_mode,0
349,$400C_const,0
349,$400C_vol,0
355,$400C_const,1
355,$400C_vol,11
356,$400C_const,0
356,$400C_vol,0
