frame,parameter,value
0,$4001_sweep,67
0,$4005_sweep,67
3,$4000_duty,2
3,$4000_const,1
3,$4000_vol,12
3,$4001_sweep,67
3,$4002_period,1919
3,$400B_length,155
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,3
3,$4005_sweep,67
3,$4006_period,959
3,$4008_linear,15
3,$400A_period,959
3,$400B_length,153
3,$400C_const,1
3,$400C_vol,0
4,$4000_duty,2
4,$4000_const,1
4,$4000_vol,12
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,3
4,$4008_linear,15
5,$4000_duty,2
5,$4000_const,1
5,$4000_vol,12
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,3
5,$4008_linear,15
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,12
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,3
7,$4008_linear,15
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,12
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,3
8,$4008_linear,15
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,12
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,3
10,$4008_linear,15
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,12
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,3
11,$4008_linear,15
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,12
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,3
13,$4008_linear,15
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,12
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,3
14,$4008_linear,15
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,12
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,3
16,$4008_linear,15
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,12
17,$4004_duty,2
17,$4004_const,1
17,$4004_vol,3
17,$4008_linear,15
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,12
18,$4001_sweep,67
18,$4002_period,3049
18,$400B_length,157
18,$4008_linear,15
18,$400A_period,1523
18,$400B_length,154
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,12
19,$4004_duty,2
19,$4004_const,1
19,$4004_vol,3
19,$4008_linear,15
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,12
20,$4004_duty,2
20,$4004_const,1
20,$4004_vol,3
20,$4008_linear,15
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,12
22,$4004_duty,2
22,$4004_const,1
22,$4004_vol,3
22,$4008_linear,15
23,$4000_duty,2
23,$4000_const,1
23,$4000_vol,12
23,$4004_duty,2
23,$4004_const,1
23,$4004_vol,3
23,$4008_linear,15
24,$4004_duty,2
24,$4004_const,1
24,$4004_vol,3
24,$4005_sweep,67
24,$4006_period,1523
25,$4000_duty,2
25,$4000_const,1
25,$4000_vol,12
25,$4004_duty,2
25,$4004_const,1
25,$4004_vol,3
