frame,parameter,value
361,$4001_sweep,8
361,$4005_sweep,8
361,$4004_duty,2
361,$4004_const,1
361,$4004_vol,0
361,$4006_period,425
361,$4000_duty,2
361,$4000_const,0
361,$4000_vol,7
361,$4002_period,429
361,$400B_length,8
362,$4004_duty,2
362,$4004_const,0
362,$4004_vol,7
365,$4000_duty,2
365,$4000_const,0
365,$4000_vol,7
365,$4002_period,573
365,$400B_length,9
366,$4004_duty,2
366,$4004_const,0
366,$4004_vol,7
366,$4006_period,569
369,$4000_duty,2
369,$4000_const,0
369,$4000_vol,7
369,$4002_period,425
369,$400B_length,8
370,$4004_duty,2
370,$4004_const,0
370,$4004_vol,7
370,$4006_period,421
373,$4000_duty,2
373,$4000_const,0
373,$4000_vol,7
374,$4004_duty,2
374,$4004_const,0
374,$4004_vol,7
377,$4004_duty,0
377,$4004_const,1
377,$4004_vol,0
377,$4005_sweep,8
377,$4005_sweep,8
377,$4006_period,3421
377,$4000_duty,0
377,$4000_const,1
377,$4000_vol,0
377,$4001_sweep,8
377,$4001_sweep,8
377,$4002_period,3421
377,$400B_length,14
377,$4001_sweep,8
377,$4005_sweep,8
377,$4000_duty,0
377,$4000_const,1
377,$4000_vol,0
377,$4001_sweep,8
377,$4001_sweep,8
377,$4002_period,3421
377,$400B_length,14
378,$400E_period,13
378,$400E_mode,0
378,$400C_const,1
378,$400C_vol,15
378,$400A_period,1439
378,$400B_length,10
378,$4008_linear,127
378,$4005_sweep,8
378,$4006_period,359
378,$4004_duty,1
378,$4004_const,1
378,$4004_vol,15
378,$4001_sweep,8
378,$4002_period,605
378,$400B_length,9
378,$4000_duty,1
378,$4000_const,1
378,$4000_vol,15
379,$400E_period,2
379,$400E_mode,0
379,$400C_const,1
379,$400C_vol,9
379,$4004_duty,1
379,$4004_const,1
379,$4004_vol,15
379,$4000_duty,1
379,$4000_const,1
379,$4000_vol,15
380,$400C_const,1
380,$400C_vol,9
380,$4005_sweep,8
380,$4006_period,719
380,$4004_duty,1
380,$4004_const,1
380,$4004_vol,15
380,$4001_sweep,8
380,$4002_period,959
380,$400B_length,9
380,$4000_duty,1
380,$4000_const,1
380,$4000_vol,15
381,$400C_const,1
381,$400C_vol,8
381,$4004_duty,1
381,$4004_const,1
381,$4004_vol,15
381,$4000_duty,1
381,$4000_const,1
381,$4000_vol,15
382,$400C_const,1
382,$400C_vol,8
382,$4005_sweep,8
382,$4006_period,359
382,$4004_duty,1
382,$4004_const,1
382,$4004_vol,8
382,$4001_sweep,8
382,$4002_period,605
382,$400B_length,9
382,$4000_duty,1
382,$4000_const,1
382,$4000_vol,8
383,$400C_const,1
383,$400C_vol,7
383,$4004_duty,1
383,$4004_const,1
383,$4004_vol,8
383,$4000_duty,1
383,$4000_const,1
383,$4000_vol,8
384,$400C_const,1
384,$400C_vol,7
384,$4005_sweep,8
384,$4006_period,719
384,$4004_duty,1
384,$4004_const,1
384,$4004_vol,8
384,$4001_sweep,8
384,$4002_period,959
384,$400B_length,9
384,$4000_duty,1
384,$4000_const,1
384,$4000_vol,8
385,$400C_const,1
385,$400C_vol,6
385,$4004_duty,1
385,$4004_const,1
385,$4004_vol,8
385,$4000_duty,1
385,$4000_const,1
385,$4000_vol,8
386,$400C_const,1
386,$400C_vol,6
386,$4005_sweep,8
386,$4006_period,359
386,$4004_duty,1
386,$4004_const,1
386,$4004_vol,1
386,$4001_sweep,8
386,$4002_period,605
386,$400B_length,9
386,$4000_duty,1
386,$4000_const,1
386,$4000_vol,1
387,$400C_const,1
387,$400C_vol,5
387,$4004_duty,1
387,$4004_const,1
387,$4004_vol,1
387,$4000_duty,1
387,$4000_const,1
387,$4000_vol,1
388,$400C_const,1
388,$400C_vol,4
388,$4005_sweep,8
388,$4006_period,719
388,$4004_duty,1
388,$4004_const,1
388,$4004_vol,1
388,$4001_sweep,8
388,$4002_period,959
388,$400B_length,9
388,$4000_duty,1
388,$4000_const,1
388,$4000_vol,1
389,$400C_const,1
389,$400C_vol,4
389,$4004_duty,1
389,$4004_const,1
389,$4004_vol,1
389,$4000_duty,1
389,$4000_const,1
389,$4000_vol,1
390,$400C_const,1
390,$400C_vol,3
390,$4005_sweep,8
390,$4006_period,359
390,$4004_duty,1
390,$4004_const,1
390,$4004_vol,1
390,$4001_sweep,8
390,$4002_period,605
390,$400B_length,9
390,$4000_duty,1
390,$4000_const,1
390,$4000_vol,1
391,$400C_const,1
391,$400C_vol,3
391,$4004_duty,1
391,$4004_const,1
391,$4004_vol,1
391,$4000_duty,1
391,$4000_const,1
391,$4000_vol,1
392,$400C_const,1
392,$400C_vol,2
392,$4005_sweep,8
392,$4006_period,719
392,$4004_duty,1
392,$4004_const,1
392,$4004_vol,1
392,$4001_sweep,8
392,$4002_period,959
392,$400B_length,9
392,$4000_duty,1
392,$4000_const,1
392,$4000_vol,1
393,$400C_const,1
393,$400C_vol,2
393,$4004_duty,1
393,$4004_const,1
393,$4004_vol,1
393,$4000_duty,1
393,$4000_const,1
393,$4000_vol,1
394,$400C_const,1
394,$400C_vol,0
394,$400E_period,2
394,$400E_mode,0
394,$4005_sweep,8
394,$4006_period,359
394,$4004_duty,1
394,$4004_const,1
394,$4004_vol,1
394,$4001_sweep,8
394,$4002_period,605
394,$400B_length,9
394,$4000_duty,1
394,$4000_const,1
394,$4000_vol,1
395,$4004_duty,1
395,$4004_const,1
395,$4004_vol,1
395,$4000_duty,1
395,$4000_const,1
395,$4000_vol,1
396,$4005_sweep,8
396,$4006_period,719
396,$4004_duty,1
396,$4004_const,1
396,$4004_vol,1
396,$4001_sweep,8
396,$4002_period,959
